extra_assign#0,"""exq_$(0)"""
exq_EnemyHpDown_50#0,"""HP -50%"""
exq_EnemyHpDown_60#0,"""HP -60%"""
exq_EnemyHpDown_70#0,"""HP -70%"""
exq_EnemyHpDown_80#0,"""HP -80%"""
exq_EnemyHpDown_90#0,"""HP -90%"""
exq_ResistAll20%#0,"""ต้านทานทั้งหมด +20%"""
exq_ResistAll20%Down#0,"""ต้านทานทั้งหมด -20%"""
exq_ResistAll40%#0,"""ต้านทานทั้งหมด +40%"""
exq_ResistAll40%Down#0,"""ต้านทานทั้งหมด -40%"""
exq_ResistAll60%#0,"""ต้านทานทั้งหมด +60%"""
exq_ResistAll60%Down#0,"""ต้านทานทั้งหมด -60%"""
exq_ResistAll80%#0,"""ต้านทานทั้งหมด +80%"""
exq_ResistAll80%Down#0,"""ต้านทานทั้งหมด -80%"""
exq_ResistDarkDown#0,"""ต้านทานธาตุมืด ลดลง"""
exq_ResistDarkDown_low#0,"""ต้านทานธาตุมืด ลดลง"""
exq_ResistDarkUp#0,"""ต้านทานธาตุมืด เพิ่มขึ้น"""
exq_ResistDarkUp_low#0,"""ต้านทานธาตุมืด เพิ่มขึ้น"""
exq_ResistFirearm20%#0,"""ต้านทานการโจมตีระยะไกล +20%"""
exq_ResistFirearm20%Down#0,"""ต้านทานการโจมตีระยะไกล -20%"""
exq_ResistFirearm40%#0,"""ต้านทานการโจมตีระยะไกล +40%"""
exq_ResistFirearm40%Down#0,"""ต้านทานการโจมตีระยะไกล -40%"""
exq_ResistFirearm60%#0,"""ต้านทานการโจมตีระยะไกล +60%"""
exq_ResistFirearm60%Down#0,"""ต้านทานการโจมตีระยะไกล -60%"""
exq_ResistFirearm80%#0,"""ต้านทานการโจมตีระยะไกล +80%"""
exq_ResistFirearm80%Down#0,"""ต้านทานการโจมตีระยะไกล -80%"""
exq_ResistFireDown#0,"""ต้านทานธาตุไฟ ลดลง"""
exq_ResistFireDown_low#0,"""ต้านทานธาตุไฟ ลดลง"""
exq_ResistFireUp#0,"""ต้านทานธาตุไฟ เพิ่มขึ้น"""
exq_ResistFireUp_low#0,"""ต้านทานธาตุไฟ เพิ่มขึ้น"""
exq_ResistIceDown#0,"""ต้านทานธาตุน้ำแข็ง ลดลง"""
exq_ResistIceDown_low#0,"""ต้านทานธาตุน้ำแข็ง ลดลง"""
exq_ResistIceUp#0,"""ต้านทานธาตุน้ำแข็ง เพิ่มขึ้น"""
exq_ResistIceUp_low#0,"""ต้านทานธาตุน้ำแข็ง เพิ่มขึ้น"""
exq_ResistLightDown#0,"""ต้านทานธาตุแสง ลดลง"""
exq_ResistLightDown_low#0,"""ต้านทานธาตุแสง ลดลง"""
exq_ResistLightUp#0,"""ต้านทานธาตุแสง เพิ่มขึ้น"""
exq_ResistLightUp_low#0,"""ต้านทานธาตุแสง เพิ่มขึ้น"""
exq_ResistStrike20%#0,"""ต้านทานการโจมตีประชิด +20%"""
exq_ResistStrike20%Down#0,"""ต้านทานการโจมตีประชิด -20%"""
exq_ResistStrike40%#0,"""ต้านทานการโจมตีประชิด +40%"""
exq_ResistStrike40%Down#0,"""ต้านทานการโจมตีประชิด -40%"""
exq_ResistStrike60%#0,"""ต้านทานการโจมตีประชิด +60%"""
exq_ResistStrike60%Down#0,"""ต้านทานการโจมตีประชิด -60%"""
exq_ResistStrike80%#0,"""ต้านทานการโจมตีประชิด +80%"""
exq_ResistStrike80%Down#0,"""ต้านทานการโจมตีประชิด -80%"""
exq_ResistTechnic20%#0,"""ต้านทานการโจมตีเวทย์ +20%"""
exq_ResistTechnic20%Down#0,"""ต้านทานการโจมตีเวทย์ -20%"""
exq_ResistTechnic40%#0,"""ต้านทานการโจมตีเวทย์ +40%"""
exq_ResistTechnic40%Down#0,"""ต้านทานการโจมตีเวทย์ -40%"""
exq_ResistTechnic60%#0,"""ต้านทานการโจมตีเวทย์ +60%"""
exq_ResistTechnic60%Down#0,"""ต้านทานการโจมตีเวทย์ -60%"""
exq_ResistTechnic80%#0,"""ต้านทานการโจมตีเวทย์ +80%"""
exq_ResistTechnic80%Down#0,"""ต้านทานการโจมตีเวทย์ -80%"""
exq_ResistThunderDown#0,"""ต้านทานธาตุสายฟ้า ลดลง"""
exq_ResistThunderDown_low#0,"""ต้านทานธาตุสายฟ้า ลดลง"""
exq_ResistThunderUp#0,"""ต้านทานธาตุสายฟ้า เพิ่มขึ้น"""
exq_ResistThunderUp_low#0,"""ต้านทานธาตุสายฟ้า เพิ่มขึ้น"""
exq_ResistWindDown#0,"""ต้านทานธาตุลม ลดลง"""
exq_ResistWindDown_low#0,"""ต้านทานธาตุลม ลดลง"""
exq_ResistWindUp#0,"""ต้านทานธาตุลม เพิ่มขึ้น"""
exq_ResistWindUp_low#0,"""ต้านทานธาตุลม เพิ่มขึ้น"""
exq_PPRegenerateUp10#0,"""ฟื้นฟู PP อัตโนมัติ +10%"""
exq_PPRegenerateUp20#0,"""ฟื้นฟู PP อัตโนมัติ +20%"""
exq_PPRegenerateUp30#0,"""ฟื้นฟู PP อัตโนมัติ +30%"""
exq_PPRegenerateUp40#0,"""ฟื้นฟู PP อัตโนมัติ +40%"""
exq_PPRegenerateUp50#0,"""ฟื้นฟู PP อัตโนมัติ +50%"""
exq_PPRegenerateUp60#0,"""ฟื้นฟู PP อัตโนมัติ +60%"""
exq_PPRegenerateUp70#0,"""ฟื้นฟู PP อัตโนมัติ +70%"""
exq_PPRegenerateUp80#0,"""ฟื้นฟู PP อัตโนมัติ +80%"""
exq_PPRegenerateUp90#0,"""ฟื้นฟู PP อัตโนมัติ +90%"""
exq_PPRegenerateUp100#0,"""ฟื้นฟู PP อัตโนมัติ +100%"""
exq_PPRegenerateUp200#0,"""ฟื้นฟู PP อัตโนมัติ +200%"""
exq_PPRegenerateUp300#0,"""ฟื้นฟู PP อัตโนมัติ +300%"""
exq_PPRegenerateUp400#0,"""ฟื้นฟู PP อัตโนมัติ +400%"""
exq_PPRegenerateUp500#0,"""ฟื้นฟู PP อัตโนมัติ +500%"""
exq_PPRegenerateDown10#0,"""ฟื้นฟู PP อัตโนมัติ -10%"""
exq_PPRegenerateDown20#0,"""ฟื้นฟู PP อัตโนมัติ -20%"""
exq_PPRegenerateDown30#0,"""ฟื้นฟู PP อัตโนมัติ -30%"""
exq_PPRegenerateDown40#0,"""ฟื้นฟู PP อัตโนมัติ -40%"""
exq_PPRegenerateDown50#0,"""ฟื้นฟู PP อัตโนมัติ -50%"""
exq_PPRegenerateDown60#0,"""ฟื้นฟู PP อัตโนมัติ -60%"""
exq_PPRegenerateDown70#0,"""ฟื้นฟู PP อัตโนมัติ -70%"""
exq_PPRegenerateDown80#0,"""ฟื้นฟู PP อัตโนมัติ -80%"""
exq_PPRegenerateDown90#0,"""ฟื้นฟู PP อัตโนมัติ -90%"""
exq_RecoveryEffectDown#0,"""ประสิทธิภาพการฟื้นฟูลดลง"""
exq_AtpUp10#0,"""พลังโจมตี +10%"""
exq_AtpUp20#0,"""พลังโจมตี +20%"""
exq_AtpUp30#0,"""พลังโจมตี +30%"""
exq_AtpUp40#0,"""พลังโจมตี +40%"""
exq_AtpUp50#0,"""พลังโจมตี +50%"""
exq_AtpUp60#0,"""พลังโจมตี +60%"""
exq_AtpUp70#0,"""พลังโจมตี +70%"""
exq_AtpUp80#0,"""พลังโจมตี +80%"""
exq_AtpUp90#0,"""พลังโจมตี +90%"""
exq_AtpUp100#0,"""พลังโจมตี +100%"""
exq_AtpUp110#0,"""พลังโจมตี +110%"""
exq_AtpUp120#0,"""พลังโจมตี +120%"""
exq_AtpUp130#0,"""พลังโจมตี +130%"""
exq_AtpUp140#0,"""พลังโจมตี +140%"""
exq_AtpUp150#0,"""พลังโจมตี +150%"""
exq_AtpUp160#0,"""พลังโจมตี +160%"""
exq_AtpUp170#0,"""พลังโจมตี +170%"""
exq_AtpUp180#0,"""พลังโจมตี +180%"""
exq_AtpUp190#0,"""พลังโจมตี +190%"""
exq_AtpUp200#0,"""พลังโจมตี +200%"""
exq_AtpUp210#0,"""พลังโจมตี +210%"""
exq_AtpUp220#0,"""พลังโจมตี +220%"""
exq_AtpUp230#0,"""พลังโจมตี +230%"""
exq_AtpUp240#0,"""พลังโจมตี +240%"""
exq_AtpUp250#0,"""พลังโจมตี +250%"""
exq_AtpUp260#0,"""พลังโจมตี +260%"""
exq_AtpUp270#0,"""พลังโจมตี +270%"""
exq_AtpUp280#0,"""พลังโจมตี +280%"""
exq_AtpUp290#0,"""พลังโจมตี +290%"""
exq_AtpUp300#0,"""พลังโจมตี +300%"""
exq_FireWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธธาตุไฟ -90%"""
exq_FireWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธธาตุไฟ -50%"""
exq_FireWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธธาตุไฟ +10%"""
exq_FireWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธธาตุไฟ +20%"""
exq_FireWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธธาตุไฟ +30%"""
exq_FireWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธธาตุไฟ +40%"""
exq_FireWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธธาตุไฟ +50%"""
exq_IceWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธธาตุน้ำแข็ง -90%"""
exq_IceWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธธาตุน้ำแข็ง -50%"""
exq_IceWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธธาตุน้ำแข็ง +10%"""
exq_IceWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธธาตุน้ำแข็ง +20%"""
exq_IceWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธธาตุน้ำแข็ง +30%"""
exq_IceWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธธาตุน้ำแข็ง +40%"""
exq_IceWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธธาตุน้ำแข็ง +50%"""
exq_ThunderWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธธาตุสายฟ้า -90%"""
exq_ThunderWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธธาตุสายฟ้า -50%"""
exq_ThunderWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธธาตุสายฟ้า +10%"""
exq_ThunderWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธธาตุสายฟ้า +20%"""
exq_ThunderWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธธาตุสายฟ้า +30%"""
exq_ThunderWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธธาตุสายฟ้า +40%"""
exq_ThunderWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธธาตุสายฟ้า +50%"""
exq_WindWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธธาตุลม -90%"""
exq_WindWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธธาตุลม -50%"""
exq_WindWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธธาตุลม +10%"""
exq_WindWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธธาตุลม +20%"""
exq_WindWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธธาตุลม +30%"""
exq_WindWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธธาตุลม +40%"""
exq_WindWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธธาตุลม +50%"""
exq_DarkWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธธาตุมืด -90%"""
exq_DarkWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธธาตุมืด -50%"""
exq_DarkWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธธาตุมืด +10%"""
exq_DarkWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธธาตุมืด +20%"""
exq_DarkWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธธาตุมืด +30%"""
exq_DarkWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธธาตุมืด +40%"""
exq_DarkWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธธาตุมืด +50%"""
exq_LightWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธธาตุแสง -90%"""
exq_LightWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธธาตุแสง -50%"""
exq_LightWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธธาตุแสง +10%"""
exq_LightWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธธาตุแสง +20%"""
exq_LightWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธธาตุแสง +30%"""
exq_LightWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธธาตุแสง +40%"""
exq_LightWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธธาตุแสง +50%"""
exq_AllElementWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธธาตุ -90%"""
exq_AllElementWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธธาตุ -50%"""
exq_AllElementWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธธาตุ +10%"""
exq_AllElementWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธธาตุ +20%"""
exq_AllElementWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธธาตุ +30%"""
exq_AllElementWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธธาตุ +40%"""
exq_AllElementWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธธาตุ +50%"""
exq_StrikeWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธประชิด -90%"""
exq_StrikeWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธประชิด -50%"""
exq_StrikeWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธประชิด +10%"""
exq_StrikeWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธประชิด +20%"""
exq_StrikeWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธประชิด +30%"""
exq_StrikeWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธประชิด +40%"""
exq_StrikeWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธประชิด +50%"""
exq_FirearmWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธระยะไกล -90%"""
exq_FirearmWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธระยะไกล -50%"""
exq_FirearmWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธระยะไกล +10%"""
exq_FirearmWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธระยะไกล +20%"""
exq_FirearmWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธระยะไกล +30%"""
exq_FirearmWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธระยะไกล +40%"""
exq_FirearmWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธระยะไกล +50%"""
exq_TechnicWeaponHitAtpDown90#0,"""พลังโจมตีอาวุธเวทย์ -90%"""
exq_TechnicWeaponHitAtpDown50#0,"""พลังโจมตีอาวุธเวทย์ -50%"""
exq_TechnicWeaponHitAtpUp10#0,"""พลังโจมตีอาวุธเวทย์ +10%"""
exq_TechnicWeaponHitAtpUp20#0,"""พลังโจมตีอาวุธเวทย์ +20%"""
exq_TechnicWeaponHitAtpUp30#0,"""พลังโจมตีอาวุธเวทย์ +30%"""
exq_TechnicWeaponHitAtpUp40#0,"""พลังโจมตีอาวุธเวทย์ +40%"""
exq_TechnicWeaponHitAtpUp50#0,"""พลังโจมตีอาวุธเวทย์ +50%"""
exq_AllWeaponHitAtpDown90#0,"""พลังโจมตี -90%"""
exq_AllWeaponHitAtpDown50#0,"""พลังโจมตี -50%"""
exq_AllWeaponHitAtpUp10#0,"""พลังโจมตี +10%"""
exq_AllWeaponHitAtpUp20#0,"""พลังโจมตี +20%"""
exq_AllWeaponHitAtpUp30#0,"""พลังโจมตี +30%"""
exq_AllWeaponHitAtpUp40#0,"""พลังโจมตี +40%"""
exq_AllWeaponHitAtpUp50#0,"""พลังโจมตี +50%"""
exq_PPIncreaseDown90#0,"""ฟื้นฟู PP อัตโนมัติ -90%"""
exq_PPIncreaseDown80#0,"""ฟื้นฟู PP อัตโนมัติ -80%"""
exq_PPIncreaseDown50#0,"""ฟื้นฟู PP อัตโนมัติ -50%"""
exq_PPIncreaseUp50#0,"""ฟื้นฟู PP อัตโนมัติ +50%"""
exq_PPIncreaseUp100#0,"""ฟื้นฟู PP อัตโนมัติ +100%"""
exq_PPIncreaseUp200#0,"""ฟื้นฟู PP อัตโนมัติ +200%"""
exq_RecoveryEffectDown90#0,"""ฟื้นฟู HP -90%"""
exq_RecoveryEffectDown80#0,"""ฟื้นฟู HP -80%"""
exq_RecoveryEffectDown50#0,"""ฟื้นฟู HP -50%"""
exq_RecoveryEffectUp50#0,"""ฟื้นฟู HP +50%"""
exq_RecoveryEffectUp100#0,"""ฟื้นฟู HP +100%"""
exq_RecoveryEffectUp200#0,"""ฟื้นฟู HP +200%"""
exq_EnemyHitAtpUp10#0,"""พลังโจมตี +10%"""
exq_EnemyHitAtpUp20#0,"""พลังโจมตี +20%"""
exq_EnemyHitAtpUp50#0,"""พลังโจมตี +50%"""
exq_EnemyHitAtpUp100#0,"""พลังโจมตี +100%"""
exq_EnemyHitAtpUp150#0,"""พลังโจมตี +150%"""
exq_EnemyHitAtpUp200#0,"""พลังโจมตี +200%"""
exq_EnemyHitAtpUp250#0,"""พลังโจมตี +250%"""
exq_EnemyHitAtpUp300#0,"""พลังโจมตี +300%"""
exq_EnemyHitAtpDown10#0,"""พลังโจมตี -10%"""
exq_EnemyHitAtpDown20#0,"""พลังโจมตี -20%"""
exq_EnemyHitAtpDown30#0,"""พลังโจมตี -30%"""
exq_EnemyHitAtpDown50#0,"""พลังโจมตี -50%"""
exq_EnemyDmgElementReactUp10#0,"""อัตราสะสมล้มธาตุ +10%"""
exq_EnemyDmgElementReactUp20#0,"""อัตราสะสมล้มธาตุ +20%"""
exq_EnemyDmgElementReactUp50#0,"""อัตราสะสมล้มธาตุ +50%"""
exq_EnemyDmgElementReactUp100#0,"""อัตราสะสมล้มธาตุ +100%"""
exq_EnemyDmgElementReactDown10#0,"""อัตราสะสมล้มธาตุ -10%"""
exq_EnemyDmgElementReactDown20#0,"""อัตราสะสมล้มธาตุ -20%"""
exq_EnemyDmgElementReactDown50#0,"""อัตราสะสมล้มธาตุ -50%"""
exq_EnemyDmgElementReactDown100#0,"""อัตราสะสมล้มธาตุ -100%"""
exq_EnemyDmgPhysicsReactUp10#0,"""อัตราสะสมล้มกายภาพ +10%"""
exq_EnemyDmgPhysicsReactUp20#0,"""อัตราสะสมล้มกายภาพ +20%"""
exq_EnemyDmgPhysicsReactUp50#0,"""อัตราสะสมล้มกายภาพ +50%"""
exq_EnemyDmgPhysicsReactUp100#0,"""อัตราสะสมล้มกายภาพ +100%"""
exq_EnemyDmgPhysicsReactDown10#0,"""อัตราสะสมล้มกายภาพ -10%"""
exq_EnemyDmgPhysicsReactDown20#0,"""อัตราสะสมล้มกายภาพ -20%"""
exq_EnemyDmgPhysicsReactDown50#0,"""อัตราสะสมล้มกายภาพ -50%"""
exq_EnemyDmgPhysicsReactDown100#0,"""อัตราสะสมล้มกายภาพ -100%"""
exq_EnemyHPUp10#0,"""HP +10%"""
exq_EnemyHPUp20#0,"""HP +20%"""
exq_EnemyHPUp50#0,"""HP +50%"""
exq_EnemyHPUp100#0,"""HP +100%"""
exq_EnemyHPUp150#0,"""HP +150%"""
exq_EnemyHPUp200#0,"""HP +200%"""
exq_EnemyHPUp250#0,"""HP +250%"""
exq_EnemyHPUp300#0,"""HP +300%"""
exq_EnemyHPDown10#0,"""HP -10%"""
exq_EnemyHPDown20#0,"""HP -20%"""
exq_EnemyHPDown30#0,"""HP -30%"""
exq_EnemyHPDown50#0,"""HP -50%"""
AllEnemy#0,"""ศัตรูทั้งหมด"""
EnemyCost7AndMore#0,"""ศัตรูระดับ Boss"""
EnemyCost6AndLess#0,"""ศัตรูทั่วไป"""
ExceptAnimal#0,"""ศัตรูที่ไม่ใช่ Tames"""
ExceptBoss#0,"""ศัตรูที่ไม่ใช่ Boss"""
OnlyBoss#0,"""เฉพาะ Boss"""
EnemyNameTag#0,"""($(0))"""
