wh_mainhelp#0,"""首先"""
wh_craft_card_recipe#0,"""鍛造/更新時限能力存儲數據"""
wh_craft_card_create#0,"""鍛造/製作時限能力資料"""
wh_shipbattle_goods#0,"""ARKS戰艦對抗戰 / 獎品商店"""
wh_shipbattle_mainmenu#0,"""任務 / ARKS戰艦對抗戰"""
wh_shipbattle_reward#0,"""ARKS戰艦對抗戰 / 最終排名獎勵"""
wh_shipbattle_points#0,"""ARKS戰艦對抗戰 / 累積得勝點"""
wh_shipbattle_roundinfo#0,"""ARKS戰艦對抗戰 / 回合情報"""
wh_eventchronicle#0,"""事件紀事"""
wh_accountlinkage_na#0,"""アカウント連携"""
wh_tl_co_011014_v#0,"""關於『傳送裝置』"""
wh_tl_co_011020_v#0,"""關於『無法戰鬥』"""
wh_tl_co_011021_v#0,"""關於『異常狀態』"""
wh_tl_co_011024_v#0,"""關於『鎖定目標』"""
wh_tl_co_011025_v#0,"""關於『完美攻撃』"""
wh_tl_co_011064_v#0,"""關於『光子技能/法術光盤』"""
wh_tl_co_011169_v#0,"""關於『大廳區域』"""
wh_tl_co_011170_v#0,"""關於『商店區域』"""
wh_tl_co_011187_v#0,"""關於『營地小船』"""
wh_tl_co_011190_v#0,"""關於『委託』"""
wh_tl_co_011196_v#0,"""關於『萬象盤』"""
wh_tl_co_011201_v#0,"""關於『公會』"""
wh_tl_co_011215_v#0,"""關於『返回用傳送裝置』"""
wh_tl_co_011221_v#0,"""關於『肝塊』"""
wh_tl_co_011224_v#0,"""關於『進階任務』"""
wh_tl_co_011230_v#0,"""關於『角色操作』"""
wh_tl_co_011231_v#0,"""關於『AC(ARKS Cash)』"""
wh_tl_co_011232_v#0,"""關於『切換顯示地圖』"""
wh_tl_co_011233_v#0,"""關於『矚目操作』"""
wh_tl_co_011234_v#0,"""關於『拍圖方法』"""
wh_tl_co_011235_v#0,"""關於『玩家觸碰』"""
wh_tl_co_011237_v#0,"""關於『戰利品功能』"""
wh_tl_co_011238_v#0,"""關於『開始聊天的方法』"""
wh_tl_co_011240_v#0,"""關於『操作設定』"""
wh_tl_co_011242_v#0,"""關於『專用線路』和『共用線路』<br>"""
wh_tl_co_011243_v#0,"""關於『登入證』"""
wh_tl_co_011244_v#0,"""關於『角色肖像功能』"""
wh_tl_co_011245_v#0,"""關於『TORO』和『KURO』"""
wh_tl_co_011254_v#0,"""關於『極限任務』"""
wh_tl_co_011256_v#0,"""關於『極限任務』階層"""
wh_tl_co_011257_v#0,"""關於『極限任務』道具"""
wh_tl_co_011258_v#0,"""關於『極限任務』E試煉"""
wh_tl_co_011259_v#0,"""關於『萬象盤的事件和大廳的變化』"""
wh_tl_co_011261_v#0,"""關於『ARKS冰菓』"""
wh_tl_co_012017_v#0,"""關於『武器的切換方法』"""
wh_tl_co_021262_v#0,"""關於『ARKS之路』"""
wh_tl_co_021279_v#0,"""關於『支援夥伴』"""
wh_tl_co_021280_v#0,"""關於『支援夥伴的管理』"""
wh_tl_co_021281_v#0,"""關於『採掘基地防衛戰』"""
wh_tl_co_021282_v#0,"""關於『採掘基地防衛戰：絶望』"""
wh_tl_co_021285_v#0,"""關於『鍛造』"""
wh_tl_co_021287_v#0,"""關於『採掘基地防衛戰：入侵』"""
wh_tl_mp_000239_v#0,"""關於『隊伍區域』"""
wh_tl_mp_000245_v#0,"""關於『PSE』"""
wh_tl_np_010490_v#0,"""關於『毎日任務』"""
wh_tl_np_011041_v#0,"""關於『ARKS戰艦對抗戰』"""
end#0,"""END"""
wh_pet#0,"""道具/寵物"""
wh_equip_note_menu#0,"""道具/收集板"""
wh_equip_accessory#0,"""装備/附件更改"""
wh_pollute_form_list#0,"""装備 / 黑暗爆發"""
wh_pollute_skill_list#0,"""装備 / 黑暗爆發 技能"""
wh_equip_fashion#0,"""装備/編輯裝扮"""
wh_fashioncat#0,"""装備/穿搭目録"""
wh_fashioncat_ranking#0,"""装備/檢視大家的穿搭"""
wh_fashioncat_search#0,"""装備/搜尋大家的穿搭"""
wh_fashioncat_register#0,"""装備/登録自己的穿搭"""
wh_fashioncat_confirm#0,"""装備/檢視自己登録中的穿搭"""
wh_fashioncat_profile#0,"""装備/穿搭信息"""
wh_favfashion#0,"""装備/書籤"""
wh_storyboard_questrank#0,"""任務/劇情任務的難易度"""
wh_arksleague#0,"""任務/ARKS聯盟排位賽"""
wh_recommend#0,"""任務/推薦任務"""
wh_campaignquest#0,"""任務/活動任務"""
wh_missionboard#0,"""任務/ARKS MISSION"""
wh_missionpass#0,"""任務/通行證"""
wh_sgemshop#0,"""AC菜單/SG商店"""
wh_sgshop#0,"""AC清單/星鑽購買"""
wh_sirius_pointshop#0,"""通訊裝置/idola點數交換交換"""
wh_myset#0,"""櫃台/個人配置"""
wh_team_shop#0,"""櫃台/公會專用商店"""
wh_equip_note#0,"""櫃台/收集板"""
wh_battle_counter#0,"""櫃台/競技櫃台"""
wh_petrabo#0,"""商店/寵物實驗室"""
wh_challengemile_shop#0,"""商店/挑戰里程交換商店"""
wh_treasure_shop#0,"""商店/寶物商店"""
wh_challenge_ranking#0,"""裝置/挑戰排行"""
wh_arena_ranking#0,"""裝置/競技排行"""
wh_stylecounter#0,"""裝置/風格櫃台"""
wh_craft_pa_custom#0,"""鍛造/PA自定義"""
wh_am_trade_n#0,"""賭場/交換通常獎勵"""
wh_am_trade_p#0,"""賭場/交換限定獎勵"""
wh_battlecoin_shop#0,"""商店/競技獎勵幣交換商店"""
wh_questcounter_mltpt#0,"""櫃台/任務櫃台"""
wh_mltpt_supplement#0,"""櫃台/複數線匹配"""
wh_tl_co_021283_v#0,"""關於與『PSO2es』的聯動"""
wh_tl_co_031373_v#0,"""關於『賭場』"""
wh_tl_co_031374_v#0,"""關於『委託道具』"""
wh_tl_co_031376_v#0,"""關於『獎勵交換』和『CC持有上限』"""
wh_tl_co_031381_v#0,"""關於『光子樹』"""
wh_tl_co_031382_v#0,"""關於『公會合併』"""
wh_tl_co_030003_v#0,"""關於『回到EP1&2的方法』"""
wh_tl_co_031391_v#0,"""關於『事件紀事』"""
wh_tl_co_031396_v#0,"""關於『敵人觸發器』"""
wh_tl_co_030012_v#0,"""關於『究極任務』"""
wh_tl_co_031403_v#0,"""關於『究極任務的敵人』"""
wh_tl_co_031406_v#0,"""關於『挑戰線路』"""
wh_tl_co_031407_v#0,"""關於『挑戰任務』"""
wh_tl_co_031408_v#0,"""關於『共通艦船』"""
wh_tl_co_031411_v#0,"""關於『道具的移交』"""
wh_tl_co_031404_v#0,"""關於『顕現せし星滅の災厄』"""
wh_tl_co_031410_v#0,"""關於『星滅の災厄禊ぐ灰の唱』"""
wh_tl_co_031409_v#0,"""關於『改良型A.I.S』"""
wh_tl_co_031414_v#0,"""關於『组队標记』"""
wh_tl_co_031416_v#0,"""關於『歡迎參加』"""
wh_tl_co_031417_v#0,"""關於『夥伴的好感度』"""
wh_tl_co_031418_v#0,"""關於『進階任務風險上升』"""
wh_tl_co_031419_v#0,"""關於『ARKS足球』"""
wh_tl_co_031421_v#0,"""關於『自動復活娃娃』"""
wh_tl_co_031422_v#0,"""關於『支援夥伴的副職』"""
wh_tl_co_031424_v#0,"""關於『SP自动动作』"""
wh_tl_co_031426_v#0,"""關於『A.R.K.S.支援系統』"""
wh_tl_co_031427_v#0,"""關於『任務點數傳送裝置』"""
wh_tl_co_031428_v#0,"""關於『ARKS GP2016選拔』"""
wh_tl_co_031429_v#0,"""關於『職業配置終端』"""
wh_tl_co_031433_v#0,"""關於『職業增益』"""
wh_tl_co_031435_v#0,"""關於『採掘基地防衛戦：終焉』"""
wh_tl_co_031437_v#0,"""關於『独極訓練』"""
wh_tl_co_031439_v#0,"""關於『武器增益』"""
wh_tl_co_040000_v#0,"""關於『衝刺板』"""
wh_tl_co_040003_v#0,"""關於『寶物商店』"""
wh_tl_co_040007_v#0,"""想讓寵物升級~"""
wh_tl_co_040008_v#0,"""糖果盒是什麼？"""
wh_tl_co_040009_v#0,"""寵物的等級達到100以後？"""
wh_tl_co_040010_v#0,"""關於『寵物實驗室』"""
wh_tl_co_040017_v#0,"""關於『敵人出現位置預測』"""
wh_tl_co_040018_v#0,"""關於『任務觸發器』"""
wh_tl_co_040021_v#0,"""關於『EP1～3和EP4模式』"""
wh_tl_co_040022_v#0,"""寵物的推薦設置？"""
wh_tl_co_040023_v#0,"""關於『故事板』"""
wh_tl_co_040026_v#0,"""想召喚出寵物！"""
wh_tl_co_040011_v#0,"""關於『艦橋』"""
wh_tl_co_040080_v#0,"""關於『技能戒指』"""
wh_tl_co_040081_v#0,"""關於『技能戒指的強化』"""
wh_tl_co_040082_v#0,"""關於『採集』"""
wh_tl_co_040083_v#0,"""關於『採集料理』"""
wh_tl_co_040084_v#0,"""關於『COMBO和FEVER』"""
wh_tl_co_040085_v#0,"""關於『成就和等級』"""
wh_tl_co_040091_v#0,"""寵物屬性值上限是？"""
wh_tl_co_040050_v#0,"""關於『※※※※』"""
wh_tl_co_040049_v#0,"""關於『練習任務』"""
wh_tl_co_040051_v#0,"""關於『ライディングクエスト』【応用編】"""
wh_tl_co_040052_v#0,"""關於『ライディングクエスト』【基本編】"""
wh_tl_co_040053_v#0,"""關於『蓮媽的摩的』"""
wh_tl_co_011015_v#0,"""關於『滑歩攻撃』"""
wh_tl_od_010409037_v#0,"""關於『完美防禦』"""
wh_tl_od_010424211_v#0,"""關於『連鎖』"""
wh_tl_co_011022_v#0,"""關於『武器欄』"""
wh_tl_co_011023_v#0,"""關於『快捷列』"""
wh_tl_co_011026_v#0,"""關於『弱點』"""
wh_tl_od_010100201_v#0,"""關於『瑪古』"""
wh_tl_co_011029_v#0,"""關於『光子爆發』"""
wh_tl_od_010200092_v#0,"""關於『越肩視角』"""
wh_tl_od_010409211_v#0,"""關於『移動射撃』"""
wh_tl_od_010409221_v#0,"""關於『脆化彈』"""
wh_tl_od_010409227_v#0,"""關於『陷井』"""
wh_tl_co_012012_v#0,"""關於『蓄力法術』"""
wh_tl_co_011038_v#0,"""關於『大劍』"""
wh_tl_co_011040_v#0,"""關於『自在槍』"""
wh_tl_co_011042_v#0,"""關於『長槍』"""
wh_tl_od_010200061_v#0,"""關於『雙小劍』"""
wh_tl_od_010200071_v#0,"""關於『雙頭劍』"""
wh_tl_od_010200051_v#0,"""關於『鋼拳』"""
wh_tl_co_011050_v#0,"""關於『槍刃』"""
wh_tl_co_011052_v#0,"""關於『長槍』"""
wh_tl_co_011054_v#0,"""關於『大炮』"""
wh_tl_od_010200131_v#0,"""關於『雙機槍』"""
wh_tl_co_011058_v#0,"""關於『長杖』"""
wh_tl_co_011060_v#0,"""關於『導具』"""
wh_tl_od_010200181_v#0,"""關於『短杖』"""
wh_tl_od_010200251_v#0,"""關於『旧式武器強化』"""
wh_tl_od_010200261_v#0,"""關於『旧式武器属性強化』"""
wh_tl_od_010200271_v#0,"""關於『特殊能力追加』"""
wh_tl_co_011120_v#0,"""關於『打擊力・射擊力・法擊力』"""
wh_tl_co_011122_v#0,"""關於『属性』"""
wh_tl_co_011139_v#0,"""關於『拿不了的道具』"""
wh_tl_co_011141_v#0,"""關於『窗口疑問』"""
wh_tl_co_011160_v#0,"""關於『個人小屋』"""
wh_tl_co_011171_v#0,"""關於『人物點數』"""
wh_tl_co_011202_v#0,"""關於『公會擴張』"""
wh_tl_mb_000005_v#0,"""關於『萬象盤的事件』"""
wh_tl_od_010102207_v#0,"""關於『副職』"""
wh_tl_od_010303007_v#0,"""關於『夥伴角色』"""
wh_tl_od_010100522_v#0,"""關於『防具』"""
wh_tl_od_010200471_v#0,"""關於『ARKS名片』"""
wh_tl_co_011260_v#0,"""關於『萬象盤繼續進行的方法』"""
wh_tl_od_020387001_v#0,"""關於『拔劍』"""
wh_tl_od_020387061_v#0,"""關於『強弓』"""
wh_tl_od_020387007_v#0,"""關於『拔劍槽』"""
wh_tl_od_010200201_v#0,"""關於『天賦點數』"""
wh_tl_od_010200391_v#0,"""關於『醫學中心』"""
wh_tl_od_010200381_v#0,"""關於『自動訊息』"""
wh_tl_co_011028_v#0,"""關於『裝備瑪古的方法』"""
wh_tl_co_011071_v#0,"""關於『餵食瑪古的方法』"""
wh_tl_od_010200441_v#0,"""關於『鼓勵』"""
wh_tl_od_020391001_v#0,"""關於『完美攻撃』"""
wh_tl_od_020391061_v#0,"""關於『組隊』"""
wh_tl_od_030710001_v#0,"""關於『魔裝靴』"""
wh_tl_od_030720001_v#0,"""關於『飛翔劍』"""
wh_tl_od_030710007_v#0,"""關於『魔裝靴槽』"""
wh_tl_od_030720007_v#0,"""關於『飛翔劍槽』"""
wh_tl_co_031399_v#0,"""關於『輝石・魔石』"""
wh_tl_od_030730007_v#0,"""關於『複合法術』"""
wh_tl_co_040020_v#0,"""關於『周圍的角色』"""
wh_tl_co_040046_v#0,"""關於『收集板』"""
wh_tl_np_013442_v#0,"""關於『ARKS聯盟排位賽』"""
wh_tl_co_040027_v#0,"""關於『防具技能追加』"""
wh_tl_co_040120_v#0,"""關於『解放職業等級的上限到80』"""
wh_tl_co_040090_v#0,"""關於『新世武器和旧式武器』"""
wh_tl_co_040092_v#0,"""關於『新世武器的強化』"""
wh_tl_co_040093_v#0,"""關於『新世武器的潜在能力解放』"""
wh_tl_co_040094_v#0,"""關於『新世武器的属性強化』"""
wh_tl_co_040095_v#0,"""關於『強化上限突破』"""
wh_tl_co_040096_v#0,"""關於『特殊能力因子』"""
wh_tl_co_040035_v#0,"""關於『推薦任務』"""
wh_tl_co_040036_v#0,"""關於『獎勵任務』"""
wh_tl_co_040088_v#0,"""關於『撃退幻創大和使用的A.I.S』"""
wh_tl_co_040107_v#0,"""關於『月駆ける幻創の母中蓮媽的摩的』"""
wh_tl_co_040122_v#0,"""關於『奪旗戰的規則』"""
wh_tl_co_050002_v#0,"""關於『EPISODE5のストーリーの進め方』"""
wh_tl_co_050003_v#0,"""關於『EPISODE変更』"""
wh_tl_co_050012_v#0,"""關於『アークスブーストラリー』"""
wh_tl_mp_0005081_v#0,"""關於『攻城任務』"""
wh_tl_mp_0005082_v#0,"""關於『階段』"""
wh_tl_mp_0005083_v#0,"""關於『雪拉的支援』"""
wh_tl_mp_0005084_v#0,"""關於『魔神兵器和魔神城的攻撃』"""
wh_tl_mp_0005085_v#0,"""關於『ARKS兵器』"""
wh_tl_mp_0005086_v#0,"""關於『兵器設置的選擇』"""
wh_tl_co_050035_v#0,"""關於『黑暗爆發』"""
wh_tl_co_050037_v#0,"""關於『黑暗爆發的發動』"""
wh_tl_co_050038_v#0,"""關於『黑暗爆發的技能』"""
wh_tl_co_050039_v#0,"""關於『懲罰重拳』"""
wh_tl_co_050040_v#0,"""關於『暗黑護壁』"""
wh_tl_co_050041_v#0,"""關於『終極波動・驚破重拳』"""
wh_tl_co_012004_v#0,"""關於『HP回復』"""
wh_tl_co_031385_v#0,"""關於『天賦樹』"""
wh_tl_co_011203_v#0,"""關於『公會委託』"""
wh_tl_co_011188_v#0,"""關於『傳送器』"""
wh_tl_od_010190017_v#0,"""關於『敵人的攻撃属性』"""
wh_tl_od_010100517_v#0,"""關於『敵人的攻擊力』"""
wh_tl_od_010190037_v#0,"""關於『敵人的部位破壊』"""
wh_tl_co_040144_v#0,"""『大家的穿搭』來分享裝扮！"""
wh_tl_co_050063_v#0,"""關於『想要入會人員的接受和搜索』"""
wh_tl_co_050072_v#0,"""關於『S級特殊能力』"""
wh_tl_co_050074_v#0,"""關於『任務區域解放』"""
wh_tl_co_057003_v#0,"""關於『無限任務』"""
wh_tl_co_050085_v#0,"""關於『巨軀形態』"""
wh_tl_co_050086_v#0,"""關於『敗者形態』"""
wh_tl_co_050087_v#0,"""關於『職業等級上限解放至90』"""
wh_tl_co_050091#0,"""關於『黑暗爆發的靈體顯示』"""
wh_tl_co_050096_v#0,"""關於『若人形態』"""
wh_tl_co_051730_v#0,"""關於『深遠より出ずる狂気の仮面(仮』"""
wh_tl_co_050104_v#0,"""關於『雙子形態』"""
wh_tl_co_058011_v#0,"""關於『領域調査：異世界的残滓』"""
wh_tl_co_050106_v#0,"""關於『武器形態変更』"""
wh_tl_co_050114_v#0,"""關於『★15武器光跡シオン的製作』"""
wh_tl_co_050113_v#0,"""關於『★15武器アトラ・イクス的製作』"""
wh_tl_co_050112_v#0,"""關於『★15武器オフスティア-NT的製作』"""
wh_tl_co_060010_v#0,"""關於『後継職業』"""
wh_tl_co_060003_v#0,"""關於『UH難度探索任務』"""
wh_tl_co_060011_v#0,"""關於『超化護盾』"""
wh_tl_co_060014_v#0,"""關於『終の艦隊迎撃戦』"""
wh_tl_co_061765_v#0,"""關於『A.I.S-VEGA』"""
wh_tl_co_060017_v#0,"""『解式フォトンアーツ』について"""
wh_tl_co_060023_v#0,"""『艦内潜入：敵大型戦艦』について"""
wh_tl_co_060035_v#0,"""＊＊＊"""
wh_tl_co_060021_v#0,"""『★13ユニット』について"""
wh_tl_co_060047_v#0,"""『ディバイドクエスト』について"""
wh_tl_co_060048_v#0,"""このクエストについて"""
wh_tl_co_060049_v#0,"""『累計ポイント報酬』について"""
wh_tl_co_060050_v#0,"""テーマ：『工作戦』について"""
wh_tl_co_060051_v#0,"""テーマ：『補充戦』について"""
wh_tl_co_060052_v#0,"""テーマ：『殲滅戦』について"""
wh_tl_co_060053_v#0,"""テーマ：『討伐戦』について"""
wh_tl_co_060065#0,"""『最終決戦：時空の狭間』について"""
unknown#0,"""不明"""
base_system#0,"""基本操作/基本系統"""
area_map#0,"""艦船/線路/大廳/個人小屋"""
area_casino#0,"""賭場"""
team#0,"""公會"""
equip_wepon_type#0,"""武器防具的種類"""
equip_forge#0,"""裝備的能力値和強化/裝備的收集"""
equip_pyroxene#0,"""肝塊/其他"""
equip_skill_ring#0,"""技能戒指"""
skill_class#0,"""戰鬥的基本操作/職業技能"""
dark_blast#0,"""黑暗爆發"""
sub_partner#0,"""支援夥伴"""
sub_mag_pet#0,"""瑪古/寵物"""
story_arks_road#0,"""ARKS之路"""
story_matter_board#0,"""萬象盤"""
story_event#0,"""事件紀事"""
clientorder#0,"""委託"""
event_content#0,"""期間限定活動"""
quest_basic#0,"""任務準備"""
quest_party#0,"""隊伍"""
quest_permanent#0,"""常設任務"""
quest_emergency#0,"""緊急任務"""
quest_divide#0,"""逆境任務"""
quest_bastar#0,"""攻城任務"""
gathering#0,"""採集"""
enemy#0,"""敵人"""
cordecatalog#0,"""大家的穿搭"""
datanum#0,"""$(0)"""
