YesText#0,"""ใช่"""
CantStartQuestCapacityOverRoom#0,"""ไม่สามารถเข้าร่วมได้เนื่องจาก Room เต็มแล้ว"""
NotFoundPartyList#0,"""ไม่พบ Parties"""
CantStartQuestCapacityOverParty#0,"""ไม่สามารถเข้าร่วมได้เนื่องจาก Party เต็มแล้ว"""
PasswordNG#0,"""รหัสผ่านไม่ถูกต้อง"""
BurstIntoNG#0,"""ไม่สามารถเข้าร่วมได้เนื่องจาก Quest ไม่อนุญาตให้เข้าร่วมกลางคัน"""
CautionQuestEnd#0,"""ไม่สามารถเข้าร่วมได้เนื่องจาก Quest สิ้นสุดลงแล้ว"""
CantStartQuestTimeLimitOver#0,"""ไม่สามารถเริ่ม Quest อื่นได้เนื่องจากหมดเวลา"""
CautionQuestReleaseNG#0,"""ไม่สามารถเข้าร่วม Quest นี้ได้"""
CautionQuestReleaseNG2#0,"""ขณะนี้ไม่สามารถรับ Quest นี้ได้<br>กรุณาตรวจสอบรายละเอียดที่เว็บไซต์ของผู้เล่น"""
CautionRoomDelete#0,"""ไม่สามารถเข้าร่วม Room ได้ เนื่องจากไม่มี Room นี้อยู่แล้ว"""
CautionBlockMoveNG#0,"""เปลี่ยน Blocks ล้มเหลว"""
MatchingRejectJikkyouForRejectUser#0,"""ขณะนี้มีการจำกัดการเข้าร่วมในบาง Room"""
MatchingRejectJikkyouForJikkyou#0,"""เนื่องจากไม่สามารถเข้าร่วม Room ที่ระบุได้ จึงสร้าง Room ใหม่ขึ้นมา"""
CautionUnknown#0,"""เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ"""
Loading#0,"""NOW LOADING"""
Not_accessible_ToastMessage#0,"""ไม่สามารถเลือกได้ในระหว่าง All Ship Matchmaking"""
Message_NewIconViewed#0,"""การทำเช่นนี้จะลบไอคอน <pict New><pict 4space>New ทั้งหมดออกจาก $(0)<br><br>ต้องการดำเนินการต่อหรือไม่?"""
ToastText_NewIconViewed#0,"""ลบไอคอน New ทั้งหมดออกจาก $(0) แล้ว"""
TascSuccessInfo_reward#0,"""รางวัล"""
TascSuccessInfo_General#0,"""ทำ Task สำเร็จแล้ว!"""
TascSuccessInfo_Achievement#0,"""ทำ Title Task สำเร็จแล้ว!"""
TascSuccessInfo_AchievementPt#0,"""Title Points $(0)Pt"""
TascSuccessInfo_AchievementName#0,"""ชื่อ Title \""$(0)\"""
ShopAccessError#0,"""ไม่สามารถเข้าถึง Shop ได้"""
MySpace_RegisterText#0,"""ลงทะเบียน Build Parts แล้ว"""
Mag_RegisterText#0,"""ลงทะเบียนฟอร์มของ Mag แล้ว"""
Non_Text#0,"""ไม่มีการแสดงข้อความ"""
Menu_Main#0,"""Main Menu"""
Menu_Sub#0,"""Sub Menu"""
Menu_Money#0,"""เงิน AC/SG"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>Weapon Camouflage"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>My Shop"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>World Map"""
MainMenu_World_WorldSecret#0,"""<pict ba_secret><pict 4space>World Secrets"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>Message Pack"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>Tasks """
MainMenu_Quest_MissionPass#0,"""<pict ba_missionpass><pict 4space>Mission Pass"""
Category_Item#0,"""ไอเทม"""
Category_Equip#0,"""อุปกรณ์"""
Category_SubPallet#0,"""ช่องสกิล"""
Category_Task#0,"""เควส"""
Category_WorldMap#0,"""แผนที่"""
Category_LogOut#0,"""ออกจากระบบ"""
Category_Communication#0,"""โซเชียล"""
Category_Personal#0,"""ข้อมูลส่วนตัว"""
Category_Chat#0,"""แชท"""
Category_Info#0,"""ข้อมูล"""
Category_System#0,"""ระบบ"""
Category_Scratch#0,"""สุ่ม Scratch"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>AC/SG Shop<pict 4space><pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop><pict 4space>SG Shop<pict 4space><pict StarGem>"""
Category_MyShop#0,"""My Shop"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>Recycle ไอเทม"""
Category_SG_BlackMarket#0,"""<pict ba_treasure><pict 4space>Treasure Shop<pict 4space><pict StarGem>"""
Category_Meseta_BlackMarket#0,"""<pict ba_treasure><pict 4space>Treasure Shop<pict 4space><pict reb_meseta>"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>ประวัติการซื้อ/วันหมดอายุ"""
Category_Shop#0,"""Shop"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>Inventory"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>Friend List """
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>คำสั่ง Party"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>คำสั่ง Team """
Popup_Mail#0,"""<pict ba_mail><pict 4space>Mail """
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>ARKS Search"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>ประวัติการสื่อสาร """
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>ตัวละครใกล้เคียง"""
Popup_MySpace#0,"""<pict ba_myspace><pict 4space>Creative Space"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>ข้อมูลตัวละคร"""
Popup_Honor#0,"""<pict ba_title><pict 4space>Title """
Popup_ArksCard#0,"""<pict ba_card><pict 4space>ARKS Card"""
Popup_Honor_ArksCard#0,"""Title/ARKS Card"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>สถิติการเล่น"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>ตั้งค่า Group Chat"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>ตั้งค่า Shortcut Word"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>ตั้งค่า Autoword"""
Popup_Motion#0,"""<pict ba_motion><pict 4space>ตั้งค่า Victory Pose"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>Symbol Arts"""
Popup_PlaceObject#0,"""<pict ba_objarrange><pict 4space>วาง Portable Hologram"""
Popup_ListObject#0,"""<pict ba_objarrange><pict 4space>Portable Holograms ใกล้เคียง"""
Popup_PerformEmotes#0,"""<pict ba_la><pict 4space>ใช้งาน Lobby Actions"""
Popup_VitalDesign#0,"""<pict ba_uidesign><pict 4space>ดีไซน์ Vital Gauge"""
Popup_Information#0,"""<pict ba_info><pict 4space>ข้อมูล"""
Popup_Help#0,"""<pict ba_help><pict 4space>ช่วยเหลือ"""
Popup_Option#0,"""<pict ba_option><pict 4space>ตั้งค่า"""
Popup_StreamerMode#0,"""<pict ba_stream><pict 4space>Streamer Mode """
Popup_CollaboMode#0,"""<pict ba_snapshot><pict 4space>ตั้งค่าแสดงไอเทม Event Collab"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>รับไอเทม Campaign """
Popup_AutoSale#0,"""<pict ba_autosell><pict 4space>ขายไอเทมดรอปอัตโนมัติ<pict 4space><pict Arcscash><pict StarGem>"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>Item Code"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>ตั้งค่าการควบคุม"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>Mag"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>Stamp"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>สุ่ม Scratch<pict 4space><pict Arcscash><pict StarGem>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>Scratch Storage"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>ข้อมูล Quest"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>สวมใส่ Weapon"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>สวมใส่ Armor"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>Subpalette"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>แก้ไข Fashion"""
Popup_QuestMenue#0,"""เมนู Quest"""
Popup_QuestCounter#0,"""<pict ba_questinfo><pict 4space>Quest Counter"""
Popup_LineDuel#0,"""<pict ba_ld><pict 4space>Line Strike"""
Popup_SelfyMode#0,"""<pict ba_selfymode><pict 4space>Easy Camera Mode"""
Popup_WishList#0,"""<pict ba_pin><pict 4space>Wishlist"""
Popup_NearingExpirationItem#0,"""<pict ba_e_notice><pict 4space>ไอเทมใกล้หมดอายุ"""
Operation_MenuCommon#0,"""การตั้งค่าทั่วไปของคู่มือเมนูภายใต้เมนูหลัก"""
MenuEquipmentOpen#0,"""สวมใส่ไอเทมที่เลือก"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>แก้ไขตำแหน่ง Weapon"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus><pict 4space>Login Bonus"""
Menu_Matching_Blockade#0,"""ไม่สามารถใช้งานได้ในระหว่าง Matching"""
Menu_Ad_Guide#0,"""สลับหน้าต่าง: <%ChangeCtrlWindowForward>\u3000\u3000เปลี่ยนหน้า: <%TabBack><%TabForward>"""
Menu_Ad_Title#0,"""ประกาศ"""
MainMenu_CharacterInfo#0,"""ข้อมูลตัวละคร"""
MainMenu_Palette#0,"""ปรับแต่ง Palette"""
MainMenu_Inventory#0,"""Inventory"""
MainMenu_Party#0,"""Party"""
MainMenu_FriendList#0,"""รายชื่อเพื่อน"""
MainMenu_Mail#0,"""Mail"""
MainMenu_Macro#0,"""ตั้งค่า Autowords"""
MainMenu_LogWindow#0,"""หน้าต่าง Log"""
MainMenu_AreaMap#0,"""แผนที่ Area"""
MainMenu_KeyboardHelp#0,"""ช่วยเหลือเรื่อง Keyboard"""
MainMenu_Config#0,"""ตัวเลือก (Options)"""
MainMenu_Logout#0,"""Logout"""
MainMenu_PlayerList#0,"""ตัวละครใกล้เคียง"""
MainMenu_Library#0,"""Library"""
MainMenu_QuestInfo#0,"""ข้อมูล Quest"""
MainMenu_Equip#0,"""สวมใส่"""
MainMenu_ClientOrder#0,"""Client Orders"""
MainMenu_MatterBoard#0,"""Matter Board"""
MainMenu_MugMenu#0,"""เมนู Mag"""
MainMenu_CommHistory#0,"""ประวัติการสื่อสาร"""
MainMenu_ItemTreasure#0,"""Treasures"""
MainMenu_CharacterStatus#0,"""สถานะปัจจุบัน"""
MainMenu_Equip_note#0,"""Collection File"""
MainMenu_simple_gat_status#0,"""/"""
MainMenu_Item_Item#0,"""ไอเทม"""
MainMenu_Item_Castom#0,"""ปรับแต่ง"""
MainMenu_Item_Mug#0,"""Mags"""
MainMenu_Item_Pet#0,"""Pets"""
MainMenu_Equip_Weapon#0,"""สวมใส่ Weapons"""
MainMenu_Equip_Guard#0,"""Armors"""
MainMenu_Equip_Accessories#0,"""สวมใส่ Accessories"""
MainMenu_Equip_FashionGroup#0,"""หนังสือแฟชั่น"""
MainMenu_Equip_Fashion#0,"""แก้ไข Fashion"""
MainMenu_Equip_FashionCat#0,"""<pict ba_corde><pict 4space>หนังสือแฟชั่น"""
MainMenu_Equip_PolluteEdit#0,"""Dark Blast"""
MainMenu_Equip_Subpalette#0,"""แก้ไข Subpalettes"""
MainMenu_Community_Friend#0,"""รายชื่อเพื่อน"""
MainMenu_Community_Team#0,"""คำสั่ง Team"""
MainMenu_Community_Party#0,"""คำสั่ง Party"""
MainMenu_Community_MySpace#0,"""Creative Space"""
MainMenu_Community_Mail#0,"""Mail"""
MainMenu_Community_Chara#0,"""ตัวละครใกล้เคียง"""
MainMenu_MyData_CharaInfo#0,"""ข้อมูลตัวละคร"""
MainMenu_MyData_GatInfo#0,"""ข้อมูล Gathering"""
MainMenu_MyData_ContentInfo#0,"""ข้อมูลคอนเทนต์"""
MainMenu_MyData_License#0,"""รายการ Title"""
MainMenu_MyData_CraftAchievement#0,"""ความสำเร็จ Crafting"""
MainMenu_MyData_MyMenu#0,"""Quick Menu"""
MainMenu_MyData_History#0,"""ประวัติการสื่อสาร"""
MainMenu_MyData_TitleAndCard#0,"""Title/ARKS Card"""
MainMenu_MyData_Profile#0,"""แก้ไข ARKS Card"""
MainMenu_MyData_Profile_v#0,"""แก้ไข ARKS Card"""
MainMenu_Quest_StoryBoard#0,"""Story Board"""
MainMenu_Quest_MatterBoard#0,"""Matter Board"""
MainMenu_Quest_ArksRoad#0,"""ARKS Road"""
MainMenu_Quest_ClientOrder#0,"""Client Orders"""
MainMenu_Quest_BingoCard#0,"""ARKS Bingo Card """
MainMenu_Quest_OpenEvent#0,"""ข้อมูล Event"""
MainMenu_Quest_TotalScoreBoost#0,"""Quest-Linked Boost"""
MainMenu_Quest_ShipBattle#0,"""การแข่งขัน"""
MainMenu_Quest_QuestInfo#0,"""ข้อมูล Quest"""
MainMenu_Quest_MapChange#0,"""เปลี่ยนแผนที่"""
MainMenu_Quest_EventItem#0,"""ไอเทม Event"""
MainMenu_System_SimbolArt#0,"""Symbol Arts"""
MainMenu_System_ChatConfig#0,"""ตั้งค่า Chat"""
MainMenu_System_Option#0,"""ตัวเลือก (Options)"""
MainMenu_System_LogWindow#0,"""หน้าต่าง Log"""
MainMenu_System_GameHelp#0,"""ช่วยเหลือในเกม"""
MainMenu_System_OnlineHelp#0,"""ช่วยเหลือออนไลน์"""
MainMenu_System_Information#0,"""ข้อมูล"""
MainMenu_System_Notify#0,"""ประกาศ"""
MainMenu_System_LoginStamp#0,"""Login Stamps"""
MainMenu_System_StarGem#0,"""รายละเอียดไอเทม AC/SG"""
MainMenu_ACMenu_ACShop#0,"""AC Shop<pict 4space><pict Arcscash>"""
MainMenu_SALE_IconText#0,"""$(0)<pict sale_shop_icon>"""
MainMenu_ACMenu_Gacha#0,"""สุ่ม Scratch<pict 4space><pict Arcscash>"""
MainMenu_ACMenu_Recycle#0,"""Recycle Shop"""
MainMenu_ACMenu_MagicStone#0,"""ซื้อ Star Gems<pict 4space><pict Arcscash>"""
MainMenu_ACMenu_HistoryRental#0,"""ประวัติการซื้อ/วันหมดอายุ"""
MainMenu_ACMenu_History#0,"""ประวัติการซื้อ"""
MainMenu_ACMenu_Rental#0,"""วันหมดอายุการเช่า"""
MainMenu_Logout_Logout#0,"""ออกจากระบบ"""
MainMenuCategory_ItemPack#0,"""Inventory"""
MainMenuCategory_Equip#0,"""อุปกรณ์ (Equipment)"""
MainMenuCategory_MyData#0,"""ข้อมูลของฉัน (My Data)"""
MainMenuCategory_Mug#0,"""Mags"""
MainMenuCategory_Community#0,"""ชุมชน (Community)"""
MainMenuCategory_Quest#0,"""เควส"""
MainMenuCategory_System#0,"""ระบบ (System)"""
MainMenuCategory_Shop#0,"""เมนู AC"""
MainMenuCategory_Logout#0,"""ออกจากระบบ"""
MainMenu_Title#0,"""Main Menu"""
MainMenu_MainCommand#0,"""คำสั่งหลัก (Main Commands)"""
MainMenu_Notify#0,"""ไอเทมใหม่"""
MainMenu_Shortcut#0,"""Shortcuts"""
MainMenu_Notify_KeyHelp#0,"""ไปที่การแจ้งเตือนด้วย <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb#0,"""ตรวจสอบการแจ้งเตือนใหม่ด้วย <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb2#0,"""ตรวจสอบการแจ้งเตือนใหม่ด้วย <%NextWidget> หลังจากเปิด Main Menu"""
MainMenu_Notify_KeyHelp_vita#0,"""กด <pict Sign_TRIANGLE> สำหรับพื้นที่ใหม่"""
MainMenu_Notify_KeyHelp_Disable#0,"""พื้นที่ใหม่ยังไม่พร้อมใช้งานในขณะนี้"""
MainMenu_Notify_KeyHelp_Disable_reb#0,"""ไม่สามารถตรวจสอบการแจ้งเตือนใหม่ได้ในขณะนี้"""
MainMenu_Community_NewArrival#0,"""$(0) ($(1))"""
MainMenu_Recycle_NoEnter#0,"""ไม่สามารถใช้งานได้ในระหว่าง Quest"""
MainMenu_Recycle_NoEnterTitle#0,"""Recycle Shop"""
WeaponPosition#0,"""ตำแหน่งเก็บ Weapon"""
RedPivot#0,"""การปรับแนวนอน (แนวตั้ง)"""
GreenPivot#0,"""การปรับแนวตั้ง (แนวนอน)"""
BluaPivot#0,"""การปรับความลึก"""
Error_NotSetting#0,"""คุณไม่สามารถปรับตำแหน่ง<br>ของ accessory ที่เลือกได้"""
StarGemMessage#0,"""ซื้อมา/$(0) <pict StarGem><br>ฟรี/$(1) <pict StarGem><br><br>※SG ฟรีจะถูกใช้งานก่อน"""
MainMenu_ACMenu_SGShop#0,"""SG Shop <pict StarGem>"""
MainMenu_ArksContract#0,"""ARKS Missions"""
NotHoldingEvent#0,"""ขณะนี้ไม่มี Event จัดขึ้น"""
StatusLabel_EveryMpShort1#0,"""Mission Pass: $(0)"""
StatusLabel_EveryMpShort1_2#0,"""Mission Pass: ยังไม่เปิด"""
StatusLabel_EveryMpShort2#0,"""Tier: $(1) (จนถึง Tier ถัดไป $(0)<pict mp_star_icon>)"""
MainMenu_Logout_October#0,"""<space><space><space><space><space><space><space><space><space><space>"""
Toast_October_1#0,"""ปุ่ม Logout ที่เคยมีอยู่จนกระทั่งฉันตั้ง Title ได้หายไปอย่างสมบูรณ์"""
Toast_October_2#0,"""ฉันแน่ใจว่าตอนนี้คุณคงสังเกตเห็นแล้ว ว่าปุ่ม Logout หายไป"""
Toast_October_3#0,"""นี่ไม่ใช่ข้อผิดพลาด ขอย้ำว่านี่ไม่ใช่ข้อผิดพลาด นี่คือระบบที่ตั้งใจไว้เมื่อคุณทำการตั้ง Title"""
Toast_October_4#0,"""คุณจะไม่ได้รับอนุญาตให้ออกจากเกม (Logout) อีกต่อไป จนกว่าคุณจะถอด Title ที่คุณตั้งไว้ออก"""
MainMenu_Shop_Window_Title#0,"""ข้อมูล Shop"""
MainMenu_Room_Password#0,"""<pict ba_roomkey><pict 4space>การตั้งค่า Room Matching/Photography"""
WeaponCamo_Label_RemoveAll#0,"""ถอดออกทั้งหมด"""
MainMenu_PartyMember_Recruitment#0,"""<pict ba_partysearch><pict 4space>ค้นหา Party ที่กำลังรับสมัคร"""
PartyMember_Recruitment_Label1#0,"""ชื่อตัวละครผู้สมัคร"""
PartyMember_Recruitment_Label2#0,"""Class"""
PartyMember_Recruitment_Label3#0,"""ค้นหา Party ที่กำลังรับสมัคร"""
PartyMember_Recruitment_Label4#0,"""ดูทั้งหมด"""
PartyMember_Recruitment_Label5#0,"""เข้าร่วม Party ล้มเหลว: ไม่สามารถย้ายไปยังพื้นที่ได้"""
PartyMember_Recruitment_Label_1#0,"""ข้อมูลการรับสมัครสมาชิก Party"""
PartyMember_Recruitment_Label_2#0,"""เป้าหมาย"""
PartyMember_Recruitment_Label_3#0,"""คอมเมนต์"""
PartyMember_Recruitment_Label_4#0,"""สมาชิก Party"""
PartyMember_Recruitment_Label_5#0,"""Power Level ขั้นต่ำ"""
PartyMember_Recruitment_Label_6#0,"""Level ขั้นต่ำ"""
PartyMember_Recruitment_Label_7#0,"""$(0)"""
PartyMember_Recruitment_Label_8#0,"""พื้นที่เป้าหมาย"""
PartyMember_Recruitment_Label_9#0,"""[Rank. $(0)]"""
PartyMember_Recruitment_Label_10#0,"""ค้นหา"""
PartyMember_Recruitment_Label_11#0,"""เลือก Party อัตโนมัติ"""
PartyMember_Recruitment_Label_12#0,"""เข้าร่วม Party ที่เลือกอัตโนมัติ"""
PartyMember_Recruitment_Label_13#0,"""ระบบจะเลือกและเข้าร่วม Party ตามเป้าหมายของคุณโดยอัตโนมัติ ต้องการดำเนินการต่อหรือไม่?<br><br><yellow>※คุณจะถูกย้ายไปยัง Room ที่ Party นั้นอยู่<c><br><yellow>※คุณจะออกจาก Party ปัจจุบันเพื่อเข้าร่วม Party ใหม่<c>"""
PartyMember_Recruitment_Label_14#0,"""ไม่พบ Party ที่ตรงกับเงื่อนไข"""
MainMenu_System_ACTitle#0,"""รายละเอียด AC"""
MainMenu_System_SGTitle#0,"""รายละเอียด SG"""
MainMenu_System_NAC#0,"""AC (PC, Switch)"""
MainMenu_System_PSAC#0,"""AC (PlayStation)"""
MainMenu_System_SAC#0,"""AC (ทั้งหมด)"""
ArksCacheMessage#0,"""/ $(0) <pict Arcscash>"""
Category_Item_Guide#0,"""ใช้ปุ่ม \""สลับหน้าต่าง\"" เพื่อเปลี่ยนหน้าต่างที่คุณกำลังควบคุมอยู่"""
SubMenu_SortInitialize_Title1#0,"""ยืนยันการรีเซ็ต"""
SubMenu_SortInitialize_Text1#0,"""คุณต้องการรีเซ็ตลำดับของไอเทมในเมนู $(0) หรือไม่?"""
SubMenu_Error_Text1#0,"""ไม่สามารถบันทึกลำดับเมนูได้"""
SubMenu_Error_Text2#0,"""โหลดลำดับไอเทมสำหรับเมนู $(0) ล้มเหลว<br>ระบบจะโหลดลำดับเริ่มต้นแทน"""
MainMenu_Ranking_Info#0,"""<pict ba_ranking><pict 4space>ARKS Records"""
SubMenu_Ranking_Info#0,"""ARKS Records"""
MainMenu_Ranking_Info_Weekly#0,"""บันทึกกิจกรรม At-Random"""
MainMenu_Ranking_Info_TeamTask#0,"""Team Task Records"""
Loading_Banner_Guide#0,"""ดูรายละเอียด: <%NextTabDetails>"""
MainMenu_TeamMember_Recruitment#0,"""<pict ba_teamsearch><pict 4space>ค้นหา Teams ที่กำลังรับสมัครสมาชิก"""
Weapon_CoordinateX#0,"""(X: $(0))"""
Weapon_CoordinateY#0,"""(Y: $(0))"""
Weapon_CoordinateZ#0,"""(Z: $(0))"""
MainMenu_Quest_BoxGacha#0,"""<pict ba_boxg><pict 4space>Reward Box"""
MainMenu_Quest_BoxGacha_Close#0,"""ขณะนี้ไม่มี Reward Box ให้ใช้งาน"""
MainMenu_Quest_BoxGacha_Second_Guide#0,"""ใช้เหรียญรางวัล (Medals) เพื่อรับไอเทม คุณสามารถรับเหรียญรางวัลได้จากการเคลียร์ Tasks ที่กำหนด"""
Category_ArsenalModuleCounter#0,"""M.A.R.S. Palette"""
Category_ArsenalModulePalette#0,"""<pict ba_asemo><pict 4space>M.A.R.S. Palette"""
RecommendedContent_TltleText1#0,"""คอนเทนต์แนะนำ"""
RecommendedContent_Guide1#0,"""<%Exception2><pict 4space> เพื่อเข้าร่วม"""
Confirm_Title#0,"""ยืนยันการย้าย Ship"""
