CorrectionAssignMapTitle#0,"""การกู้คืนการตั้งค่าปุ่ม"""
GraphicsPreset_choice_6#0,"""6: สูงสุด"""
GraphicsPreset_choice_1_CS#0,"""1: เน้นเฟรมเรต"""
GraphicsPreset_choice_2_CS#0,"""2: สมดุล"""
GraphicsPreset_choice_3_CS#0,"""3: เน้นคุณภาพกราฟิก"""
LogoutGuide_Title#0,"""กำลังปรับใช้การตั้งค่า"""
LogoutGuide_Message#0,"""การตั้งค่าบางส่วนจะ<br>มีผลในการล็อกอินครั้งถัดไป<br><br>คุณต้องการล็อกเอาต์ตอนนี้เลยหรือไม่?"""
LogoutGuide_Message_CantLogout#0,"""การตั้งค่าบางส่วนจะ<br>มีผลในการล็อกอินครั้งถัดไป"""
MenuTreeBasic#0,"""ตั้งค่าพื้นฐาน"""
MenuTreeDirection#0,"""ตั้งค่าเอฟเฟกต์ภาพ"""
MenuTreeDraw#0,"""ตั้งค่าวิดีโอ"""
MenuTreeSound#0,"""ตั้งค่าเสียง"""
MenuTreeControl#0,"""ตั้งค่าการควบคุม"""
MenuTreeCommunication#0,"""การสื่อสาร"""
MenuTreeSystem#0,"""ระบบ"""
MenuButtonBasic#0,"""ตั้งค่าพื้นฐาน"""
MenuButtonNotice#0,"""ตั้งค่าการแจ้งเตือน"""
MenuButtonCamera#0,"""ตั้งค่ามุมกล้อง"""
MenuButtonCamera_v#0,"""ตั้งค่ามุมกล้อง"""
MenuButtonShoot#0,"""ตั้งค่าสกรีนช็อต"""
MenuButtonChat#0,"""ตั้งค่าแชท"""
MenuButtonDirection#0,"""ตั้งค่าเอฟเฟกต์ภาพ"""
MenuButtonDrawFunction#0,"""ฟีเจอร์การแสดงผลภาพ"""
MenuButtonDrawFilter#0,"""ฟิลเตอร์หน้าจอ <pict Arcscash>"""
MenuButtonDrawShadow#0,"""ตั้งค่าเงา"""
MenuButtonDrawDisplay#0,"""ตั้งค่าการแสดงผล"""
MenuButtonSound#0,"""ตั้งค่าเสียง"""
MenuButtonOperationType#0,"""อุปกรณ์ควบคุมหลัก"""
MenuButtonActionType#0,"""เลือกรูปแบบการควบคุม"""
MenuButtonSndVolume#0,"""ระดับเสียง"""
MenuButtonSndPlay#0,"""ตั้งค่าการเล่นเสียง"""
MenuButtonCtrl#0,"""ตั้งค่าการควบคุม"""
MenuButtonWindow#0,"""รีเซ็ตหน้าต่าง"""
MenuButtonSystem#0,"""ระบบ"""
MenuButtonReset#0,"""รีเซ็ตทั้งหมด"""
MenuButtonExit#0,"""ยกเลิกและออก"""
MenuButtonExitWithSave#0,"""บันทึกและออก"""
ThreeChoiceMenuTitle#0,"""ยืนยันการออก"""
ThreeChoiceMenuMessageApply#0,"""หน้าต่างการตั้งค่าจะถูกปิดลง ต้องการดำเนินการต่อหรือไม่?<br>"""
ThreeChoiceMenuButtonExit#0,"""ยกเลิกและออก"""
ThreeChoiceMenuButtonExitWithSave#0,"""บันทึกและออก"""
ThreeChoiceMenuButtonCancel#0,"""ยกเลิก"""
ConfirmTitleInit#0,"""รีเซ็ตการตั้งค่า"""
ConfirmMessageInit#0,"""การตั้งค่าทั้งหมดจะถูกรีเซ็ต<br>คุณแน่ใจหรือไม่?"""
ConfirmTitle#0,"""ยืนยันการออก"""
ConfirmMessageApply#0,"""คุณแน่ใจหรือไม่ที่จะบันทึกการตั้งค่าเหล่านี้?"""
ConfirmMessageDisapply#0,"""คุณแน่ใจหรือไม่ที่จะละทิ้งการเปลี่ยนแปลง?"""
ConfirmButtonApply#0,"""ออกและบันทึก"""
ConfirmButtonDisapply#0,"""ออกและละทิ้ง"""
ConfirmButtonCancel#0,"""กลับไปที่การตั้งค่า"""
BasicTextSmutFilter#0,"""ตั้งค่าตัวกรองข้อความ"""
VitaCtrlTextSwapLR#0,"""เปลี่ยนฟังก์ชัน L/R (ปิดใช้งานหากตั้งค่าเอง)"""
VitaCtrlTextSwapStartSelect#0,"""เปลี่ยนฟังก์ชัน START/SELECT (ปิดใช้งานหากตั้งค่าเอง)"""
VitaCtrlTextNormalCtrlType#0,"""มุมกล้องแบบปกติ"""
VitaCtrlTextShoulderCtrlType#0,"""มุมกล้องแบบบุคคลที่สาม"""
VitaCtrlTextSavePartySetting#0,"""บันทึกการตั้งค่าปาร์ตี้"""
VitaCtrlTextLockonChange#0,"""เปลี่ยนเป้าหมาย Lock-On โดยใช้ <%RStick>"""
VitaCtrlTextNavi#0,"""การแสดงไอคอนนำทาง"""
MltPtMatchingButton#0,"""ตั้งค่าตำแหน่งเริ่มต้นของเคอร์เซอร์เมื่อเลือกระหว่างการจับคู่แบบบล็อกเดียวกันและหลายบล็อก<br>※ยกเว้นบางเควสต์"""
ConfirmTitleWindowInit#0,"""ยืนยันการรีเซ็ตหน้าต่าง"""
ConfirmMessageWindowInit#0,"""หน้าต่างทั้งหมดจะถูกรีเซ็ตกลับไปยังตำแหน่งและขนาดเริ่มต้น<br>คุณแน่ใจหรือไม่ที่จะดำเนินการต่อ?"""
ConfirmMessageWindowInitEnd#0,"""รีเซ็ตหน้าต่างทั้งหมดไปยังตำแหน่งเริ่มต้นแล้ว"""
WindowTitleInitText#0,"""ตั้งค่าการรีเซ็ตหน้าต่าง"""
WindowInitHint#0,"""รีเซ็ตขนาดและตำแหน่งของหน้าต่างทั้งหมด"""
WindowRadioButtonInitText#0,"""รีเซ็ตหน้าต่างไปยังตำแหน่งเริ่มต้น"""
EstheTitleText#0,"""การเลือกทรงผม/ชิ้นส่วนหัว/เครื่องประดับ"""
EstheHint#0,"""เลือกรูปแบบของหน้าต่างที่จะใช้สำหรับ<br>ทรงผม, ชิ้นส่วนหัว และเครื่องประดับ<br>ในการสร้างตัวละครและ Salon"""
EstheRadioButtonText1#0,"""หน้าต่างขนาดเล็กที่แสดงเครื่องประดับทั้งหมด"""
EstheRadioButtonText2#0,"""หน้าต่างขนาดใหญ่ที่มีการแบ่งแท็บ"""
CtrlKeyboardTitle#0,"""ตั้งค่าคีย์บอร์ด"""
CtrlTabTitleNView#0,"""แอ็กชัน 1"""
CtrlTabTitleZView#0,"""แอ็กชัน 2"""
CtrlTabTitleWindow#0,"""หน้าต่าง"""
CtrlTabTitleOther#0,"""อื่นๆ"""
CtrlTabTitleShortcut#0,"""คีย์ลัด"""
CtrlTabTitleAction#0,"""แอ็กชัน"""
CtrlTabTitleLobbyAction#0,"""Lobby Actions"""
CtrlTabTitleBasicSet#0,"""ตั้งค่าพื้นฐาน"""
CtrlMainCtgNameNView#0,"""ตั้งค่ามุมมองปกติ"""
CtrlMainCtgNameZView#0,"""ตั้งค่ามุมมอง OTS"""
CtrlMainCtgNameWindow#0,"""ตั้งค่าหน้าต่าง"""
CtrlMainCtgNameOther#0,"""ตั้งค่าอื่นๆ"""
CtrlMainCtgNameShortcut#0,"""ตั้งค่าคีย์ลัด"""
CtrlMainCtgNameAction#0,"""ตั้งค่าแอ็กชัน"""
CtrlMainCtgNameLobbyAction#0,"""ตั้งค่า Lobby Action"""
CtrlSubCtgNameViewMove#0,"""การเคลื่อนที่ของตัวละคร"""
CtrlSubCtgNameViewCamera#0,"""เปลี่ยนระยะมุมกล้อง"""
CtrlSubCtgNameViewAction#0,"""Action"""
CtrlSubCtgNameViewActionSupport#0,"""ตัวช่วยแอ็กชัน"""
CtrlSubCtgNameViewMenu#0,"""เมนู"""
CtrlSubCtgNameViewPalette#0,"""สลับ Main Palette"""
CtrlSubCtgNameViewChat#0,"""แชท"""
CtrlSubCtgNameViewSubPalette#0,"""ใช้งาน Subpalette"""
CtrlSubCtgNameViewMap#0,"""แสดงแผนที่"""
CtrlSubCtgNameWindowBasic#0,"""ยืนยัน/ยกเลิก"""
CtrlSubCtgNameWindowChat#0,"""แชท"""
CtrlSubCtgNameWindowPage#0,"""เปลี่ยนหน้า"""
CtrlSubCtgNameWindowTab#0,"""เปลี่ยนแท็บ"""
CtrlSubCtgNameWindowDetailTab#0,"""เปลี่ยนแท็บรายละเอียด"""
CtrlSubCtgNameWindowCtrlWindow#0,"""เปลี่ยนการตั้งค่าหน้าต่าง"""
CtrlSubCtgNameOtherShortcut#0,"""คีย์ลัด"""
CtrlSubCtgNameOtherShortcutWord#0,"""ข้อความลัด"""
CtrlSubCtgNameOtherMainPalette#0,"""เปลี่ยน Main Palette โดยตรง"""
CtrlSubCtgNameOtherSubPalette#0,"""ใช้งาน Subpalette"""
CtrlSubCtgNameCtrlCtrl#0,"""ตั้งค่าคีย์ลัด"""
CtrlSubCtgNameCtrlWindow#0,"""ตั้งค่าคีย์ลัดหน้าต่าง"""
CtrlSubCtgNameBasic#0,"""ตั้งค่าพื้นฐาน"""
CtrlSubCtgNameAssist#0,"""ตั้งค่าตัวช่วย"""
CtrlSubCtgNameLobbyAction#0,"""ตั้งค่า Lobby Action Key"""
CtrlSubCtgNameActionMenu#0,"""แอ็กชัน/เปิดเมนู"""
CtrlPresetNameRNViewRcm#0,"""มุมมองปกติ (ถนัดขวา)"""
CtrlPresetNameRZViewRcm#0,"""มุมมอง OTS (ถนัดขวา)"""
CtrlPresetNameRNViewKbd#0,"""คีย์บอร์ดแบบปกติ (ถนัดขวา)"""
CtrlPresetNameRZViewKbd#0,"""คีย์บอร์ดแบบ OTS (ถนัดขวา)"""
CtrlPresetNameLNViewRcm#0,"""มุมมองปกติ (ถนัดซ้าย)"""
CtrlPresetNameLZViewRcm#0,"""มุมมอง OTS (ถนัดซ้าย)"""
CtrlPresetNameLNViewKbd#0,"""คีย์บอร์ดแบบปกติ (ถนัดซ้าย)"""
CtrlPresetNameLZViewKbd#0,"""คีย์บอร์ดแบบ OTS (ถนัดซ้าย)"""
CtrlPresetNameRcm1#0,"""มาตรฐาน 1"""
CtrlPresetNameRcm2#0,"""มาตรฐาน 2"""
CtrlPresetNameNViewRcm1#0,"""มุมมองปกติมาตรฐาน 1"""
CtrlPresetNameNViewRcm2#0,"""มุมมองปกติมาตรฐาน 1"""
CtrlPresetNameZViewRcm1#0,"""มุมมอง OTS มาตรฐาน 1"""
CtrlPresetNameZViewRcm2#0,"""มุมมอง OTS มาตรฐาน 2"""
CtrlPresetNameRRcm#0,"""แนะนำ (ถนัดขวา)"""
CtrlPresetNameLRcm#0,"""แนะนำ (ถนัดซ้าย)"""
CtrlPresetNameCutom#0,"""กำหนดเอง"""
CtrlPresetNameRcm#0,"""แนะนำ"""
CtrlAssignNameMouseL#0,"""คลิกซ้าย"""
CtrlAssignNameMouseR#0,"""คลิกขวา"""
CtrlAssignNameMouseM#0,"""คลิกเมาส์กลาง"""
CtrlAssignNameMouseWheel#0,"""ลูกกลิ้งเมาส์"""
CtrlAssignNameMouseX1#0,"""ปุ่มข้าง (X1)"""
CtrlAssignNameMouseX2#0,"""ปุ่มข้าง (X2)"""
CtrlFuncNameNone#0,"""ไม่มี"""
CtrlFuncNameMoveForward#0,"""เคลื่อนที่: ไปข้างหน้า"""
CtrlFuncNameMoveRight#0,"""เคลื่อนที่: ขวา"""
CtrlFuncNameMoveLeft#0,"""เคลื่อนที่: ซ้าย"""
CtrlFuncNameMoveBack#0,"""เคลื่อนที่: ถอยหลัง"""
CtrlFuncNameNormalAttack#0,"""โจมตีปกติ"""
CtrlFuncNamePhotonArts#0,"""PA/Technique"""
CtrlFuncNameAvoid#0,"""หลบหลีก"""
CtrlFuncNameJump#0,"""กระโดด"""
CtrlFuncNameAccess#0,"""โต้ตอบ"""
CtrlFuncNameWeponAction#0,"""Weapon Action"""
CtrlFuncNameLockon#0,"""Lock-On"""
CtrlFuncNameLockonNext#0,"""สลับเป้าหมาย"""
CtrlFuncNameChangeView#0,"""เปลี่ยนมุมมอง"""
CtrlFuncNameCameraDistance#0,"""เปลี่ยนระยะมุมกล้อง"""
CtrlFuncNameCameraSelect#0,"""เลือกมุมกล้อง"""
CtrlFuncNameCameraLightSetting#0,"""ตั้งค่าแสงไฟกำหนดเอง"""
CtrlFuncNameCameraMoveUD#0,"""เลื่อนกล้องขึ้น/ลง"""
CtrlFuncNameAutoRun#0,"""วิ่งอัตโนมัติ"""
CtrlFuncNameRefuseFollowRun#0,"""ปิดไม่ให้ผู้อื่นวิ่งตามอัตโนมัติ"""
CtrlFuncNameOpenMainMenu#0,"""เปิดเมนูหลัก"""
CtrlFuncNameOpenSelectMenu#0,"""เปิด Quick Menu"""
CtrlFuncNameOpenEquip#0,"""เปิดอุปกรณ์สวมใส่"""
CtrlFuncNameOpenPlayerList#0,"""ตัวละครบริเวณใกล้เคียง"""
CtrlFuncNameMainPaletteForward#0,"""Main Palette ถัดไป"""
CtrlFuncNameMainPaletteBack#0,"""Main Palette ก่อนหน้า"""
CtrlFuncNameMainPaletteA#0,"""แอ็กชัน 1"""
CtrlFuncNameMainPaletteB#0,"""แอ็กชัน 2"""
CtrlFuncNameMainPaletteC#0,"""แอ็กชัน 3"""
CtrlFuncNameBackPallete#0,"""สลับไป Rear Palette"""
CtrlFuncNameMainPaletteUp#0,"""Weapon Palette ล่าง"""
CtrlFuncNameMainPaletteDown#0,"""Weapon Palette บน"""
CtrlFuncNameStartChat#0,"""เริ่มแชท"""
CtrlFuncNameStartChatPublic#0,"""เริ่มแชทสาธารณะ"""
CtrlFuncNameStartChatParty#0,"""เริ่มแชทปาร์ตี้"""
CtrlFuncNameStartChatGuild#0,"""เริ่มแชททีม"""
CtrlFuncNameStartChatWhisper#0,"""เริ่มแชทกระซิบ"""
CtrlFuncNameSubpaletteChange#0,"""เลื่อนเคอร์เซอร์ Subpalette"""
CtrlFuncNameSubpalette#0,"""ใช้งาน Subpalette"""
CtrlFuncNameSubpaletteForward#0,"""Subpalette ถัดไป"""
CtrlFuncNameSubpaletteLeft#0,"""เคอร์เซอร์ Subpalette ซ้าย"""
CtrlFuncNameSubpaletteRight#0,"""เคอร์เซอร์ Subpalette ขวา"""
CtrlFuncNameCameraNear#0,"""ซูมเข้าใกล้ตัวละคร"""
CtrlFuncNameCameraFar#0,"""ซูมออกห่างตัวละคร"""
CtrlFuncNameCameraUp#0,"""เลื่อนขึ้น"""
CtrlFuncNameCameraDown#0,"""เลื่อนลง"""
CtrlFuncNameCameraNext#0,"""เลือกมุมกล้องถัดไป"""
CtrlFuncNameCameraPrev#0,"""เลือกมุมกล้องก่อนหน้า"""
CtrlFuncNameUseCameraLight1#0,"""ใช้การตั้งค่าแสง 1"""
CtrlFuncNameUseCameraLight2#0,"""ใช้การตั้งค่าแสง 2"""
CtrlFuncNameUseCameraLight3#0,"""ใช้การตั้งค่าแสง 3"""
CtrlFuncNameUseDeafultCameraLight#0,"""ใช้ค่าเริ่มต้น"""
CtrlFuncNameScreenShoot#0,"""ถ่ายสกรีนช็อต"""
CtrlFuncNameMovie#0,"""บันทึกวิดีโอ"""
CtrlFuncNameDecide#0,"""ยืนยัน"""
CtrlFuncNameCancel#0,"""ยกเลิก"""
CtrlFuncNameChangeMouseMode#0,"""สลับโหมดเมาส์"""
CtrlFuncNameAllWindowClose#0,"""ปิดเมนูหลัก"""
CtrlFuncNameMultiSelect#0,"""เลือกหลายรายการ"""
CtrlFuncNameFunction#0,"""ฟังก์ชันเสริม"""
CtrlFuncNameMove#0,"""สลับหน้าต่างย่อย"""
CtrlFuncNamePageForward#0,"""หน้าถัดไป"""
CtrlFuncNamePageBack#0,"""หน้าก่อนหน้า"""
CtrlFuncNameTabForward#0,"""แท็บถัดไป"""
CtrlFuncNameTabBack#0,"""แท็บก่อนหน้า"""
CtrlFuncNameWindowTabForward#0,"""แท็บหน้าต่างถัดไป"""
CtrlFuncNameWindowTabBack#0,"""แท็บหน้าต่างก่อนหน้า"""
CtrlFuncNameChangeWindow#0,"""เปลี่ยนการตั้งค่าหน้าต่าง"""
CtrlFuncNameCtrlTabForward#0,"""หน้าต่างแอ็กชันถัดไป"""
CtrlFuncNameCtrlTabBack#0,"""หน้าต่างแอ็กชันก่อนหน้า"""
CtrlFuncNameCtrlException#0,"""คำสั่งพิเศษ"""
CtrlFuncNameCtrlException02#0,"""คำสั่งพิเศษ 2"""
CtrlFuncNameStctWord#0,"""ใช้ข้อความลัด"""
CtrlFuncNameChangeToMainPalette#0,"""สลับ Palette"""
CtrlFuncNameChangeRadarMap#0,"""เปลี่ยนโหมดเรดาร์"""
CtrlFuncNameChangeAreaMap#0,"""แสดง/ซ่อน แผนที่ภูมิภาค/เมือง"""
CtrlFuncNameOpenItemPack#0,"""เปิดช่องเก็บของ"""
CtrlFuncNameOpenCustomize#0,"""เปิดเมนูปรับแต่ง"""
CtrlFuncNameOpenMag#0,"""เปิดเมนู Mag"""
CtrlFuncNameOpenPet#0,"""สัตว์เลี้ยง"""
CtrlFuncNameOpenEventItem#0,"""ไอเทมอีเวนต์"""
CtrlFuncNameOpenEquipWeapon#0,"""สวมใส่ อาวุธ"""
CtrlFuncNameOpenEquipArmor#0,"""สวมใส่ ชุดเกราะ"""
CtrlFuncNameOpenSubpalette#0,"""แก้ไขช่องสกิล"""
CtrlFuncNameOpenFriend#0,"""เปิดรายชื่อเพื่อน"""
CtrlFuncNameOpenGuild#0,"""คำสั่งทีม"""
CtrlFuncNameOpenParty#0,"""คำสั่งปาร์ตี้"""
CtrlFuncNameOpenMail#0,"""เปิดจดหมาย"""
CtrlFuncNameOpenNearCharacter#0,"""ตัวละครบริเวณใกล้เคียง"""
CtrlFuncNameOpenCharaInfo#0,"""เปิดข้อมูลตัวละคร"""
CtrlFuncNameOpenLicense#0,"""เปิดรายชื่อฉายา"""
CtrlFuncNameOpenMyMenu#0,"""Quick Menu"""
CtrlFuncNameOpenCommunicationLog#0,"""ประวัติการสื่อสาร"""
CtrlFuncNameOpenProfile#0,"""ข้อมูล ARKS Card"""
CtrlFuncNameOpenLibrary#0,"""สารานุกรม"""
CtrlFuncNameOpenMutterBoard#0,"""เปิด Story Board [EP4]"""
CtrlFuncNameOpenClientOrder#0,"""เปิด Client Order"""
CtrlFuncNameOpenQuestInfo#0,"""เปิดข้อมูลเควสต์"""
CtrlFuncNameOpenSymbolArt#0,"""Symbol Arts"""
CtrlFuncNameOpenMacro#0,"""ตั้งค่าแชท"""
CtrlFuncNameOpenConfig#0,"""การตั้งค่า"""
CtrlFuncNameOpenPayShop#0,"""เปิด AC Shop"""
CtrlFuncNameOpenACGacha#0,"""สุ่ม Scratch"""
CtrlFuncNameOpenPayLog#0,"""ประวัติการซื้อ"""
CtrlFuncNameOpenRentalLimit#0,"""วันหมดอายุเช่า"""
CtrlFuncNameOpenLogOut#0,"""เปิดเมนูล็อกเอาต์"""
CtrlFuncNameOpenBingo#0,"""ARKS Bingo"""
CtrlFuncNameOpenInformation#0,"""ข้อมูลข่าวสาร"""
CtrlFuncNameOpenArksRoad#0,"""ARKS Road"""
CtrlFuncNameOpenCraftAchievement#0,"""ความสำเร็จการคราฟต์"""
CtrlFuncNameOpenShipBattle#0,"""ARKS Ship Grand Prix"""
CtrlFuncNameOpenRecycle#0,"""Recycle Shop"""
CtrlFuncNameOpenFashion#0,"""ปรับแต่งแฟชั่น"""
CtrlFuncNameOpenGatStatus#0,"""สถานะ Gathering"""
CtrlFuncNameOpenGatAchieve#0,"""ความสำเร็จ Gathering"""
CtrlFuncNameOpenEquipNote#0,"""Collection File"""
CtrlFuncNameOpenBuySG#0,"""ซื้อ Star Gem"""
CtrlFuncNameOpenPokaRecord#0,"""รายละเอียดสถิติ"""
CtrlFuncNameOpenPokaRankMatch#0,"""รายละเอียด Battle Ranking"""
CtrlFuncNameOpenPokaRankMatch_Switch#0,"""รายละเอียด Battle Ranking (Cloud)"""
CtrlFuncNameOpenFashionCat#0,"""หนังสือแฟชั่น"""
CtrlFuncNameOpenArksLeague#0,"""ARKS League"""
CtrlFuncNameOpenBasnetContentInfo#0,"""ข้อมูล Buster Quest"""
CtrlFuncNameOpenPolluteEdit#0,"""Dark Blast"""
CtrlFuncNameOpenSgShop#0,"""SG Shop"""
CtrlFuncNameOpenArksContract#0,"""ARKS Missions"""
CtrlFuncNameOpenWebLink#0,"""อีเวนต์เชื่อมโยงเว็บไซต์"""
CtrlFuncNameOpenWorldmap#0,"""แผนที่โลก"""
CtrlFuncNameMuteVoiceChat#0,"""เปิด/ปิดไมโครโฟน"""
CtrlFuncNameWinShortcut#0,"""คีย์ลัดหน้าต่าง"""
CtrlFuncNameWeaponComouflage#0,"""Weapon Camo"""
CtrlFuncNameWeaponPosition#0,"""ปรับตำแหน่ง"""
CtrlFuncNamePlayLog#0,"""สถิติการเล่น"""
CtrlFuncNameRebops#0,"""เควสต์"""
CtrlFuncNameArksSearch#0,"""ค้นหา ARKS"""
CtrlFuncNameOpenChatStamp#0,"""Stamps"""
CtrlFuncNameOpenKeyConfig#0,"""ตั้งค่าคอนฟิก"""
CtrlFuncNameRoomPassword#0,"""ตั้งรหัสผ่านจับคู่/ถ่ายภาพ"""
CtrlFuncNamePlaceObject#0,"""วาง Portable Hologram"""
CtrlFuncNameListObject#0,"""Portable Hologram บริเวณใกล้เคียง"""
CtrlFuncNameListSelfyMode#0,"""โหมดถ่ายภาพแบบง่าย"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
