MenuTitle#0,"""ร้านแลกเปลี่ยน"""
MenuTitleSea#0,"""ร้านแลกเปลี่ยนครบรอบ 5 ปี - ครึ่งแรก (~9 ส.ค., 11:00 JST)"""
MenuTitleSea1#0,"""ร้านปีใหม่ 2018 - ครึ่งแรก (~7 ก.พ. 2018, 11:00 JST)"""
MenuTitle_FG#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~7 ธ.ค. 2016, 11:00 JST)"""
MenuTitle_es1#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~25 ต.ค., 11:00 JST)"""
MenuTitle_es2#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~20 ธ.ค., 11:00 JST)"""
MenuTitle_es3#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~6 มิ.ย., 11:00 JST)"""
MenuTitle_den1#0,"""ร้านแลกเปลี่ยนจำกัดเวลา (~6 ธ.ค., 11:00 JST)"""
MenuTitle_thanks#0,"""ร้านแลกเปลี่ยน Thanks Badge 2020"""
MenuTitle#1,"""วันหมดอายุการเช่า"""
RentalExpiration_Supplemental#0,"""หน้านี้ให้คุณดูวันหมดอายุของทุกสิ่งที่คุณเช่าไว้<br>คุณสามารถเช่าฟีเจอร์ได้โดยเลือกไอเทมที่เกี่ยวข้อง"""
MenuGuide#1,"""-"""
RestTitle#0,"""หมดอายุ"""
RestTimeTitle#0,"""หลังจาก """
RestMonth#0,"""$(0) เดือน """
RestDay#0,"""$(0) วัน """
RestTime#0,"""$(0) ชม. """
RestMinits#0,"""$(0) นาที """
RestSec#0,"""$(0) วินาที"""
TimeOver#0,"""หมดอายุแล้ว"""
ITEM00#0,"""Premium Set"""
ITEM01#0,"""ใบอนุญาตเทรด"""
ITEM02#0,"""My Room License"""
ITEM03#0,"""Shop License"""
ITEM04#0,"""ITEM04"""
ITEM05#0,"""ITEM05"""
ITEM06#0,"""ขยายขีดจำกัด Order"""
ITEM07#0,"""ขยายขีดจำกัด CC"""
ITEM08#0,"""Premium Stamps"""
ITEM09#0,"""ITEM09"""
ITEM10#0,"""ขาย Drop Items อัตโนมัติ"""
ITEM11#0,"""ITEM11"""
ITEM12#0,"""Rental C-Space 01"""
ITEM13#0,"""Rental C-Space 02"""
ITEM14#0,"""Rental C-Space 03"""
ITEM15#0,"""Rental C-Space 04"""
ITEM16#0,"""ITEM16"""
ITEM17#0,"""ITEM17"""
ITEM18#0,"""ITEM18"""
ITEM19#0,"""ITEM19"""
ITEM20#0,"""ITEM20"""
ITEM21#0,"""ITEM21"""
ITEM22#0,"""ITEM22"""
ITEM23#0,"""ITEM23"""
ITEM24#0,"""Expansion Storage 7"""
ITEM25#0,"""Expansion Storage 6"""
ITEM26#0,"""Material Storage <pict StarGem>"""
ITEM27#0,"""Expansion Storage 4"""
ITEM28#0,"""Expansion Storage 5"""
ITEM29#0,"""Expansion Storage 1 <pict StarGem>"""
ITEM30#0,"""Expansion Storage 2"""
ITEM31#0,"""Expansion Storage 3"""
TimesaleTitle#0,"""ลดราคาจำกัดเวลา!"""
MenuTitle#2,"""Sick Bay"""
MenuTitleCampship#0,"""Medical Terminal"""
MenuGuide#2,"""<c f0df60>ที่นี่คุณสามารถซื้อ Buff Drink ต่างๆ เพื่อเสริมความแข็งแกร่งใน Quest ถัดไปได้<c>"""
CategoryAtp#0,"""Attack Boost"""
CategoryDef#0,"""Defense Boost"""
CategoryHp#0,"""HP Boost"""
CategoryPp#0,"""PP Boost"""
CategoryRandom#0,"""Random Effect"""
BuyCheck#0,"""คุณแน่ใจหรือไม่ว่าต้องการซื้อ<br>$(0) ในราคา $(1) Meseta?<br><c f0df60>※หากคุณดื่มไปแล้ว ผลของเครื่องดื่มใหม่จะทับซ้อนกับผลเดิมที่มีอยู่<c>"""
ErrorDrinked#0,"""คุณไม่สามารถดื่มเพิ่มได้เพราะเครื่องดื่มปัจจุบันของคุณมีการเปิดใช้งาน \""Pause Boost Item Effects\""<br><br><yellow>※หากคุณดื่มโดยเปิดใช้งาน \""Pause Boost Item Effects\"" เมื่อเริ่ม Quest แล้ว คุณจะไม่สามารถดื่มเครื่องดื่มอื่นได้อีกจนกว่าจะจบ Quest<c>"""
ErrorNotMeseta#0,"""Meseta ไม่เพียงพอ"""
ErrorQuestFinished#0,"""Quest ปัจจุบันเสร็จสิ้นแล้ว<br>ไม่สามารถใช้เครื่องดื่มได้จนกว่าจะ<br>รับ Quest ใหม่"""
ErrorNotPremium#0,"""คุณไม่สามารถดื่มสิ่งนี้ได้เพราะคุณไม่มี Premium"""
ErrorOther#0,"""ไม่เกิดผลของเครื่องดื่ม<br><br>[No.2101]"""
DrinkEffectMessage#0,"""ได้รับผลเอฟเฟกต์ดังต่อไปนี้<br>(มีผลในระยะเวลาจำกัด,<br>หรือสำหรับ Quest ถัดไป)"""
DrinkEffectMessage_Premium#0,"""ได้รับ <yellow>Premium effect<c> ดังต่อไปนี้<br>(มีผลในระยะเวลาจำกัด,<br>หรือสำหรับ Quest ถัดไป)"""
CheckTitle#0,"""ยืนยันการซื้อเครื่องดื่ม"""
SubEffect#0,"""<space>"""
SubEffectPremium#0,"""<space>"""
DrinkMenu#0,"""เมนูเครื่องดื่ม"""
DrinkEffect#0,"""ผลของเครื่องดื่ม"""
Main#0,"""เอฟเฟกต์หลัก"""
Sub#0,"""เอฟเฟกต์เสริม"""
StopDrink#0,"""Pause Boost Item Effects"""
BuyCheck_SuspendWarning#0,"""คุณแน่ใจหรือไม่ว่าต้องการซื้อ<br>$(0) ในราคา $(1) Meseta?<br><br><c f0df60>※เนื่องจาก \""Pause Boost Item Effects\"" ทำงานอยู่ เวลาของเครื่องดื่มและไอเทมบูสต์ที่ใช้งานอยู่จะถูกหยุดไว้<c><br>※หากคุณดื่มไปแล้ว ผลของเครื่องดื่มใหม่จะทับซ้อนกับผลเดิมที่มีอยู่<br>※เมื่อคุณเริ่ม Quest คุณจะไม่สามารถดื่มได้อีก"""
ItemEffect_SuspendHint#0,"""การเลือก \""Pause Boost Item Effects\""<br>และดื่มเครื่องดื่มจะหยุดเวลา<br>และระงับผลของไอเทมบูสต์ชั่วคราว<br>ตราบเท่าที่ผลของเครื่องดื่มยังคงอยู่<br><br>หยุดเวลาไอเทมบูสต์ของคุณไว้หากจำเป็นต้อง<br>ใช้เวลาไปกับการ Gathering"""
ShopTitle#0,"""NetCafe Counter"""
MenuGuide#3,"""<c f0df60>ที่นี่คุณสามารถนำ Cafe Points ที่ได้จากร้าน Net Cafe มาแลก หรือซื้อสินค้าเฉพาะต่างๆ ด้วย Meseta ได้<c>"""
MenuGuide_v#0,"""<c f0df60>ที่นี่คุณสามารถใช้ 「Cafe Points」 ที่เพิ่มขึ้นระหว่างใช้บริการร้าน Net Cafe และใช้ 「Meseta」 ในการซื้อสินค้าได้<c>"""
PointGuide#0,"""<c f0df60>เลือกไอเทมที่คุณต้องการซื้อด้วย Cafe Points<c>"""
MesetaGuide#0,"""<c f0df60>[เฉพาะเมื่อเชื่อมต่อผ่าน NetCafe] เลือกไอเทมที่คุณต้องการซื้อ<c>"""
MenuTitle#3,"""เมนูหลัก"""
MenuPointShop#0,"""แลกเปลี่ยน Cafe Points เป็นไอเทม"""
MenuMesetaShop#0,"""ซื้อไอเทม (เฉพาะ NetCafe)"""
MenuExit#0,"""ออกจากเคาน์เตอร์"""
NetcafeInfoTitle#0,"""ข้อมูล NetCafe"""
NetcafeInfoShopName#0,"""ชื่อร้านค้า"""
CpDenomination#0,"""CP"""
CashTitle#0,"""Cafe Points ปัจจุบัน"""
TotalCashTitle#0,"""Cafe Points ทั้งหมด"""
PaperDoll#0,"""ดูตัวอย่าง"""
SwapTitle#0,"""ยืนยันการซื้อ"""
BuyTitle#0,"""ยืนยันการซื้อ"""
BuyCheck#1,"""ไอเทมเหล่านี้มีราคา $(1) $(0)<br>ต้องการดำเนินการซื้อต่อหรือไม่?"""
CancelTitle#1,"""ยืนยันการยกเลิกการซื้อ"""
CancelMessage#1,"""การกระทำนี้จะยกเลิกการซื้อ ต้องการดำเนินการต่อหรือไม่?"""
CafePointInsufficient#0,"""Cafe Points ไม่เพียงพอ"""
MenuConnectTime#0,"""เวลา NetCafe"""
ConnectTimeTitle#0,"""เวลาเล่นปัจจุบัน"""
ConnectTimeMessage#0,"""■เวลา NetCafe ทั้งหมดของคุณ:<br>\u3000$(0)"""
NetCafeEventInfo#0,"""<br><br>■『$(1)』<br>\u3000เวลาเชื่อมต่อ: $(3) (รับรางวัลที่ $(2))<br>\u3000\u3000※ระยะเวลากิจกรรมจนถึง $(0)"""
ShopTitle#1,"""Recycle Shop"""
ShopTitle_k_m#0,"""Pyroxene Shop"""
MenuGuide#4,"""<c f0df60>คุณสามารถรับไอเทมต่างๆ ได้โดยการแลกเปลี่ยนไอเทมที่กำหนด หากแลกเปลี่ยนมากกว่าจำนวนที่ต้องการ คุณสามารถรับไอเทมตอบแทนได้หลายชิ้น<c>"""
MenuGuideItemSelect#0,"""<c f0df60>โปรดเลือกจำนวนไอเทมที่ต้องการแลกเปลี่ยน กด <c><%MultiSelect><c f0df60> เพื่อเลือกไอเทมหลายชิ้น<c>"""
NotingSetItem#0,"""คุณยังไม่ได้ตั้งค่าไอเทมเป้าหมาย"""
SuccessMessage#1,"""เสร็จสิ้น"""
FailedMessage#1,"""ล้มเหลว"""
FailedMessage2#1,"""การแลกเปลี่ยนล้มเหลว เนื่องจากอาจเกิน<br>ขีดจำกัดการซ้อนไอเทม หรือ Inventory ของคุณ<br>เต็มแล้ว"""
FailedMessage3#1,"""<yellow> จำเป็นต้องมี Premium เพื่อแลกเปลี่ยนไอเทมนี้"""
NotingTradeItem#0,"""ไอเทมไม่เพียงพอ"""
ChangeTitle#0,"""ยืนยัน"""
ChangeCheck#1,"""<c f0df60>$(0)<c> x$(1)<br>จะถูกแลกเปลี่ยนเป็นไอเทมที่เลือก<br>ต้องการดำเนินการต่อหรือไม่?<br><yellow>※เฉพาะไอเทมต่อไปนี้เท่านั้นที่จะถูกใช้งาน<c>"""
TargetItem#0,"""เป้าหมาย: $(0) x$(1)"""
TargetItem2#0,"""$(0) x$(1)"""
CancelTitle#2,"""ยกเลิกการแลกเปลี่ยน"""
CancelMessage#2,"""การกระทำนี้จะยกเลิกการแลกเปลี่ยน<br>ต้องการดำเนินการต่อหรือไม่?"""
InventoryList#0,"""รายการ Inventory"""
TargetItemInfo#0,"""ไอเทมเป้าหมาย"""
SwapList#0,"""รายการไอเทมที่จะแลกเปลี่ยน"""
SwapNum#0,"""จำนวนที่ต้องการแลกเปลี่ยน"""
NeedItem#0,"""ไอเทมที่คุณต้องการ"""
ChangeCheckVita#1,"""<c f0df60>$(0)<c> x$(1)<br>จะถูกแลกเปลี่ยนเป็นไอเทมที่เลือก<br>ต้องการดำเนินการต่อหรือไม่?<br><yellow>※เฉพาะไอเทมต่อไปนี้เท่านั้นที่จะถูกใช้งาน<c>"""
SelectItemVita#1,"""เลือกสิ่งที่นำมาแทนที่"""
SelectItemInputVita#1,"""โปรดใส่จำนวน"""
ItemErrorVita#0,"""ข้อผิดพลาดในการแลกเปลี่ยนไอเทม"""
ItemErrorMessageVita#0,"""มีการเลือกไอเทมครบตามจำนวนที่ต้องการแล้ว"""
PluralityMenuGuide#1,"""<c f0df60>โปรดเลือกร้านค้า<c>"""
Warehouse#1,"""เปิด Storage"""
ShopTitle_m#0,"""Spellstone Exchange Shop"""
ShopTitle_b01#0,"""Medal Exchange Shop"""
ShopTitle_k#0,"""Pyroxene Exchange Shop"""
ShopTitle_jig#0,"""Material Exchange Shop"""
ShopTitle_reo#0,"""Certificate Exchange Shop"""
ShopTitle_sea#0,"""Exchange Shop"""
ShopChallengeWeaponTitle#0,"""แลกเปลี่ยนอาวุธ"""
ShopTitle_sea01#0,"""Novel Series Exchange"""
ShopChallengeUnitTitle#0,"""แลกเปลี่ยน Units"""
ShopChallengePATECTitle#0,"""แลกเปลี่ยน PAs/Techs"""
ShopChallengeSkillTitle#0,"""แลกเปลี่ยน Skill Disks"""
ShopChallengeConsumeTitle#0,"""แลกเปลี่ยนไอเทมกดใช้"""
ShopChallengeATitle#0,"""แลกเปลี่ยนหินแดง"""
ShopChallengeBTitle#0,"""แลกเปลี่ยนหินฟ้า"""
ShopChallengeCTitle#0,"""แลกเปลี่ยนหินเขียว"""
ShopChallengeDTitle#0,"""แลกเปลี่ยนหินเหลือง"""
ShopChallengePATECTitle01#0,"""แลกเปลี่ยน Disks"""
MenuGuideWepSelect#0,"""<c f0df60>เลือกอาวุธตั้งต้น อาวุธที่ได้รับจะสืบทอด Special Abilities และคุณสมบัติอื่นๆ มาด้วย<c>"""
BaseSelect#0,"""เลือกอาวุธตั้งต้น"""
WepSelectTitle#0,"""เลือกอาวุธตั้งต้น"""
TaktCheckMessage#0,"""หากเลือก [Takt] เป็นอาวุธตั้งต้น หรืออาวุธที่เสร็จสมบูรณ์คือ [Takt] ตัว Special Abilities และ Attribute จะไม่ถูกนำมาปรับใช้ ต้องการดำเนินการต่อหรือไม่?"""
LimitExchange#0,"""จำนวนไอเทมของคุณเกินกำหนด"""
NoExchangeMessage#0,"""โปรดอัปเกรดไอเทมวัตถุดิบที่ต้องการให้ถึง +35 แล้วลองอีกครั้ง"""
ExchangeTitle#0,"""ยืนยันการแลกเปลี่ยนไอเทม"""
TargetItem3#0,"""$(0) <red>x$(1)<c>"""
TargetItem4#0,"""$(0)+$(1)"""
TargetItemMulti#0,"""แลกเปลี่ยนไอเทมหลายชิ้น"""
TargetItemEtc#0,"""$(0) """
PopupExchange#0,"""แลกเปลี่ยน"""
PopupSpecialFactor#0,"""ยืนยัน Special Ability Factor"""
PopupPotential#0,"""ยืนยัน Potential Ability"""
MenuTitleJig1#0,"""แลกเปลี่ยน Emblem และวัตถุดิบ"""
MenuTitleJig2#0,"""คืนวัตถุดิบ"""
MenuTitleJig3#0,"""แลกเปลี่ยน Crystal Fragment"""
MenuTitleJig4#0,"""แลกเปลี่ยน Genesis Weapon Camo"""
MenuTitleJig5#0,"""แลกเปลี่ยนอาวุธ Orbit"""
MenuTitleJig6#0,"""อัปเกรดซีรีส์ Ray"""
MenuTitleJig7#0,"""แลกเปลี่ยน Embodied Weapon Camo"""
MenuTitleJig8#0,"""อัปเกรดซีรีส์ Zeinesis"""
MenuTitleJig9#0,"""อัปเกรดซีรีส์ Earth"""
MenuTitleJig10#0,"""อัปเกรด Qliphad Series"""
MenuTitleJig11#0,"""อัปเกรด Evleda Series"""
MenuTitleJig12#0,"""อัปเกรด Cleasis Series"""
MenuTitleJig001#0,"""อัปเกรด Cleasis Series"""
MenuTitleJig002#0,"""อัปเกรด Evleda Series"""
MenuTitleJig003#0,"""อัปเกรด Earth Series"""
MenuTitleJig004#0,"""อัปเกรด Qliphad Series"""
MenuTitleJig005#0,"""อัปเกรด Zeinesis Series"""
MenuTitleJig006#0,"""อัปเกรด Ray Series"""
MenuTitleJig007#0,"""แลกเปลี่ยนไอเทมพื้นฐาน"""
MenuTitleJig008#0,"""แลกเปลี่ยน Weapon Camo"""
MenuTitleJig009#0,"""แลกเปลี่ยน Genesis Weapon Camo"""
MenuTitleJig010#0,"""แลกเปลี่ยน Embodied Weapon Camo"""
MenuTitleJig011#0,"""แลกเปลี่ยน Invade Series"""
MenuTitleJig012#0,"""แลกเปลี่ยน Austere Series"""
MenuTitleJig013#0,"""แลกเปลี่ยน Orbit Series"""
MenuTitleJig014#0,"""แลกเปลี่ยน Fahren และคืนค่าวัตถุดิบ"""
MenuTitleJig015#0,"""อัปเกรด Broken Series"""
MenuTitleJig016#0,"""อัปเกรด Val Series"""
MenuTitleJig017#0,"""เปลี่ยนหมวดหมู่ Atlas Series"""
MenuTitleJig018#0,"""อัปเกรด Nemesis Series"""
MenuTitleJig019#0,"""อัปเกรด Slave Series"""
MenuTitleJig020#0,"""แลกเปลี่ยน ★14 Conqueror's Crest"""
MenuTitleJig021#0,"""แลกเปลี่ยน Invade NT"""
MenuTitleJig022#0,"""อัปเกรด Demon Series"""
MenuTitleJig023#0,"""อัปเกรด Jutus Series"""
MenuTitleJig024#0,"""อัปเกรด Homura Series"""
MenuTitleJig025#0,"""แลกเปลี่ยน ★14 King's Crest"""
MenuTitleJig026#0,"""แลกเปลี่ยน Ares-NT Series"""
MenuTitleJig027#0,"""อัปเกรด Ceres Series"""
MenuTitleJig028#0,"""อัปเกรด Profound Xion Series"""
MenuTitleJig029#0,"""อัปเกรด Celestial Xion Series"""
MenuTitleJig030#0,"""เปลี่ยนหมวดหมู่ Lightstream Xion Series"""
MenuTitleJig031#0,"""อัปเกรด Atlas Series"""
MenuTitleJig032#0,"""เปลี่ยนหมวดหมู่ Ex Series"""
MenuTitleJig033#0,"""อัปเกรด Austere Series"""
MenuTitleJig034#0,"""แลกเปลี่ยน Profound Xion Series"""
MenuTitleJig035#0,"""แลกเปลี่ยน ★14 Hero Crest"""
MenuTitleJig036#0,"""อัปเกรด Evleda Series"""
MenuTitleJig037#0,"""เปลี่ยนหมวดหมู่ Liberate Series"""
MenuTitleJig038#0,"""เปลี่ยนหมวดหมู่ Cras Series"""
MenuTitleJig039#0,"""เปลี่ยนหมวดหมู่ Fluxio Series"""
MenuTitleJig01_01#0,"""Hero's Crest"""
MenuTitleJig01_02#0,"""King's Crest"""
MenuTitleJig01_03#0,"""Conqueror's Crest"""
MenuTitleJig01_04#0,"""Sage's Crest"""
MenuTitleJig02_01#0,"""<pict sw_icon>Sword"""
MenuTitleJig02_02#0,"""<pict wl_icon>Wired Lance"""
MenuTitleJig02_03#0,"""<pict pz_icon>Partizan"""
MenuTitleJig02_04#0,"""<pict td_icon>Twin Daggers"""
MenuTitleJig02_05#0,"""<pict ds_icon>Double Saber"""
MenuTitleJig02_06#0,"""<pict kn_icon>Knuckles"""
MenuTitleJig02_07#0,"""<pict bl_icon>Katana"""
MenuTitleJig02_08#0,"""<pict du_icon>Dual Blades"""
MenuTitleJig02_09#0,"""<pict gs_icon>Gunslash"""
MenuTitleJig03_01#0,"""<pict rf_icon>Assault Rifle"""
MenuTitleJig03_02#0,"""<pict gl_icon>Launcher"""
MenuTitleJig03_03#0,"""<pict ts_icon>Twin Machineguns"""
MenuTitleJig03_04#0,"""<pict co_icon>Bullet Bow"""
MenuTitleJig04_01#0,"""<pict rd_icon>Rod"""
MenuTitleJig04_02#0,"""<pict tr_icon>Talis"""
MenuTitleJig04_03#0,"""<pict wd_icon>Wand"""
MenuTitleJig04_04#0,"""<pict je_icon>Jet Boots"""
MenuTitleJig04_05#0,"""<pict tt_icon>Takt"""
MenuTitleJig05_01#0,"""<pict ab_icon>Rear"""
MenuTitleJig05_02#0,"""<pict ah_icon>Arms"""
MenuTitleJig05_03#0,"""<pict al_icon>Legs"""
MenuTitleJig06_01#0,"""Lightstream Xion"""
MenuTitleJig06_02#0,"""Atlas EX"""
MenuTitleJig06_03#0,"""Atlas"""
MenuTitleJig07#0,"""<pict qi_icon>Material Item"""
MenuTitleJig06_04#0,"""Ares-NT"""
MenuTitleReo001#0,"""แลกเปลี่ยน ★13 Certificate"""
MenuTitleReo002#0,"""แลกเปลี่ยน ★14 Certificate B"""
MenuTitleSea001#0,"""แลกเปลี่ยน Homura Series"""
MenuTitleSea003#0,"""แลกเปลี่ยน Novel Series"""
MenuTitleCollabo001#0,"""แลกเปลี่ยน Ceres Series"""
MenuTitleSea002#0,"""รับ Novel Series Certificate จากร้านค้า 7th Anniv. Shop"""
ChangeItemSettingNumTitle#0,"""ตั้งค่าจำนวนการแลกเปลี่ยน"""
ChangeItemSettingNumMessage#0,"""กรุณากำหนดจำนวนไอเทมที่คุณต้องการแลกเปลี่ยนในครั้งเดียว"""
ChangeItemSettingNumErrorTitle#0,"""ข้อผิดพลาดจำนวน"""
ChangeItemSettingNumErrorMessage#0,"""ไม่สามารถแลกเปลี่ยนได้ เนื่องจากเกินขีดจำกัดจำนวนที่ครอบครองได้"""
HandoverGammaMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>จะถูกแลกเปลี่ยนกับไอเทมที่เลือก<br><br><c fba646>สถานะต่อไปนี้จะถูกสืบทอดจากไอเทมหลัก:<c><br>「ระดับการตีบวก」 「ระดับการตีบวกสูงสุด」 「ธาตุและค่าธาตุ」<br>「ความสามารถพิเศษ」 「Photon Color」 「การลงทะเบียนเจ้าของ」<br><br>ดำเนินการต่อหรือไม่?<br><yellow>※ระดับ Extend จะไม่ถูกสืบทอด<c><br><yellow>※ไอเทมอื่นนอกจากที่ระบุด้านล่างจะไม่ถูกใช้ไป<c>"""
HandoverAddonMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>จะถูกแลกเปลี่ยนกับไอเทมที่เลือก<br><br><c fba646>สถานะต่อไปนี้จะถูกสืบทอดจากไอเทมหลัก:<c><br>「ระดับการตีบวก」 「ธาตุและค่าธาตุ」 「ความสามารถพิเศษ」<br>「Unit Skill」 「การติดตั้ง Timed Ability」<br>「Photon Color」 「การลงทะเบียนเจ้าของ」<br><br>ดำเนินการต่อหรือไม่?<br><yellow>※ไอเทมอื่นนอกจากที่ระบุด้านล่างจะไม่ถูกใช้ไป<c><br>"""
MenuGuide_Limit#0,"""<c f0df60>กรุณาเลือกไอเทมที่จะแลกเปลี่ยน (จำนวนการแลกเปลี่ยนมีการจำกัดต่อสัปดาห์ และจะรีเซ็ตทุก<utcdow>วันพุธ 4:00 น.</utcdow>)<c>"""
MenuGuideKey#0,"""<c f0df60>สามารถแลกเปลี่ยนได้เฉพาะไอเทมที่หมดอายุหลังจากวันที่ $(0) เดือน $(3) ปี $(4) เวลา $(1):$(2) เป็นต้นไปเท่านั้น<c>"""
NoPotentialErrorMessage#0,"""ไม่มี Potential Ability ที่สามารถแสดงได้"""
HandoverTactMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>จะถูกแลกเปลี่ยนกับไอเทมที่เลือก<br><br><c fba646>สถานะต่อไปนี้จะถูกสืบทอดจากไอเทมหลัก:<c><br>「ระดับการตีบวก」 「ระดับการตีบวกสูงสุด」<br>「Photon Color」 「การลงทะเบียนเจ้าของ」<br><br>ดำเนินการต่อหรือไม่?<br><yellow>※ไอเทมอื่นนอกจากที่ระบุด้านล่างจะไม่ถูกใช้ไป<c>"""
CategoryChangeTactMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>จะถูกแลกเปลี่ยนกับไอเทมที่เลือก<br><br><c fba646>สถานะต่อไปนี้จะถูกสืบทอดจากไอเทมหลัก:<c><br>「ระดับการตีบวก」 「ระดับการตีบวกสูงสุด」<br>「Photon Color」 「การลงทะเบียนเจ้าของ」<br><c ff4f3f>※「ธาตุและค่าธาตุ」 และ 「ความสามารถพิเศษ」 จะหายไป<c><br><br>ดำเนินการต่อหรือไม่?<br><yellow>※ไอเทมอื่นนอกจากที่ระบุด้านล่างจะไม่ถูกใช้ไป<c>"""
MenuTitleLimit#0,"""ร้านค้าแลกเปลี่ยนจำกัดเวลา"""
ShopTitle#2,"""ร้านค้า"""
ShopTitle_f#0,"""Culinary Shop"""
ShopTitle_r#0,"""Skill Ring Shop"""
Title#0,"""รายการสินค้า"""
MenuGuide#5,"""<c f0df60>กรุณาเลือกไอเทม คุณจำเป็นต้องใช้ Meseta และไอเทมเป้าหมายด้วย<c>"""
NotingSetItem#1,"""คุณยังไม่ได้ตั้งค่าไอเทมเป้าหมาย"""
SuccessMessage#2,"""ได้รับไอเทมแล้ว"""
FailedMessage#2,"""ไม่สามารถรับไอเทมได้<br>กรุณาลองใหม่อีกครั้งในภายหลัง"""
FailedMessage2#2,"""ไม่สามารถรับไอเทมได้เนื่องจาก<br>Inventory ของคุณเต็ม หรือคุณมี<br>จำนวนไอเทมที่คุณพยายามจะใส่<br>ถึงขีดจำกัดสูงสุดแล้ว"""
FailedMessage3#2,"""ในการรับสินค้านี้จำเป็นต้องมี<br><yellow>「Premium Set」<c>"""
NotingTradeItem#1,"""คุณมีไอเทมหรือ Meseta<br>ไม่เพียงพอตามที่ต้องการ"""
NotingTradeItem2#0,"""ไอเทมไม่เพียงพอ"""
NotingTradeItem3#0,"""Meseta ไม่เพียงพอ"""
LockErrorMessage#0,"""ไอเทมวัตถุดิบที่เลือกถูกล็อกไว้<br>และไม่สามารถใช้งานได้<br>กรุณาตรวจสอบสถานะการล็อกของไอเทม"""
ChangeTitle#1,"""การรับไอเทม"""
ChangeResultTitle#0,"""การรับไอเทม"""
ChangeErrorTitle#0,"""ข้อผิดพลาดในการรับไอเทม"""
ChangeCheck#2,"""<yellow>จ่ายด้วย Meseta เพื่อซื้อ<br>ไอเทมดังต่อไปนี้:<br>$(0)<c> x$(1)<br>ดำเนินการต่อหรือไม่?<br><br><yellow>Meseta ที่ต้องการ: $(2) (ที่มีอยู่: $(3))<c>"""
PluralityMenuGuide#2,"""<c f0df60>กรุณาเลือกร้านค้า<c>"""
Warehouse#2,"""เปิด Storage"""
ChangeItemSettingNumTitle#1,"""การเลือกจำนวน"""
ChangeItemSettingNumMessage#1,"""เลือกจำนวนไอเทมที่คุณต้องการ"""
ChangeItemSettingNumErrorTitle#1,"""ข้อผิดพลาดจำนวน"""
ChangeItemSettingNumErrorMessage#1,"""ไม่สามารถรับได้; Storage เต็มขีดจำกัดแล้ว"""
FormTitleRingL#0,"""L Ring Shop"""
FormTitleRingR#0,"""R Ring Shop"""
FormTitleRingMix#0,"""Combined Ring Shop"""
FormTitleFood#0,"""Culinary Shop"""
