ActiveStatus_Title#0,"""เปลี่ยนข้อความแสดงในรายชื่อเพื่อน"""
SelectMenuType_CommunicationMenu3#0,"""ปรับรูปแบบการแสดงเหนือหัวตัวละคร"""
SelectMenuType_CommunicationMenu4#0,"""ปรับแสดงสถานะออนไลน์"""
SelectMenuType_CommunicationMenu5#0,"""Short Log display ON/OFF"""
SelectMenuType_ExecuteMenu1#0,"""ถ่ายภาพ"""
VITA_SelectMenuType_ExecuteMenu1#0,"""ตั้งค่ากล้อง"""
SelectMenuType_Execute_Camera#0,"""เลือกกล้อง"""
SelectMenuType_ExecuteMenu2#0,"""ไปห้องส่วนตัว"""
SelectMenuType_ExecuteMenu3#0,"""ไปห้องส่วนตัว"""
SelectMenuType_QuestMenu1#0,"""คำสั่งกลยุทธ์NPC"""
SelectMenuType_QuestMenu2#0,"""สลับการแสดงมินิแม็พ"""
SelectMenuType_QuestMenu3#0,"""แสดงหรือซ่อนตารางแผนที่"""
SelectMenuType_CommunicationMenu6#0,"""ปักเสาเข้าร่วมปาร์ตี้หรือถอนออก"""
SelectMenuType_CommunicationMenu7#0,"""เปลี่ยนข้อความถึงรายชื่อเพื่อน"""
SelectMenuType_CommunicationMenu8#0,"""ผู้เล่นใกล้เคียง"""
SelectMenuType_CommunicationMenu9#0,"""รายชื่อเพื่อน"""
SelectMenuType_CommunicationMenu10#0,"""คำสั่งทีม"""
SelectMenuType_CommunicationMenu11#0,"""จดหมาย"""
SelectMenuType_CommunicationMenu12#0,"""ประวัติการเล่น"""
SelectMenuType_CommunicationMenu13#0,"""ภาพสัญลักษณ์"""
SelectMenuType_CommunicationMenu14#0,"""แสตมป์"""
SelectMenuType_CommunicationMenu15#0,"""ตั้งค่าจับคู่/โหมดถ่ายรูป"""
SelectMenuType_CommunicationMenu16#0,"""พื้นที่สร้างสรรค์"""
SelectMenuType_Execute_CameraLight#0,"""ปรับแสง/มุมกล้อง"""
SelectMenuType_ExecuteMenu4#0,"""ไปที่ยานหลัก"""
SelectMenuType_ExecuteMenu5#0,"""ไปที่ยานรวม"""
SelectMenuType_ExecuteMenu6#0,"""ไปที่หัวเรือ"""
SelectMenuType_ExecuteMenu7#0,"""ไปแต่งตัว"""
SelectMenuType_ExecuteMenu8#0,"""ไปคาเฟ่ของFranca"""
SelectMenuType_ExecuteMenu9#0,"""ซ่อนหน้าต่าง"""
SelectMenuType_QuestMenu4#0,"""คำสั่งปาร์ตี้"""
SelectMenuType_QuestMenu5#0,"""ภารกิจNPC"""
SelectMenuType_QuestMenu6#0,"""เส้นทางแนะนำARKS"""
SelectMenuType_QuestMenu7#0,"""ข้อมูลกิจกรรม"""
SelectMenuType_QuestMenu8#0,"""ข้อมูลเควส"""
SelectMenuType_QuestMenu9#0,"""เคาเตอร์ภารกิจ"""
SelectMenuType_ItemMenu1#0,"""อาวุธ"""
SelectMenuType_ItemMenu2#0,"""ยูนิตชุดเกราะ"""
SelectMenuType_ItemMenu3#0,"""ปรับแต่งแฟชั่น"""
SelectMenuType_ItemMenu4#0,"""ปรับแผงเครื่องมือ"""
SelectMenuType_ItemMenu5#0,"""ไอเทม"""
SelectMenuType_ItemMenu6#0,"""ปรับแต่ง"""
SelectMenuType_ItemMenu7#0,"""Mag"""
SelectMenuType_ItemMenu8#0,"""ร้านรีไซเคิ้ล"""
SelectMenuType_ItemMenu9#0,"""สัตว์เลี้ยง"""
SelectMenuType_MyData1#0,"""ข้อมูลตัวละคร"""
SelectMenuType_MyData2#0,"""รายชื่อฉายา"""
SelectMenuType_MyData3#0,"""แก้ไขบัตรประจำตัวARKS"""
SelectMenuType_ShareShip1#0,"""เดินทางไป challenge ship"""
SelectMenuType_ShareShip2#0,"""เดินทางไป PVP ship"""
SelectMenuType_VoiceChatMuteOn#0,"""ปิดไมโครโฟน"""
SelectMenuType_VoiceChatMuteOff#0,"""เปิดไมโครโฟน"""
SelectMenuType_LocationNotification#0,"""แจ้งเตือนตำแหน่ง"""
SelectMenuType_RoomPassword#0,"""ตั้งค่าจับคู่ห้อง"""
SelectMenuType_EditMenu1#0,"""ซ่อน UI (600 วินาที)"""
SelectMenuType_EditMenu2#0,"""รวมงาน"""
SelectMenuType_EditMenu3#0,"""บัตรภารกิจ"""
SelectMenuType_EditMenu4#0,"""เริ่มใหม่"""
SelectMenuType_EditMenu5#0,"""ละทิ้งเควส"""
SelectMenuType_EditMenu6#0,"""แผงอุปกรณ์รอง"""
SelectMenuType_EditMenu7#0,"""สกินอาวุธ"""
SelectMenuType_EditMenu8#0,"""ปรับตำแหน่งอาวุธ"""
SelectMenuType_EditMenu9#0,"""ตั้งค่าระบบสแกน"""
SelectMenuType_EditMenu10#0,"""เล่นเพลงพื้นหลังย้อนหลัง"""
SelectMenuType_EditMenu11#0,"""บันทึกเพลงพื้นหลัง"""
SelectMenuType_EditMenu12#0,"""สร้างเพลย์ลิสต์"""
SelectMenuType_EditMenu13#0,"""คำสั่งปาร์ตี้"""
SelectMenuType_EditMenu14#0,"""ค้นหา ARKS"""
SelectMenuType_EditMenu15#0,"""รวบรวมสมาชิกปาร์ตี้"""
SelectMenuType_EditMenu16#0,"""ห้องถ่ายรูป"""
SelectMenuType_EditMenu17#0,"""ตั้งค่าคำทางลัด"""
SelectMenuType_EditMenu18#0,"""ตั้งค่าแชทกลุ่ม"""
SelectMenuType_EditMenu19#0,"""ตั้งคำอัตโนมัติ"""
SelectMenuType_EditMenu20#0,"""ตั้งค่าท่าโพสจบอีเมอ"""
SelectMenuType_EditMenu21#0,"""ฉายา"""
SelectMenuType_EditMenu22#0,"""บัตรARKS"""
SelectMenuType_EditMenu23#0,"""รายการแฟชั่น"""
SelectMenuType_EditMenu24#0,"""บันทึกการเล่น"""
SelectMenuType_EditMenu25#0,"""ร้าน AC/SG"""
SelectMenuType_EditMenu26#0,"""รูดบัตร"""
SelectMenuType_EditMenu27#0,"""ไอเทมรีไซเคิ้ล"""
SelectMenuType_EditMenu28#0,"""ประวัติการซื้อ/หมดอายุ"""
SelectMenuType_EditMenu29#0,"""ตั้งค่า"""
SelectMenuType_EditMenu30#0,"""ตั้งค่าปฏิบัติการณ์"""
SelectMenuType_EditMenu31#0,"""รับไอเทมแคมเปญ"""
SelectMenuType_EditMenu32#0,"""ไอเทมโค้ด"""
SelectMenuType_EditMenu33#0,"""ข้อมูล"""
SelectMenuType_EditMenu34#0,"""โบนัสออนเกม"""
SelectMenuType_EditMenu35#0,"""การรับสมัครสมาชิกปาร์ตี้"""
SelectMenuType_EditMenu36#0,"""แฟชั่นของฉัน"""
SelectMenuType_EditMenu37#0,"""โหมดสตรีมเมอร์"""
SelectMenuType_ShowCollabIcon#0,"""ตั้งค่าแสดงไอเทมกิจกรรมเฉพาะ"""
SelectMenuType_EditMenuCategory1#0,"""[เรียง] เมนูอุปกรณ์"""
SelectMenuType_EditMenuCategory2#0,"""[เรียง] เมนูส่วนตัว"""
SelectMenuType_EditMenuCategory3#0,"""[เรียง] เมนูระบบ"""
SelectMenuType_EditMenuCategory4#0,"""[เรียง] เมนูหมวดหมู่เควส"""
SelectMenuType_EditMenuCategory5#0,"""[เรียง] เมนูเควส"""
SelectMenuType_EditMenuCategory6#0,"""[เรียง] เมนูสื่อสาร"""
SelectMenuType_EditMenuCategory7#0,"""[เรียง] เมนูข้อความ"""
SelectMenuType_EditMenuCategory8#0,"""[เรียง] เมนูร้านค้า"""
SelectMenuType_EditMenuCategory9#0,"""[เรียง] เมนูท่าทาง"""
SelectMenuType_EditMenuCategory10#0,"""[เรียง] การแสดงเมนู"""
SelectMenuType_EditMenuCategory11#0,"""[เรียง] เมนูเคลื่อนไหว"""
SelectMenuType_Vitalgauge_PsnOff#0,"""แสดงชื่อตัวละคร"""
SelectMenuType_Vitalgauge_PsnOn#0,"""แสดง PSN ID"""
SelectMenuType_PlaceObjectSelect#0,"""วางภาพโฮโลแกรมเอนกประสงค์"""
SelectMenuType_PlaceObjectList#0,"""โฮโลแกรมเอนกประสงค์ใกล้เคียง"""
SelectMenuType_Selfie#0,"""มุมกล้องแบบง่าย"""
SelectMenuType_LineDuelRankMatch#0,"""Line Strike:จัดอันดับ"""
SelectMenuType_LineDuelCasualMatch#0,"""Line Strike:ไม่จัดอันดับ"""
SelectMenuType_PartyLeave#0,"""ออกปาร์ตี้"""
SelectMenuType_WishList#0,"""ของอยากได้"""
Title#0,"""เมนูปรับแต่ง"""
Caption1#0,"""เมนูสื่อสาร"""
Caption2#0,"""เมนูคำสั่ง"""
Caption3#0,"""เมนูเควส"""
Caption4#0,"""แผนที่ล็อบบี้"""
OnlineStatus_1#0,"""ไม่แสดง"""
OnlineStatus_2#0,"""กำลังรับเข้าปาร์ตี้"""
OnlineStatus_3#0,"""มองหาปาร์ตี้"""
OnlineStatus_4#0,"""ไม่อยู่"""
OnlineStatus_5#0,"""เขียนข้อความเอง"""
OnlineStatus_Free#0,"""เขียนตรงนี้"""
OnlineStatus_Decide_Vita#0,"""ปรับสถานะ"""
OnlineStatus_FreeError_Title#0,"""สื่อสารล้มเหลว"""
OnlineStatus_FreeError_Msg#0,"""เปลี่ยนการตั้งค่าข้อความล้มเหลว"""
ApcTacticsOrder_title#0,"""-"""
ApcTacticsOrder_1#0,"""-"""
ApcTacticsOrder_2#0,"""-"""
ApcTacticsOrder_3#0,"""-"""
ApcTacticsOrder_4#0,"""-"""
ApcTacticsOrderHint_1#0,"""-"""
ApcTacticsOrderHint_2#0,"""-"""
ApcTacticsOrderHint_3#0,"""-"""
ApcTacticsOrderHint_4#0,"""-"""
ApcTacticsOrderPb_title#0,"""วิธีใช้โฟตอนบลาสของผู้ร่วมมือ"""
ApcTacticsOrderPb_1#0,"""PB ปล่อยทันที"""
ApcTacticsOrderPb_2#0,"""PB ปล่อยพร้อมกัน"""
ApcTacticsOrderPbHint_1#0,"""ใช้โฟตอนบลาสทันที"""
ApcTacticsOrderPbHint_2#0,"""รักษาโฟตอนบลาสจนกว่า <br>จะใช้ร่วมกับผู้เล่น."""
ApcTacticsOrderAttack_title#0,"""ส่วนร่วมการต่อสู้กับผู้ร่วมมือ"""
ApcTacticsOrderAttack_1#0,"""เข้าร่วมการต่อสู้"""
ApcTacticsOrderAttack_2#0,"""ไม่ต้องทำอะไรเลย"""
ApcTacticsOrderAttackHint_1#0,"""ผู้ร่วมมือตอบสนองตามสถานการณ์."""
ApcTacticsOrderAttackHint_2#0,"""ผู้ร่วมมือจะไม่เข้าร่วมการต่อสู้."""
Caption5#0,"""ไอเทม"""
Caption6#0,"""ข้อมูลของฉัน"""
Caption7#0,"""เมนูเคลื่อนย้าย"""
Caption8#0,"""ระบบ"""
Caption9#0,"""ทีม"""
Caption10#0,"""กิจกรรม"""
Caption11#0,"""Raising"""
Caption12#0,"""เมนูส่วนตัว"""
Caption13#0,"""ตั้งค่ารูป"""
Caption14#0,"""ปาร์ตี้"""
CustomizeGuide#0,"""<%MultiSelect><c f0df60> แก้ไข/เปลี่ยน รูปแบบ"""
CustomizeGuideVita#0,"""<pict Sign_TRIANGLE><c f0df60> เปลี่ยนรูปแบบ"""
ConfirmHideInterface#0,"""UIを非表示にします。<br>※クイックメニュー表示時に復帰（仮）"""
Title_chatmenu#0,"""ใช้คำทางลัด"""
InChallengeShip_DirectBuy_ErrorTitle#0,"""การซื้อล้มเหลว"""
InChallengeShip_NotPremium_ErrorMessage#0,"""選択した機能の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>チャレンジブロックとバトルブロックでは<br><yellow>「プレミアムセット」<c>の購入はできません。<br>上記以外のブロックにてご購入ください。"""
QuickMenu_PatternEdit_Menu#0,"""ปรับแต่งเซต"""
QuickMenu_PatternSelect#0,"""เลือกเซต"""
QuickMenu_PatternDetail#0,"""รายละเอียดเซต"""
QuickMenu_ListNumber#0,"""$(1) / $(0)"""
QuickMenu_PatternEdit#0,"""แก้ไข"""
QuickMenu_MenuList#0,"""เมนูรายการไอเทม"""
QuickMenu_PatternInactive#0,"""ซ่อน"""
QuickMenu_PatternActive#0,"""นำมาใช้"""
QuickMenu_PatternNameEdit#0,"""แก้ไขชื่อ"""
QuickMenu_PatternInitialize#0,"""รีเซ็ตไปยังเริ่มต้น"""
QuickMenu_PatternInactive_Text#0,"""\""$(0)\"" ถูกซ่อนจากรายการ."""
QuickMenu_PatternActive_Text#0,"""\""$(0)\"" เริ่มต้นใช้งาน"""
QuickMenu_PatternInitialize_Text1#0,"""ชื่อรูปแบบ \""$(0)\"" และ ตั้งค่าการปรับแต่งถูกรีเซ็ต"""
QuickMenu_PatternInitialize_Text2#0,"""รีเซ็ต \""$(0)\"" ไปยังเริ่มต้น"""
QuickMenu_PatternRename_Text1#0,"""เปลี่ยนชื่อ"""
QuickMenu_PatternRename_Text2#0,"""ดำเนินการเปลี่ยชื่อรูปแบบ<br>\""$(0)\""<br><br>โปรดระบุชื่อใหม่"""
QuickMenu_MenuAdd_Menu#0,"""เพิ่มไอเทม"""
QuickMenu_MenuSwap#0,"""วางใหม่"""
QuickMenu_MenuSort#0,"""เรียง"""
QuickMenu_MenuDelete#0,"""ถอดออก"""
QuickMenu_MenuAdd_Text1#0,"""รูปแบบนี้ไม่สามารถเพิ่มไอเทมเนื่องจากจำนวนไอเทมถึงขีดจำกัด"""
QuickMenu_MenuAdd_Text2#0,"""รูปแบบจำนวนไอเทมของคุณถึงขีดจำกัด ไม่สามารถเพิ่มจำนวนได้"""
QuickMenu_PremiumExpired_Text1#0,"""พรีเมี่ยมของคุณหมดอายุ. เมนูเร่งด่วนคืนค่ากลับ \""ประเภทพื้นฐาน\""."""
QuickMenu_Edit_Text1#0,"""ไอเทมไร้หมวดหมู่ถูกวางด้านบนสุดรายการ<br><br>ก่อนคุณทำการบันทึกเซ็ต ต้องวางหมวดหมู่รายการไอเทมไว้ด้านบนสุด"""
QuickMenu_Cancel_Text1#0,"""ยกเลิกการแก้ไขและย้อนกลับไปเซ็ตที่กำหนดก่อนหน้านี้หรือไม่"""
QuickMenu_SaveError_Text1#0,"""ไม่สามารถบันทึกเซ็ตเปล่าๆ"""
QuickMenu_SaveError_Text2#0,"""ไอเทมไร้หมวดหมู่ถูกวางด้านบนสุดรายการ<br><br>ก่อนคุณทำการบันทึกเซ็ต ต้องวางหมวดหมู่รายการไอเทมไว้ด้านบนสุด"""
QuickMenu_SaveError_Text3#0,"""หมวดหมู่ไอเทมมากกว่าหรือเท่ากับสองถัดจากอันอื่น,<br>หรือมีหมวดหมู่ไอเทมอยู่ด้านล่างรายการ<br><br>ก่อนบันทึกเซ็ตที่กำหนด ต้องแน่ใจว่าหมวดหมู่ไอเทมไม่มีไอเทมไร้หมวดหมู่ข้างใต้"""
QuickMenu_SaveError_Text4#0,"""ไม่สามารถบันทึกเซ็ตที่มีเฉพาะในหมวดหมู่ไอเทม<br><br>โปรดเพิ่มรายการที่ไม่ได้บันทึกหมวดหมู่ก่อนหน้า"""
QuickMenu_SaveConfirm_Text1#0,"""ไอเทมนี้ถูกแสดงในเซ็ตก่อนหน้า ต้องการเพิ่มหรือไม่"""
QuickMenu_SaveConfirm_Text2#0,"""The \""$(0)\"" feature is not supported on this platform. You can add it to the Quick Menu, but you will not be able to use it.<br><br>Are you sure you want to add this item?"""
QuickMenu_SaveConfirm_Text3#0,"""Apply the \""$(0)\"" Pattern to your Quick Menu?"""
QuickMenu_ListTab_Text0#0,"""ทั้งหมด"""
QuickMenu_ListTab_Text1#0,"""เฉพาะเมนูเร่งด่วน"""
QuickMenu_ListTab_Text2#0,"""หมวดหมู่/เควส"""
QuickMenu_ListTab_Text3#0,"""อุปกรณ์/เครื่องมือ"""
QuickMenu_ListTab_Text4#0,"""การสื่อสาร"""
