Title_Partyselect#0,"""เลือกปาร์ตี้"""
Title_Subjugationtarget#0,"""ปราบศัตรูเป้าหมาย"""
Title_Recommendeditems#0,"""ไอเทมดรอปที่แนะนำ"""
Title_Subjugationtarget_Buff#0,"""ศัตรูเป้าหมาย/บัฟของศัตรู"""
Title_BuffList#0,"""บัฟของผู้เล่น"""
Title_BuffListDancehall#0,"""พารามิเตอร์ของผู้เล่น"""
Title_BuffList_Etc#0,"""<pict 4space>"""
Title_Quest_Tendency#0,"""องค์ประกอบเควสต์"""
Title_Quest_Tendency_Area#0,"""Region หลัก"""
Title_Quest_Tendency_Enemy#0,"""ประเภทศัตรูหลัก"""
Title_Quest_Tendency_Etc#0,"""รายละเอียดอื่นๆ"""
Title_Bestscore_GrowUp#0,"""สถิติส่วนตัว"""
Title_Bestscore_GrowUp_Score#0,"""คะแนนสูงสุด"""
Bestscore_GrowUp_Score#0,"""$(0) Pt"""
Title_Bestscore_GrowUp_Buff#0,"""บัฟที่ได้รับตอนทำคะแนนสูงสุดได้"""
Bestscore_GrowUp_Buff#0,"""$(0)"""
Reward_Exp#0,"""$(0)<pict 4space><pict exp_boost_icon>"""
Reward_Meseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Reward_SeasonPoint#0,"""$(0)<pict 4space><pict event_point>"""
Reward_quantity#0,"""x$(0)"""
Reward_quantity2#0,"""+$(0)"""
Reward_Skillpt#0,"""Skill Points"""
Reward_GenesisPoint#0,"""$(0)<pict 4space><pict myspace_point>"""
Reward_N-TeamPoint#0,"""$(0)<pict 4space><pict reb_team>"""
Bestscore_time#0,"""$(1):$(2).$(0)"""
Bestscore_score#0,"""$(0) คะแนน"""
Bestscore_score_bonus1#0,"""<yellow>ตัวคูณคะแนน<c>"""
Bestscore_score_bonus2#0,"""<yellow>+$(0)%<c>"""
Bestscore_score_bonus2_Minus#0,"""<yellow>－$(0)%<c>"""
Bestscore_score_bonus3#0,"""<yellow>ตัวคูณระดับความยากในการเคลียร์: <c>"""
Bestscore_score_bonus4#0,"""<yellow>$(0)%<c>"""
Bestscore_score_bonus4_Minus#0,"""<yellow>$(0)%<c>"""
Trigger_Reward#0,"""<yellow>มีรางวัลให้รับ<c>"""
Trigger_NoReward#0,"""<vivid_red>รับรางวัลไปแล้ว, รางวัลรอบถัดไป: [เวลา & วันที่]<c>"""
HighLevelQuestName#0,"""<yellow>Emergency Quest<c>"""
CreateNewRoom#0,"""รับเควสต์"""
InRoom#0,"""เข้าร่วมปาร์ตี้ในเควสต์"""
OrdersOption#0,"""เปลี่ยนการตั้งค่าการรับเควสต์"""
Exit_QuestCounter#0,"""ออกจากเมนู"""
SelectPartyList#0,"""เข้าร่วมปาร์ตี้ในบล็อกปัจจุบัน"""
SearchPartyList#0,"""เข้าร่วม & ค้นหาเควสต์"""
QuestSelectTitle#0,"""เลือกเควสต์"""
EventQuestName#0,"""Limited Quest"""
BonusQuestName#0,"""Bonus Quest"""
TriggerQuestName#0,"""Trigger Quest"""
StoryQuestName#0,"""รำลึก Story"""
Title_Quest_Order2#0,"""เงื่อนไขการปลดล็อก"""
Must_Quest_Recommended#0,"""Power Level ที่ต้องการ"""
PtMakingTitle#0,"""เมนูป้อนข้อมูลปาร์ตี้"""
AdmissionOption#0,"""การตั้งค่าเข้าร่วม"""
AdmissionWelcome#0,"""เปิดรับ"""
PartnerCardOn#0,"""เฉพาะเพื่อน"""
GuildMemberOn#0,"""เฉพาะทีม"""
PasswordOption#0,"""การตั้งค่าพาสเวิร์ด"""
PasswordWrite#0,"""ใส่พาสเวิร์ด"""
PTPledge1#0,"""จำกัดเฉพาะคำขอเข้าปาร์ตี้"""
PTPledge2#0,"""จำกัดการเล่น Multiplayer กับปาร์ตี้อื่น"""
OrdersOptionBlock1#0,"""รับเควสต์"""
OrdersOptionBlock2#0,"""รับเควสต์ในบล็อกปัจจุบัน"""
StoryInfo#0,"""ข้อมูล Story"""
NoMust_Quest_Recommended#0,"""---"""
StoryQuestGuide#0,"""คุณสามารถเล่น Main Quest ที่เคลียร์ไปแล้วซ้ำได้"""
QuestTypeSelectTitle#0,"""เลือกประเภทเควสต์"""
QuestSelectCheckTitle#0,"""ยืนยันการรับเควสต์"""
QuestSelectCheck#0,"""คุณแน่ใจหรือไม่ว่าต้องการรับเควสต์นี้?"""
BattlePointNum#0,"""$(0)~"""
AttentionNewRoom#0,"""การทำสิ่งนี้จะยกเลิกคิวปัจจุบัน &<br>ทำให้คุณละทิ้งเควสต์ที่กำลัง<br>รับอยู่ ดำเนินการต่อหรือไม่?"""
OrdersOptionBlock3#0,"""เริ่มจับคู่"""
NoMust_Quest_Conditions#0,"""ไม่มี"""
Title_TargetEnemy_Unknown#0,"""???"""
BattlePoint_Limit#0,"""Power Level: $(0) ขึ้นไป"""
level#0,"""Lv."""
Title_Quest_Clear_Failure_dot#0,"""เงื่อนไขการเคลียร์: $(0)<br>เงื่อนไขการล้มเหลว: $(1)"""
BattlePoint_Limit_Red#0,"""<yellow>Power Level $(0) ขึ้นไป<c>"""
Level_Limit#0,"""Lv.$(0) ขึ้นไป"""
Level_Limit_Red#0,"""<yellow>Lv.$(0) ขึ้นไป<c>"""
Must_Parem_Text_Red#0,"""<yellow>ถึง Power Level ที่แนะนำ<c>"""
Must_Parem_Text#0,"""ถึง Power Level ที่แนะนำ"""
Btn_Quest_Order_Leader#0,"""เริ่มเควสต์"""
Btn_Quest_Order_Leader_ClearTimes#0,"""เริ่มเควสต์ <yellow>(ขีดจำกัดการเคลียร์: $(0) ครั้ง)<c>"""
Btn_Quest_Order_Member#0,"""เริ่มเควสต์คนเดียว"""
Btn_Quest_Order_Member_ClearTimes#0,"""เริ่มเควสต์คนเดียว <yellow>(ขีดจำกัดการเคลียร์: $(0) ครั้ง)<c>"""
Btn_Quest_Order_Password#0,"""ตั้งค่าการจับคู่ & เริ่มต้น"""
Btn_Quest_Party_Setting#0,"""รับสมัครสมาชิกปาร์ตี้และเริ่มต้น"""
EnemyLvTitle#0,"""Lv. ศัตรู"""
EnemyAttribute#0,"""推奨属性"""
EnemyLv#0,"""Lv.$(0)"""
EnemyLvWarning#0,"""<yellow>Lv.$(0)<c>"""
EnemyLvATTENTIONTitle#0,"""ยืนยันการรับเควสต์"""
EnemyLvATTENTION#0,"""มีสมาชิกปาร์ตี้อย่างน้อยหนึ่งคนที่มีเลเวลต่ำกว่าศัตรูในเควสต์นี้ 5 เลเวลขึ้นไป<br><br>คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?<br><br><yellow>※เมื่อผู้เล่นโจมตีศัตรูที่มีเลเวลสูงกว่า 5 เลเวลขึ้นไป ดาเมจจะลดลงอย่างมาก<c>"""
EnemyLvATTENTION2#0,"""มีสมาชิกปาร์ตี้อย่างน้อยหนึ่งคนที่จะทำดาเมจลดลงเมื่อต่อสู้กับศัตรูในเควสต์นี้<br>คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?<br><br><yellow>※เมื่อผู้เล่นโจมตีศัตรูที่มีเลเวลสูงกว่า $(0) เลเวลขึ้นไป หาก Power Level ต่ำเกินไป ดาเมจจะลดลงอย่างมาก<c>"""
BoostInfo_Title#0,"""เควสต์: เอฟเฟกต์เพิ่มเติม"""
CampaignBoost_Experience#0,"""<pict exp_icon><pict 4space>เพิ่มได้รับ Experience ＋$(0)%"""
CampaignBoost_MesetaDrop#0,"""<pict meseta_icon2><pict 4space>เพิ่มได้รับ Meseta ＋$(0)%"""
CampaignBoost_RareDrop#0,"""<pict rare_drop_icon><pict 4space>เพิ่มอัตรา Rare Drop ＋$(0)%"""
CampaignBoost_TriggerQuantity#0,"""<pict boost_campaign><pict 4space>เปลี่ยนแปลงค่าใช้ Battle Trigger"""
CampaignBoost_Stackitemdropup#0,"""<pict boost_campaign><pict 4space>เปลี่ยนแปลงอัตราดรอปไอเทมบางชนิด"""
CampaignBoost_SeasonalPoint#0,"""<pict eventpoint_boost><pict 4space>เพิ่มได้รับ Seasonal Point +$(0)%"""
CampaignBoost_GenesisPointRate#0,"""<pict myspace_point_b><pict 4space>เพิ่มได้รับ Genesis Point ＋$(0)%"""
CampaignBoost_PresetSkill#0,"""<pict preset_boost><pict 4space>เพิ่มอัตราดรอป Preset Ability ＋$(0)％"""
Quest_Conditions_Possible#0,"""$(0)"""
BoostInfo_SubTitleEnemy#0,"""<pict boost_campaign><pict 4space>เอฟเฟกต์ศัตรูเพิ่มเติม"""
BoostInfo_SubTitlePlayer#0,"""<pict boost_campaign><pict 4space>เอฟเฟกต์ผู้เล่นเพิ่มเติม"""
BoostInfo_SubTitleItemDrop#0,"""<pict boost_camp_drop><pict 4space>เอฟเฟกต์ไอเทมเพิ่มเติม"""
BoostInfo_SubTitleQuest#0,"""Campaign Boost (คงที่: ไม่รวมรางวัลเคลียร์ครั้งแรก)"""
BoostInfo_SubTitleSection#0,"""Sector: เอฟเฟกต์เพิ่มเติม"""
BoostInfo_SubTitleArksRecordBoost#0,"""ARKS Record Boost"""
Quest_Conditions_Impossible#0,"""<yellow>$(0)<c>"""
Quest_Conditions_None#0,"""---"""
Quest_Conditions_Param#0,"""สูงกว่าเลเวลที่แนะนำ"""
Quest_Conditions_Regions#0,"""ถูกจำกัด Region"""
Quest_Conditions_Sequence#0,"""ความคืบหน้า Main Task"""
Submission_Trinites#0,"""แตกต่างกันไปในแต่ละชั้น"""
Quest_Level_Player#0,"""Lv.$(0)+"""
HistoryQuest_Noreward#0,"""Story Quest จะไม่มีรางวัล<br>หรือดรอปไอเทม"""
WeeklyRanking_Open#0,"""<yellow>กำลังจัดการแข่งขัน ARKS Record! สิ้นสุดใน $(0)<c>"""
WeeklyRanking_Close_Soon#0,"""<yellow>กำลังจัดการแข่งขัน ARKS Record! และกำลังจะสิ้นสุดลงเร็วๆ นี้<c>"""
WeeklyRanking_EndTime#0,"""เหลือ $(0)"""
WeeklyRanking_EndTime_Soon#0,"""กำลังจะสิ้นสุด"""
WeeklyRanking_Notice#0,"""<yellow>ARKS Record กำลังจะเริ่มต้นขึ้น!<c>"""
WeeklyRanking_Close#0,"""ยังไม่มีกิจกรรม ARKS Record ในเร็วๆ นี้"""
WeeklyRanking_Message_Open#0,"""คุณสามารถรับรางวัลเหล่านี้ได้จากการเข้าร่วม<br>※สำหรับรายละเอียดเพิ่มเติม โปรดตรวจสอบ 【 ARKS Records 】"""
WeeklyRanking_Message_Notice#0,"""กิจกรรมจะเริ่มใน $(0)<br>※สำหรับรายละเอียดเพิ่มเติม โปรดตรวจสอบ 【 ARKS Records 】"""
WeeklyRanking_Message_Notice_Soon#0,"""กิจกรรมจะเริ่มต้นในเร็วๆ นี้<br>※สำหรับรายละเอียดเพิ่มเติม โปรดตรวจสอบ 【 ARKS Records 】"""
SeasonQuest_Detail_Description#0,"""การทำตามเป้าหมายต่อไปนี้สำเร็จจะทำให้คุณได้รับ Quest Points โบนัส<br>คุณจะได้รับรางวัลเพิ่มเติมตาม Rank ของคุณ<br>เมื่อเคลียร์เควสต์"""
SeasonQuest_Detail_Label1#0,"""รางวัลแรงก์เคลียร์เควสต์"""
SeasonQuest_Detail_Label2#0,"""โบนัส Quest Point"""
SeasonQuest_Rank_1_3#0,"""$(0)"""
SeasonQuest_Rank_4#0,"""อันดับ 4 หรือต่ำกว่า"""
SeasonQuest_SeasonalPoint#0,"""+$(0)"""
SeasonQuest_AddScore#0,"""+$(0)Pt"""
WeeklyRanking_Close_Rank_Notcovered#0,"""ไม่รวมเควสต์/แรงก์นี้<br>※สำหรับรายละเอียดเพิ่มเติม โปรดตรวจสอบรายละเอียด ARKS Record"""
WeeklyRanking_Close_Not_Aggregate_Class#0,"""Main Class ปัจจุบันของคุณไม่ถูกรวมใน ARKS Record นี้..<br>สำหรับรายละเอียดเกี่ยวกับ ARKS Records ให้เปิด Main Menu เลือก 【 Personal 】 แล้วเลือก 【 ARKS Records 】"""
QuestReward_Empty#0,"""ไม่มีรางวัลเคลียร์"""
Recommended_Empty#0,"""ไม่มี Featured Drops"""
QuestRewardInformation_Title#0,"""รายละเอียดรางวัลเควสต์"""
QuestRewardInformation_ClearTabText#0,"""รางวัลการเคลียร์"""
QuestRewardInformation_DropTabText#0,"""Featured Drops"""
QuestCounterInformation_GuideText#0,"""ตกลง: <%Decide>\u3000\u3000ยกเลิก: <%Cancel>\u3000\u3000เปลี่ยนหน้าต่าง: <%NextWidget>\u3000\u3000ดูรายละเอียดรางวัล: <%Function>\u3000\u3000สลับหน้าต่าง: <%ChangeCtrlWindowForward>"""
Title_Quest_Reward_3#0,"""รางวัลเคลียร์ครั้งแรกด้วยแรงก์ S <yellow>※รับได้ครั้งเดียวต่อบัญชี<c>"""
QuestReward_etr#0,"""อื่นๆ"""
EnemyAttribute_Element1#0,"""$(0)"""
EnemyAttribute_Element2#0,"""$(0) $(1)"""
DropItem_ListClose#0,"""リストを閉じる"""
None#0,"""เกิดข้อผิดพลาดขึ้น<br><br>[No.3000]"""
NotReceptQuestPartyGuest#0,"""คุณไม่สามารถรับเควสต์ได้เนื่องจาก<br>คุณไม่ใช่หัวหน้าปาร์ตี้"""
NotReceptQuestAlreadyQuest#0,"""คุณไม่สามารถรับเควสต์ได้เนื่องจาก<br>คุณไม่ใช่หัวหน้าปาร์ตี้<br>(เควสต์ได้เริ่มไปแล้ว แนะนำให้เดินทาง<br>ไปยังประตู)"""
NotFoundQuestSearch#0,"""ไม่พบเควสต์ที่ตรงกับ<br>เงื่อนไขที่คุณกรอก"""
NotFoundRoomSearch#0,"""ไม่พบห้องที่ตรงกับ<br>เงื่อนไขที่คุณกรอก"""
NotFoundPartyList#0,"""ไม่พบปาร์ตี้"""
NotFoundQuestType#0,"""ไม่มีเควสต์ที่พร้อมให้เล่น"""
NotFoundQuestList#0,"""ไม่มีเควสต์ที่พร้อมให้เล่น"""
CantStartQuestNotFoundRoom#0,"""เริ่มเควสต์ไม่ได้<br>เนื่องจากไม่พบห้องเป้าหมาย"""
CantStartQuestCapacityOverRoom#0,"""ไม่สามารถเข้าร่วมได้เนื่องจากห้องมีคนเต็มแล้ว"""
CantStartQuestCapacityOverRoom2#0,"""\u3000ไม่สามารถเข้าร่วมได้เนื่องจากห้องมีคนเต็มแล้ว<br>\u3000จำนวนคนนี้รวมถึงผู้เล่นที่กำลังจะเข้าร่วมห้องด้วย<br>\u3000ซึ่งอาจจะยังไม่แสดงผลในจำนวนผู้เข้าร่วม<br>\u3000<br>\u3000<yellow>※ระยะเวลาการจองเข้าร่วมคือ 1 นาที<br>\u3000\u3000คุณอาจจะสามารถเข้าร่วมได้<br>\u3000\u3000หากรอสักพักแล้วลองใหม่อีกครั้ง<c>"""
CantStartQuestNewRaidQuest#0,"""รับเควสต์ไม่ได้<br>เนื่องจากมีสมาชิกปาร์ตี้ยังไม่ได้ปราบศัตรู<br>ตามเงื่อนไขการเข้าร่วม"""
CantStartQuestNotNotFoundParty#0,"""เริ่มเควสต์ไม่ได้<br>เนื่องจากไม่พบปาร์ตี้เป้าหมาย"""
CantStartQuestCapacityOverParty#0,"""ไม่สามารถเข้าร่วมได้เนื่องจากปาร์ตี้มีคนเต็มแล้ว"""
CantStartQuestDifferencePasswordParty#0,"""ไม่สามารถเข้าร่วมได้เนื่องจากพาสเวิร์ดไม่ถูกต้อง"""
CantStartQuestAlreadyFinished#0,"""ไม่สามารถเข้าร่วมได้<br>เนื่องจากปาร์ตี้นี้ทำเควสต์จบไปแล้ว"""
CautionNotSoloParty#0,"""ไม่สามารถย้ายไปบล็อกอื่นได้<br>เนื่องจากคุณอยู่ในปาร์ตี้"""
CantStartQuestDifferenceCondition#0,"""ไม่สามารถเข้าร่วมได้<br>เนื่องจากไม่ผ่านเงื่อนไขเข้าร่วมปาร์ตี้นี้"""
CantStartQuestDifferenceConditionLine1#0,"""คุณไม่สามารถเข้าร่วมปาร์ตี้หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""<pict mainclass_icon>Lv.$(0)~"""
PartyLevel#0,"""เงื่อนไข Level การเข้าร่วม Party/Lv.$(1)~$(0)"""
FriendOnly#0,"""เฉพาะเพื่อน"""
GuildOnly#0,"""เฉพาะทีม"""
PasswordNG#0,"""Password ไม่ถูกต้อง"""
BurstIntoNG#0,"""การเข้าร่วมถูกจำกัดโดยเควสต์"""
ReasonEventFlag#0,"""เงื่อนไข Order พิเศษ"""
RareAreaNG#0,"""Party อยู่ในพื้นที่พิเศษ"""
CantStartQuestTimeLimitOver#0,"""ระยะเวลา Quest Order สิ้นสุดลงแล้ว"""
CapacityOverParty#0,"""Party เต็มแล้ว"""
PlatformError#0,"""การจำกัดของ Platform"""
RaidQuestDisable#0,"""ยังไม่ได้ปราบศัตรูที่เป็นเงื่อนไขในการเข้าร่วม"""
NotFoundPartyListtInBasnet#0,"""ไม่พบ Party"""
CantStartQuestClearCountLimit#0,"""ไม่สามารถเข้าร่วมได้<br>เนื่องจากมีสมาชิก Party<br>มีจำนวนครั้งที่เคลียร์เควสต์เกินขีดจำกัด"""
QuestSubLevel#0,"""<pict subclass_icon>Lv.$(0)~"""
ClearCountLimit#0,"""จำนวนครั้งที่เคลียร์เควสต์เกินขีดจำกัด"""
CantStartQuestIgnoreQuest#0,"""ปัจจุบันไม่สามารถรับเควสต์นี้ได้ <br>โปรดตรวจสอบรายละเอียดที่เว็บไซต์ผู้เล่น"""
IgnoreQuest#0,"""ปัจจุบันไม่สามารถรับเควสต์นี้ได้ <br>โปรดตรวจสอบรายละเอียดที่เว็บไซต์ผู้เล่น"""
QuestDropPenalty#0,"""มีสมาชิกที่ได้รับ 【 บทลงโทษการละทิ้ง 】"""
CantStartQuestDropPenalty#0,"""คุณไม่สามารถเข้าร่วม Party หรือรับเควสต์ได้<br>ด้วยเหตุผลดังต่อไปนี้:<br><br>・มีสมาชิกใน Party ของคุณได้รับบทลงโทษจากการละทิ้งเควสต์"""
CantStartProhibitQuestDropTitleCnt#0,"""Quest Order Menu Terminal"""
CantStartProhibitQuestDropTitleTlp#0,"""Teleporter"""
CantStartProhibitQuestDropForStart#0,"""ไม่พร้อมใช้งานในขณะนี้"""
TitleConfirmForQuest#0,"""ยืนยันการรับเควสต์"""
CautionNon#0,"""เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ"""
CautionQuestLimitTimeOver#0,"""หมดระยะเวลาในการรับเควสต์แล้ว"""
CautionQuestLevelNG#0,"""ไม่ผ่านเงื่อนไขในการรับเควสต์"""
CautionQuestLevelNG2#0,"""ไม่สามารถรับเควสต์นี้ได้<br>เนื่องจากสมาชิก Party ทุกคน<br>ไม่ผ่านเงื่อนไขดังต่อไปนี้:<br><br>・Lv.$(0)～"""
CautionQuestPartyMemberMax#0,"""ไม่สามารถรับเควสต์นี้ได้<br>เนื่องจากมีสมาชิก Party $(0) คนขึ้นไป"""
CautionQuestPartyMemberJoinMax#0,"""ไม่สามารถเข้าร่วม Party นี้ได้<br>เนื่องจากกำลังรับเควสต์ที่สามารถ<br>เข้าร่วมได้ไม่เกิน $(0) คน"""
CautionQuestPlatform#0,"""ไม่สามารถรับเควสต์นี้ได้<br>เนื่องจากสมาชิก Party ทุกคน<br>ไม่ผ่านเงื่อนไขดังต่อไปนี้:<br><br>・$(0)"""
CautionQuestRaidQuest#0,"""ไม่สามารถรับเควสต์ได้<br>เนื่องจากไม่ผ่านเงื่อนไขของเควสต์"""
CautionMultiConditionLine1#0,"""ไม่สามารถเริ่มเควสต์ได้เนื่องจากสมาชิก Party ของคุณไม่ผ่านเงื่อนไขด้านล่างนี้:<br><br>・$(0)"""
CautionMultiConditionLine2#0,"""ไม่สามารถเริ่มเควสต์ได้เนื่องจากสมาชิก Party ของคุณไม่ผ่านเงื่อนไขด้านล่างนี้:<br><br>・$(0)<br>・$(1)"""
CautionMultiConditionLine3#0,"""ไม่สามารถเริ่มเควสต์ได้เนื่องจากสมาชิก Party ของคุณไม่ผ่านเงื่อนไขด้านล่างนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CautionMultiConditionLine4#0,"""ไม่สามารถเริ่มเควสต์ได้เนื่องจากสมาชิก Party ของคุณไม่ผ่านเงื่อนไขด้านล่างนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CautionMultiConditionLine5#0,"""ไม่สามารถเริ่มเควสต์ได้เนื่องจากสมาชิก Party ของคุณไม่ผ่านเงื่อนไขด้านล่างนี้:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CautionQuestClearCountLimit#0,"""ไม่สามารถรับเควสต์นี้ได้<br>เนื่องจากจำนวนครั้งที่เคลียร์เควสต์เกินขีดจำกัด"""
CautionNothingQuest#0,"""ปัจจุบันไม่มีเควสต์ประเภทนี้อยู่เลย"""
NotFoundQuestRecord#0,"""ไม่มี Quest Record"""
CantStartQuestNewNetCafeQuest#0,"""ไม่สามารถรับเควสต์ได้<br>เนื่องจากสมาชิก Party<br>ไม่ใช่ Net Cafe Premium"""
CantStartQuestOutExtraQuest#0,"""ระยะเวลา Campaign ของเควสต์นี้สิ้นสุดลงแล้ว<br>โปรดรับเควสต์ใหม่อีกครั้ง"""
CantStartQuestInExtraQuest#0,"""เควสต์นี้เข้าสู่ช่วงระยะเวลา Campaign แล้ว<br>โปรดรับเควสต์ใหม่อีกครั้ง"""
CantStartCapacityOverInTraning#0,"""ไม่สามารถเริ่มเควสต์ฝึกฝนได้<br>หาก Block ปลายทางหนาแน่น<br>โปรดรอสักครู่แล้วลองใหม่อีกครั้ง<br><br>※เควสต์ฝึกฝนจะจัดขึ้นที่<br>\u3000\u3000Challenge Block ของ Ship ที่สังกัด"""
LeavePenalty#0,"""เนื่องจากข้อจำกัดในการจับคู่<br>จึงไม่สามารถรับเควสต์นี้ได้<br><br>โปรดลองใหม่อีกครั้งในภายหลัง"""
Window_Main_Title#0,"""การตั้งค่า Challenge"""
Window_List_Title#0,"""รายการ Challenge"""
Challenge_Buff_Bonus1#0,"""<c 76d1ff>ตัวคูณคะแนน<c>"""
Challenge_Buff_Bonus2#0,"""<yellow>+$(0)%<c>"""
Challenge_Buff_Bonus2_Minus#0,"""<yellow>－$(0)%<c>"""
Challenge_Buff_Bonus3#0,"""<c 76d1ff>ตัวคูณความยากในการเคลียร์: <c>"""
Challenge_Buff_Bonus4#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_Bonus4_Minus#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_TotalBonus1#0,"""<yellow>ตัวคูณคะแนนรวม<c>"""
Challenge_Buff_TotalBonus2#0,"""<yellow>+$(0)%<c>"""
Challenge_Buff_TotalBonus2_Minus#0,"""<yellow>－$(0)%<c>"""
