Window_Titletelop_Exchange_General#0,"""ร้านค้าแลกเปลี่ยนไอเทม"""
Window_Titletelop_Main_Group2#0,"""แลกเปลี่ยนไอเทมวัตถุดิบ"""
Window_Titletelop_Main_Group3#0,"""แลกเปลี่ยนไอเทม: ภูมิภาค"""
Window_Titletelop_Main_Group4#0,"""การแลกเปลี่ยนอื่นๆ"""
Window_Titletelop_Main_Group5#0,"""อัปเกรดอุปกรณ์"""
Window_Titletelop_TakeOverExchange2#0,"""อัปเกรดอุปกรณ์ II (ถ่ายโอนความสามารถ)"""
Window_Titletelop_Sglegacy#0,"""แลกเปลี่ยนไอเทม Legacy"""
Window_Titletelop_TakeOverExchange2b#0,"""อัปเกรดอุปกรณ์ II (แลกเปลี่ยนประเภท)"""
Window_Titletelop_TakeOverExchangeFortas#0,"""แลกเปลี่ยนชุดป้องกัน Fortas (ถ่ายโอนความสามารถ)"""
Window_Titletelop_TakeOverExchangeSpradio#0,"""อัปเกรดอาวุธ Sproudio (ถ่ายโอนความสามารถ)"""
Window_Titletelop_TakeOverExchange3#0,"""อัปเกรดอาวุธ Legend. 3 (ถ่ายโอนความสามารถ)"""
Window_Titletelop_TakeOverExchangeEvalto#0,"""อัปเกรดชุดป้องกัน Evalto (ถ่ายโอนความสามารถ)"""
Window_Titletelop_TakeOverExchangeGranillusion#0,"""コウゲンセイ武器強化（能力引継ぎ）"""
Window_Titletelop_TakeOverExchangeKinz#0,"""カイズ武器強化（能力引継ぎ）"""
Window_Titletelop_TakeOverExchangeLG5#0,"""レアレンス武器交換"""
PaidShop_Top_Title#0,"""ร้านค้า AC & SG"""
PaidShop_Top_Help#0,"""ใช้ AC และ SG เพื่อซื้อไอเทมแฟชั่นและไอเทมที่มีประโยชน์อื่นๆ"""
PaidShop_Top_MenuTitle#0,"""เมนูร้านค้า"""
PaidShop_Top_MenuItem01#0,"""ร้านค้า AC<pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem02#0,"""ร้านค้า SG<pict 4space><pict StarGem>"""
PaidShop_Top_MenuItem03#0,"""เติม AC"""
PaidShop_Top_MenuItem04#0,"""ซื้อ SG<pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem05#0,"""ประวัติการซื้อ"""
PaidShop_Top_MenuItem06#0,"""รายละเอียด AC/SG"""
PaidShop_Top_MenuItem07#0,"""Premium คืออะไร?"""
PaidShop_Top_CashTitle#0,"""สกุลเงินที่มีอยู่"""
PaidShop_Top_CashItem01#0,"""AC ที่มีอยู่"""
PaidShop_Top_CashItem02#0,"""SG ที่มีอยู่"""
PaidShop_Top_BannerTitle#0,"""ประกาศ"""
PaidShop_Top_BannerWebOperation#0,"""<%NextTabDetails> เพื่อดูรายละเอียดผ่านหน้าเว็บ"""
PaidShop_Top_OperationHelp#0,"""ตกลง: <%Decide>\u3000\u3000กลับ: <%Cancel>\u3000สลับประกาศ: <%TabForward><pict 4space><%TabBack>\u3000\u3000เปิดหน้าเว็บ: <%NextTabDetails>"""
PaidShop_LimitedItemTitle01#0,"""ข้อมูลสินค้า"""
PaidShop_LimitedItemTitle02#0,"""<yellow>ไอเทมจำกัดเวลา<c>"""
PaidShop_LimitedItemTitle03#0,"""<yellow>ไอเทมจำกัดจำนวน<c>"""
LimitedItemText1#0,"""ซื้อได้ $(0) ชิ้น (ต่อบัญชี)"""
LimitedItemText2#0,"""เหลือ $(0) ชิ้น"""
LimitedTime#0,"""จำหน่ายจนถึง $(0)"""
PacIteminfo_Title#0,"""ข้อมูลแพ็กไอเทม"""
PacIteminfo_Bonus#0,"""※จะถูกส่งไปยัง Visiphone หลังจากซื้อ"""
PacIteminfo_Possession#0,"""มีอยู่ ($(0))"""
LimitedResetShop_Limited1#0,"""<yellow>(รีเซ็ต: $(0) วัน)<c>"""
LimitedResetShop_Limited2#0,"""<yellow>(รีเซ็ต: $(0) ชั่วโมง)<c>"""
LimitedResetShop_Limited3#0,"""<yellow>(รีเซ็ต: $(0) นาที)<c>"""
LimitedResetShop_Limited4#0,"""<yellow>(รีเซ็ต: น้อยกว่า 1 นาที)<c>"""
PacIteminfo_HelpText#0,"""เปิดข้อมูลแพ็กไอเทม: <%NextTabDetails><br><yellow>กรุณาตรวจสอบข้อมูลสำหรับสถานะการลงทะเบียนไอเทม<c>"""
ItemShop_Title#0,"""ร้านค้าไอเทม"""
ItemShop_Help#0,"""ซื้ออาวุธ ชุดป้องกัน และไอเทมใช้งาน รวมถึงเติม Signs"""
ItemPac_buy#0,"""ซื้อเข้าช่องเก็บของ"""
WarehouseAll_buy#0,"""ซื้อเข้าคลังเก็บของทั้งหมด"""
WarehousePost_buy#0,"""<pict wh_post_icon> ซื้อเข้าคลังเก็บของชั่วคราว"""
WarehouseSystemPost_buy#0,"""<pict wh_management> ซื้อเข้าคลังเก็บของระบบ"""
WarehouseDefault_buy#0,"""<pict wh_icon> ซื้อเข้าคลังเก็บของพื้นฐาน"""
WarehouseCharacter_buy#0,"""<pict wh_chara_icon> ซื้อเข้าคลังเก็บของตัวละคร"""
WarehousePremiere_buy#0,"""<pict wh_premium_icon> ซื้อเข้าคลังเก็บของพรีเมียม"""
OneTimePassward_buy#0,"""<pict wh_otp_icon> ซื้อเข้าคลังเก็บของ OTP"""
WarehouseEs_buy#0,"""<pict wh_es_icon> ซื้อเข้าคลังเก็บของ PSO2es"""
WarehouseGlobal_buy#0,"""<pict wh_global_icon> ซื้อเข้าคลังเก็บของ Mission Pass"""
WarehouseDish_buy#0,"""<pict wh_dish_icon> ซื้อเข้าคลังเก็บของวัตถุดิบ"""
WarehouseAddition01_buy#0,"""<pict wh_extend1_icon> ซื้อเข้าคลังเก็บของส่วนขยาย 1"""
WarehouseAddition02_buy#0,"""<pict wh_extend2_icon> ซื้อเข้าคลังเก็บของส่วนขยาย 2"""
WarehouseAddition03_buy#0,"""<pict wh_extend3_icon> ซื้อเข้าคลังเก็บของส่วนขยาย 3"""
WarehouseAddition04_buy#0,"""<pict wh_extend4_icon> ซื้อเข้าคลังเก็บของส่วนขยาย 4"""
WarehouseAddition05_buy#0,"""<pict wh_extend5_icon> ซื้อเข้าคลังเก็บของส่วนขยาย 5"""
WarehouseAddition06_buy#0,"""<pict wh_extend6_icon> ซื้อเข้าคลังเก็บของส่วนขยาย 6"""
WarehouseAddition07_buy#0,"""<pict wh_extend7_icon> ซื้อเข้าคลังเก็บของส่วนขยาย 7"""
WarehouseDrop_buy#0,"""<pict wh_quest_icon> ซื้อเข้าคลังเก็บของดรอป"""
WarehousePool_buy#0,"""<pict wh_pool_icon> ซื้อเข้าคลังเก็บของเควสต์"""
ItemPac_sell#0,"""<pict wh_item_icon> ขายจากช่องเก็บของ"""
WarehouseAll_sell#0,"""<pict wh_all_icon> ขายจากคลังเก็บของทั้งหมด"""
WarehousePost_sell#0,"""<pict wh_post_icon> ขายจากคลังเก็บของชั่วคราว"""
WarehouseSystemPost_sell#0,"""<pict wh_management> ขายจากคลังเก็บของระบบ"""
WarehouseDefault_sell#0,"""<pict wh_icon> ขายจากคลังเก็บของพื้นฐาน"""
WarehouseCharacter_sell#0,"""<pict wh_chara_icon> ขายจากคลังเก็บของตัวละคร"""
WarehousePremiere_sell#0,"""<pict wh_premium_icon> ขายจากคลังเก็บของพรีเมียม"""
OneTimePassward_sell#0,"""<pict wh_otp_icon> ขายจากคลังเก็บของ OTP"""
WarehouseGlobal_sell#0,"""<pict wh_global_icon> ขายจากคลังเก็บของ Mission Pass"""
WarehouseEs_sell#0,"""<pict wh_es_icon> ขายจากคลังเก็บของ PSO2es"""
WarehouseDish_sell#0,"""<pict wh_dish_icon> ขายจากคลังเก็บของวัตถุดิบ"""
WarehouseAddition01_sell#0,"""<pict wh_extend1_icon> ขายจากคลังเก็บของส่วนขยาย 1"""
WarehouseAddition02_sell#0,"""<pict wh_extend2_icon> ขายจากคลังเก็บของส่วนขยาย 2"""
WarehouseAddition03_sell#0,"""<pict wh_extend3_icon> ขายจากคลังเก็บของส่วนขยาย 3"""
WarehouseAddition04_sell#0,"""<pict wh_extend4_icon> ขายจากคลังเก็บของส่วนขยาย 4"""
WarehouseAddition05_sell#0,"""<pict wh_extend5_icon> ขายจากคลังเก็บของส่วนขยาย 5"""
WarehouseAddition06_sell#0,"""<pict wh_extend6_icon> ขายจากคลังเก็บของส่วนขยาย 6"""
WarehouseAddition07_sell#0,"""<pict wh_extend7_icon> ขายจากคลังเก็บของส่วนขยาย 7"""
WarehouseDrop_sell#0,"""<pict wh_quest_icon> ขายจากคลังเก็บของดรอป"""
WarehousePool_sell#0,"""<pict wh_pool_icon> ขายจากคลังเก็บของเควสต์"""
Bay#0,"""ซื้อ"""
Sell#0,"""ขาย"""
BayBuck#0,"""ซื้อคืน"""
Buck#0,"""กลับ"""
Decision#0,"""ยืนยัน"""
Recommended#0,"""แนะนำ"""
Shop_Present#0,"""รับของขวัญ (รับได้ 1 ครั้งต่อบัญชี)"""
Shop_Present_Done#0,"""รับแล้ว"""
Shop_Present_Receive1#0,"""รับของขวัญจากร้านค้าแล้ว:<br>$(0)×$(1)<br><br>ขอบคุณที่มาเยี่ยมชมร้านของเรา!"""
Shop_Present_Receive2#0,"""รับของขวัญจากร้านค้าแล้ว:<br>$(0)×$(1)<br><br>ขอบคุณที่มาเยี่ยมชมร้านของเรา!<br><pure_orange>ขณะนี้มีไอเทมกำลังลดราคา<c><br>เชิญแวะชมได้เลย!"""
Shop_Present_Message1#0,"""ไม่สามารถรับของขวัญได้เนื่องจากคุณรับไปแล้ว หรือหมดเขตการรับแล้ว"""
Shop_Present_Message2#0,"""ไม่สามารถรับของขวัญได้"""
SelectLockItemMessage1#0,"""ไม่สามารถเลือกไอเทมที่กำลังสวมใส่หรือถูกล็อกอยู่ได้"""
