TitleLogo_Enter#0,"""按ENTER鍵開始"""
VitaEndText#0,"""『夢幻之星ONLINE2』於2020年9月16日（星期二）<br>結束了“PS Vita”版的運營。<br><br>衷心感謝玩家們長久以來對“PS Vita”的支持。<br><br>若想在其他平台繼續遊玩<br>可參照以下頁面。<br>　<&URL pso2.jp_players_news_25893_>"""
LoginIdSelect_window_size#0,"""窗口/文字尺寸設置"""
LoginIdSelect_window_size_Title#0,"""窗口/文字尺寸設置"""
LoginIdSelect_window_size_Message#0,"""請設置在遊戲中顯示的<br>窗口與文字的大小。<br>※『PSO2：NGS』線路專用<br><br><soft_yellow>※若選擇大，<br>　則一部分窗口有可能會覆蓋其他窗口。<c>"""
LoginIdSelect_window_size_normal#0,"""普通"""
LoginIdSelect_window_size__large#0,"""大"""
Window_size_ngs#0,"""『PSO2：NGS』設置"""
Window_size_pso2#0,"""『PSO2』設置"""
WindowInitCheck_Title#0,"""確認變更尺寸設置"""
WindowInitCheck_Text#0,"""變更窗口與文字的尺寸後，<br>所有窗口的位置と<br>アイテムの表示形式が初期化されます。都將初始化。<br>確定麼？"""
LoginIdSelect_Sega#1,"""登入遊戲"""
LoginIdSelect_UserInfo#1,"""變更玩家的登録資料"""
LoginIdSelect_Credit#1,"""播放工作人員列表"""
LoginIdSelect_GameEnd#1,"""結束遊戲"""
LoginIdSelect_LinkSegaId#1,"""綁定SEGA ID"""
LoginIdSelect_SegaId_Link#1,"""遷移到SEGA ID"""
LoginVita#1,"""登入並開始遊戲"""
LoginCloud#1,"""登入遊戲"""
LoginIdSelect_es#1,"""關於和PSO2es聯動的説明"""
LoginIdSelect_LanguageSetting#1,"""設置遊戲中的文本語言"""
LoginIdSelect_window_size_Title#1,"""設置窗口和文本大小"""
ShipStatus_0#0,"""維護中暫不開放"""
ShipStatus_1#0,"""標準"""
ShipStatus_2#0,"""擁擠"""
ShipStatus_3#0,"""滿載"""
ShipStatus_4#0,"""休止中"""
ShipStatus#0,"""擁擠狀況"""
CharaMax#0,"""這艘艦船的角色人數已滿<br>暫時無法創立新角色"""
TitleEpochLag#0,"""通知"""
NotifyEpochLag#0,"""目前使用環境中的時間設定與<br>現在的日期時間有很大的差異。<br><br>可能會對遊戲内的各種功能及顯示等<br>部分動作産生影響。<br><br>建議將時間調為正確時刻後，<br>重新起動後<br>再進行遊戲。<br><br>[No.2305]"""
FormName#0,"""請輸入電子郵件認證碼"""
Message#0,"""發現遊戲環境已經變更。<br><br>在此環境下遊玩<br>必須以電子郵件認證碼進行登入。"""
Send#0,"""確定"""
Reload#0,"""重新寄送電子郵件認證碼"""
Cancel#0,"""返回"""
Error#0,"""將電子郵件認證碼<br>發送到了SEGA ID所登録的電子郵件信箱。"""
MessageVitaLink#0,"""發現遊戲環境已經變更。<br><br>在此環境下遊玩<br>必須以電子郵件認證碼進行登入。"""
UnreceivedSOS#0,"""如果您沒有收到電子郵件，請點此處"""
FormName#1,"""一次性密碼認證"""
Notice#0,"""請使用<yellow>半角<c>輸入OTP密碼。<br><br>OTP只有<br><yellow>1分鐘<c>有效期。<br>超時請重新獲取OTP密碼。<br><br>如果錯誤<red>連續6次<c>，帳號將會被鎖定。<br>解鎖請參考官網情報。"""
Send#1,"""確定"""
Cancel#1,"""返回"""
WebLinkButton#0,"""無法認證請點擊此處"""
FormName#2,"""輸入玩家ID名稱"""
Notice#1,"""玩家ID名稱，<br>是在『夢幻之星ONLINE2』的世界中<br>用來判別各玩家用的名稱。<br><br>設定完成的玩家ID名稱<br><yellow>將對所有玩家公開。<c><br><br>無法設定為與其他玩家重複的玩家ID名稱，<br>敬請注意。<br><br>不僅限於半角文字，也可輸入<yellow>全角文字。<br><c><red>※漢化組提示：<br>　不建議使用原版字體無法顯示的字符（如：簡體中文）<c>"""
Change_FormName#0,"""變更玩家ID名稱"""
Change_Notice#0,"""玩家ID名稱變更。<br><br>所設定的玩家ID名稱<br><yellow>將對其他玩家公開。<c><br><br>請注意無法設定為與其他玩家重複的ID名稱。<br><br><yellow>玩家ID名稱變更<br>30天以內只能執行一次。<c><br><br>除半角文字以外，<yellow>也可使用全角文字。<c>"""
Send#2,"""確定"""
Cancel#2,"""返回"""
Error1#0,"""玩家ID名稱可能包含<br>無法使用的符號，<br>或玩家ID名稱的前後<br>包含了半角或全角空白符號。"""
Error2#0,"""玩家ID名稱<br>包含無法使用的文字。"""
Error3#0,"""由於玩家ID名稱<br>與SEGA ID相同的文字<br>因為安全因素無法使用。<br><br>請以其他内容進行登録。<br><br>錯誤編碼[2300]"""
Error4#0,"""此玩家ID名稱<br>已被其他玩家所使用。"""
NameError_Unchanged#0,"""玩家ID名稱沒有變更，<br>取消。"""
MobileError1#0,"""因為尚未與<yellow>『夢幻之星ONLINE2 es』<c><br>創立的角色進行聯動，<br>因此無法進行遊戲。<br><br>請回到<yellow>『夢幻之星ONLINE2 es』<br>完成角色連動程序後<br>再重新登録。<c><br><br>詳情請參照線上指南。<br>按下（確定）以下的連結，<br>就會打開瀏覽器。<br><&URL pso2_players_manual>"""
MobileError1_v#0,"""因為尚未與<yellow>『夢幻之星ONLINE2 es』<c><br>創立的角色進行連動，<br>因此無法進行遊戲。<br><br>請回到<yellow>『夢幻之星ONLINE2 es』<br>完成角色連動程序後<br>再重新登録。<c><br><br>詳情請參照線上指南。"""
MobileMessage1#0,"""與<yellow>『夢幻之星ONLINE2 es』<c><br>的角色聯動完成。"""
FormName#3,"""確認玩家ID名稱"""
Notice#2,"""使用以下的玩家ID名稱進行登録。<br>確定麼？<br><br><br><yellow>※登録後，可使用AC變更。<c>"""
Back#0,"""返回"""
Back_Help#0,"""玩家ID名稱<br>回到輸入畫面。"""
Send#3,"""登録"""
Send_Help#0,"""前進到登録程序。"""
Notice_Change#0,"""登録為以下的玩家ID名稱。<br>確定麼？"""
Success_Change#0,"""玩家ID名稱變更成功。"""
Failure_Change#0,"""玩家ID名稱變更失敗。"""
ErrorNoTicket#0,"""沒有玩家ID名稱變更權，<br>未能變更名稱。"""
ErrorName#0,"""無法使用這個玩家ID名稱。<br>請輸入其他名稱。"""
ErrorDone#0,"""玩家ID名稱變更已經停止，<br>未能變更名稱。"""
ErrorUnchanged#0,"""玩家ID名稱沒有變更，<br>取消。"""
ErrorOther#0,"""發生系統錯誤，<br>未能變更名稱。"""
ErrorTime#0,"""自上次變更角色名稱起<br>還未經過30天，<br>未能變更名稱。"""
Title#1,"""登入"""
TitleAndShip#0,"""登入（連接服務器：$(0)）"""
TitleFacebook#0,"""facebook 登入"""
Button_Ok#0,"""登入"""
Button_Cancel#0,"""返回"""
Button_Facebook#0,"""用facebook ID登入"""
Caption_IdName#0,"""SEGA ID"""
Caption_PassWord#0,"""密碼"""
Check_SaveAccount#0,"""記住帳號"""
Check_SavePassWord#0,"""記住密碼"""
ID_Help_Vita#0,"""將以“PlayStation Network”帳號與SEGA ID進行綁定。<br>請輸入已登録的SEGA ID與密碼。"""
ID_Success_Title#0,"""綁定完成"""
ID_Success_Text#0,"""“PlayStation Network”帳號與SEGA ID綁定完成。"""
ID_Help_Vita_EasyLogin#0,"""<yellow>“PS Vita”版無法使用「便捷登入」。<c><br><br>輸入沒有遊玩過『PSO2』的SEGA ID，<br>並綁定“PlayStation Network”帳號後，<br>即可繼續使用「便捷登入」的數據進行遊玩。<br><br>※也可繼續使用至“PS Vita”版、“PS4”版中。"""
Button_SegaID#0,"""在這裡申請SEGA ID"""
Description_Switch#0,"""按<pict Switch_Y><yellow>刪除1個字符<c>"""
Button_EasyLogin#0,"""便捷登入"""
Button_EasyLogin2#0,"""<yellow>便捷登入<c>"""
Button_EasyLoginSega#0,"""從便捷登入切換為SEGA ID"""
Button_EasyLoginSega2#0,"""從便捷登入切換為SEGA ID"""
Button_EasyLoginData#0,"""切換為SEGA ID"""
Button_Next#0,"""下一頁"""
Button_Login_Vita#0,"""綁定並登入"""
EasyLogin_Info#0,"""按下<yellow>「便捷登入」<c>按鈕後<br>可以無需使用SEGA ID，立刻開始遊玩。<br>（可以在之後切換為SEGA ID）"""
SegaID#0,"""切換為SEGA ID"""
EasyLogin_SegaHelp#0,"""將從便捷登入切換為SEGA ID。<br>迄今為止所遊玩的數據將會被繼承。<br>請輸入已取得的SEGA ID與密碼。<br><br>※請輸入從未遊玩過『PSO2』的SEGA ID。"""
Confirm_Title#0,"""確認瀏覽器起動"""
Confirm_Message#0,"""起動瀏覽器，前往Web頁面。<br>遊戲會因此中斷，確定麼？<br> <br>※重開遊戲後會返回遊戲標題界面。"""
EasyLogin_Message_Vita#0,"""將以目前使用中的“PlayStation Network”帳號與SEGA ID進行綁定。<br>請輸入想要綁定的SEGA ID。<br><br><yellow>※一旦綁定將無法解除。<br>　若使用了家人或朋友的帳號，<br>　則無法與自己的帳號進行綁定<br>　因此還請事先確認好要如何搭配組合。<c>"""
EasyLogin_Message_PS4#0,"""將以目前使用中的“PlayStation Network”帳號與SEGA ID進行綁定。<br>請輸入想要綁定的SEGA ID。<br><br><yellow>※一旦綁定將無法解除。<br>　若使用了家人或朋友的帳號，<br>　則無法與自己的帳號進行綁定<br>　因此還請事先確認好要如何搭配組合。<c>"""
Button_VeryEasyLogin_Easy#0,"""<yellow>便捷登入<c>"""
Button_VeryEasyLogin_Normal#0,"""使用SEGA ID登入"""
OpenId_LinkSegaId_MessageTitle#0,"""訊息"""
OpenId_LinkSegaId_MessageLinked#0,"""已經綁定了SEGA ID。"""
OpenId_LinkSegaId_ConfirmSegaIdTitle#0,"""關於SEGA ID的綁定"""
OpenId_LinkSegaId_ConfirmSegaIdText#0,"""綁定SEGA ID後，可以使用<br>\u3000・在其他平台上進行遊玩<br>\u3000・使用一次性密碼<br>等便利的服務。<br><br>※在綁定後，可以隨意選擇外部服務ID或SEGA ID進行登入。"""
OpenId_LinkSegaId_FormTitle#0,"""綁定SEGA ID"""
OpenId_LinkSegaId_FormText#0,"""將以登入時使用過的外部服務ID與SEGA ID進行綁定。<br>請輸入已取得的SEGA ID與密碼。<br><br>※請輸入從未遊玩過『PSO2』的SEGA ID。"""
Button_Link#0,"""綁定"""
OpenId_LinkSegaId_Complete#0,"""與SEGA ID綁定完成。"""
SegaId_Link_FormTitle#0,"""關於遷移為SEGA ID"""
SegaId_Link_WebLink#0,"""使用SEGA ID遊玩的方法"""
SegaId_Link_Message#0,"""將把Hangame ID的遊玩數據遷移至SEGA ID。<br><br>由於遷移後必須安裝其他客戶端，<br>還請在「使用SEGA ID遊玩的方法」中<br>確認關於遷移的注意事項。<br><br><yellow>※遷移SEGA ID後，將無法使用Hangame ID進行遊玩<br>　或是使用Hancoin購買「AC」。<c>"""
SegaId_Link_FormTitle2#0,"""SEGA ID遷移"""
SegaId_Link_Message2#0,"""將把Hangame ID的遊玩數據遷移至SEGA ID。<br>請輸入已取得的SEGA ID與密碼。<br>※請輸入從未遊玩過『PSO2』的SEGA ID。<br><yellow>※遷移SEGA ID後，將無法使用Hancoin購買「AC」<br>　　推薦先確認好Hancoin的餘額。<c>"""
SegaId_Link_Ok#0,"""遷移"""
SegaId_Link_FormTitle3#0,"""確認遷移"""
SegaId_Link_Message3#0,"""這是將Hangame ID的遊玩數據遷移至SEGA ID的<br>最終確認界面。<br>確定要遷移麼？<br><br>※遷移SEGA ID後，將無法使用Hangame ID進行遊玩<br>　或是使用Hancoin購買「AC」。<br>　<yellow>推薦先確認好Hancoin的餘額<c>。<br><br><yellow>若要進行SEGA ID的遷移，<br>　<br>　請按住鍵盤的[Ctrl]鍵，再點選「是」按鈕。<c>"""
SegaId_Link_FormTitle4#0,"""遷移完成"""
SegaId_Link_Message4#0,"""將遊玩數據遷移至SEGA ID完成。<br>即將關閉Hangame客戶端。<br><br>若要使用SEGA ID遊玩，請通過下方頁面的引導<br><yellow>安裝新客戶端<c>。<br><&URL pso2_players_hange><br><yellow>※下次再起動Hangame版客戶端<br>　將使用新帳號開始遊戲。<c><br>"""
SegaId_Link_Title#0,"""SEGA ID遷移"""
SegaId_Link_Title_Message#0,"""可以把Hangame ID的遊玩數據遷移至SEGA ID。<br>要開始遷移遊玩數據麼？"""
Title#2,"""致受到了朋友邀請的玩家"""
Message#1,"""若是知道朋友的玩家ID<br>則以<yellow>半角數字<c>輸入此ID後<br>將會根據您角色的成長情況<br>贈送給您能在遊戲初期派上用場的道具！<br>（※道具也可通過其他方法獲得。）<br><br>選擇「不使用」則將不進行輸入，直接開始遊戲。"""
Regist#0,"""確定"""
NotRegist#0,"""不使用"""
CanInvitedSystemErrorMessage#0,"""發生系統錯誤。<br>請稍待片刻，再重新嘗試。<br><br>[No.2301]"""
InvitedNotExistErrorMessage#0,"""在<yellow>$(1)<c>中<br>不存在玩家ID為<yellow>$(0)<c>的玩家角色。<br>請檢査輸入的玩家邀請碼，或登入的艦船<br>是否正確。"""
InvitedSystemErrorMessage#0,"""發生系統錯誤。<br>請稍待片刻，再重新嘗試。<br><br>[No.2301]"""
StartMenu_CharaSelect#0,"""選擇/創建角色"""
StartMenu_Regist#0,"""-"""
StartMenu_SupportMenu#0,"""輔助菜單"""
StartMenu_InviteMenu#0,"""朋友邀請系統"""
StartMenu_LoginHistory#0,"""登入記録"""
StartMenu_Credit#0,"""工作人員列表(漢化群：21587709)"""
StartMenu_GameEnd#0,"""遊戲結束"""
StartMenu_ReturnTitle#0,"""回到標題界面"""
StartMenu_Back#0,"""登出"""
StartMenu_OnlineManualURL#0,"""http://pso2.jp/players/manual/"""
StartMenu_OnlineManualURLVita#0,"""http://pso2.jp/players/manual/"""
StartMenu_InviteText#0,"""若在『夢幻之星ONLINE2』的世界裡<br>邀請其他朋友，<br>朋友在遊戲進行到一定程度時<br>兩人均可獲得珍貴禮物<br><br>邀請者的玩家邀請碼：　<yellow>$(0)<c><br>邀請者的所在艦船：　<yellow>$(1)<c><br><br>請將這些資料貼在電子郵件裡<br>寄給想邀請的朋友。<br><br>要複製到剪貼板麼？"""
StartMenu_InviteText_v#0,"""若在『夢幻之星ONLINE2』的世界裡<br>邀請其他朋友，<br>朋友在遊戲進行到一定程度時<br>兩人均可獲得珍貴禮物<br><br>邀請者的玩家邀請碼：　<yellow>$(0)<c><br>邀請者的所在艦船：　<yellow>$(1)<c><br><br>請確認自己的「玩家邀請碼」和「所在艦船」<br>告知想邀請的朋友。"""
StartMenu_ClipboardText#0,"""若使用朋友邀請系統開始遊玩『夢幻之星ONLINE2』，和朋友都能獲得珍貴道具作為禮物！<br>登録時請輸入以下内容。<br>朋友所在的艦船：$(1)<br>朋友的玩家邀請碼：$(0)"""
StartMenu_Credit_NGS#0,"""『PSO2:NGS』"""
StartMenu_Credit_PSO2#0,"""『PSO2』"""
StartMenu_CharaSelect#1,"""可選擇想登入的角色，<br>或重新創立新角色"""
StartMenu_Regist#1,"""-"""
StartMenu_SupportMenu#1,"""可以調整各種設定"""
StartMenu_InviteMenu#1,"""可將朋友<br>邀請至遊戲中"""
StartMenu_LoginHistory#1,"""可瀏覽<br>登入記録"""
StartMenu_Credit#1,"""播放工作人員列表"""
StartMenu_GameEnd#1,"""結束遊戲"""
StartMenu_ReturnTitle#1,"""回到主要畫面"""
SupportMenu_PcAccept#0,"""PC認證"""
SupportMenu_Configuration#0,"""設置"""
SupportMenu_UserInfo#0,"""變更玩家資料"""
SupportMenu_UserInfo_v#0,"""變更玩家資料（前往遊戲官網）"""
SupportMenu_SegaId#0,"""確認SEGA ID"""
SupportMenu_OnlineManual#0,"""遊戲百科"""
SupportMenu_ChangeIDName#0,"""玩家ID名稱變更<pict 4space><pict Arcscash>"""
SupportMenu_CordInput#0,"""-"""
SupportMenu_Configuration2#0,"""操作設置"""
Title#3,"""輔助菜單"""
SegaIdForm_Title#0,"""確認SEGA ID"""
SegaIdForm_Message#0,"""您的SEGA ID是<br>$(0)。"""
Confirm_Title#1,"""確認啟動瀏覽器"""
Confirm_Message#1,"""起動瀏覽器，前往Web頁面。<br>遊戲會因此中斷，確定麼？"""
ConsumeCheck#0,"""<pict Arcscash><pict 4space><c ff4f3f>AC消費内容<c><br>變更玩家ID名稱需要<br>「玩家ID名稱變更權」。<br><br><yellow>・玩家ID名稱的變更，<br>\u3000一個遊戲帳號<yellow>30天以內只能變更一次。<c><br><br>・<red>其他玩家正在使用中<c>，亦是<red>使用過<c>的<br>\u3000名字則無法變更。（此時已購入的玩家ID名稱變更權<br>\u3000將不會消耗）<br><br>是否要用$(0)AC購買玩家ID名稱變更權。<br><br><yellow>持有AC：$(1)<c>"""
ChargeTitle#0,"""確認AC充值"""
ChargeMessage#0,"""AC不足。<br>要充值AC麼？"""
ChargeMessage_v#0,"""AC不足。<br>要充值AC麼？<br><br><yellow>※將起動瀏覽器，並移動至網頁。<br>遊戲將被中斷並登出。<c>"""
TimeOutMessage#0,"""沒有回應。<br><br>[No.2302]"""
ErrorDone#1,"""已經變更過。<br>玩家ID名稱變更只能執行一次。"""
ErrorOther#1,"""發生系統錯誤。<br>請稍待片刻，再重新嘗試。<br><br>[No.2301]"""
ErrorHas#0,"""已持有「玩家ID名稱變更權」，<br>不需要再購買。"""
BuyFailure#0,"""購買失敗。"""
ShortageAC#0,"""AC不足，購買失敗。"""
BuySuccess#0,"""購買成功。"""
ErrorTime#1,"""由於距上次更改玩家ID名稱<br>尚未超過$(0)日，<br>未能購買玩家ID名稱變更權。<br><br>距離可在更改的剩餘時間：$(1)"""
PlayerIDNameConfirm#0,"""確認使用名稱"""
PlayerIDNameConfirmMessage1#0,"""・請輸入想要的玩家ID，<br>按下確認能否使用按鈕。<br>\u3000※確認ID能否使用<br>不會消耗AC或玩家ID名稱變更權。<br><br>不僅是半角文字，<yellow>也能使用全角文字。<c>"""
PlayerIDNameConfirmButton#0,"""確認能否使用"""
PlayerIDNameConfirmMessage2#0,"""・這個玩家ID名稱可以使用。<br>\u3000請使用玩家ID名稱變更權<br>以改變ID。<br><br>・現在ID還沒有變更。<br>\u3000如果在變更ID的時候<br>\u3000別的玩家使用了同樣的ID便無法更改了。"""
PlayerIDNameConfirmMessage3#0,"""・這個ID無法使用。<br>\u3000請輸入此外的ID。<br>"""
PlayerIDNameConfirmMessage4#0,"""・ID變更已經停止，<br>\u3000不能變更。<br>"""
PlayerIDNameConfirmMessage5#0,"""・發生了系統錯誤。<br>\u3000請過一會後重試。<br>"""
SupportMenu_PcAccept#1,"""PC認證的ON/OFF及變更登録資料"""
SupportMenu_Configuration#1,"""變更畫面及聲音設定等項目"""
SupportMenu_UserInfo#1,"""變更玩家的登録資料"""
SupportMenu_OnlineManual#1,"""顯示遊戲百科"""
SupportMenu_ChangeIDName#1,"""玩家ID名稱變更"""
SupportMenu_CordInput#1,"""-"""
SupportMenu_SegaId#1,"""確認您的SEGA ID"""
SupportMenu_Configuration2#1,"""更改操作設置"""
CharaSelectMenu_Decide#0,"""開始遊戲【PSO2:NGS】"""
CharaSelectMenu_Decide_Classic#0,"""開始遊戲【PSO2】"""
CharaSelectMenu_Create#0,"""重新創立"""
CharaSelectMenu_Delete#0,"""刪除角色"""
CharaSelectMenu_Setting#0,"""各種手續"""
CharaSelectMenu_Send#0,"""確定"""
CharaSelectMenu_Cancel#0,"""取消"""
CharaSelectMenu_Back#0,"""返回"""
