Title_DeadMenu#0,"""Incapacitation Menu"""
Title_RetrySelect#0,"""Retry Selection"""
Message_Retry#0,"""Would you like to retry the quest?<br><br><red>By retrying, you will be reset to<br>before the start of the quest.<c>"""
FastTravelTerminal_Revival#0,"""Use the Ryuker Device"""
FastTravelTerminal_Revival_NoReward#0,"""リューカーデバイス前に戻ります<br>よろしいですか？"""
FastTravelTerminal_Revival_NoReward_name#0,"""$(0)の<br>リューカーデバイス前に戻ります<br>よろしいですか？"""
Central_Revival#0,"""Return to Central City?"""
Central_Revival_NoReward#0,"""Return to Central City?"""
Emergency_Revival#0,"""この場で復活\u3000"""
Emergency_Revival_Count#0,"""$(0)秒後"""
Prologue_Revival_message#0,"""このクエスト中は戦闘不能時に自動的に復活します。"""
Non_Text#0,"""Nothing to Display"""
Menu_Main#0,"""Main Menu"""
Menu_Sub#0,"""Sub Menu"""
Menu_Money#0,"""AC & SG Menu"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>Weapon Camoflage"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>My Shop"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>World Map"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>Message Pack"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>Tasks """
Category_Item#0,"""Item"""
Category_Equip#0,"""Equipment/Palette"""
Category_SubPallet#0,"""Subpalette"""
Category_Task#0,"""Tasks/Quest"""
Category_WorldMap#0,"""World"""
Category_LogOut#0,"""Logout"""
Category_Communication#0,"""Communication"""
Category_Personal#0,"""Personal"""
Category_Chat#0,"""Chat"""
Category_Info#0,"""Information"""
Category_System#0,"""System"""
Category_Scratch#0,"""Draw a Scratch"""
Category_ACShop#0,"""<pict ba_acshop>AC & SG Shop<pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop>SG Shop<pict StarGem>"""
Category_MyShop#0,"""My Shop"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>Recycle Items"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>Purchase History/Expirations"""
Category_Shop#0,"""Shop"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>Item Pack"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>Friend List"""
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>Party Commands"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>Team Commands"""
Popup_Mail#0,"""<pict ba_mail><pict 4space>Mail"""
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>ARKS Search"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>Communication History"""
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>Nearby Players"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>Character Information"""
Popup_Honor#0,"""<pict ba_title><pict 4space>Title"""
Popup_ArksCard#0,"""<pict ba_card><pict 4space>ARKS Card"""
Popup_Honor_ArksCard#0,"""Title/ARKS Card"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>Play Records"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>Group Chat Settings"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>Shortcut Word Settings"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>Autoword Settings"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>Symbol Arts"""
Popup_Information#0,"""<pict ba_info><pict 4space>Information"""
Popup_Help#0,"""<pict ba_help><pict 4space>Help"""
Popup_Option#0,"""<pict ba_option><pict 4space>Options"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>Receive Campaign Items"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>Item Code"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>Control Settings"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>Mag"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>Stamp"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>Draw a Scratch<pict 4space><pict Arcscash>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>Scratch Storage"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>Quest Information"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>Equip Weapons"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>Equip Armor"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>Subpalette"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>Edit Fashion"""
Popup_QuestMenue#0,"""Quest Menu"""
Operation_MenuCommon#0,"""メニュー配下のメニューガイドのコモン設定です。"""
MenuEquipmentOpen#0,"""Equip the Selected Item"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>Adjust Weapon Position"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus><pict 4space>Login Bonus"""
Menu_Matching_Blockade#0,"""緊急クエストのマッチング中は使用できません。"""
HealTank#0,"""Recovers 50% of your maximum HP."""
RecoveryMoonAtomizer#0,"""Revives nearby incapacitated players."""
HunterWarCry#0,"""<yellow>[Active Skill]<c><br>Draws the attention of all nearby enemies, and makes your attacks get enemy attention more easily for a set time.<br><yellow>※Main Class only.<c>"""
HunterIronWill#0,"""Allows you to survive damage that would incapacitate you with 1 HP. Makes you temporarily invincible after activating. <br><yellow>※Main Class only.<c>"""
HunterMassiveHunter#0,"""<yellow>[Active Skill]<c><br>For a set time, reduces damage taken and makes you immune to knockback and flinching from enemy attacks."""
HunterParryingPa#0,"""Boosts the damage of PAs if you are hit by an attack immediately after activating them.<br><yellow>※Hunter weapons only.<c>"""
HunterSwordGuardCounterPlus#0,"""When you successfully perform a Sword Guard Counter, you can input a normal attack for an additional counterattack."""
HunterSwordNormalAttackPlus#0,"""ソードによる通常攻撃段数が、<br>最大５段階に増加する。"""
HunterSwordAttackExtra#0,"""Increases the number of steps in your normal attack combo to 5.<br><yellow>※Sword only.<c>"""
HunterWeakHitAdvance#0,"""仮テキスト"""
HunterParryingCritical#0,"""仮テキスト"""
HunterCounterBoost#0,"""仮テキスト"""
HunterJustGuardDownBoost#0,"""仮テキスト"""
HunterSwordGuardCounter#0,"""Automatically performs a counterattack when you successfully Just Guard an attack with your Weapon Action.<br><yellow>※Sword only.<c>"""
HunterFlashGuard#0,"""Reduces all damage taken."""
HunterAllGuard#0,"""Makes Guard Weapon Actions protect you from all directions.<br><yellow>※Hunter weapons only.<c>"""
HunterParryingPPHeal#0,"""Recovers PP each time Hunter Art Avenge activates."""
HunterParryingPaJustGuard#0,"""Briefly blocks all damage from enemies when you use a PA.<br><yellow>※Hunter weapons only.<c>"""
HunterSlowFallCharge#0,"""Makes you descend more slowly in the air while charging a PA.<br><yellow>※Hunter weapons only.<c>"""
HunterTecArtsSkipAttack#0,"""Using different PAs from the same weapon in a row makes your normal attack combo skip to the 4th step, or to the final step if your normal attack combo length is 3 or less.<br><yellow>※Hunter weapons only.<c>"""
HunterSameArtsSkipAttack#0,"""Using one PA multiple times in a row makes your normal attack combo skip to the 3rd step.<br><yellow>※Hunter weapons only.<c>"""
HunterPartisanVolgraptor#0,"""Hold Weapon Action to fire a Photon Spear that counts damage dealt to its target. Explodes after a set time or when it takes enough damage.<br><yellow>※Partizan only.<c>"""
HunterPartisanAssaultCharge#0,"""Allows you to perform a chargable thrust attack by pressing the Weapon Action button with the correct timing after using a PA.<br><yellow>※Partizan only.<c>"""
HunterPartisanParryingAssaultCharge#0,"""Boosts the power of Assault Charge when used after a PA that was boosted by Hunter Art Avenge."""
HunterWLanceAttackExtra#0,"""Increases the number of steps in your normal attack combo to 4.<br><yellow>※Wired Lance only.<c>"""
HunterWLanceWAPlus#0,"""Alters the behavior of your Weapon Action when you use it while inputting a direction.<br><yellow>※Wired Lance only.<c>"""
HunterWLanceWAGuardPointPlus#0,"""Briefly blocks all damage from enemies when you activate your Weapon Action.<br><yellow>※Wired Lance only.<c>"""
RangerGaugeShotGun#0,"""<yellow>[Active Skill]<c><br>Adds a gauge that fills up when you deal damage with a rifle. Activate to consume the gauge and fire a short-range blast.<br><yellow>※Assault Rifle only.<c>"""
RangerGaugeShotGunAway#0,"""Adds invincibility time when you activate Spread Shot, and allows you to move further during the attack."""
RangerWeakBullet#0,"""<yellow>[Active Skill]<c><br>Fires a bullet that temporarily boosts damage dealt to the part it hits.<br><yellow>※Main Class/Assault Rifle only.<c>"""
RangerWeakBulletParse#0,"""Hiting a part affected by Weak Bullet enough times boosts damage dealt to that part even more and extends the duration of the effect.<br><yellow>※Main Class only.<c>"""
RangerWeaponActionAvoid#0,"""Grants temporary invincibility when you activate your Weapon Action.<br><yellow>※Assault Rifle only.<c>"""
RangerGrenadeTrap#0,"""Hold the Weapon Action button to attack with a grenade. If you input a direction, you fire the grenade. Otherwise, you set it as a mine.<br><yellow>※Assault Rifle only.<c>"""
RangerRangeBonus#0,"""仮テキスト"""
RangerDownChain#0,"""仮テキスト"""
RangerWeakHitAdvance#0,"""仮テキスト"""
RangerWeakBlastBonus#0,"""仮テキスト"""
RangerFallSlowAttack#0,"""Makes you descend more slowly in the air while using a normal attack.<br><yellow>※Ranger weapons only.<c>"""
RangerFallSlowCharge#0,"""Makes you descend more slowly in the air while charging a PA.<br><yellow>※Ranger weapons only.<c>"""
RangerClusterBombRecastReduce#0,"""Reduces the cooldown after activating your Weapon Action.<br><yellow>※Launcher only.<c>"""
RangerLauncherChargeConvergence#0,"""Tightens the spread on charged normal attacks if you fire while inputting forwards.<br><yellow>※Launcher only.<c>"""
RangerConditionBadGuard#0,"""Reduces the chance of status effects being applied to you."""
RangerConditionBadEase#0,"""Reduces the duration of status effects that are applied to you."""
ForcePhotonFlare#0,"""<yellow>[Active Skill]<c><br>Boosts weapon power and increases maximum PP for a set time.<br><yellow>※Main Class/Force weapons only.<c>"""
ForcePpConvert#0,"""<yellow>[Active Skill]<c><br>Boosts PP regeneration for a set time, but also reduces maximum HP."""
ForcePpConvertReCharge#0,"""Gives you more PP Convert stocks."""
ForceChargePpRevival#0,"""PP is not prevented from regenerating while you charge Techniques.<br><yellow>※Force weapons only.<c>"""
ForceChargeEscape#0,"""If you perform a Weapon Action or Step while charging a Technique, you will keep your charge. If you use that Technique again it will cost 0 PP and will charge more quickly.<br><yellow>※Rod only.<c>"""
ForceHeal#0,"""Whenever you use a Resta Sign, other nearby characters will also recover HP.<br><yellow>※Main Class only.<c>"""
ForceOverFlow#0,"""仮テキスト"""
ForcePhotonFlareTecShortCharge#0,"""While Photon Flare is active, Technique power is reduced, but their charge time is also reduced.<br><yellow>※Main Class/Force weapons only.<c>"""
ForcePhotonFlareAfterBurst#0,"""仮テキスト"""
ForcePhotonFlareBoost#0,"""仮テキスト"""
ForceRodCounterTechnic#0,"""Any Technique used immediately after successfully blocking an attack with a Guard or evading one with Step gains invincibility time.<br><yellow>※Rod only.<c>"""
ForcePhotonFlarePpRefrain#0,"""When Photon Flare ends, you regain PP based on how much PP you spent while Photon Flare was active.<br><yellow>※Main Class only.<c>"""
ForceNightmare#0,"""Recovers PP each time a nearby enemy is downed or defeated."""
ForceReflectCounterShot#0,"""Any Technique used immediately after successfully blocking an attack with a Guard also fires a Tech bullet of the same Attribute.<br><yellow>※Rod only.<c>"""
ForceRodCounterTecBonus#0,"""ロッド装備中、<br>ステップでの回避、<br>または武器アクションでのガード成功時、<br>テクニックを使用すると<br>無敵時間が発生する。"""
ForceRodAbsorption#0,"""Recovers PP if you do not attack or evade immediately after using a Technique.<br><yellow>※Rod only.<c>"""
ForceTalisConcentrate#0,"""If you throw the Talis after using a PA, your Techniques' power will be boosted and their PP consumption will be reduced, but the Talis will remain active for less time."""
ForceTalisQuickMarkShot#0,"""Using your Weapon Action without inputting a direction will attack multiple nearby enemies intermittently for a set time.<br><yellow>※Talis only.<c>"""
ForceTalisSetRevok#0,"""Pressing and holding the Weapon Action button will remove an active Talis.<br><yellow>※Talis only.<c>"""
ForcePpRestorate#0,"""Makes PP regenerate faster."""
ForceSlowFallCharge#0,"""Makes you descend more slowly in the air while charging a Technique.<br><yellow>※Force weapons only.<c>"""
ForceBartaBlot#0,"""Hitting enemies with uncharged Ice Techniques enough times engraves an Ice Crest on them. Hitting an enemy with an Ice Crest with a charged Ice Technique detonates the Ice Crest."""
ForceZondeClad#0,"""Hitting enemies with uncharged Lightning Techniques enough times puts you into an energized state. Your next charged Lightning Technique will deal more damage and remove the energized state."""
FighterLimitBreak#0,"""<yellow>[Active Skill]<c><br>Boosts weapon power for a set time, but also increases how much damage you take from enemies.<br><yellow>※Main Class/Fighter weapons only.<c>"""
FighterLimitBreakPhotonCharge#0,"""リミットブレイク終了時に、<br>PPが回復する。<br><yellow>このスキルはメインクラスのみ適用される。"""
FighterLimitBreakInsurance#0,"""During Limit Break, if you would be incapacitated by damage, you survive with 1 HP and become temporarily invincible, but Limit Break ends.<br><yellow>※Main Class only.<c>"""
KnuckleDodgeHeatRevenge#0,"""When you successfully evade an attack with your Weapon Action, your normal attack combo skips to its fifth step.<br><yellow>※Knuckles only.<c>"""
FighterKnuckleSwayCounterPlus#0,"""Using your Weapon Action after Knuckle Sway Counter activates will generate an additional counterattack."""
FighterKnuckleNormalAttackPlus#0,"""通常攻撃段数が、最大５段階に増加する。<br><yellow>※ナックル専用<c>"""
FighterPhotonFlood#0,"""仮テキスト"""
FighterUnFlatBonus#0,"""仮テキスト"""
FighterTecArtsJABonus#0,"""仮テキスト"""
FighterPPSlayer#0,"""仮テキスト"""
FighterKnuckleSwayCounter#0,"""Automatically counters attacks when you successfully evade an attack with your Weapon Action.<br><yellow>※Knuckles only.<c>"""
FighterChaseAdvance#0,"""Boosts damage dealt to enemies that are downed."""
FighterChaseAdvancePPRecovery#0,"""Increases PP recovery from attacking enemies that are downed."""
FighterTecArtsSkipAttack#0,"""Using different PAs from the same weapon in a row makes your normal attack combo skip to the 4th step, or to the final step if your normal attack combo length is 3 or less.<br><yellow>※Fighter weapons only.<c>"""
FighterSameArtsSkipAttack#0,"""Using one PA multiple times in a row makes your normal attack combo skip to the 3rd step.<br><yellow>※Fighter weapons only.<c>"""
FighterSkipArts#0,"""Using a PA without inputting a direction will skip to the second half of the PA.<br><yellow>※Fighter weapons only.<c>"""
FighterTDAnotherDerive#0,"""Pressing the normal attack button with the correct timing after using a PA will make you approach your target at high speed.<br><yellow>※Twin Daggers only.<c>"""
FighterTDSpinCounter#0,"""Pressing the normal attack button after successfully blocking an attack with your Weapon Action generates a counterattack.<br><yellow>※Twin Daggers only.<c>"""
FighterTDAttackExtra#0,"""Increases the number of steps in your normal attack combo to 4.<br><yellow>※Twin Daggers only.<c>"""
FighterDSDodgeWindCounter#0,"""Pressing the normal attack button after successfully blocking an attack with your Weapon Action will generate a counterattack.<br><yellow>※Double Saber only.<c>"""
FighterDSDodgeWindWACounter#0,"""Using your Weapon Action again after successfully blocking an attack with your Weapon Action will generate a special counterattack.<br><yellow>※Double Saber only.<c>"""
FighterDSDeadlyArcher#0,"""Holding the Weapon Action button with a stage 2 Kamaitachi active will transfer all of the Kamaitachi's energy into your weapon and throw it at the enemy.<br><yellow>※Double Saber only.<c>"""
FighterDSEnhanceAttack#0,"""Holding the normal attack button with a stage 2 Kamaitachi active will use all of the Kamaitachi's energy to generate a whirlwind.<br><yellow>※Double Saber only.<c>"""
GunnerChainTrigger#0,"""Activates when you hit with a charged PA. \""Chain Count\"" increases by hitting normal attacks. Hit with a charged PA again for a powerful \""Chain Finish\""<br><yellow>※Main Class/Twin Machineguns only.<c>"""
GunnerChainFinish#0,"""チェインフィニッシュ発生後に、<br>チェイントリガー中のチェイン数に応じて、<br>再発動が可能になるまでの<br>時間が短縮される。<br><yellow>このスキルはメインクラスのみ適用される。"""
GunnerChainFinishTimeBonus#0,"""Reduces Chain Trigger's cooldown time based on your Chain Count when you perform a Chain Finish.<br><yellow>※Main Class only.<c>"""
GunnerSRollArts#0,"""Press the PA button while performing your Weapon Action to consume PP and perform a very powerful attack.<br><yellow>※Twin Machineguns only.<c>"""
GunnerCounterPABurst#0,"""When you successfully evade an enemy attack with your Weapon Action, your next PA's power is boosted, but its PP consumption increases.<br><yellow>※Twin Machineguns only.<c>"""
GunnerChainBoost#0,"""When Chain Finish activates, the behavior of attacks during your Weapon Action change and your attack speed increases for a set time.<br><yellow>※Main Class/Twin Machineguns only.<c>"""
GunnerNeutralDeadApproach#0,"""When you use your Weapon Action without inputting a direction, it becomes a high-speed shoulder charge.<br><yellow>※Twin Machineguns only.<c>"""
GunnerPerfectKeeper#0,"""仮テキスト"""
GunnerChainFinishBonus#0,"""仮テキスト"""
GunnerNeoTime#0,"""仮テキスト"""
GunnerNeoTimeBlastBonus#0,"""仮テキスト"""
GunnerNeoTimePPRefresh#0,"""仮テキスト"""
GunnerAirAttackBonus#0,"""仮テキスト"""
GunnerReactionWeak#0,"""仮テキスト"""
GunnerFallSlowAttack#0,"""Makes you descend more slowly in the air while using a normal attack.<br><yellow>※Gunner weapons only.<c>"""
GunnerFallSlowCharge#0,"""Makes you descend more slowly in the air while charging a PA.<br><yellow>※Gunner weapons only.<c>"""
GunnerGaugeShotGun#0,"""<yellow>[Active Skill]<c><br>Adds a gauge that fills up when you deal damage with a rifle. Activate to consume the gauge and fire a short-range blast.<br><yellow>※Assault Rifle only.<c>"""
GunnerGaugeShotGunAway#0,"""Adds invincibility time when you activate Spread Shot, and allows you to move further during the move."""
GunnerAttackPPRestraint#0,"""Increases PP recovery from attacks."""
GunnerOverWhelm#0,"""Increases PP recovery when attacking non-boss enemies."""
TechterShiftaDeband#0,"""<yellow>[Active Skill]<c><br>Boosts damage dealt by and reduces damage dealt to you and characters near you for a set time.<br><yellow>※Main Class only.<c>"""
TechterPartyAssist#0,"""When you activate Shifta-Deband, the effect applies to all party members, even if they aren't within range.<br><yellow>※Main Class only.<c>"""
TechterWandElementChange#0,"""Whenever you use a charged Technique, your Tech Explosions change to match the Attribute of that Technique.<br><yellow>※Wand only.<c>"""
TechterWandElementDiscard#0,"""Press & the Weapon Action button to reset any changes made to your Tech Explosions by Wand Element Change.<br><yellow>※Wand only.<c>"""
TechterHeal#0,"""Boosts your recovery from Resta Signs. Whenever you use a Resta Sign, other nearby characters will also recover HP.<br><yellow>※Main Class only.<c>"""
TechterWandGuardCounter#0,"""Pressing the normal attack button after successfully blocking an attack with your Weapon Action generates a counterattack.<br><yellow>※Wand only.<c>"""
TechterAssistField#0,"""仮テキスト"""
TechterWandLovers#0,"""<yellow>[Active Skill]<c><br>Adds the ability to block enemy attacks to your normal attacks and prevents knockback and flinching for a set time.<br><yellow>※Wand only.<c>"""
TechterWandCounterReflection#0,"""Generates a Tech Explosion when you successfully block an enemy attack with your Weapon Action.<br><yellow>※Wand only.<c>"""
TechterShiftaStrike#0,"""Gives Shifta-Deband an additional effect that boosts the ability of attacks to down enemies.<br><yellow>※Main Class only.<c>"""
TechterShiftaAdvance#0,"""Gives Shifta-Deband an additional effect that boosts damage dealt to downed enemies.<br><yellow>※Main Class only.<c>"""
TechterDebandCut#0,"""Gives Shifta-Deband an additional effect that reduces the chance of players receiving status effects.<br><yellow>※Main Class only.<c>"""
TechterDebandPpReStraight#0,"""Gives Shifta-Deband an additional effect that boosts PP regeneration.<br><yellow>※Main Class only.<c>"""
TechterExtendAssist#0,"""Extends the duration of Shifta-Deband.<br><yellow>※Main Class only.<c>"""
TechterElementWeakBonus#0,"""Makes the Photon Blast gauge fill faster when attacking enemies with their Attribute weakness."""
TechterAwakeYell#0,"""Makes the Photon Blast gauge fill faster when boss enemies are nearby."""
TechterReverseBonus#0,"""Applies the effect of Shifta-Deband to revived allies.<br><yellow>※Main Class only.<c>"""
TechterWandGuardCounterEdge#0,"""Generates a shockwave when Wand Parry Counter activates."""
TechterFallSlowCharge#0,"""Makes you descend more slowly in the air while charging a PA or Technique.<br><yellow>※Techter Weapons only.<c>"""
TechterBartaBlot#0,"""Hitting enemies with uncharged Ice Techniques enough times engraves an Ice Crest on them. Hitting an enemy with an Ice Crest with a charged Ice Technique detonates the Ice Crest."""
TechterZondeClad#0,"""Hitting enemies with uncharged Lightning Techniques enough times puts you into an energized state. Your next charged Lightning Technique will deal more damage and remove the energized state."""
FighterKnuckleAttackExtra#0,"""Increases the number of steps in your Knuckles normal attack combo to 5."""
ForceTalisTecBurst#0,"""<yellow>[Active Skill]<c><br>Adds a gauge that fills as you attack enemies. Activate when the gauge is full for a special ranged attack.<br><yellow>※Talis only.<c>"""
TechterTalisTecBurst#0,"""<yellow>[Active Skill]<c><br>Adds a gauge that fills as you attack enemies. Activate when the gauge is full for a special ranged attack.<br><yellow>※Talis only.<c>"""
TechterTalisQuickMarkShot#0,"""Using your Weapon Action without inputting a direction will attack multiple nearby enemies intermittently for a set time.<br><yellow>※Talis only.<c>"""
TechterTalisSetRevok#0,"""Pressing and holding the Weapon Action button will remove an active Talis.<br><yellow>※Talis only.<c>"""
HealTank#1,"""Resta Sign"""
RecoveryMoonAtomizer#1,"""Reverser Sign"""
HunterWarCry#1,"""War Cry"""
HunterIronWill#1,"""Iron Will"""
HunterMassiveHunter#1,"""Massive Hunter"""
HunterParryingPa#1,"""Hunter Art <br>Avenge"""
HunterSwordGuardCounterPlus#1,"""Sword Guard <br>Counter Plus"""
HunterSwordNormalAttackPlus#1,"""ソードアタック<br>エクストラ"""
HunterSwordAttackExtra#1,"""Sword Attack <br>Extra"""
HunterWeakHitAdvance#1,"""ウィークヒット<br>アドバンスHu"""
HunterParryingCritical#1,"""パリングクリティカル"""
HunterCounterBoost#1,"""カウンター<br>ブースト"""
HunterJustGuardDownBoost#1,"""ジャストガード<br>リアクションブースト"""
HunterSwordGuardCounter#1,"""Sword Guard <br>Counter"""
HunterFlashGuard#1,"""Flash Guard"""
HunterAllGuard#1,"""All Guard"""
HunterParryingPPHeal#1,"""Hunter Art <br>Avenge PP Gain"""
HunterParryingPaJustGuard#1,"""Hunter Art <br>Just Parry"""
HunterSlowFallCharge#1,"""Slow Landing <br>Charge Hu"""
HunterTecArtsSkipAttack#1,"""Another Art <br>Skip Attack Hu"""
HunterSameArtsSkipAttack#1,"""Same Art <br>Skip Attack Hu"""
HunterPartisanVolgraptor#1,"""Vol Graptor"""
HunterPartisanAssaultCharge#1,"""Assault Charge"""
HunterPartisanParryingAssaultCharge#1,"""Assault Charge <br>Avenge"""
HunterWLanceAttackExtra#1,"""Wired Attack <br>Extra"""
HunterWLanceWAPlus#1,"""Wired Anchor <br>Advance"""
HunterWLanceWAGuardPointPlus#1,"""Wired Anchor <br>Just Parry"""
RangerGaugeShotGun#1,"""Spread Shot"""
RangerGaugeShotGunAway#1,"""Spread Shot <br>Quick Escape"""
RangerWeakBullet#1,"""Weak Bullet"""
RangerWeakBulletParse#1,"""Weak Bullet <br>Reinforce"""
RangerWeaponActionAvoid#1,"""Rifle Slide <br>Shot Advance"""
RangerGrenadeTrap#1,"""Rifle Grenadier"""
RangerRangeBonus#1,"""適正距離<br>リアクションボーナス"""
RangerDownChain#1,"""リアクションチェーン"""
RangerWeakHitAdvance#1,"""ウィークヒット<br>アドバンスRa"""
RangerWeakBlastBonus#1,"""ウィークヒット<br>ブラストボーナス"""
RangerFallSlowAttack#1,"""Slow Landing <br>Attack Ra"""
RangerFallSlowCharge#1,"""Slow Landing <br>Charge Ra"""
RangerClusterBombRecastReduce#1,"""Sticky Bomb <br>Quick Reload"""
RangerLauncherChargeConvergence#1,"""Launcher Charge <br>Grouping"""
RangerConditionBadGuard#1,"""Bad Condition <br>Resist"""
RangerConditionBadEase#1,"""Bad Condition <br>Reduce"""
ForcePhotonFlare#1,"""Photon Flare"""
ForcePpConvert#1,"""PP Convert"""
ForcePpConvertReCharge#1,"""PP Convert <br>Increase"""
ForceChargePpRevival#1,"""Tech Charge <br>PP Well Up"""
ForceChargeEscape#1,"""Rod Technique <br>Keep"""
ForceHeal#1,"""Resta Field Fo"""
ForceOverFlow#1,"""Overflow"""
ForcePhotonFlareTecShortCharge#1,"""Photon Flare <br>Short Charge"""
ForcePhotonFlareAfterBurst#1,"""Photon Flare <br>Afterburst"""
ForcePhotonFlareBoost#1,"""Photon Flare <br>Boost"""
ForceRodCounterTechnic#1,"""Rod React <br>Advance"""
ForcePhotonFlarePpRefrain#1,"""Photon Flare <br>PP Aftergain"""
ForceNightmare#1,"""Killing PP Gain"""
ForceReflectCounterShot#1,"""Elemental Bullet"""
ForceRodCounterTecBonus#1,"""ロッドカウンター<br>アドバンス"""
ForceRodAbsorption#1,"""Stay PP Gain"""
ForceTalisConcentrate#1,"""Talis Bloom <br>Stimulate"""
ForceTalisQuickMarkShot#1,"""Float Pillbox <br>Multi-Lock"""
ForceTalisSetRevok#1,"""Talis Bloom <br>Revoke"""
ForcePpRestorate#1,"""PP Recovery Up"""
ForceSlowFallCharge#1,"""Slow Landing <br>Charge Fo"""
ForceBartaBlot#1,"""Barta Blot"""
ForceZondeClad#1,"""Zonde Clad"""
FighterLimitBreak#1,"""Limit Break"""
FighterLimitBreakPhotonCharge#1,"""リミットブレイク<br>PPリカバリー"""
FighterLimitBreakInsurance#1,"""Limit Break <br>Endurance"""
KnuckleDodgeHeatRevenge#1,"""Knuckle Attack <br>Switch"""
FighterKnuckleSwayCounterPlus#1,"""Knuckle Sway <br>Counter Plus"""
FighterKnuckleNormalAttackPlus#1,"""ナックルアタック<br>エクストラ"""
FighterKnuckleAttackExtra#1,"""Knuckle Attack <br>Extra"""
