01_MainLobby_001#0,"""在使用「VIP服務」的期間，委託最多可以同時接受40件。"""
01_MainLobby_023#0,"""使用「模倣」可以做出和鄰近的玩家相同的動作。"""
01_MainLobby_024#0,"""進行装備的強化時，稀有度和強化値越高成功率則越低。"""
01_MainLobby_025#0,"""在公認的網伽遊玩的時候，可以獲得「網伽VIP」的状態。"""
01_MainLobby_026#0,"""在公認的網伽遊玩一定時間后，將會獲得相對応的「網伽點數」。"""
01_MainLobby_027#0,"""在使用「VIP服務」的期間，可以通過個人商店出售道具。"""
01_MainLobby_028#0,"""在使用「VIP服務」的期間，可以使用交換道具功能。"""
01_MainLobby_029#0,"""在使用「VIP服務」的期間，可以獲得額外的FUN點數。"""
01_MainLobby_030#0,"""在使用「VIP服務」的期間，「VIP倉庫」可以保存400個道具。"""
01_MainLobby_031#0,"""位於道具列表・鑑定商店・回收商店時，<br>按住<%MultiSelect>可以選擇多個道具。"""
01_MainLobby_032#0,"""倉庫やマイショップなどの各ウィンドウで<%NextWidget>を押すと<br>「次へ」「戻る」などのボタンにカーソルを移動できる。"""
01_MainLobby_033#0,"""如果不小心賣掉了錯誤的道具，請盡快使用「買回」來取回該道具。"""
01_MainLobby_034#0,"""位於商店區域２樓的「美容院」，可以改變玩家的外貌。"""
01_MainLobby_035#0,"""位於營地小船内的「呼叫夥伴終端」，可以呼叫同行的夥伴支援。"""
01_MainLobby_036#0,"""使用主菜單中的「周囲的玩家」菜單，<br>可以向鄰近的人申請好友或邀請其加入隊伍。"""
01_MainLobby_037#0,"""使用主菜單中的「周囲的玩家」菜單，可以邀請他人加入隊伍。"""
01_MainLobby_038#0,"""在大廳區域的「称号櫃台」，可以獲得相應的競速破關內容的報酬。"""
01_MainLobby_039#0,"""掉落道具是分玩家掉落的，所以可以不用在乎他人全部撿起來。"""
01_MainLobby_040#0,"""使用鍵盤操作的時候，<br>按下[Scroll Lock]鍵可以切換「直接聊天模式」的開/關。"""
01_MainLobby_041#0,"""在任務前接受「委託」，瞄準經驗值等報酬吧。"""
01_MainLobby_042#0,"""在任務中也可以將背包中的道具存進「基本倉庫」和「角色倉庫」等倉庫。"""
01_MainLobby_043#0,"""使用[Alt]+[←]/[→]的組合鍵，可以變更聊天發言的頻道。"""
01_MainLobby_044#0,"""使用[Ctrl]+[←]/[→]的組合鍵，可以變更記錄窗口顯示的頻道。"""
01_MainLobby_045#0,"""鍵盤操作的時候，在聊天輸入時按[Ctrl]+[↑]/[↓]組合鍵，可以看到之前發送的消息。"""
01_MainLobby_046#0,"""鍵盤操作的時候，聊天窗口里按[Shift]+[Enter]組合鍵，可以附帶表情來發言。"""
01_MainLobby_047#0,"""鍵盤操作的時候，聊天窗口里按[Ctrl]+[Enter]組合鍵，可以選擇對話框與漫畫符號來進行發言。"""
01_MainLobby_048#0,"""鍵盤操作的時候，按住[Alt]+[A]~[Z]組合鍵，可以使用多種多樣的「大廳動作」。"""
01_MainLobby_049#0,"""獲得武器之後，可以去「道具實驗室」進行強化，從而對敵人造成更大的傷害。"""
01_MainLobby_050#0,"""把獲得的防具在「道具實驗室」進行強化以後，受到的傷害將會減少。"""
01_MainLobby_051#0,"""通過通訊終端的「個人商店」，可以購買其他玩家正在出售的道具。"""
01_MainLobby_052#0,"""在「AC商店」中可以購買讓背包欄位增加的道具。"""
01_MainLobby_053#0,"""在「回收商店」里可以把不需要的道具與貴重道具進行交換。"""
01_MainLobby_054#0,"""「副职」设定了之后，会根据一定比例把属性值增加到「主职」上。"""
01_MainLobby_055#0,"""進行「萬象盤」的話，就可以進行故事。"""
01_MainLobby_056#0,"""完成「萬象盤」的話，可以獲得附帶各種各樣能力的裝備道具。"""
01_MainLobby_057#0,"""「萬象盤」里金色的「關鍵萬象」全部獲得了之後，會出現歷史的分歧點，之後在劇情模式里選擇「分歧的其他歷史」就可以進行故事。"""
01_MainLobby_058#0,"""在主菜單的「選項」里，可以改變遊戲設定。"""
01_MainLobby_059#0,"""在主菜單的「交流歷史記錄」可以看到隊伍歷史。"""
01_MainLobby_060#0,"""快速菜單里「變更角色頭上當前顯示」選項里可以進行各種設定。"""
01_MainLobby_061#0,"""在任務里的BGM，會根據當時的情況進行各種變化。"""
01_MainLobby_062#0,"""箱子裏掉落的美賽塔量，會根據敵人的等級而增加。"""
01_MainLobby_063#0,"""箱子裏掉落的道具，會根據場地而發生變化。"""
01_MainLobby_064#0,"""在各個遊戲區域如果發生特殊天氣發生的時候，PSE會更容易發生。"""
01_MainLobby_065#0,"""任務的途中，在聊天窗口輸入<lt>pos<gt>並發言，會顯示當前所在的座標。"""
01_MainLobby_066#0,"""在聊天窗口輸入<lt>target<gt>或者<lt>t<gt>會顯示當前鎖定的目標的名稱。"""
01_MainLobby_067#0,"""在聊天視窗裏輸入<lt>et1<gt>並發言，會顯示現在遭遇的E試煉名稱。"""
01_MainLobby_068#0,"""鎖定目標之後使用<%RStick>可以切換目標。"""
01_MainLobby_069#0,"""在使用「VIP服務」期間中，自定義表情可以最多保存40個。"""
01_MainLobby_070#0,"""在使用「VIP服務」期間中，就算線路處於擁擠狀態，也可以移動至提供給VIP專用的空位。"""
01_MainLobby_071#0,"""在使用「VIP服務」期間中，使用「美容院使用票證」進行美容後、在退出美容院之後的60分鐘內，可以無限次重複使用美容服務。"""
01_MainLobby_072#0,"""在使用「VIP服務」期間中，喝飲料的時候一定會賦予副效果，並且還會附加「VIP效果」。"""
01_MainLobby_073#0,"""在強化道具的時候使用「輔助道具」，可以增加成功幾率、或是減少失敗的風險。"""
01_MainLobby_074#0,"""在聊天窗口里輸入「/p」以隊伍「/t」以公會「/a」以周圍 之後發言，可以在對應頻道進行交流。"""
01_MainLobby_075#0,"""發生的PSE種類是根據場地來決定的。"""
01_MainLobby_076#0,"""2個或以上的PSE爆發發生的話，會發生交叉PSE爆發。"""
01_MainLobby_077#0,"""當森林出現「濃霧」，凍土出現「極光」的時候，PSE會更容易發生。"""
01_MainLobby_078#0,"""登錄時的「開始菜單」里，可以確認最近的「登錄記錄」。"""
01_MainLobby_079#0,"""通過通訊終端的「活動道具領取」選項，可以接受活動贈送的道具。"""
01_MainLobby_080#0,"""設定了一次性密碼之後，會提高登錄的安全性。"""
01_MainLobby_081#0,"""道具實驗室的店員，會根據你的線路不同而不同。"""
01_MainLobby_083#0,"""隊伍內的人數越多，撃倒敵人獲得的經驗值和美賽達以及掉率都會提高。"""
01_MainLobby_084#0,"""在使用「VIP服務」期間中，能獲得更多的每日登錄獎勵。"""
01_MainLobby_085#0,"""在飛船上的夥伴終端里，除了朋友以外，無論是誰、只要是在「自由夥伴」登錄了的玩家，都可以作為夥伴呼叫出來跟你一起進行戰鬥。"""
01_MainLobby_086#0,"""通訊終端里「登錄好友夥伴」里「對好友以外的玩家公開」勾選之後，不管是誰都可以呼叫你的好友夥伴，然後獲得FUN。"""
01_MainLobby_087#0,"""設定為了副職業的職業在一定等級之前都可以獲得經驗值。"""
01_MainLobby_088#0,"""在通訊終端里「顯示正在招募成員中的公會」裏，可以查詢正在招募成員的公會。"""
01_MainLobby_089#0,"""支援夥伴會根據「性格」不同來使用不同的PA和技能。"""
01_MainLobby_090#0,"""支援夥伴會因為裝備的武器、防具的稀有度的增加讓HP、攻擊力、防禦力略有提升。"""
01_MainLobby_091#0,"""支援夥伴不會因為防具的性能而有影響，只會根據防具稀有度的增加來稍微提升HP、防禦力。"""
01_MainLobby_092#0,"""支援夥伴可同時探索的委託數量跟好感度有關。"""
01_MainLobby_093#0,"""一部分委託，可以讓支援幫你去完成。"""
01_MainLobby_094#0,"""在通訊終端的「鍛造」選項，可以進行鍛造檢索、確認自己的成就、確認學會的鍛造清單等。"""
01_MainLobby_095#0,"""在通訊終端的「鍛造」選項，打開「委託中的訂單」後可以接受或取消自己已經發送的委託訂單。"""
01_MainLobby_096#0,"""鍛造成就解鎖之後「鍛造等級」會隨之上升。"""
01_MainLobby_097#0,"""正在參加其他隊伍的玩家，他們頭上的角色名字還有頭上的情報，可以在選項中切換顏色。"""
01_MainLobby_098#0,"""塗鴉的發言，可以在選項中設置為不顯示。"""
01_MainLobby_099#0,"""公會聊天和密語聊天的發言者名字，可以在選項里變更成角色名。"""
01_MainLobby_100#0,"""可以在選項中為每個自由鏡頭設置快捷鍵。"""
01_MainLobby_101#0,"""在快速菜單里「變更在線狀態」可以設置頭頂顯示的離席中等狀態。"""
01_MainLobby_102#0,"""在職業櫃台可以變更天賦樹的名字。"""
01_MainLobby_103#0,"""在聊天設定里的勝利演出設定，可以設定勝利時的姿勢、表情。"""
01_MainLobby_104#0,"""瑪古的外觀可以使用「進化裝置」來進行變化，而且只要使用裝置登錄過一次外觀後，就可以在之後使用「瑪古形態變更票證」無數次變化為登錄過的形態。"""
01_MainLobby_105#0,"""在選項的通知設定里，可以變更通知訊息顯示的數量。"""
01_MainLobby_106#0,"""在使用一次性密碼服務(OTP)的期間內，可以獲得使用200個格子的「OTP倉庫」的權限。"""
01_MainLobby_107#0,"""對於在委託需要收集的道具，可在道具詳情中查看「委託人」和「是否可重複接受」。"""
01_MainLobby_108#0,"""敵人觸發器使用之後，一定會與那個敵人進行戰鬥。"""
01_MainLobby_109#0,"""接受任務之後，可以從主菜單的「委託」接受「在已接受的任務區域內與其關聯的委託」。"""
01_MainLobby_110#0,"""在職業櫃台可以保存職業和裝備，然後可以從「個人配置」選取已保存的內容直接快速設置職業和裝備。"""
01_MainLobby_111#0,"""在大廳的快速菜單裏，打開區域地圖後可以查看NPC以及商店的位置。"""
01_MainLobby_112#0,"""可在選項中設置當VIP服務還有7天結束時進行通知的功能。"""
01_MainLobby_113#0,"""在選項中可以設置當不輸入隊伍名字接受任務時，自動設定的名稱是角色名還是任務名。"""
01_MainLobby_114#0,"""在選項中可以設置聊天輸入的背景和發言頻道的顏色。"""
01_MainLobby_115#0,"""鷹眼（Gu）的職業技能「再來一次」發動時「狂熱時間」如果已經學習的話，傷害加成會直接從最大的狀態開始，受傷時的傷害加成重置也不會生效。"""
01_MainLobby_116#0,"""處於選中的快捷列，在選項中可以設置它的顯示方式為不顯示、顯示一定時間、一直顯示3種模式。"""
01_MainLobby_117#0,"""在隊伍設定中勾選了「歡迎參加」選項的話，就可以使隊伍在任務櫃台的隊伍列表優先顯示。"""
01_MainLobby_118#0,"""在隊伍設置中勾選了「歡迎參加」的選項，即使帶着NPC，其他玩家也可以加入。"""
01_MainLobby_119#0,"""道具菜單的「查看套裝效果」選項中，可以查看套裝效果和發揮套裝效果必須的裝備。"""
01_MainLobby_120#0,"""更新資料盤後，會保存以前的記錄。"""
01_MainLobby_121#0,"""通訊終端的排行里，可以查看PlayStation®Vita專用線路的走破時間記錄。"""
01_MainLobby_122#0,"""在「交流歷史記錄」里，可以查看鍛造委託和接受鍛造委託的記錄。"""
01_MainLobby_123#0,"""一個角色的「角色倉庫」初始有300個格子可以保存，但是可以使用收費道具擴充到最大1000個格子。"""
01_MainLobby_124#0,"""「角色倉庫」的道具，可以在各船之間進行轉移的時候跟著角色移動。"""
01_MainLobby_125#0,"""「PSO2es倉庫」是和「PSO2es」進行聯動時獲得的，每次連動都會給予30天使用權。"""
01_MainLobby_126#0,"""分層服裝分為「外套（Ou）」「底衣（Ba）」以及「內衣（In）」3個要素。"""
01_MainLobby_127#0,"""在主菜單的「編輯裝扮」中，可以變更套裝、部件，或者其他的飾品、髮型、身體彩繪等等項目。"""
01_MainLobby_128#0,"""從「周圍的角色」菜單中可以查看其他玩家的「裝扮情報」。"""
01_MainLobby_129#0,"""身體彩繪和內衣的表示順序可以隨意變更。"""
01_MainLobby_130#0,"""保存角色創建數據的時候，輸入和已存在的角色創建數據同名的名稱的話，可以覆蓋同名的角色創建數據。"""
01_MainLobby_131#0,"""在主菜單的「自訂」菜單中。可以調整武器的收納位置。"""
01_MainLobby_132#0,"""EPISODE4是在「故事板」中進行故事的。"""
01_MainLobby_133#0,"""快速菜單表示的內容可以按下<%MultiSelect>按鈕進行更改。"""
01_MainLobby_134#0,"""寵物能力中有只在特殊寵物蛋鑑定時才會出現的特別的寵物能力。"""
01_MainLobby_135#0,"""寵物的攻擊屬性可以通過設置糖果「檸檬糖」來進行變更。"""
01_MainLobby_136#0,"""提供寵物屬性值的糖果「烘烤餅」可以在寵物實驗室使用調色石等道具交換得到。"""
01_MainLobby_138#0,"""進行獎勵任務所必需的「獎勵鑰匙」在通關「推薦任務」之後有機率獲得。"""
01_MainLobby_139#0,"""包括「獎勵鑰匙」在內的部分道具是有使用期限的、還請儘早使用吧。"""
01_MainLobby_140#0,"""登錄時選擇EP4模式的話，就可以在EP4的世界遊玩。"""
01_MainLobby_141#0,"""在故事板可以進行和角色的互動任務、亦或是在EP4的世界中冒險的劇情任務。"""
01_MainLobby_142#0,"""在故事板進行劇情任務時有可能不會使用營地小船。"""
01_MainLobby_143#0,"""在艦橋區域的入口附近，有醫療終端和倉庫終端。"""
01_MainLobby_144#0,"""使用EP4模式登錄遊戲的時候，無法使用萬象盤。"""
01_MainLobby_145#0,"""使用鑰匙道具的話，就可以進行有大量美賽達、經驗以及稀有道具掉落的獎勵任務。"""
01_MainLobby_146#0,"""鑰匙道具有種類之分，根據種類不同能進行的任務也不一樣。"""
01_MainLobby_147#0,"""攻略的獎勵任務難度越高，美賽達和經驗都會變多，掉落的道具的稀有度也會越高。"""
01_MainLobby_148#0,"""獎勵任務只能單獨進行。"""
01_MainLobby_149#0,"""裝備着技能戒指戰鬥的話就會儲存強化技能戒指所必需的戒指EXP。"""
01_MainLobby_150#0,"""在通訊終端的採集菜單中可以查看成就。"""
01_MainLobby_151#0,"""在任務櫃台進行「練習任務」的話，可以學習各個職業各自的戰鬥方法。"""
01_MainLobby_152#0,"""長時間（一天）穿着帶有星鑽標誌的套裝的話，就可以獲得星鑽。"""
01_MainLobby_153#0,"""在任務櫃台的ARKS訓練所，可以練習各個職業各自的動作。"""
01_MainLobby_154#0,"""新式武器是一種使用其他武器作為素材來強化自己的新類型武器。"""
01_MainLobby_155#0,"""在強化新式武器的時候，使用「同種武器」作為素材的話，就可以使同種武器逐步提高至最大值為35的強化上限值。"""
01_MainLobby_156#0,"""在任務櫃台的裝備管理官普林那裏可以接受收集指定道具就可以獲得稀有道具報酬的「收集板」任務。"""
01_MainLobby_157#0,"""可以通過AC菜單「SG商店」的<br>「購買星鑽」選項購買星鑽。"""
01_MainLobby_158#0,"""在做大廳動作的時候可以按下<%NormalAttack>和<%PhotonArts>按鈕來改變正在做的動作。"""
01_MainLobby_159#0,"""可以通過「反應」功能來做出和所選角色正在做的大廳動作所配合的反應動作。"""
01_MainLobby_160#0,"""「ワンダ」之類的一部分寵物可以通過「稀有度進化」來進化到「ジンガ」之類的上位種寵物。"""
01_MainLobby_161#0,"""學技能的時候不知所措的話，就試試選擇「推薦的天賦樹」吧。"""
01_MainLobby_162#0,"""在「執行大廳動作」的選項內可以將自己中意的大廳動作加入至列表。活用此功能的登錄自己喜歡的動作會很方便。"""
01_MainLobby_163#0,"""他のプレイヤーのダークブラストの見た目は<br>オプションのその他設定から切り替えることができる。"""
01_MainLobby_164#0,"""キーボード操作において、<br>アイテムリストで[Ctrl]+[C]キーを押すと、アイテム名をコピーできる。"""
01_MainLobby_165#0,"""オプションからパーティー情報入力メニューの形式を詳細形式に<br>切り替えることで、パーティー名などを任意に設定できる。"""
03_MyRoom_001#0,"""在使用「VIP服務」的期間內，可使用個人小屋其附屬配置A或B。"""
03_MyRoom_002#0,"""利用「快速菜單」可以快速移動到自己的小屋和公會的小屋。"""
03_MyRoom_003#0,"""在小屋設置了傢俱「點唱機」的話，可將已經登錄了的「音樂光盤」的音樂作為小屋的BGM。"""
03_MyRoom_004#0,"""設置在小屋呼叫出支援夥伴的傢俱「支援同伴終端機」，可以在小屋商店購買。"""
03_MyRoom_005#0,"""通過其他玩家的小屋的終端的「鍛造」選項，就可以向在看板設置了的角色發出鍛造委託。"""
03_MyRoom_006#0,"""通過自己的小屋的終端的「鍛造」選項，可以查看鍛造或者鍛造委託的情況，以及可以設置看板。"""
03_MyRoom_007#0,"""利用小屋終端的事件紀事，可以按照時間順序觀看故事事件。"""
03_MyRoom_008#0,"""和支援夥伴在同一個區域探索的話，成功率會變高。"""
03_MyRoom_009#0,"""在使用通訊終端中商店的檢索功能時，特殊能力可以同時檢索最多4個。"""
03_MyRoom_010#0,"""在使用通訊終端中商店的檢索功能時，可以設置搜索選項是指定稀有度還是指定稀有度及以上。"""
03_MyRoom_011#0,"""在使用通訊終端中商店的檢索功能時，套裝和各種部件可以在「属性」項選擇性別等分類。"""
03_MyRoom_012#0,"""在使用通訊終端中商店的檢索功能時，消耗道具中包含的各種票券可以從子種類中選擇。"""
03_MyRoom_013#0,"""在使用通訊終端中商店的檢索功能時，購買了稀有度12的武器的話，就會同時登記所有者。"""
03_MyRoom_014#0,"""更新資料盤後，會保存以前的記錄。"""
04_GuildRoom_001#0,"""公會會長要是30日或以上沒登陸過的話，管理員就可以申請獲得會長的權限。"""
04_GuildRoom_002#0,"""從「擴建公會小屋」可以鎖定/解鎖公會小屋。"""
04_GuildRoom_003#0,"""在公會中的職務是管理官或以上的話，就可以通過公會指令踢出公會成員以外的玩家。"""
04_GuildRoom_004#0,"""公會成員以外的玩家，無法使用公會布告欄，公會櫃台和公會倉庫等功能。"""
04_GuildRoom_005#0,"""公會成員以外的玩家，雖然可以查看光子樹的成長情況，但是無法獲得支援光子效果。"""
04_GuildRoom_006#0,"""您可以從「公會的入會希望者検索」中検索想要到哪個公會。"""
04_GuildRoom_007#0,"""チームの役職がマネージャー以上であれば、<br>チームカウンターから「チーム専用ショップ」を利用できる。"""
07_AmusementLobby_001#0,"""在賭場幣抽取機使用カジノコインパス的話，就可以獲得賭場幣。"""
07_AmusementLobby_002#0,"""獲得的賭場幣可以在「景品交換櫃台」交換拉姆達研磨石與武器迷彩等各種道具。"""
07_AmusementLobby_003#0,"""賭場區域好像有莉莉芭族的塗鴉・・・？"""
07_AmusementLobby_004#0,"""賭場幣超過所持上限的部分在出發去任務的時候會丟失，所以積極地交換景品吧。"""
07_AmusementLobby_005#0,"""美賽達射手一次遊戲有3WAVE。"""
07_AmusementLobby_006#0,"""在美賽達射手中，要是被炸彈撃中的話就會損失金幣。"""
07_AmusementLobby_007#0,"""在美賽達射手中，要是撃中了安柏拉的話，就會掉落許多炸彈・・・？"""
07_AmusementLobby_008#0,"""在美賽達射手中，會出現女王美賽達。"""
07_AmusementLobby_009#0,"""在美賽達射手中，PSE等級越高越容易出現好的WAVE。"""
07_AmusementLobby_010#0,"""ラッピースロットは、ラッピーメーターが満タンになると<br>ラッピーPSEチャンスが発生する。"""
07_AmusementLobby_011#0,"""ラッピースロットで、WILD図柄（ワイルド）が一直線に揃うと・・・？"""
07_AmusementLobby_012#0,"""ラッピースロットでは、WILD図柄（ワイルド）が全リールに揃うと<br>JACKPOTが発生する。"""
07_AmusementLobby_013#0,"""メセタンシューターでは肩越し視点操作に切り替わるため、<br>オプションのカメラ設定や、操作設定で細かい調整に対応できる。"""
07_AmusementLobby_014#0,"""ブラックニャックでは、同じテーブルで遊んでいるプレイヤーが多いほど<br>バトルボーニャスが発生しやすい。"""
07_AmusementLobby_015#0,"""ブラックニャックでは、バトルボーニャス発生中に、<br>最も手役の高いプレイヤーにボーナスが発生する。"""
07_AmusementLobby_016#0,"""ブラックニャックでは、スペシャルカードが３枚揃うと<br>最強の役THREE SPが成立する。"""
07_AmusementLobby_017#0,"""ブラックニャックでは、DOUBLE\u3000DOWNでBET額を倍にして<br>カードを1枚だけ引くことができる。"""
07_AmusementLobby_018#0,"""リーリールーレットでは、１ゲームで最大2箇所までBETすることができる。"""
07_AmusementLobby_019#0,"""リーリールーレットでは、【色】、【数字】、【色と数字】の３種類のBETができる。"""
07_AmusementLobby_020#0,"""リーリールーレットは、チャンスマスで停止すると当たりが増える。"""
07_AmusementLobby_021#0,"""リーリールーレットは、トリプルチャンスマスで停止すると・・・？"""
07_AmusementLobby_022#0,"""リーリールーレットで30倍以上の配当が出ると・・・？"""
07_AmusementLobby_023#0,"""アークマスロットで最後の「STAGE３０」に到達すると<br>カジノコインを大量獲得できるフィニッシュボーナスが発生する。"""
07_AmusementLobby_024#0,"""アークマスロットで３種類の図柄を揃えるとコンプリートボーナスを獲得できる。"""
07_AmusementLobby_025#0,"""アークマスロットは、１日のプレイ可能数に上限がある。"""
10_Dungeon_001#0,"""武器の攻撃力が高いほど、属性値で与えられるダメージも高くなる。"""
10_Dungeon_002#0,"""ステータス「属性耐性」は、属性ダメージを「割合」で軽減する。"""
10_Dungeon_003#0,"""マグはエネルギーがなくなると、設定されているアクションができなくなる。"""
10_Dungeon_004#0,"""マグのレベルが上がると、強力な「フォトンブラスト」を覚える。"""
10_Dungeon_005#0,"""オプションでメセタの自動拾い機能を有効にすると、<br>メセタを触れるだけで獲得することができる。"""
10_Dungeon_006#0,"""インタラプトイベントで表示される「イベント注目」は、<br>表示するかしないかをオプションで設定できる。"""
10_Dungeon_007#0,"""オプションで受けたダメージの攻撃属性を<br>減ったHPバーの色に反映するか設定することができる。"""
10_Dungeon_008#0,"""「世壊種」と呼ばれるエネミーは、従来の種族とは異なり特殊な進化を遂げている。<br>たとえナベリウス由来であっても潜在能力「原生滅牙」は効果を発揮しない。"""
10_Dungeon_009#0,"""「世壊種」と呼ばれるエネミーは、従来の種族とは異なり特殊な進化を遂げている。<br>世壊種ダーカーの攻撃を潜在能力「絶負印」で軽減することはできない。"""
10_Dungeon_010#0,"""特殊能力「アルティメットバスター」は<br>「世壊種」と呼ばれるエネミーに対してのみ絶大な効果を発揮する。"""
10_Dungeon_011#0,"""世壊種を除くLv71以上のエネミーからドロップした武器には、<br>「世壊種」に有効な特殊能力「アルティメットバスター」が付与されることがある。"""
10_Dungeon_012#0,"""パーティーメイカーを使うと、マルチパーティーに参加中のプレイヤーが<br>あなたのパーティーメンバーとして参加することができる。"""
10_Dungeon_013#0,"""パーティーメイカーを設置できるのはパーティーリーダーのみであり、<br>設置できる場所はマルチパーティーエリアに限られる。"""
10_Dungeon_014#0,"""パーティーメイカーは、既に他のパーティーリーダーが<br>同じエリア内に3つ設置済みの場合、設置することはできない。"""
10_Dungeon_015#0,"""パーティーメイカーは、クイックメニューから設置/撤去することができる。"""
10_Dungeon_016#0,"""マグのレベルが200まで上がると、強力な「ＳＰオートアクション」を覚える。"""
10_Dungeon_017#0,"""「おすすめクエスト」の中で、プレゼントアイコンが表示されているクエストは<br>1日1回Aランク以上でクリアすると、特別な報酬が手に入る。"""
10_Dungeon_018#0,"""釣りと採取のスタミナは時間経過で100まで回復する。"""
10_Dungeon_019#0,"""ギャザリング実績を達成することで釣りや採取レベルがあがる。"""
10_Dungeon_020#0,"""ライドロイドは「ジャストアタックリング」に合わせて「ブースト」すると<br>最大速度で移動できる。"""
10_Dungeon_021#0,"""ライドロイドのPPは「エネルギーリング」をくぐると回復できる。"""
10_Dungeon_022#0,"""キャンプシップ内であればメインメニューやクイックメニューの<br>「リサイクルショップ」が使用できる。"""
15_ChallengeCommon_001#0,"""チャレンジクエストではエリアの事を「ミッション」と呼び、<br>指定されたミッションのクリアを目標とするクエストである。"""
15_ChallengeCommon_002#0,"""チャレンジクエストではＶＲエネルギーと呼ばれる制限時間が存在する。<br>制限時間はエネルギーカプセルを取ることで延長できる。"""
15_ChallengeCommon_003#0,"""エネルギーカプセルによる制限時間の延長は、<br>チャレンジクエストごとに定められた最大量を超えて、延長することはできない。"""
15_ChallengeCommon_004#0,"""ＶＲエネルギーは時間経過により、徐々に減少していく他、<br>参加中のプレイヤーが戦闘不能になると大幅に減少する。"""
15_ChallengeCommon_005#0,"""ムーンアトマイザーを使用して、戦闘不能になったプレイヤーを復活させる事で<br>戦闘不能時に減少したＶＲエネルギーを回復する事ができる。"""
15_ChallengeCommon_006#0,"""チャレンジクエストでは、手に入れた武器やユニットをその場に置くことができる。<br>床に置ける上限数は全員合わせて160個である。"""
15_ChallengeCommon_007#0,"""チャレンジクエストでは一定ミッション進むと、インターバルエリアにたどり着く。<br>インターバルエリアではＶＲエネルギーは減少しない。"""
15_ChallengeCommon_008#0,"""チャレンジクエスト中のインターバルエリアでは、<br>リサイクルショップから武器、ユニット、消費アイテムの補充ができる。"""
15_ChallengeCommon_009#0,"""チャレンジクエスト中に誰か一人でもインターバルエリアに到達すると、<br>ミッション中の他プレイヤーは全員インターバルエリアへ強制転送される。"""
15_ChallengeCommon_010#0,"""チャレンジクエスト中に戦闘不能になってしまった際に、<br>そのままインターバルエリアへ転送されると、ＶＲエネルギーの回復は行われない。"""
15_ChallengeCommon_011#0,"""チャレンジマイルはチャレンジクエストのリザルトによる評価の他、<br>マイルクリスタルを拾う事でも獲得できる。"""
15_ChallengeCommon_012#0,"""チャレンジクエストのリザルトで獲得できるチャレンジマイルは、<br>パーティー人数や、戦闘不能帰還数でもボーナスを得ることができる。"""
15_ChallengeCommon_013#0,"""チャレンジクエスト内では各クラスのスキルがディスク化されており、<br>プレイヤーの好みや、メンバー内の相談などで自由に習得することができる。"""
15_ChallengeCommon_014#0,"""チャレンジマイルは所属シップのチャレンジマイル交換ショップで<br>各種アイテムや、チャレンジ専用の報酬と交換することができる。"""
15_ChallengeCommon_015#0,"""チャレンジモニュメントでは、チャレンジクエストにおける<br>ランキングを確認することができる。"""
15_ChallengeCommon_016#0,"""自己最高記録タグでは、チャレンジクエストにおける<br>自分の最高到達記録と、他のプレイヤーの最高到達記録を確認できる。"""
