YesText#0,"""是"""
Melfon#0,"""梅爾馮希娜"""
Furie#0,"""芙莉葉"""
Aki#0,"""亞琪"""
Pati#0,"""琶提＆提雅"""
Maria#0,"""瑪麗亞"""
Sara#0,"""莎拉"""
Philia#0,"""菲莉亞"""
Clotho#0,"""克羅特"""
Ohza#0,"""歐薩"""
Marlu#0,"""瑪露"""
Jan#0,"""強恩"""
Reda#0,"""雷達"""
Risa#0,"""莉莎"""
Klaris#0,"""克拉莉絲克蕾絲"""
Casra#0,"""卡斯拉"""
Huey#0,"""修伊"""
Quna#0,"""庫娜"""
Hien#0,"""希安"""
Right#0,"""莱特"""
Jig#0,"""基古"""
Ulc#0,"""烏魯克"""
Regius#0,"""雷吉亞斯"""
Azanami#0,"""亞莎娜糸"""
Io#0,"""伊歐"""
Xiao#0,"""夏歐"""
Etc_Ep1#0,"""EP1"""
Etc_Ep2#0,"""EP2"""
Etc_Ep3#0,"""EP3"""
Etc_Ep4#0,"""EP4"""
Etc_Ep5#0,"""EP5"""
Etc_Ep6#0,"""EP6"""
Etc_EX#0,"""EX"""
Rojio#0,"""ロジオ"""
Katori#0,"""サガ＆カトリ"""
year_228#0,"""A.P.228"""
year_238#0,"""A.P.238"""
year_239#0,"""A.P.239"""
year_240#0,"""A.P.240"""
day_2_20#0,"""2/20"""
day_2_21#0,"""2/21"""
day_2_22#0,"""2/22"""
day_2_23#0,"""2/23"""
day_2_24#0,"""2/24"""
day_2_25#0,"""2/25"""
day_2_26#0,"""2/26"""
day_2_27#0,"""2/27"""
day_2_28#0,"""2/28"""
day_3_1#0,"""3/1"""
day_3_2#0,"""3/2"""
day_3_3#0,"""3/3"""
day_3_4#0,"""3/4"""
day_3_5#0,"""3/5"""
day_3_6#0,"""3/6"""
day_3_7#0,"""3/7"""
day_3_8#0,"""3/8"""
day_3_9#0,"""3/9"""
day_3_10#0,"""3/10"""
day_3_11#0,"""3/11"""
day_3_12#0,"""3/12"""
day_3_13#0,"""3/13"""
day_3_14#0,"""3/14"""
day_3_15#0,"""3/15"""
day_3_16#0,"""3/16"""
day_3_17#0,"""3/17"""
day_3_18#0,"""3/18"""
day_3_19#0,"""3/19"""
day_3_20#0,"""3/20"""
day_3_21#0,"""3/21"""
day_3_22#0,"""3/22"""
day_3_23#0,"""3/23"""
day_3_24#0,"""3/24"""
day_3_25#0,"""3/25"""
day_3_26#0,"""3/26"""
day_3_27#0,"""3/27"""
day_3_28#0,"""3/28"""
day_3_29#0,"""3/29"""
day_3_30#0,"""3/30"""
day_3_31#0,"""3/31"""
day_4_1#0,"""4/1"""
day_4_2#0,"""4/2"""
day_4_3#0,"""4/3"""
day_4_4#0,"""4/4"""
day_4_5#0,"""4/5"""
day_4_6#0,"""4/6"""
day_4_7#0,"""4/7"""
day_4_8#0,"""4/8"""
day_4_9#0,"""4/9"""
day_4_10#0,"""4/10"""
day_4_11#0,"""4/11"""
day_4_12#0,"""4/12"""
day_4_13#0,"""4/13"""
day_4_14#0,"""4/14"""
day_4_15#0,"""4/15"""
day_4_16#0,"""4/16"""
day_4_17#0,"""4/17"""
day_4_18#0,"""4/18"""
day_4_19#0,"""4/19"""
day_4_20#0,"""4/20"""
day_4_21#0,"""4/21"""
day_4_22#0,"""4/22"""
day_4_23#0,"""4/23"""
day_4_24#0,"""4/24"""
day_4_25#0,"""4/25"""
day_4_26#0,"""4/26"""
day_4_27#0,"""4/27"""
day_4_28#0,"""4/28"""
day_4_29#0,"""4/29"""
day_4_30#0,"""4/30"""
day_5_1#0,"""5/1"""
day_5_2#0,"""5/2"""
day_5_3#0,"""5/3"""
day_5_4#0,"""5/4"""
day_5_5#0,"""5/5"""
day_5_6#0,"""5/6"""
day_5_7#0,"""5/7"""
day_5_8#0,"""5/8"""
day_5_9#0,"""5/9"""
day_5_10#0,"""5/10"""
day_5_11#0,"""5/11"""
day_5_12#0,"""5/12"""
day_5_13#0,"""5/13"""
day_5_14#0,"""5/14"""
day_5_15#0,"""5/15"""
day_5_16#0,"""5/16"""
day_5_17#0,"""5/17"""
day_5_18#0,"""5/18"""
day_5_19#0,"""5/19"""
day_5_20#0,"""5/20"""
day_5_21#0,"""5/21"""
day_5_22#0,"""5/22"""
day_5_23#0,"""5/23"""
day_5_24#0,"""5/24"""
day_5_25#0,"""5/25"""
day_5_26#0,"""5/26"""
day_5_27#0,"""5/27"""
day_5_28#0,"""5/28"""
day_5_29#0,"""5/29"""
day_5_30#0,"""5/30"""
day_6_1#0,"""6/1"""
day_6_2#0,"""6/2"""
day_6_3#0,"""6/3"""
day_6_4#0,"""6/4"""
day_6_5#0,"""6/5"""
day_6_6#0,"""6/6"""
day_6_7#0,"""6/7"""
day_6_8#0,"""6/8"""
day_6_9#0,"""6/9"""
day_6_10#0,"""6/10"""
day_6_11#0,"""6/11"""
day_6_12#0,"""6/12"""
day_6_13#0,"""6/13"""
day_6_14#0,"""6/14"""
day_6_15#0,"""6/15"""
day_6_16#0,"""6/16"""
day_6_17#0,"""6/17"""
day_6_18#0,"""6/18"""
day_6_19#0,"""6/19"""
day_6_20#0,"""6/20"""
day_6_21#0,"""6/21"""
day_6_22#0,"""6/22"""
day_6_23#0,"""6/23"""
day_6_24#0,"""6/24"""
day_6_25#0,"""6/25"""
day_6_26#0,"""6/26"""
day_6_27#0,"""6/27"""
day_6_28#0,"""6/28"""
day_6_29#0,"""6/29"""
day_6_30#0,"""6/30"""
day_7_1#0,"""7/1"""
day_7_2#0,"""7/2"""
day_7_3#0,"""7/3"""
day_7_4#0,"""7/4"""
day_7_5#0,"""7/5"""
day_7_6#0,"""7/6"""
day_7_7#0,"""7/7"""
day_7_8#0,"""7/8"""
day_7_9#0,"""7/9"""
day_7_10#0,"""7/10"""
day_7_11#0,"""7/11"""
day_7_12#0,"""7/12"""
day_7_13#0,"""7/13"""
day_7_14#0,"""7/14"""
day_7_15#0,"""7/15"""
day_7_16#0,"""7/16"""
day_7_17#0,"""7/17"""
day_7_18#0,"""7/18"""
day_7_19#0,"""7/19"""
day_7_20#0,"""7/20"""
day_7_21#0,"""7/21"""
day_7_22#0,"""7/22"""
day_7_23#0,"""7/23"""
day_7_24#0,"""7/24"""
day_7_25#0,"""7/25"""
day_7_26#0,"""7/26"""
day_7_27#0,"""7/27"""
day_7_28#0,"""7/28"""
day_7_29#0,"""7/29"""
day_7_30#0,"""7/30"""
day_8_1#0,"""8/1"""
day_8_2#0,"""8/2"""
day_8_3#0,"""8/3"""
day_8_4#0,"""8/4"""
day_8_5#0,"""8/5"""
day_8_6#0,"""8/6"""
day_8_7#0,"""8/7"""
day_8_8#0,"""8/8"""
day_8_9#0,"""8/9"""
day_8_10#0,"""8/10"""
day_8_11#0,"""8/11"""
day_8_12#0,"""8/12"""
day_8_13#0,"""8/13"""
day_8_14#0,"""8/14"""
day_8_15#0,"""8/15"""
day_8_16#0,"""8/16"""
day_8_17#0,"""8/17"""
day_8_18#0,"""8/18"""
day_8_19#0,"""8/19"""
day_8_20#0,"""8/20"""
day_8_21#0,"""8/21"""
day_8_22#0,"""8/22"""
day_8_23#0,"""8/23"""
day_8_24#0,"""8/24"""
day_8_25#0,"""8/25"""
day_8_26#0,"""8/26"""
day_8_27#0,"""8/27"""
day_8_28#0,"""8/28"""
day_8_29#0,"""8/29"""
day_8_30#0,"""8/30"""
day_8_31#0,"""8/31"""
time_8_00#0,"""8:00"""
time_8_10#0,"""8:10"""
time_8_20#0,"""8:20"""
time_8_30#0,"""8:30"""
time_8_40#0,"""8:40"""
time_8_50#0,"""8:50"""
time_9_00#0,"""9:00"""
time_9_10#0,"""9:10"""
time_9_20#0,"""9:20"""
time_9_30#0,"""9:30"""
time_9_40#0,"""9:40"""
time_9_50#0,"""9:50"""
time_10_00#0,"""10:00"""
time_10_10#0,"""10:10"""
time_10_20#0,"""10:20"""
time_10_30#0,"""10:30"""
time_10_40#0,"""10:40"""
time_10_50#0,"""10:50"""
time_10_55#0,"""10:55"""
time_11_00#0,"""11:00"""
time_11_10#0,"""11:10"""
time_11_20#0,"""11:20"""
time_11_30#0,"""11:30"""
time_11_40#0,"""11:40"""
time_11_50#0,"""11:50"""
time_12_00#0,"""12:00"""
time_12_10#0,"""12:10"""
time_12_20#0,"""12:20"""
time_12_30#0,"""12:30"""
time_12_40#0,"""12:40"""
time_12_50#0,"""12:50"""
time_13_00#0,"""13:00"""
time_13_10#0,"""13:10"""
time_13_20#0,"""13:20"""
time_13_30#0,"""13:30"""
time_13_40#0,"""13:40"""
time_13_50#0,"""13:50"""
time_14_00#0,"""14:00"""
time_14_10#0,"""14:10"""
time_14_20#0,"""14:20"""
time_14_30#0,"""14:30"""
time_14_40#0,"""14:40"""
time_14_50#0,"""14:50"""
time_15_00#0,"""15:00"""
time_15_10#0,"""15:10"""
time_15_20#0,"""15:20"""
time_15_30#0,"""15:30"""
time_15_40#0,"""15:40"""
time_15_50#0,"""15:50"""
time_16_00#0,"""16:00"""
time_16_10#0,"""16:10"""
time_16_20#0,"""16:20"""
time_16_30#0,"""16:30"""
time_16_40#0,"""16:40"""
time_16_50#0,"""16:50"""
time_17_00#0,"""17:00"""
time_17_10#0,"""17:10"""
time_17_20#0,"""17:20"""
time_17_30#0,"""17:30"""
time_17_40#0,"""17:40"""
time_17_50#0,"""17:50"""
time_18_00#0,"""18:00"""
time_18_10#0,"""18:10"""
time_18_20#0,"""18:20"""
time_18_30#0,"""18:30"""
time_18_40#0,"""18:40"""
time_18_50#0,"""18:50"""
time_19_00#0,"""19:00"""
time_19_10#0,"""19:10"""
time_19_20#0,"""19:20"""
time_19_30#0,"""19:30"""
time_19_40#0,"""19:40"""
time_19_50#0,"""19:50"""
time_20_00#0,"""20:00"""
time_20_10#0,"""20:10"""
time_20_20#0,"""20:20"""
time_20_30#0,"""20:30"""
time_20_40#0,"""20:40"""
time_20_50#0,"""20:50"""
time_21_00#0,"""21:00"""
time_21_10#0,"""21:10"""
time_21_20#0,"""21:20"""
time_21_30#0,"""21:30"""
time_21_40#0,"""21:40"""
time_21_50#0,"""21:50"""
time_22_00#0,"""22:00"""
time_22_10#0,"""22:10"""
time_22_20#0,"""22:20"""
time_22_30#0,"""22:30"""
time_22_40#0,"""22:40"""
time_22_50#0,"""22:50"""
time_23_00#0,"""23:00"""
time_23_10#0,"""23:10"""
time_23_20#0,"""23:20"""
time_23_30#0,"""23:30"""
time_23_40#0,"""23:40"""
time_23_50#0,"""23:50"""
ep_1#0,"""Episode１"""
ep_2#0,"""Episode２"""
ch_0#0,"""序章"""
ch_1#0,"""第1章"""
ch_2#0,"""第2章"""
ch_3#0,"""第3章"""
ch_4#0,"""第4章"""
ch_5#0,"""第5章"""
ch_6#0,"""第6章"""
ch_7#0,"""第7章"""
ch_8#0,"""第8章"""
ch_9#0,"""第9章"""
ch_10#0,"""第10章"""
ch_11#0,"""第１１章"""
ch_12#0,"""第１２章"""
ch_ex#0,"""外傳"""
year_???#0,"""A.P.???"""
day_1_7#0,"""1/7"""
day_1_8#0,"""1/8"""
day_1_9#0,"""1/9"""
day_1_10#0,"""1/10"""
day_1_11#0,"""1/11"""
day_1_12#0,"""1/12"""
day_1_13#0,"""1/13"""
day_1_14#0,"""1/14"""
day_1_15#0,"""1/15"""
day_1_16#0,"""1/16"""
day_1_17#0,"""1/17"""
day_1_18#0,"""1/18"""
day_1_19#0,"""1/19"""
day_1_20#0,"""1/20"""
day_1_21#0,"""1/21"""
day_1_22#0,"""1/22"""
day_1_23#0,"""1/23"""
day_1_24#0,"""1/24"""
day_1_25#0,"""1/25"""
day_1_26#0,"""1/26"""
day_1_27#0,"""1/27"""
day_1_28#0,"""1/28"""
day_1_29#0,"""1/29"""
day_1_30#0,"""1/30"""
day_1_31#0,"""1/31"""
day_2_4#0,"""2/4"""
day_2_5#0,"""2/5"""
day_2_9#0,"""2/9"""
day_2_10#0,"""2/10"""
day_2_11#0,"""2/11"""
day_2_13#0,"""2/13"""
day_2_14#0,"""2/14"""
day_2_18#0,"""2/18"""
day_?_?#0,"""?/?"""
time_??_??#0,"""??:??"""
st_010030_title#0,"""確認基本操作"""
st_010030_date#0,"""A.P.238/2/20/10:30"""
st_010040_title#0,"""和原生生物戰鬥"""
st_010040_date#0,"""A.P.238/2/20"""
st_010060_title#0,"""在黑暗種出現之前"""
st_010060_date#0,"""A.P.238/2/20/11:00"""
st_010070_title#0,"""和傑諾會合"""
st_010070_date#0,"""A.P.238/2/20/11:30"""
st_010080_title#0,"""援救的援救"""
st_010080_date#0,"""A.P.238/2/20/12:00"""
st_010090_title#0,"""微弱的聲音，返回"""
st_010090_date#0,"""A.P.238/2/20/12:30"""
st_010100_title#0,"""寫返回報告吧"""
st_010100_date#0,"""A.P.238/2/20/13:00"""
st_010120_title#0,"""最初的萬象盤"""
st_010120_date#0,"""A.P.238/2/20/14:00"""
ra_010010_title#0,"""好像有看到人影......"""
ra_010010_date#0,"""A.P.238/2/21"""
ra_010020_title#0,"""黑暗種突然出現"""
ra_010020_date#0,"""A.P.238/2/21"""
un_011050_title#0,"""就是ARKS"""
un_011050_date#0,"""A.P.238/2/21"""
un_011120_title#0,"""遺憾至極！"""
un_011120_date#0,"""A.P.238/2/21"""
ra_010030_title#0,"""首次的委託"""
ra_010030_date#0,"""A.P.238/2/22"""
ra_010680_title#0,"""多管閒事的前輩"""
ra_010680_date#0,"""A.P.238/2/22"""
ra_010040_title#0,"""感情融洽的ARKS姐妹"""
ra_010040_date#0,"""A.P.238/2/22"""
st_010130_title#0,"""錫安的委託"""
st_010130_date#0,"""A.P.238/2/27/14:00"""
st_010140_title#0,"""現象有變的告知"""
st_010140_date#0,"""A.P.238/2/20/10:00"""
st_010150_title#0,"""謎樣之聲的來到"""
st_010150_date#0,"""A.P.238/2/20/10:30"""
st_010160_title#0,"""出現了和記憶中一樣黑暗種"""
st_010160_date#0,"""A.P.238/2/20"""
st_010170_title#0,"""保護倒下的瑪托依"""
st_010170_date#0,"""A.P.238/2/20/11:30"""
st_010180_title#0,"""醫學中心的聯絡"""
st_010180_date#0,"""A.P.238/2/20/15:00"""
st_010210_title#0,"""令人不安的聲音所引導的場所"""
st_010210_date#0,"""A.P.238/2/20/11:00"""
st_010220_title#0,"""和假面的相遇"""
st_010220_date#0,"""A.P.238/2/20/11:30"""
st_010190_title#0,"""交付第2張"""
st_010190_date#0,"""A.P.238/2/28/14:00"""
ra_010070_title#0,"""令人不安的人影"""
ra_010070_date#0,"""A.P.238/2/20/13:00"""
ra_010230_title#0,"""好人？壞人？"""
ra_010230_date#0,"""A.P.238/2/21"""
ra_010570_title#0,"""關於納貝流士行星的地質"""
ra_010570_date#0,"""A.P.238/2/21"""
ra_010580_title#0,"""總覺得有點奇怪"""
ra_010580_date#0,"""A.P.238/2/22"""
ra_010060_title#0,"""強化的黑暗種？"""
ra_010060_date#0,"""A.P.238/2/23"""
un_011060_title#0,"""沒有其他選擇了"""
un_011060_date#0,"""A.P.238/2/24"""
un_011130_title#0,"""光子的用法"""
un_011130_date#0,"""A.P.238/2/24"""
ra_010690_title#0,"""傑諾和艾可"""
ra_010690_date#0,"""A.P.238/2/28"""
ra_010710_title#0,"""跟師傅很像"""
ra_010710_date#0,"""A.P.238/3/3"""
st_010230_title#0,"""交付第3張"""
st_010230_date#0,"""A.P.238/3/1/14:00"""
ra_010720_title#0,"""最初的遊侠"""
ra_010720_date#0,"""A.P.238/2/26"""
ra_010080_title#0,"""沒幹勁的刀匠"""
ra_010080_date#0,"""A.P.238/2/28"""
ra_010170_title#0,"""黑暗種在尋找什麼?"""
ra_010170_date#0,"""A.P.238/2/28"""
ra_010090_title#0,"""交給刀匠吧！"""
ra_010090_date#0,"""A.P.238/2/28"""
ra_010180_title#0,"""佇立在雪原的人影"""
ra_010180_date#0,"""A.P.238/2/28"""
ra_010110_title#0,"""雖然想讓他恢復幹勁……"""
ra_010110_date#0,"""A.P.238/3/1"""
ra_010590_title#0,"""森林彼端的雪原"""
ra_010590_date#0,"""A.P.238/3/1"""
ra_010100_title#0,"""榮光的創世器"""
ra_010100_date#0,"""A.P.238/3/1"""
un_011070_title#0,"""適應能力是指什麼呢"""
un_011070_date#0,"""A.P.238/3/1"""
un_011140_title#0,"""ARKS以外的生活"""
un_011140_date#0,"""A.P.238/3/1"""
st_010240_title#0,"""純潔的探求者"""
st_010240_date#0,"""A.P.238/3/2/9:00"""
st_010250_title#0,"""無視ARKS的黑暗種"""
st_010250_date#0,"""A.P.238/3/2/10:00"""
st_010255_title#0,"""到達目的地"""
st_010255_date#0,"""A.P.238/3/2/10:30"""
st_010280_title#0,"""佇立的人影"""
st_010280_date#0,"""A.P.238/3/2/10:30"""
st_010260_title#0,"""什麼都沒有發生、什麼都看不到"""
st_010260_date#0,"""A.P.238/3/2/11:00"""
st_010290_title#0,"""壞掉的創世器"""
st_010290_date#0,"""A.P.238/3/2/11:00"""
st_010300_title#0,"""在假面之下"""
st_010300_date#0,"""A.P.238/3/2/11:30"""
ra_010600_title#0,"""納貝流士的疑問"""
ra_010600_date#0,"""A.P.238/3/3"""
ra_010310_title#0,"""神秘小身影的傳聞"""
ra_010310_date#0,"""A.P.238/3/5"""
ra_010460_title#0,"""強悍的火山洞窟龍族"""
ra_010460_date#0,"""A.P.238/3/6"""
st_010310_title#0,"""交付第4張"""
st_010310_date#0,"""A.P.238/3/3/14:00"""
ra_010120_title#0,"""再度燃起熱情"""
ra_010120_date#0,"""A.P.238/3/2"""
ra_010320_title#0,"""我被小型生物所救"""
ra_010320_date#0,"""A.P.238/3/4"""
ra_010240_title#0,"""蒙面的傢伙在何處"""
ra_010240_date#0,"""A.P.238/3/4"""
ra_010330_title#0,"""存在的痕跡"""
ra_010330_date#0,"""A.P.238/3/6"""
ra_010380_title#0,"""恩人的遺落物"""
ra_010380_date#0,"""A.P.238/3/6"""
un_011080_title#0,"""已經生氣了"""
un_011080_date#0,"""A.P.238/3/6"""
un_011150_title#0,"""幹勁與才能"""
un_011150_date#0,"""A.P.238/3/7"""
ra_010390_title#0,"""想和恩人見面"""
ra_010390_date#0,"""A.P.238/3/8"""
ra_010400_title#0,"""雖然見到了不過還差的遠"""
ra_010400_date#0,"""A.P.238/3/9"""
ra_010410_title#0,"""膽小鬼的兩難"""
ra_010410_date#0,"""A.P.238/3/10"""
ra_010420_title#0,"""膽怯的理由"""
ra_010420_date#0,"""A.P.238/3/10"""
ra_010340_title#0,"""犯人會是誰呢"""
ra_010340_date#0,"""A.P.238/3/11"""
st_010320_title#0,"""一起調査"""
st_010320_date#0,"""A.P.238/3/12"""
st_010330_title#0,"""探索開始是……"""
st_010330_date#0,"""A.P.238/3/12"""
st_010360_title#0,"""他們的想法"""
st_010360_date#0,"""A.P.238/3/12/9:00"""
st_010370_title#0,"""不會忘記接受過的恩情"""
st_010370_date#0,"""A.P.238/3/12/10:00"""
st_010335_title#0,"""雖然有痕跡"""
st_010335_date#0,"""A.P.238/3/12/11:30"""
st_010340_title#0,"""到你敞開心扉為止"""
st_010340_date#0,"""A.P.238/3/12/12:00"""
st_010375_title#0,"""交付第5張"""
st_010375_date#0,"""A.P.238/3/21/14:00"""
ra_010250_title#0,"""縁分匪淺"""
ra_010250_date#0,"""A.P.238/3/3"""
ra_010280_title#0,"""看不順眼的就是外敵"""
ra_010280_date#0,"""A.P.238/3/5"""
ra_010470_title#0,"""老師下落不明！"""
ra_010470_date#0,"""A.P.238/3/8"""
ra_010480_title#0,"""真實的探求者"""
ra_010480_date#0,"""A.P.238/3/8"""
ra_010490_title#0,"""代理的情報收集"""
ra_010490_date#0,"""A.P.238/3/9"""
ra_010500_title#0,"""壓倒性的龍族"""
ra_010500_date#0,"""A.P.238/3/11"""
ra_010510_title#0,"""奇怪的參數"""
ra_010510_date#0,"""A.P.238/3/11"""
ra_010130_title#0,"""一個不行"""
ra_010130_date#0,"""A.P.238/3/13"""
un_011090_title#0,"""正在戰鬥的樣子"""
un_011090_date#0,"""A.P.238/3/13"""
un_011160_title#0,"""劣等生就是劣等生？"""
un_011160_date#0,"""A.P.238/3/13"""
ra_010200_title#0,"""其他的部件到底在何處？"""
ra_010200_date#0,"""A.P.238/3/14"""
ra_010520_title#0,"""果然還是得親眼去看"""
ra_010520_date#0,"""A.P.238/3/18"""
ra_010610_title#0,"""不可能有這種事情"""
ra_010610_date#0,"""A.P.238/3/18"""
st_010380_title#0,"""開始龍族的調査"""
st_010380_date#0,"""A.P.238/3/19/12:00"""
st_010395_title#0,"""排他性高的龍族"""
st_010395_date#0,"""A.P.238/3/19/12:20"""
st_010430_title#0,"""狂化的龍族"""
st_010430_date#0,"""A.P.238/3/19/12:20"""
st_010400_title#0,"""黑暗種很多"""
st_010400_date#0,"""A.P.238/3/19/12:40"""
st_010440_title#0,"""龍族的遺體"""
st_010440_date#0,"""A.P.238/3/19/12:40"""
st_010410_title#0,"""發狂的龍族"""
st_010410_date#0,"""A.P.238/3/19/13:00"""
st_010450_title#0,"""龍族的戒律"""
st_010450_date#0,"""A.P.238/3/19/13:00"""
st_010420_title#0,"""産生的誤解"""
st_010420_date#0,"""A.P.238/3/19/13:30"""
st_010460_title#0,"""開始對話"""
st_010460_date#0,"""A.P.238/3/19/13:30"""
st_010470_title#0,"""交付第6張"""
st_010470_date#0,"""A.P.238/3/21/14:00"""
un_011100_title#0,"""説了不要勉強……"""
un_011100_date#0,"""A.P.238/3/16"""
ra_010430_title#0,"""向前踏出一歩"""
ra_010430_date#0,"""A.P.238/3/20"""
ra_010740_title#0,"""唯一一次的後悔"""
ra_010740_date#0,"""A.P.238/3/21"""
st_010555_title#0,"""交付第7張"""
st_010555_date#0,"""A.P.238/3/21/14:00"""
ra_010440_title#0,"""如果坦然地接受"""
ra_010440_date#0,"""A.P.238/3/21"""
ra_010210_title#0,"""尋找坑道的假面"""
ra_010210_date#0,"""A.P.238/3/22"""
ra_010450_title#0,"""總覺得沒問題的"""
ra_010450_date#0,"""A.P.238/3/22"""
ra_010290_title#0,"""哥德哈特的過去……"""
ra_010290_date#0,"""A.P.238/3/22"""
st_010480_title#0,"""破損武器的探索"""
st_010480_date#0,"""A.P.238/3/24/10:00"""
st_010490_title#0,"""謎樣的印記"""
st_010490_date#0,"""A.P.238/3/24/10:30"""
st_010500_title#0,"""存在証明"""
st_010500_date#0,"""A.P.238/3/24/11:00"""
st_010580_title#0,"""他們所説的話"""
st_010580_date#0,"""A.P.238/3/24/11:00"""
st_010510_title#0,"""撲空的調査"""
st_010510_date#0,"""A.P.238/3/24/11:30"""
st_010590_title#0,"""通往最深處的指引"""
st_010590_date#0,"""A.P.238/3/24/11:30"""
st_010600_title#0,"""第二個破損的克拉麗莎"""
st_010600_date#0,"""A.P.238/3/24/12:00"""
ra_010140_title#0,"""這是……的前端！"""
ra_010140_date#0,"""A.P.238/3/24"""
st_010470_title#1,"""交付第6張"""
st_010470_date#1,"""A.P.238/3/21/14:00"""
ra_010530_title#0,"""分秒必爭"""
ra_010530_date#0,"""A.P.238/3/21"""
ra_010540_title#0,"""希安的期待"""
ra_010540_date#0,"""A.P.238/3/22"""
ra_010800_title#0,"""固執的傢伙"""
ra_010800_date#0,"""A.P.238/3/22"""
st_010555_title#1,"""交付第7張"""
st_010555_date#1,"""A.P.238/3/21/14:00"""
ra_010220_title#0,"""尋找浮游大陸的假面"""
ra_010220_date#0,"""A.P.238/3/23"""
ra_010550_title#0,"""自豪與生命的天秤"""
ra_010550_date#0,"""A.P.238/3/23"""
ra_010560_title#0,"""傳説中救世主的存在"""
ra_010560_date#0,"""A.P.238/3/24"""
st_010520_title#0,"""盲目的調査"""
st_010520_date#0,"""A.P.238/3/25/10:00"""
st_010530_title#0,"""和希安的再會"""
st_010530_date#0,"""A.P.238/3/25/10:30"""
st_010620_title#0,"""被認同的東西"""
st_010620_date#0,"""A.P.238/3/25/10:30"""
st_010540_title#0,"""ARKS會引來黑暗種"""
st_010540_date#0,"""A.P.238/3/25/11:00"""
st_010630_title#0,"""新時代"""
st_010630_date#0,"""A.P.238/3/25/11:00"""
st_010545_title#0,"""龍族的拒絶"""
st_010545_date#0,"""A.P.238/3/25/11:30"""
st_010635_title#0,"""老龍的承諾"""
st_010635_date#0,"""A.P.238/3/25/11:30"""
st_010550_title#0,"""答案就在空中"""
st_010550_date#0,"""A.P.238/3/25/12:00"""
st_010640_title#0,"""被託付的東西"""
st_010640_date#0,"""A.P.238/3/25/12:00"""
ra_010150_title#0,"""這是……的核心！"""
ra_010150_date#0,"""A.P.238/3/25"""
un_011110_title#0,"""終於可以向前進"""
un_011110_date#0,"""A.P.238/3/29"""
un_011170_title#0,"""皇天不負苦心人"""
un_011170_date#0,"""A.P.238/3/28"""
st_010642_title#0,"""緊急事態"""
st_010642_date#0,"""A.P.238/3/31/12:00"""
st_010643_title#0,"""ARKS的責任"""
st_010643_date#0,"""A.P.238/3/31/12:30"""
st_010644_title#0,"""沒想過的共同戰鬥"""
st_010644_date#0,"""A.P.238/3/31/12:40"""
st_010646_title#0,"""狩獵物與被狩獵之物"""
st_010646_date#0,"""A.P.238/3/31/13:00"""
st_010648_title#0,"""最後的時間"""
st_010648_date#0,"""A.P.238/3/31/13:30"""
st_010649_title#0,"""短暫的寂靜"""
st_010649_date#0,"""A.P.238/3/31/14:00"""
ra_010620_title#0,"""調査許可下來了"""
ra_010620_date#0,"""A.P.238/3/25"""
ra_010630_title#0,"""有學者行蹤不明!"""
ra_010630_date#0,"""A.P.238/3/27"""
st_010560_title#0,"""交付第8張"""
st_010560_date#0,"""A.P.238/3/28/14:00"""
ra_010820_title#0,"""遺留物品與痕跡"""
ra_010820_date#0,"""A.P.238/3/28"""
ra_010830_title#0,"""隱藏的真相"""
