f2#0,"""突發試煉「$(0)」失敗!"""
story_outline_10400_01#0,"""アラトロンを撃退せよ！"""
story_outline_10400_02#0,"""アルを救出せよ！"""
story_outline_10400_03#0,"""マザーを止めろ！"""
story_outline_10410_99#0,"""異常進化した幻創種を倒せ！"""
story_outline_10430_01#0,"""世界再編を阻止せよ！"""
story_outline_10420_99#0,"""魔人・ファレグを倒せ！"""
story_outline_10440_01#0,"""【仮面】を救い出せ！"""
story_outline_10440_02#0,"""敵を全て倒せ！"""
story_outline_300020_01#0,"""魔神城を破壊せよ！"""
story_outline_300020_02#0,"""マナを回収して開戦準備を行え！"""
story_outline_300020_03#0,"""敵部隊の攻撃から破界塔を守れ！"""
story_outline_300020_04#0,"""破界鎚を護衛し敵結界を攻撃せよ！"""
story_outline_300020_05#0,"""魔神城の腹部のコアを破壊せよ！"""
story_outline_300330_01#0,"""ダーカーを殲滅せよ！ """
story_outline_300410_01#0,"""魔人兵を全て撃退せよ！"""
story_outline_300430_01#0,"""オメガ・ヒューナルを撃破せよ！"""
story_outline_300650_01#0,"""魔神城を撃破せよ！"""
story_outline_300700_01#0,"""オメガ・アンゲルを撃破せよ！"""
story_outline_300870_01#0,"""魔神城を撃破せよ！"""
story_outline_300880_01#0,"""ダーク・エンペラッピーを撃破せよ！"""
story_outline_300900_01#0,"""SOROKING・Dを撃破せよ！"""
story_outline_300940_01#0,"""オメガ・アプレジナを撃破せよ！"""
story_outline_300890_01#0,"""逃げ遅れた市民を救助せよ！"""
story_outline_300890_02#0,"""市街地の平和を取り戻せ！"""
story_outline_301130_01#0,"""魔神城を撃破せよ！"""
story_outline_301160_01#0,"""オメガ・ダリルを撃破せよ！"""
story_outline_301180_01#0,"""オメガ・ダランブルを撃破せよ！"""
story_outline_301300_01#0,"""黒き繭を目指せ！"""
story_outline_301310_01#0,"""黒き繭を目指せ！"""
story_outline_301350_01#0,"""エルミルを倒せ！"""
tutorial_outline_699999_01#0,"""朝回收地點前進！"""
omnibus_outline_15000_01#0,"""ヒ・ロガを鎮めよ！"""
omnibus_outline_15010_01#0,"""【仮面】を撃退せよ！"""
omnibus_outline_15020_01#0,"""撃破變形機甲曼沙！"""
omnibus_outline_15030_01#0,"""コ・レラを撃退せよ！"""
omnibus_outline_15040_01#0,"""殲滅入侵的黑暗種！"""
omnibus_outline_15050_01#0,"""探尋遺跡的祕密!"""
omnibus_outline_15060_01#0,"""ダークファルス・エルダーを撃破せよ！"""
omnibus_outline_15070_01#0,"""ハドレッドを撃退せよ！"""
omnibus_outline_15080_01#0,"""ハドレッドを撃退せよ！"""
omnibus_outline_15080_02#0,"""和在内部的庫娜會合！"""
omnibus_outline_15090_01#0,"""和梅爾馮希娜一起向最深處前進！"""
omnibus_outline_15100_01#0,"""賺取積分點數！"""
omnibus_outline_15110_01#0,"""ブリュー・リンガーダを撃退せよ！"""
omnibus_outline_15120_02#0,"""オルグ・ブランを撃退せよ！"""
omnibus_outline_15130_02#0,"""デコル・マリューダを撃退せよ！"""
omnibus_outline_15140_02#0,"""ファルス・ヒューナルを撃退せよ！"""
omnibus_outline_15150_02#0,"""ビオル・メデューナを撃退せよ！"""
omnibus_outline_15160_02#0,"""前往居住地區！"""
omnibus_outline_15170_02#0,"""快找錫安！"""
omnibus_outline_15180_02#0,"""打倒阿波斯・朵莉歐斯！"""
omnibus_outline_15180_03#0,"""ダークファルス・ルーサーの撃破"""
omnibus_outline_15190_02#0,"""快找在最深處孤軍奮戰的她！"""
omnibus_outline_15200_02#0,"""搜索【若人】！"""
omnibus_outline_15210_02#0,"""調查浮上施設！"""
omnibus_outline_15220_03#0,"""ギグル・グンネガムを撃破せよ！"""
omnibus_outline_15230_03#0,"""封印の場を防衛せよ！"""
omnibus_outline_15240_03#0,"""『禍津』を撃破せよ！"""
omnibus_outline_15250_03#0,"""從【双子】內的宇宙中逃出！"""
omnibus_outline_15260_03#0,"""【双子】を撃破せよ！"""
omnibus_outline_15270_03#0,"""【仮面】との決着をつけろ！"""
omnibus_outline_15280_03#0,"""擊敗瑪托依！"""
omnibus_outline_15290_03#0,"""マトイを救え！"""
omnibus_outline_15300_03#0,"""【深遠なる闇】の撃破"""
omnibus_outline_15310_03#0,"""壊世区域を調査せよ！"""
omnibus_outline_15320_03#0,"""ＤＦアプレンティス・ジアを撃破せよ！"""
freefield_outline_20120#0,"""朝最深處前進！"""
freefield_outline_20130#0,"""朝最深處前進！"""
freefield_outline_20140#0,"""クエストポイントをためろ！"""
freefield_outline_20160#0,"""クエストポイントをためろ！"""
freefield_outline_20170#0,"""朝最深處前進！"""
arks_outline_30350#0,"""クエストポイントをためろ！"""
arks_outline_30360#0,"""アンジャドゥリリを討伐せよ！"""
arks_outline_30370#0,"""クエストポイントをためろ！"""
arks_outline_30380#0,"""レオマドゥラードを討伐せよ！"""
arks_outline_30390#0,"""クエストポイントをためろ！"""
arks_outline_30400#0,"""コドッタ・イーデッタを討伐せよ！"""
time_outline_40070#0,"""エネミーを100体倒せ！"""
time_outline_40080#0,"""朝最深處前進！"""
event_outline_40090#0,"""朝最深處前進！"""
event_outline_40100#0,"""朝最深處前進！"""
training_outline_00010#0,"""１つの課題を達成せよ！"""
training_outline_00020#0,"""２つの課題を達成せよ！"""
training_outline_00030#0,"""３つの課題を達成せよ！"""
arks_begin_30380#0,"""レオマドゥラードを討伐せよ！"""
training_outline_00050#0,"""５つの課題を達成せよ！"""
training_outline_00060#0,"""６つの課題を達成せよ！"""
training_outline_00080#0,"""８つの課題を達成せよ！"""
training_outline_00090#0,"""９つの課題を達成せよ！"""
training_outline_00100#0,"""１０個の課題を達成せよ！"""
urgency_outline_50360#0,"""朝最深處前進！"""
tgs2015_outline_00000#0,"""朝最深處前進！"""
cost_outline_140010#0,"""朝最深處前進！"""
cost_outline_150010#0,"""朝最深處前進！"""
cost_outline_170010#0,"""朝最深處前進！"""
event_outline_80090#0,"""ダークファルス・ルーサーの撃破"""
defense_outline_010040#0,"""防衛採掘基地！"""
defense_outline_010050#0,"""防衛採掘基地！"""
challenge_outline_120000#0,"""５つのミッションをクリアせよ！"""
challenge_outline_121000#0,"""制限時間内にスコアを獲得せよ！"""
riding_outline_180010#0,"""エネミーを撃破しスコアを獲得せよ！"""
riding_outline_180020#0,"""エネミーを撃破しスコアを獲得せよ！"""
riding_outline_180030#0,"""エネミーを撃破しスコアを獲得せよ！"""
riding_outline_180040#0,"""エネミーを撃破しスコアを獲得せよ！"""
riding_outline_180050#0,"""エネミーを撃破しスコアを獲得せよ！"""
riding_outline_180060#0,"""エネミーを撃破しスコアを獲得せよ！"""
urgency_outline_50330#0,"""クエストポイントをためろ！"""
urgency_outline_50350#0,"""クエストポイントをためろ！"""
urgency_outline_50340#0,"""クエストポイントをためろ！"""
urgency_outline_50370#0,"""クリスマスPtをためろ！"""
urgency_outline_50380#0,"""獲得情人節Pt！"""
urgency_outline_50390#0,"""『禍津』を撃破せよ！"""
ultimate_outline_130000#0,"""朝最深處前進！"""
event_outline_80120#0,"""クエストポイントをためろ！"""
urgency_outline_50400#0,"""獲得白色情人節Pt！"""
urgency_outline_50430#0,"""クエストポイントをためろ！"""
urgency_outline_50410#0,"""障害を排除しつつ最深部を目指せ！"""
urgency_outline_50420#0,"""『禍津』を撃破せよ！"""
ultimate_outline_130010#0,"""朝最深處前進！"""
event_outline_80140#0,"""異変を引き起こす元凶を撃破せよ！"""
urgency_outline_50450#0,"""二体のダークファルスを撃破せよ！"""
urgency_outline_50460#0,"""獲得海灘Pt！"""
event_outline_80130#0,"""クエストポイントをためろ！"""
urgency_outline_50470#0,"""クエストポイントをためろ！"""
challenge_outline_120010#0,"""５つのミッションをクリアせよ！"""
event_outline_80150#0,"""朝最深處前進！"""
urgency_outline_50490#0,"""クエストポイントをためろ！"""
urgency_outline_50480#0,"""【深遠なる闇】の撃破"""
urgency_outline_50500#0,"""クリスマスPtをためろ！"""
contest_outline_140010#0,"""エネミーを100体倒せ！"""
contest_outline_140020#0,"""【深遠なる闇】の撃破"""
event_outline_80180#0,"""クエストポイントをためろ！"""
event_outline_80190#0,"""クエストポイントをためろ！"""
bonusgame_outline_150010#0,"""時間内にエネミーを全て撃退せよ！"""
bonusgame_outline_150030#0,"""時間内にエネミーを全て撃退せよ！"""
bonusgame_outline_150040#0,"""時間内にエネミーを全て撃退せよ！"""
arks_outline_30410#0,"""クエストポイントをためろ！"""
arks_outline_30420#0,"""トレイン・ギドランを討伐せよ！"""
freefield_outline_20150#0,"""クエストポイントをためろ！"""
urgency_outline_50520#0,"""獲得白色情人節Pt！"""
tower_outline_90040#0,"""稱霸5個舞台吧！"""
urgency_outline_50540#0,"""幻創戦艦・大和を撃退せよ！"""
urgency_outline_50530#0,"""障害を排除しつつ最深部を目指せ！"""
urgency_outline_50510#0,"""獲得情人節Pt！"""
urgency_outline_50550#0,"""クエストポイントをためろ！"""
time_outline_40110#0,"""朝最深處前進！"""
escape_outline_030030#0,"""朝回收地點前進！"""
urgency_outline_50570#0,"""【深遠なる闇】の撃破"""
urgency_outline_50560#0,"""獲得海灘Pt！"""
urgency_outline_50700#0,"""朝最深處前進！"""
event_outline_80200#0,"""異変を引き起こす元凶を撃破せよ！"""
event_outline_80210#0,"""クエストポイントをためろ！"""
time_outline_40120#0,"""朝最深處前進！"""
urgency_outline_50580#0,"""クエストポイントをためろ！"""
urgency_outline_50590#0,"""ハロウィンPtをためろ！"""
event_outline_80220#0,"""クエストポイントをためろ！"""
urgency_outline_50610#0,"""クリスマスPtをためろ！"""
ultimate_outline_130020#0,"""龍族を鎮圧し、最深部へ到達せよ！"""
urgency_outline_50600#0,"""エスカファルス・マザーを撃破せよ！"""
tower_outline_90050#0,"""稱霸5個舞台吧！"""
urgency_outline_50620#0,"""朝最深處前進！"""
urgency_outline_50650#0,"""クエストポイントをためろ！"""
event_outline_80230#0,"""各惑星に現れた敵を撃退せよ！"""
bonusgame_outline_150060#0,"""時間内にエネミーを全て撃退せよ！"""
basnet_outline_9674#0,"""魔神城を撃破せよ！"""
urgency_outline_50660#0,"""デウス・エスカを撃退せよ！"""
urgency_outline_50690#0,"""デウス・エスカを撃退せよ！"""
event_outline_80250#0,"""各惑星に現れた敵を撃退せよ！"""
urgency_outline_50670#0,"""幻創戦艦・大和を撃退せよ！"""
urgency_outline_50680#0,"""幻創戦艦・大和を撃退せよ！"""
event_outline_80260#0,"""各惑星に現れた敵を撃退せよ！"""
event_outline_80270#0,"""各惑星に現れた敵を撃退せよ！"""
event_outline_80280#0,"""各惑星に現れた敵を撃退せよ！"""
event_outline_80290#0,"""各惑星に現れた敵を撃退せよ！"""
urgency_outline_50710#0,"""障害を排除しつつ最深部を目指せ！"""
urgency_outline_50730#0,"""クエストポイントをためろ！"""
urgency_outline_50720#0,"""クリスマスPtをためろ！"""
urgency_outline_50750#0,"""魔神城を撃破せよ！"""
urgency_outline_50740#0,"""エネミーを撃破しスコアを獲得せよ！"""
event_outline_80300#0,"""魔神城を撃破せよ！"""
event_outline_80310#0,"""ハリエットを救出せよ！"""
urgency_outline_50760#0,"""壊城に舞う紅き邪竜"""
urgency_outline_50770#0,"""崩城に甦る黒衣の邪竜"""
urgency_outline_50780#0,"""朝最深處前進！"""
urgency_outline_50790#0,"""朝最深處前進！"""
urgency_outline_50800#0,"""オメガファルス・ルーサー撃破"""
urgency_outline_50810#0,"""オメガファルス・ルーサー撃破"""
bonusgame_outline_150070#0,"""時間内にエネミーを全て撃退せよ！"""
urgency_outline_50820#0,"""時間内にエネミーを全て撃退せよ！"""
urgency_outline_50830#0,"""朝最深處前進！"""
tower_outline_90060#0,"""稱霸5個舞台吧！"""
tower_outline_90070#0,"""稱霸5個舞台吧！"""
urgency_outline_50840#0,"""可能な限りエネミーを撃退せよ！"""
urgency_outline_50850#0,"""【若人】を撃退せよ！"""
trigger_outline_170440#0,"""灼零龍エルゼリオンを討伐せよ！"""
urgency_outline_50930#0,"""障害を排除しつつ最深部を目指せ！"""
urgency_outline_50860#0,"""【若人】を撃退せよ！"""
urgency_outline_50920#0,"""朝最深處前進！"""
urgency_outline_50870#0,"""魔神城を撃破せよ！"""
ultimate_outline_130030#0,"""領域調査：異世界の残滓"""
urgency_outline_50950#0,"""朝最深處前進！"""
urgency_outline_50960#0,"""朝最深處前進！"""
event_outline_80350#0,"""敵性反応を殲滅せよ！"""
event_outline_80360#0,"""朝最深處前進！"""
event_outline_80370#0,"""クエストポイントをためろ！"""
urgency_outline_50900#0,"""ダークファルス・ペルソナ撃破"""
urgency_outline_50910#0,"""ダークファルス・ペルソナ撃破"""
urgency_outline_50980#0,"""朝最深處前進！"""
story_outline_130010#0,"""朝最深處前進！"""
story_outline_390010#0,"""磁獄龍墓最奥を目指せ！"""
urgency_outline_51060#0,"""敵艦隊旗艦を撃沈せよ！"""
urgency_outline_51040#0,"""敵戦艦群を突破せよ！"""
urgency_outline_51050#0,"""動力炉を破壊せよ！"""
event_outline_80390#0,"""仮想標的を破壊せよ！"""
urgency_outline_51030#0,"""Ａ．Ｉ．Ｓ妨害装置を３基破壊せよ！"""
urgency_outline_51010#0,"""味方艦を救助しろ！"""
urgency_outline_51000#0,"""甲板上の敵を排除せよ！"""
urgency_outline_51020#0,"""Ａ．Ｉ．Ｓ妨害装置を破壊せよ！"""
event_outline_80380#0,"""各エリアに現れた敵を撃退せよ！"""
training_outline_161500#0,"""５回ダメージ測定をせよ！"""
urgency_outline_250040#0,"""クエストポイントをためろ！"""
ultimate_outline_410010#0,"""朝最深處前進！"""
event_outline_140040#0,"""ハルコタンを救え！"""
urgency_outline_51070#0,"""朝最深處前進！"""
freefield_outline_20250#0,"""朝最深處前進！"""
freefield_outline_20260#0,"""朝最深處前進！"""
freefield_outline_20270#0,"""朝最深處前進！"""
urgency_outline_51080#0,"""朝最深處前進！"""
story_outline_030010#0,"""速やかに閃機種を殲滅せよ！"""
story_outline_140009#0,"""閃機種を倒せ！"""
story_outline_140010#0,"""シバを倒せ！"""
omnibus_outline_700035#0,"""正体不明の敵を退けろ！"""
urgency_outline_51100#0,"""障害を排除しつつ最深部を目指せ！"""
freefield_outline_20280#0,"""朝最深處前進！"""
freefield_outline_20290#0,"""朝最深處前進！"""
trigger_outline_170690#0,"""アヴァールネメシスを撃破せよ！"""
urgency_outline_51090#0,"""***"""
urgency_outline_51110#0,"""可能な限りエネミーを撃退せよ！"""
urgency_outline_51120#0,"""朝最深處前進！"""
urgency_outline_51130#0,"""朝最深處前進！"""
event_outline_80430#0,"""敵性反応を殲滅せよ！"""
story_outline_190010#0,"""地球を守れ！"""
training_outline_00040#0,"""４つの課題を達成せよ！"""
mack_outline_Explore#0,"""装置に工作し、脱出せよ！"""
mack_outline_Defence#0,"""結晶を回収しポッドを補充せよ！"""
mack_outline_SpreadBomb#0,"""時間内により多く敵を撃破せよ！"""
mack_outline_Boss#0,"""時間内に強敵を撃破せよ！"""
mack_outline_FloorBoss#0,"""最終標的を撃破せよ！"""
mack_outline_RestArea#0,"""５つのステップを踏破せよ！"""
urgency_outline_51140#0,"""朝最深處前進！"""
story_outline_260010#0,"""霊脈を目指せ！"""
story_outline_260020#0,"""ヴァルナを倒せ！"""
urgency_outline_430010#0,"""【原初の闇】を撃破せよ！"""
event_outline_80440#0,"""敵主力艦隊を鎮圧せよ！"""
story_outline_302290#0,"""シバを倒せ！"""
urgency_outline_51170#0,"""朝最深處前進！"""
story_outline_302295#0,"""【原初の闇】を撃破せよ！"""
bonusgame_outline_150080#0,"""時間内にエネミーを全て撃退せよ！"""
urgency_outline_51180#0,"""可能な限りエネミーを撃退せよ！"""
event_outline_80450#0,"""朝最深處前進！"""
test_outline_9894#0,"""時間内に可能な限り敵を撃破せよ！"""
urgency_outline_51200#0,"""障害を排除し、最深部を目指せ！"""
urgency_outline_51220#0,"""障害を排除しつつ最深部を目指せ！"""
urgency_outline_51210#0,"""クエストポイントをためろ！"""
urgency_outline_51190#0,"""エネミー撃破でポイントを獲得せよ！"""
ultimate_outline_430010#0,"""【原初の闇】を撃破せよ！"""
urgency_outline_050090#0,"""エネミーを撃破せよ！"""
event_outline_80460#0,"""時間内に全エリアを突破せよ！"""
Title#0,"""「$(0)」"""
InterruptIncident#0,"""Dummy0"""
Enemy#0,"""討伐$(0)!"""
InterruptIncidentSpecifiedEnemyAnnihilation#0,"""Dummy1"""
InterruptIncidentSpecifiedEnemyAnnihilation_A#0,"""撃退紅猿猴！"""
InterruptIncidentSpecifiedEnemyAnnihilation_B#0,"""撃退岩石熊！"""
InterruptIncidentSpecifiedEnemyAnnihilation_C#0,"""撃退蛛后！"""
InterruptIncidentSpecifiedEnemyAnnihilation_D#0,"""殲滅黑暗背甲蟲！"""
InterruptIncidentEscapeEnemyAnnihilation#0,"""讓大嘴拉比昏倒<br>收集資料!"""
InterruptIncidentBossAnnihilation#0,"""Dummy3"""
InterruptIncidentBossAnnihilation_A#0,"""打倒磁炎龍！"""
InterruptIncidentFirewall#0,"""Dummy4"""
InterruptIncidentHeliDefense#0,"""Dummy5"""
InterruptIncidentDoorAndKey#0,"""Dummy6"""
InterruptIncidentEnemybomb#0,"""朝向最深處前進調査異常!"""
InterruptIncidentP#0,"""Dummy8"""
