Accessories_Name1#0,"""เครื่องประดับ 1"""
info_1#0,"""1"""
info_2#0,"""2"""
info_3#0,"""3"""
info_4#0,"""4"""
info_5#0,"""5"""
info_6#0,"""6"""
info_7#0,"""7"""
info_8#0,"""8"""
info_9#0,"""9"""
info_10#0,"""10"""
info_11#0,"""11"""
info_12#0,"""12"""
info_13#0,"""13"""
info_14#0,"""14"""
info_15#0,"""15"""
info_16#0,"""16"""
info_17#0,"""17"""
info_18#0,"""18"""
info_Face#0,"""ใบหน้า"""
info_Eye#0,"""ดวงตา"""
info_EyeR#0,"""ตาขวา"""
info_EyeL#0,"""ตาซ้าย"""
info_Eyebrow#0,"""คิ้ว"""
info_Eyelash#0,"""ขนตา"""
info_Teeth#0,"""ฟัน"""
info_Horn#0,"""เขา"""
info_Ear#0,"""หู"""
info_Skin#0,"""ผิว"""
Title_HairStyle#0,"""ทรงผม"""
Title_HeadParts#0,"""ชิ้นส่วนส่วนหัว"""
Title_BodyPaint#0,"""Body Paint"""
Title_Body#0,"""ลำตัว"""
Title_Arm#0,"""แขน"""
Title_Leg#0,"""ขา"""
Title_Costume#0,"""คอสตูม"""
Title_Outer#0,"""Outerwear"""
Title_Base#0,"""Basewear"""
Title_Inner#0,"""Innerwear"""
NoMessage#0,"""ไม่มีไอเทม"""
FashionTab_All#0,"""ทั้งหมด"""
FashionTab_Favorite#0,"""รายการโปรด"""
NoItemMsg#0,"""ไม่มี"""
NoOuterItemMsg#0,"""ไม่มี Outerwear"""
InvalidHyphen#0,"""－"""
Body_Name1#0,"""Body Paint 1"""
Body_Name2#0,"""Body Paint 2"""
Body_FormTitle#0,"""Body Paint"""
Body_List_FormTitle#0,"""Body Paint"""
NoAccessoriesMessage#1,"""ไม่มี Body Paint"""
Remove#1,"""ถอดออก"""
Favorite_Add#0,"""เพิ่มในรายการโปรด"""
Favorite_Delete#0,"""ลบออกจากรายการโปรด"""
Body_display_1#0,"""ลำดับ 1"""
Body_display_2#0,"""ลำดับ 2"""
Body_display_3#0,"""ลำดับ 3"""
MoveMotion_1#0,"""เดิน"""
MoveMotion_2#0,"""Hover"""
Fashion_OtherFashion#0,"""บุ๊กมาร์ก"""
PageSwitch_PC#0,"""<%NextTabDetails><pict 4space>หน้า"""
PageSwitch_Vita#0,"""<pict Sign_TRIANGLE>สลับ"""
Error_Title#0,"""ข้อผิดพลาด"""
Error_ImproperData_LoadMyFashion#0,"""ข้อมูลมีข้อผิดพลาด ไม่สามารถโหลดได้<br><br>กรุณาแก้ไขข้อมูลนี้ใน Salon หรือทำการบันทึกทับ/ลบทิ้ง"""
Error_ImproperData_SaveMyFashion#0,"""ข้อมูลปัจจุบันมีข้อผิดพลาด ไม่สามารถบันทึกได้<br><br>กรุณาแก้ไขข้อมูลนี้ใน Salon หรือทำการบันทึกทับ/ลบทิ้ง"""
FashionTab_New_Base#0,"""N-Basewear"""
FashionTab_Base#0,"""Basewear"""
FashionTab_New_Inner#0,"""N-Innerwear"""
FashionTab_Inner#0,"""Innerwear"""
FashionTab_New_Body#0,"""N-Body"""
FashionTab_Body#0,"""Body"""
FashionTab_New_Arms#0,"""N-Arms"""
FashionTab_Arms#0,"""Arms"""
FashionTab_New_Legs#0,"""N-Legs"""
FashionTab_Legs#0,"""Legs"""
FashionTab_New_Outer#0,"""N-Outerwear"""
FashionTab_Outer#0,"""Outerwear"""
Fashion_Incompatible#0,"""ไม่สามารถใช้งานร่วมกันได้"""
info_title_Motion#0,"""เปลี่ยน Motion"""
info_Motion_Wait#0,"""Idle"""
info_Motion_Run#0,"""เคลื่อนที่"""
info_Motion_Jump#0,"""กระโดด"""
info_Motion_Landing#0,"""ลงพื้น"""
info_Motion_Dash#0,"""Dash"""
info_Motion_Glide#0,"""Glide"""
info_Motion_Swim#0,"""ว่ายน้ำ"""
Fashion_Visibility#0,"""ตั้งค่าการแสดงผลส่วนตกแต่ง"""
Motion_Change_Item#0,"""เปลี่ยน Motion"""
Motion_Change_Title#0,"""เปลี่ยน Motion [$(0)/$(1)]"""
Motion_List_Title#0,"""รายการ Motion [$(0)/$(1)]"""
Motion_Change_All#0,"""Motion ทั้งหมด"""
Motion_Change_None#0,"""ไม่มี Motion ที่สามารถใช้ได้"""
Collabo_Equipped#0,"""<pict collab_icon><pict 4space><yellow>ไม่สามารถใช้งานได้กับไอเทมบางชิ้น<c>"""
With_NewIcon#0,"""$(0)<pict 4space><pict New>"""
TopMenuTitle#0,"""หนังสือแฟชั่น"""
TopMenuTwolineGuide#0,"""คุณสามารถลงทะเบียนแฟชั่นของคุณหรือเลือกดูแฟชั่นของผู้เล่นคนอื่นได้ที่นี่ ในขณะที่ดูแฟชั่นของผู้เล่นคนอื่น คุณสามารถเพิ่มไอเทมที่ถูกใจลงใน Wishlist ได้"""
TopMenuItem_Ranking#0,"""ดูแฟชั่นทุกคน"""
TopMenuItem_Search#0,"""ค้นหาแฟชั่นทุกคน"""
TopMenuItem_Posting#0,"""ลงทะเบียนแฟชั่น"""
TopMenuItem_Confirm#0,"""ยืนยันลงทะเบียนแฟชั่น"""
TopMenuItem_ConfirmNiceCnt#0,"""ยืนยันลงทะเบียนแฟชั่น ($(0))"""
TopMenuItem_ConfirmNiceCntStop#0,"""ยืนยันลงทะเบียนแฟชั่น (99+)"""
TopMenuItem_Release#0,"""ยกเลิกลงทะเบียนแฟชั่น"""
TopMenuItem_Back#0,"""ย้อนกลับ"""
TitleProfile#0,"""ข้อมูลแฟชั่น"""
LikeButton#0,"""กดLike!"""
RegistButton#0,"""เซฟลงบุ๊คมาร์ค"""
BackButton#0,"""ย้อนกลับ"""
