MesetaDenomination#0,"""<pict reb_meseta> Meseta"""
MenuGuide#0,"""<c f0df60>กรุณาเลือก Shop<c>"""
MenuGuide_N_SG#0,"""Shop นี้ให้คุณซื้อไอเทมด้วย SG สินค้าจะอัปเดตวันละครั้ง แต่คุณสามารถอัปเดตเองได้โดยเลือก \""อัปเดตรายการสินค้า\"" (อัปเดตฟรีวันละ 1 ครั้ง)"""
MenuGuide_N_Meseta#0,"""Shop นี้ให้คุณซื้อไอเทมด้วย N-Meseta สินค้าจะอัปเดตวันละครั้ง แต่คุณสามารถอัปเดตเองได้โดยเลือก \""อัปเดตรายการสินค้า\"" (อัปเดตฟรีวันละ 1 ครั้ง)"""
MenuTitle#0,"""เมนู Shop"""
MenuSG#0,"""ซื้อด้วย Star Gems"""
MenuMeseta#0,"""ซื้อด้วย Meseta"""
MenuEnd#0,"""ออกจาก Shop"""
SgShopTitle#0,"""ซื้อด้วย Star Gems"""
SgShopGuide#0,"""<c f0df60>เลือกไอเทมที่จะซื้อ กด \""อัปเดตรายการสินค้า<c><pict StarGem><c f0df60>\"" เพื่อเปลี่ยนรายการสินค้า<c>"""
SgShopGuide_v#0,"""<c f0df60>เลือกไอเทมที่จะซื้อ กด \""อัปเดตรายการสินค้า<c><pict StarGem><c f0df60>\"" เพื่อเปลี่ยนรายการสินค้า<c>"""
MesetaShopTitle#0,"""ซื้อด้วย Meseta"""
MesetaShopGuide#0,"""<c f0df60>เลือกไอเทมที่จะซื้อ กด \""อัปเดตรายการสินค้า<c><pict StarGem><c f0df60>\"" เพื่อเปลี่ยนรายการสินค้า<c>"""
MesetaShopGuide_v#0,"""<c f0df60>เลือกไอเทมที่จะซื้อ กด \""อัปเดตรายการสินค้า<c><pict StarGem><c f0df60>\"" เพื่อเปลี่ยนรายการสินค้า<c>"""
ShopListTitle#0,"""รายการสินค้า"""
ShopListResetTime#0,"""อัปเดตครั้งถัดไป: $(0)"""
ShopListReset_N_Time#0,"""จะอัปเดตใน: $(0)"""
ShopListReset_N_UpdateTime#0,"""เปิด Shop ใหม่อีกครั้งเพื่ออัปเดตรายการสินค้า"""
ShopListResetButton#0,"""<yellow>อัปเดตรายการสินค้า<c><pict StarGem>"""
ShopListResetButton_N_Free#0,"""อัปเดตรายการสินค้า (วันละ 1 ครั้ง)"""
ShopListResetButton_N_Premium#0,"""อัปเดตรายการสินค้า (Premium)"""
ShopListResetButton_N_SG#0,"""อัปเดตรายการสินค้า<pict 4space><pict StarGem>"""
ShopListResetTime_wait#0,"""กำลังดึงข้อมูล"""
RenewConfirmTitle#0,"""อัปเดตรายการสินค้า"""
RenewConfirmTitle_N#0,"""อัปเดตรายการสินค้า"""
RenewConfirmMessage#0,"""<pict StarGem><c 1dedd7>ใช้ SG<c><br><br>สั่งซื้อ \""$(0)\""?<br>การทำเช่นนี้จะอัปเดตรายการสินค้าทันที<br>คุณต้องการสั่งซื้อหรือไม่?<br><br><yellow>※เนื่องจากรายการสินค้าเป็นการสุ่ม<br>จึงมีโอกาสที่ไอเทมเดิมจะปรากฏซ้ำ<c><br><br>(SG ที่มี: $(1))"""
RenewConfirmMessage_N_Free#0,"""การทำเช่นนี้จะอัปเดตรายการสินค้า $(1)<br>ขณะนี้คุณสามารถทำได้ฟรี ดำเนินการต่อหรือไม่?<br><br><yellow>※เนื่องจากรายการสินค้าเป็นการสุ่ม จึงมีโอกาสที่ไอเทมเดิมจะปรากฏซ้ำ<br>※คุณสามารถรีเฟรชฟรีได้วันละ 1 ครั้ง หากมี Premium Set จะสามารถรีเฟรชเพิ่มได้อีก 1 ครั้ง<c><br><br>จำนวนรีเฟรชฟรีที่เหลือ: <yellow>$(0)<c>"""
RenewConfirmMessage_N_Premium#0,"""<yellow>โบนัส Premium Set<c><br><br>เนื่องจากคุณมี Premium Set ที่เปิดใช้งานอยู่ คุณสามารถอัปเดตรายการสินค้า $(1) ได้ฟรีอีกครั้ง<br><yellow>※เนื่องจากรายการสินค้าเป็นการสุ่ม จึงมีโอกาสที่ไอเทมเดิมจะปรากฏซ้ำ<c><br><br>จำนวนรีเฟรชฟรีที่เหลือ: <yellow>$(0)<c>"""
RenewBuyTitle#0,"""อัปเดตรายการสินค้า"""
RenewBuyMessage#0,"""สั่งซื้อในราคา $(0)SG (ราคาปกติ: $(1)SG) และ<br>อัปเดตรายการสินค้าทันทีหรือไม่?<br><br><yellow>คุณจะได้รับส่วนลดสำหรับการซื้อ 1-9 ครั้งแรก อย่างไรก็ตาม หากคุณ<br>สั่งซื้ออย่างต่อเนื่อง ส่วนลดของคุณ<br>จะค่อยๆ ลดลง<c><br>※ส่วนลดนี้จะรีเซ็ตในเวลา<br><utc>20:00</utc> ของทุกวัน<br>(SG ที่มี: $(2))"""
RenewBuyMessage_N_SG#0,"""<pict StarGem><c 1dedd7>ใช้ SG<c><br><br>การทำเช่นนี้จะอัปเดตรายการสินค้า $(1) ทันที โดยใช้ <pict StarGem><yellow>10SG<c><br>ดำเนินการต่อหรือไม่?<br><br><yellow>※รายการสินค้าเป็นการสุ่ม ดังนั้นไอเทมจากรายการปัจจุบันอาจปรากฏในรายการใหม่ได้<c><br><br>จำนวนครั้งที่อัปเดตเองได้: <yellow>$(0)<c><br><pict StarGem>SG ที่มี: $(2)"""
RenewResultTitle#0,"""ผลการอัปเดตรายการสินค้า"""
RenewResultMessage#0,"""อัปเดตรายการสินค้าแล้ว"""
RenewResultError#0,"""อัปเดตรายการสินค้าล้มเหลว"""
RenewResultError2#0,"""Star Gems ไม่เพียงพอ"""
RenewResultError3#0,"""รายการสินค้าถูกอัปเดตอัตโนมัติไปแล้ว"""
RenewResultError4#0,"""ล้มเหลวในการสื่อสารกับ server<br><br>กรุณาลองใหม่อีกครั้งในภายหลัง"""
RenewResultError5#0,"""เกิดปัญหาที่ไม่คาดคิดกับ server<br><br>กรุณาลองใหม่อีกครั้งในภายหลัง"""
RenewResultError6#0,"""ล้มเหลวในการเข้าถึง database ของ server<br><br>กรุณาลองใหม่อีกครั้งในภายหลัง"""
RenewSgShop#0,"""อัปเดต SG Treasure Shop"""
RenewSgShop01#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 1)"""
RenewSgShop02#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 2)"""
RenewSgShop03#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 3)"""
RenewSgShop04#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 4)"""
RenewSgShop05#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 5)"""
RenewSgShop06#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 6)"""
RenewSgShop07#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 7)"""
RenewSgShop08#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 8)"""
RenewSgShop09#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 9)"""
RenewSgShop10#0,"""อัปเดต SG Treasure Shop (ครั้งที่ 10+)"""
RenewSgShop_N_Free#0,"""อัปเดต Treasure Shop (SG) (ฟรี)"""
RenewSgShop_N_Premium#0,"""อัปเดต Treasure Shop (SG) (Premium)"""
RenewSgShop_N_SG#0,"""อัปเดต Treasure Shop (SG) (<pict StarGem>10 SG)"""
RenewMesetaShop#0,"""อัปเดต Meseta Treasure Shop"""
RenewMesetaShop01#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 1)"""
RenewMesetaShop02#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 2)"""
RenewMesetaShop03#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 3)"""
RenewMesetaShop04#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 4)"""
RenewMesetaShop05#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 5)"""
RenewMesetaShop06#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 6)"""
RenewMesetaShop07#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 7)"""
RenewMesetaShop08#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 8)"""
RenewMesetaShop09#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 9)"""
RenewMesetaShop10#0,"""อัปเดต Meseta Treasure Shop (ครั้งที่ 10+)"""
RenewMesetaShop_N_Free#0,"""อัปเดต Treasure Shop (N-Meseta) (ฟรี)"""
RenewMesetaShop_N_Premium#0,"""อัปเดต Treasure Shop (N-Meseta) (Premium)"""
RenewMesetaShop_N_SG#0,"""อัปเดต Treasure Shop (N-Meseta) (<pict StarGem>10 SG)"""
InfoError_None#0,"""FailureReason_None<br>สำเร็จ"""
InfoError_Error#0,"""ไม่สามารถดึงข้อมูลรายการสินค้าได้<br>กรุณารอสักครู่แล้วลองเข้าใหม่อีกครั้ง"""
InfoError_NotFound#0,"""ไม่สามารถดึงข้อมูลรายการสินค้าได้<br>กรุณารอสักครู่แล้วลองเข้าใหม่อีกครั้ง"""
InfoError_NoMoney#0,"""Meseta ไม่เพียงพอ"""
InfoError_N_Premium#0,"""Premium Set หมดอายุแล้ว<br>จึงไม่สามารถใช้งาน<br>“$(0)” ได้"""
InfoError_N_TimeOut#0,"""เลยเวลาอัปเดตสินค้าประจำวันแล้ว<br>ก่อนที่จะอัปเดตเอง กรุณาเปิด Shop ใหม่อีกครั้ง<br>เพื่ออัปเดตรายการสินค้า"""
BuyError_OK#0,"""BlackMarketBuyAns_OK<br>แลกเปลี่ยนสำเร็จ"""
BuyError_LowPoint#0,"""Star Gems ไม่เพียงพอ"""
BuyError_IllegalParam#0,"""ไม่สามารถดำเนินการซื้อได้<br>กรุณารอสักครู่แล้วลองเข้าใหม่อีกครั้ง"""
BuyError_NoSpace#0,"""พื้นที่ใน Inventory ไม่เพียงพอ<br>หรือคุณมีไอเทมที่กำลังจะซื้อมากเกินไป<br>ไม่สามารถดำเนินการซื้อได้"""
BuyError_ExchangeLimit#0,"""ไม่สามารถดำเนินการซื้อได้<br>เนื่องจากเกินขีดจำกัดการซื้อ"""
BuyError_Other#0,"""ไม่สามารถดำเนินการซื้อได้<br>กรุณารอสักครู่แล้วลองเข้าใหม่อีกครั้ง"""
BuyError_N_BuyPremium#0,"""<pict Arcscash><scarlet>เนื้อหา AC<c><br>มีไอเทมที่ไม่สามารถซื้อได้เนื่องจากคุณยังไม่ได้เปิดใช้งาน <yellow>Premium Set<c><br><br>คุณจะสามารถซื้อได้หากเปิดใช้งาน Premium Set<br>ต้องการไปยังหน้าจอสั่งซื้อ Premium Set หรือไม่?"""
BuyError_N_UsePremium#0,"""<pict Arcscash><c 5fdf00>การใช้ไอเทมที่ซื้อมา<c><br>มีไอเทมที่ไม่สามารถซื้อได้เนื่องจากคุณยังไม่ได้เปิดใช้งาน Premium Set<br><br>คุณต้องการใช้ <yellow>Premium Sets<c> ที่ซื้อมาหรือไม่?<br><br><yellow>※หากคุณมี Premium Set หลายประเภท ระบบจะเลือกใช้แบบที่มีระยะเวลานานที่สุด<c>"""
Mark_Premium#0,"""Premium"""
Open_SgShop#0,"""สินค้าจำกัดเวลากำลังลดราคาที่ SG Shop!"""
ShopTitleText#0,"""แลกเปลี่ยน Battle Coin"""
NormalShopGuideText#0,"""<c f0df60>แลกเปลี่ยน Battle Coins เป็นไอเทม กรุณาเลือกไอเทมที่ต้องการแลก<c>"""
LimitedShopGuideText#0,"""<c f0df60>เลือกไอเทมที่ต้องการแลก (จำนวนการแลกจำกัดต่อสัปดาห์ และจะรีเซ็ตในวัน <utcdow>พ. 4:00</utcdow>)<c>"""
ShopListTitle#1,"""เมนู Shop"""
PluralityMenuGuide#0,"""<c f0df60>กรุณาเลือก Shop<c>"""
Exit#0,"""ออกจาก Shop"""
Buy#0,"""ซื้อ"""
NameNumber#0,"""$(0) x$(1)"""
BuyTitle#0,"""ยืนยันการซื้อ"""
BuyCheck#0,"""ไอเทมเหล่านี้มีราคา $(1) $(0)<br>ดำเนินการซื้อต่อหรือไม่?"""
BCDenomination#0,"""BC"""
BuyResultMessage1#0,"""สั่งซื้อเสร็จสมบูรณ์"""
BuyErrorMessage2#0,"""พื้นที่ใน Inventory ไม่เพียงพอ<br>หรือคุณมีไอเทมที่กำลังจะซื้อมากเกินไป<br>ไม่สามารถดำเนินการซื้อได้"""
BCInsufficient#0,"""BC ไม่เพียงพอ"""
BuyResultMessage2#0,"""ไม่สามารถดำเนินการซื้อได้"""
BuyResultTitle#0,"""ซื้อไอเทม"""
CancelTitle#0,"""ยืนยันการยกเลิกการซื้อ"""
CancelMessage#0,"""การทำเช่นนี้จะยกเลิกการซื้อ ดำเนินการต่อหรือไม่?"""
SelectItemInputVita#0,"""กรุณาใส่จำนวน"""
MenuErrorTitle#0,"""ข้อความ"""
MenuErrorMessage#0,"""[BC Exchange Shop] ข้อความแสดงข้อผิดพลาดในการเลือก"""
