Category_All#0,"""全部"""
Key_Item_FacePreset#0,"""簡單編輯"""
Help_Item_FacePreset#0,"""可以選擇已經預設好的面部種類。可以通過變形進行調整。"""
Key_Item_BodyPreset#0,"""簡單編輯"""
Help_Item_BodyPreset#0,"""可以選擇已經預設好的體型種類。可以通過變形進行調整。"""
Key_Item_Face#0,"""面部"""
Help_Item_Face#0,"""可以進行面部類型選擇、面部輪廓等等的調整。"""
Key_Item_HairAndHeadParts#0,"""髮型・頭部部件"""
Help_Item_HairAndHeadParts#0,"""可以進行髮型、頭部部件的選擇、髮色的設定。"""
Key_Item_Neck#0,"""頸部"""
Help_Item_Neck#0,"""可以對頸部進行調整。"""
Key_Item_Eye#0,"""眼瞳"""
Help_Item_Eye#0,"""可以進行瞳孔的類型、顔色的設定。"""
Key_Item_EyeDetail#0,"""眼睛"""
Help_Item_EyeDetail#0,"""可以進行眼睛的形狀、眼角、眼皮等等的調整。"""
Key_Item_Eyebrows#0,"""眉毛"""
Help_Item_Eyebrows#0,"""可以進行眉毛的選擇、眉色等等的設定。"""
Key_Item_Eyelashes#0,"""睫毛"""
Help_Item_Eyelashes#0,"""可以進行睫毛的選擇、眉色等等的設定。"""
Key_Item_Nose#0,"""鼻"""
Help_Item_Nose#0,"""可以進行鼻子尺寸，鼻梁高低的調整。"""
Key_Item_Mouth#0,"""口部"""
Key_Item_Teeth#0,"""牙齒・舌頭"""
Help_Item_Mouth#0,"""可以進行口部形狀的調整。"""
Help_Item_Teeth#0,"""可以進行牙齒・舌頭的選擇等等。"""
Key_Item_EarAndHorn#0,"""耳・角"""
Help_Item_EarAndHorn#0,"""可以進行耳朵和角的選擇、調整。"""
Key_Item_MakePattern#0,"""妝容・面部彩畫"""
Help_Item_MakePattern#0,"""可以進行妝容・面部彩畫的選擇、調整。"""
Key_Item_LineOfSight#0,"""視線"""
Key_Item_BodyTypeSelect#0,"""體型類型選擇"""
Help_Item_BodyTypeSelect#0,"""可以進行體型類型的變更体型。基於體型、其他項目可選擇的内容也會發生變化。"""
Key_Item_ShapeAndBreast#0,"""體型・胸部周圍"""
Help_Item_ShapeAndBreast#0,"""可以進行體型和胸部周圍的平衡調整。"""
Key_Item_ArmAndHand#0,"""肩・臂・手"""
Help_Item_ArmAndHand#0,"""可以進行肩、臂、手的平衡調整。"""
Key_Item_WaistAndLeg#0,"""腰・脚"""
Help_Item_WaistAndLeg#0,"""可以進行腰、脚的平衡調整。"""
Key_Item_Skin#0,"""皮膚"""
Help_Item_Skin#0,"""可以進行皮膚類型的選擇、顔色的設定等等。"""
Key_Item_BodyPaint#0,"""身體彩繪"""
Help_Item_BodyPaint#0,"""可以進行身體彩繪的選擇、顯示順序的變更。"""
Key_Item_MyFashion#0,"""個人裝扮"""
Help_Item_MyFashion#0,"""可以選擇或保存個人裝扮。只有在道具背包裏的道具才可以進行替換。"""
Key_Item_Costume#0,"""服裝"""
Help_Item_Costume#0,"""可以選擇服裝。也可以對其顔色進行變更。"""
Key_Item_Layering#0,"""分層服裝"""
Help_Item_Layering#0,"""可以選擇底衣、外套、内衣。也可以對其顔色進行變更。"""
Key_Item_CastParts#0,"""機器人部件"""
Help_Item_CastParts#0,"""可以進行身體部件、手臂部件、腿部部件的選擇。也可以對其顔色進行變更。"""
Key_Item_DecorationsSetting#0,"""裝飾的顯示設置"""
Help_Item_DecorationsSetting#0,"""可以進行底衣、套服、各種機器人部件顯示設定的變更。"""
Key_Item_Accessory#0,"""飾品"""
Help_Item_Accessory#0,"""可以進行飾品的選擇、調整。"""
Key_Item_Sticker#0,"""貼紙"""
Help_Item_Sticker#0,"""可以進行貼紙的選擇。"""
Key_Item_Voice#0,"""語音編輯"""
Help_Item_Voice#0,"""可以進行語音的選擇、語音聲調的變更。"""
Key_Item_FacialCustom#0,"""自定義表情"""
Help_Item_FacialCustom#0,"""可以對表情進行細微的調整。"""
Key_Item_MotionCustom#0,"""自定義行動方式"""
Help_Item_MotionCustom#0,"""可以對玩家的行動方式進行變更。"""
Key_Item_CreateData_Save#0,"""保存角色創建數據"""
Help_Item_CreateData_Save#0,"""對角色創建數據（編輯中的備份數據）進行保存。"""
Key_Item_CreateData_Load#0,"""載入角色創建數據"""
Help_Item_CreateData_Load#0,"""讀取角色創建數據。（按名稱順序最多顯示100件）"""
Key_Item_MotionTest#0,"""行動方式測試"""
Help_Item_MotionTest#0,"""可以進行各種各樣角色行動方式的實際測試。"""
Key_Item_LobbyActionTest#0,"""大廳動作測試"""
Help_Item_LobbyActionTest#0,"""可以進行各種各樣角色大廳動作的實際測試。"""
Key_Item_FieldTest#0,"""場景實測"""
Help_Item_FieldTest#0,"""可以將背景變更為其他的場景。"""
Key_Item_LightingTest#0,"""燈光測試"""
Help_Item_ExpressionTest#0,"""可以進行表情的測試。"""
Key_Item_ExpressionTest#0,"""表情測試"""
Help_Item_LightingTest#0,"""可以進行打光方式的變更。"""
Key_Item_Random#0,"""隨機生成組合"""
Help_Item_Random#0,"""可以隨機生成角色。"""
Key_Item_SyncOption#0,"""體型自動同步設定"""
Help_Item_SyncOption#0,"""可以進行體型自動同步設定的變更。"""
Key_Item_EditMotionSelect#0,"""編輯中的行動方式設定"""
Help_Item_EditMotionSelect#0,"""可以在美容院的角色編輯中變換行動方式。"""
Key_Item_MotionChange#0,"""變更行動方式"""
Help_Item_MotionChange#0,"""可以變更待機、跳躍等行動方式。"""
Key_Item_RunMotionChange#0,"""變更行走的行動方式"""
Help_Item_RunMotionChange#0,"""可以變更行走的行動方式。"""
Key_Item_EmoteTypeSelect#0,"""行動方式的默認類型"""
Help_Item_EmoteTypeSelect#0,"""可以變更大廳動作、行動方式的優先使用類型。"""
Key_Item_EstheOption#0,"""鏡頭設置"""
Help_Item_EstheOption#0,"""可以設置美容院中的鏡頭操作。"""
Key_Item_CreateData_LoadFace#0,"""讀取面部的數據"""
Help_Item_CreateData_LoadFace#0,"""讀取面部的創建數據。（按名稱順序最多顯示100件）※不會反映皮膚顏色。"""
Key_Item_FaceEditMain_Simple#0,"""臉部"""
Help_Item_FaceEditMain_Simple#0,"""可以進行面部類型、髮型・頭部部件的選擇。"""
Key_Item_FaceEditSub_Simple#0,"""其他"""
Help_Item_FaceEditSub_Simple#0,"""可以進行耳朵與牙齒・舌頭的選擇、頭髮顏色的設定等。"""
Key_Item_ArmAndHand_Simple#0,"""臂・手"""
Help_Item_ArmAndHand_Simple#0,"""可以進行臂、手的平衡調整。"""
Key_Item_BodyEditSub_Simple#0,"""其他"""
Help_Item_BodyEditSub_Simple#0,"""可以進行皮膚類型的選擇、顔色的設定等等。"""
Title_SetAccessoryList#0,"""裝備中的飾品"""
Param_SetAccessoryName#0,"""$(0)"""
Label_RemoveAll#0,"""全部取下"""
Label_RemoveAll_NoTag#0,"""全部取下"""
Label_Cost#0,"""用度"""
Label_Search#0,"""搜尋"""
Param_Cost_Now#0,"""$(0)"""
Param_Cost_Max#0,"""$(0)"""
Label_Cost_Slash#0,"""/"""
Title_AccessorySetting#0,"""飾品調整"""
Label_AccessoryAttach#0,"""附著位置"""
Label_AccessoryColor1#0,"""顏色1設定"""
Label_AccessoryColor2#0,"""顏色2設定"""
Label_AccessoryPosition#0,"""位置"""
Label_AccessoryRotation#0,"""旋轉"""
Label_AccessorySize#0,"""尺寸"""
Label_SizeSyncMove#0,"""變更全部尺寸"""
Label_X#0,"""X"""
Label_Y#0,"""Y"""
Label_Z#0,"""Z"""
Title_ColorSetting#0,"""飾品顏色調整"""
Label_ZoneDefault#0,"""默認設置"""
Label_ZoneSkin#0,"""皮膚顏色"""
Label_ZoneHair#0,"""頭髮顏色"""
Label_ZoneEye#0,"""眼睛顏色"""
Label_ZoneCostume#0,"""服裝顔色"""
Label_ZoneParts#0,"""部件顏色"""
Title_AttachSetting#0,"""設定附著位置"""
Title_NowAttachPoint#0,"""現在的設置"""
Param_NowAttachPoint#0,"""$(0)"""
Sort_Default#0,"""默認排序"""
Sort_Name#0,"""依名字排序"""
Sort_Cost#0,"""依用度排序"""
Popup_Select#0,"""變更"""
Popup_Select_NoTag#0,"""變更"""
Popup_Custom#0,"""詳細設定"""
Label_Custom#0,"""詳細設定"""
Popup_Copy#0,"""複製"""
Popup_Paste#0,"""粘貼"""
Popup_Remove#0,"""取下"""
Popup_Favorite#0,"""加入收藏"""
Message_CostOver#0,"""因為飾品用度達到上限，無法進行設定。"""
Message_NotCopied#0,"""沒有設定複製的來源。"""
Message_CopyFailed#0,"""不能進行複製。"""
Button_Init#0,"""初始化設置"""
Button_Init_NoTag#0,"""初始化設置"""
Message_Init#0,"""即將把設定初始化。確定麼？"""
Title_Init#0,"""初始化確認"""
Message_AllRemove#0,"""取下裝備中的全部飾品。<br>確定麼？"""
Title_AllRemoveCheck#0,"""確定實行"""
Popup_Hint#0,"""粘貼複製的飾品"""
Label_Color#0,"""編輯顏色"""
Title_BodyPreset#0,"""預設體型編輯"""
Label_BodyBaseType#0,"""基本體型"""
Label_BodyMorphing#0,"""進行體型變形"""
Label_HeightSlider#0,"""身高"""
Title_FacialCustom#0,"""自定義表情"""
Label_TestButton#0,"""確認表情"""
Label_TestButton_NoTag#0,"""確認表情"""
Label_Pause#0,"""停止"""
Label_DefaultButton#0,"""還原為默認"""
Label_DefaultButton_NoTag#0,"""還原為默認"""
Label_EyeSize#0,"""眼珠的大小"""
Label_EyebrowUpDown_Right#0,"""右眉毛的上下"""
Label_EyebrowUpDown_Left#0,"""左眉毛的上下"""
Label_EyeCornerUpDown#0,"""眼角的上下"""
Label_EyeClose_Right#0,"""右眼皮的上下"""
Label_EyeClose_Left#0,"""左眼皮的上下"""
Label_EyebrowPrompt_Right#0,"""右眉毛的情緒"""
Label_EyebrowPrompt_Left#0,"""左眉毛的情緒"""
Label_MouthUpDown_Right#0,"""右側嘴角的上下"""
Label_MouthUpDown_Left#0,"""左側嘴角的上下"""
Label_Tongue#0,"""舌頭的調整"""
Label_TongueHorizon#0,"""舌頭的左右調整"""
Label_TongueVertical#0,"""舌頭的上下調整"""
Label_MouthForm_A#0,"""嘴的形狀（啊）"""
Label_MouthForm_I#0,"""嘴的形狀（噫）"""
Label_MouthForm_U#0,"""嘴的形狀（嗚）"""
Label_MouthForm_E#0,"""嘴的形狀（唉）"""
Label_MouthForm_O#0,"""嘴的形狀（嗷）"""
Label_EyebrowsMood_Right#0,"""眉毛的情緒（右）"""
Label_EyebrowsMood_Left#0,"""眉毛的情緒（左）"""
Title_DefaultCheck#0,"""確認返回默認設定"""
Message_DefaultCheck#0,"""要重置為默認設定了。確定麼？"""
Label_SyncEyelib#0,"""同時進行眼皮上下側的調整"""
Label_SyncEyebrowPosition#0,"""同時進行眉毛上下側的調整"""
Label_SyncEyebrowMood#0,"""同時進行眉毛的情緒調整"""
Label_SyncMouthShape#0,"""同時進行嘴角上下的調整"""
Title_HeadPreset#0,"""預設面部的編輯"""
Label_FaceBaseType#0,"""基本臉型"""
Label_FaceMorphing#0,"""進行面部變形"""
Label_BaseType#0,"""基本臉型$(0)$(1)"""
Label_FaceVariation#0,"""選擇面部類型"""
Label_AdjustFaceOutline#0,"""輪郭調整"""
Label_AdjustFaceParts#0,"""面部形狀的調整"""
Label_HairAndHeadparts#0,"""選擇髮型・頭部部件"""
Label_HairArrange#0,"""調整髮型"""
Label_HairColor#0,"""髮色設定"""
Label_EyePattern_Right#0,"""選擇右瞳類型"""
Label_EyePattern_Left#0,"""選擇左瞳類型"""
Label_SyncEye#0,"""右眼和左眼同步變動"""
Label_SyncEyeText#0,"""右瞳的顔色和左瞳的顔色同步"""
Label_EyeColor#0,"""設定瞳色"""
Label_AdjustEye#0,"""調整眼睛的形狀"""
Label_Eyebrows#0,"""選擇眉毛"""
Label_SyncEyebrows#0,"""同時設定眉毛的顔色"""
Label_SyncEyebrowsText#0,"""和髮色1的顔色同步"""
Label_EyebrowsColor#0,"""設定眉色"""
Label_EyebrowsAlpha#0,"""眉毛的濃淡"""
Label_EyeLashes#0,"""選擇睫毛"""
Label_SyncEyeLashes#0,"""同時設定睫毛的顔色"""
Label_SyncEyeLashesText#0,"""和髮色1的顔色同步"""
Label_EyeLashesColor#0,"""設定睫毛的顔色"""
Label_AdjustNoseSize#0,"""調整鼻子的尺寸"""
Label_AdjustNoseHeight#0,"""調整鼻梁的高低"""
Label_Tooth#0,"""選擇牙齒・舌頭"""
Label_Mouth#0,"""調整口部的形狀"""
Label_Ear#0,"""選擇耳朵"""
Label_AdjustEar#0,"""調整耳朵的形狀"""
Label_Horn#0,"""選擇角"""
Label_AdjustHorn#0,"""調整角的形狀"""
Label_MakePattern1#0,"""選擇妝容・面部彩畫1"""
Label_MakePattern2#0,"""選擇妝容・面部彩畫2"""
Label_AdjustLineOfSight#0,"""調整視線"""
Label_AdjustEyeSize#0,"""調整瞳孔的尺寸"""
Label_AdjustEyePosition#0,"""調整瞳孔的左右位置"""
Label_AdjustNeckAngle#0,"""調整頸部的角度"""
Label_AdjustBody#0,"""調整體型"""
Label_AdjustNeck#0,"""調整頸部"""
Label_AdjustBust#0,"""調整胸部"""
Label_UpperArmMuscle#0,"""肩部的體積"""
Label_AdjustArm#0,"""調整手臂"""
Label_AdjustHand#0,"""調整手部"""
Label_AdjustWaist#0,"""調整腰部"""
Label_AdjustLeg#0,"""調整脚部"""
Label_Skin#0,"""選擇皮膚種類"""
Label_SkinColor#0,"""設定皮膚的顔色"""
Label_SSS#0,"""皮膚輔助色的強弱"""
Label_SkinGloss#0,"""調整皮膚光澤"""
Label_Muscle#0,"""調整肌肉量"""
Label_BodyPaint1#0,"""選擇身體彩繪1"""
Label_BodyPaint2#0,"""選擇身體彩繪2"""
Label_BodyPaintLayer#0,"""改變選擇身體彩繪的顯示順序"""
Label_LayerPriority1#0,"""優先度1"""
Label_LayerPriority2#0,"""優先度2"""
Label_LayerPriority3#0,"""優先度3"""
DropdownItem_BodyPaint1#0,"""身體彩繪1"""
DropdownItem_BodyPaint2#0,"""身體彩繪2"""
DropdownItem_Inner#0,"""内衣"""
Label_Costume#0,"""選擇服裝"""
Label_CostumeColor#0,"""設定服裝顔色"""
Label_OuterWear#0,"""選擇外套"""
Label_OuterWearColor#0,"""設定外套顔色"""
Label_BaseWear#0,"""選擇底衣・套服"""
Label_BaseWearColor#0,"""設定底衣顔色"""
Label_InnerWear#0,"""選擇内衣"""
Label_InnerWearColor#0,"""設定内衣顔色"""
Label_BodyParts#0,"""選擇身體部件"""
Label_ArmParts#0,"""選擇手臂部件"""
Label_LegParts#0,"""選擇腿部部件"""
Label_PartsColor#0,"""設定部件顔色"""
Label_Sticker#0,"""選擇貼紙"""
Label_LipPosition#0,"""調整口部的上下位置"""
Label_EyebrowPosition#0,"""調整眉毛的左右位置"""
Label_EyeVerticalPosition#0,"""調整黑眼珠的上下位置"""
Label_MakePatternDensity#0,"""妝容種類1的濃淡"""
Label_MakePatternDensity2#0,"""妝容種類2的濃淡"""
Label_Shoudler#0,"""調整肩部上下位置"""
Label_Thigh#0,"""調整大腿"""
Label_Calf#0,"""調整小腿肚"""
Label_UpperArm#0,"""調整前臂"""
Label_HandThickness#0,"""手的厚度"""
Label_FootSize#0,"""脚的尺寸"""
Label_SyncHairColor#0,"""髮色的同步設定"""
Label_SyncHairColorText#0,"""將髮色1和髮色2同步"""
Label_SwitchBasewearParts#0,"""設定是否顯示底衣/套服的裝飾"""
Label_SwitchBasewearPartsText1#0,"""不顯示底衣/套服的裝飾1"""
Label_SwitchBasewearPartsText2#0,"""不顯示底衣/套服的裝飾2"""
Label_SwitchCastParts#0,"""設定是否顯示機器人部件"""
Label_SwitchHeadPartsHideText#0,"""不顯示頭部部件的裝飾"""
Label_SwitchBodyPartsHideText#0,"""不顯示身體部件的裝飾"""
Label_SwitchArmHideText#0,"""不顯示手臂部件的裝飾"""
Label_SwitchLegHideText#0,"""不顯示腿部部件的裝飾"""
Label_SwitchOuterwear#0,"""設定是否顯示外套的裝飾"""
Label_SwitchOuterHide#0,"""不顯示外套的裝飾"""
Label_SwitchHead#0,"""設定是否顯示頭部的裝飾"""
Label_SwitchHeadHide#0,"""不顯示頭部的裝飾"""
Label_SwitchFace#0,"""設定是否顯示面部類型的裝飾"""
Label_SwitchFaceHide#0,"""不顯示面部類型的裝飾"""
Label_SwitchInner#0,"""設定是否顯示內衣"""
Label_SwitchInnerHide#0,"""不顯示內衣"""
Label_SyncEyelib#1,"""眼皮的同步設定"""
Label_SyncEyebrow#0,"""眉毛形狀的同步設定"""
Label_SyncMouthShape#1,"""嘴角的同步設定"""
Label_Detail#0,"""詳細情報"""
Label_SyncBodyOption#0,"""體型的自動同步設定"""
Label_SyncBodyCast#0,"""全體型類型同步"""
Label_SyncBodyCastExplain#0,"""人型和機器人型<br>即便設定相同、外觀也有所差別。<br>若是將本設定設置為ON<br>則與體型相關的編輯項目都會同步。"""
Label_SyncBodyClassic#0,"""兩種模型同步"""
Label_SyncBodyClassicExplain#0,"""『PSO2：NGS』和『PSO2』的<br>模型編輯項目有所變化。<br>若是將本設定設置為ON<br>則與體型相關的編輯項目都會同步。"""
Label_SetWearColor#0,"""設定套服的顔色"""
Label_AccessorySelect#0,"""飾品$(0)選擇"""
Label_AccessoryPosition#1,"""飾品$(0)位置調整"""
Label_AccessoryAngle#0,"""飾品$(0)角度調整"""
Label_AccessorySize#1,"""飾品$(0)尺寸調整"""
Label_AccessoryAttach#1,"""飾品$(0)附著位置"""
Label_AccessoryColor#0,"""飾品$(0)顔色的同步"""
Label_MotionChangeSelectRun#0,"""行動方式：移動"""
Label_MotionChangeSelectSwim#0,"""行動方式：游泳"""
Label_MotionChangeSelectDash#0,"""行動方式：衝刺"""
Label_MotionChangeSelectGlide#0,"""行動方式：滑翔"""
Label_MotionChangeSelectLanding#0,"""行動方式：落地"""
Label_MotionChangeSelectWait#0,"""行動方式：待機"""
Label_MotionChangeSelectJump#0,"""行動方式：跳躍"""
Label_EstheOption#0,"""設置鏡頭操作方向"""
Label_EstheOptionCameraHRotate#0,"""左右反轉鏡頭回轉方向"""
Label_EstheOptionCameraVRotate#0,"""上下反轉鏡頭回轉方向"""
Label_EstheOptionCharaHRotate#0,"""反轉角色回轉方向"""
Label_Next#0,"""確定"""
Label_Back#0,"""返回"""
Label_EditCheck#0,"""確定編輯内容"""
Label_FixedChange#0,"""確定變更"""
Label_CancelChange#0,"""不變更返回"""
Label_OK#0,"""確定"""
Label_Cancel#0,"""取消"""
Label_Next_NoTag#0,"""確定"""
Label_Back_NoTag#0,"""返回"""
Label_EditCheck_NoTag#0,"""確定編輯内容"""
Label_FixedChange_NoTag#0,"""確定變更"""
Label_CancelChange_NoTag#0,"""不變更返回"""
Label_OK_NoTag#0,"""確定"""
Label_Cancel_NoTag#0,"""取消"""
Label_NotFoundItems#0,"""沒有可選擇的項目"""
Tab_All#0,"""全部"""
Tab_ItemPack#0,"""道具背包"""
Tab_Warehouse#0,"""角色倉庫"""
Tab_Favorite#0,"""加入收藏"""
Tab_Accessory_All#0,"""全部的飾品"""
Tab_Accessory_New#0,"""新獲得的"""
Tab_Accessory_History#0,"""選擇的飾品的履歷"""
Tab_Accessory_00#0,"""頭部上段"""
Tab_Accessory_01#0,"""頭部中段"""
Tab_Accessory_02#0,"""頭部小物"""
Tab_Accessory_03#0,"""其他"""
Message_DifferentBodyType#0,"""選擇了不適用於當前體型類型的道具<br>仍要變更體型類型麼？<br><yellow>※若要繼續變更體型類型、<br>以下不合適的項目類型將會被初始化。<c><br>・皮膚<br>・身體彩繪1、2<br>・分層服裝（外套、底衣、内衣）<br>・機器人部件（身體、手臂、腿部）<br>・服裝"""
Message_UnableEdit#0,"""由於並非『PSO2』樣式的部件，因此不能進行該項目的編輯。"""
Button_Skip_ClassSelect#0,"""跳過編輯進入職業選擇階段"""
Sort_Esthetic1#0,"""默認排序"""
Sort_Esthetic2#0,"""只顯示體型類型1"""
Sort_Esthetic3#0,"""只顯示體型類型2"""
Sort_Esthetic4#0,"""只顯示機器人類型1"""
Sort_Esthetic5#0,"""只顯示機器人類型2"""
Sort_Esthetic6#0,"""只顯示『PSO2:NGS』模型"""
Sort_Esthetic7#0,"""只顯示『PSO2』模型"""
Hint_Common#0,"""可以對選擇的項目進行編輯"""
Effect_Normal#0,"""通常"""
Effect_Cast#0,"""機器人"""
Popup_HairOFF#0,"""按<%TabBack>切換顯示/不顯示髮型。"""
Popup_CostumeOFF#0,"""按<%TabForward>切換顯示/不顯示服裝。"""
Popup_Redo#0,"""按<swguidetype Redo>撤銷一步。"""
Popup_Undo#0,"""按<swguidetype Undo>重做一步。"""
Key_Reset#0,"""重置"""
Key_Normal#0,"""通常"""
Key_Smile#0,"""笑臉"""
Key_Anger#0,"""憤怒"""
Key_Sad#0,"""悲傷"""
Key_Distrust#0,"""不信感"""
Key_CloseEye#0,"""閉眼"""
Key_Smile2#0,"""笑臉2"""
Key_Wink#0,"""wink"""
Title_BodyTypeSelect#0,"""體型類型選擇"""
Label_BodyType_Male#0,"""人型類型1"""
Label_BodyType_Female#0,"""人型類型2"""
Label_BodyType_CastMale#0,"""機器人類型1"""
Label_BodyType_CastFemale#0,"""機器人類型2"""
Label_Notice#0,"""<yellow>※若要繼續變更體型類型、<br>以下不合適的項目類型將會被初始化。<c><br>・皮膚<br>・身體彩繪1、2<br>・分層服裝（外套、底衣、内衣）<br>・機器人部件（身體、手臂、腿部）<br>・服裝"""
Title_CheckEditItem#0,"""確定編輯内容"""
Label_Notice#1,"""概覽已經編輯了的内容。<br>可以通過檢查和消去<br>來取消編輯的内容。"""
Label_NotEdited#0,"""沒有編輯過的項目"""
Label_Reflect#0,"""反映"""
Label_Cancel#1,"""取消"""
Label_Red#0,"""R"""
