Hypotension#0,"""สายตื่นเช้า"""
5412#0,"""ประธานแห่ง Guardians<br>Laia Martinez เอง<br>ถ้าต้องการพลังล่ะก็เรียกได้ทุกเมื่อเลยนะ"""
5223#0,"""สังกัดแผนกสืบสวนทั่วไปของ Guardians<br>Lumia Waber ค่ะ<br>ฝากตัวด้วยนะคะ"""
5443#0,"""การทำให้ลูกค้าประหลาดใจและยินดี...<br>นั่นคือหน้าที่ของดิฉันค่ะ<br>เรียกได้ตามสบายทุกเมื่อเลยนะคะ"""
5444#0,"""ฉันชื่อ Kuina ค่ะ!<br>ความร่าเริงคือจุดเด่นของฉันเลย เพราะงั้นเรียกได้<br>ตามสบายทุกเมื่อเลยนะ! จะบินไปหาเลยล่ะ!"""
5445#0,"""ชื่อ Eri ค่ะ<br>หากเป็นเวลาที่ต้องการพลังของฉันล่ะก็<br>จะขอยืมพลังนี้ไปก็ได้ค่ะ"""
5437#0,"""สังกัดหน่วยรบ ARKS แผนกยุทธวิธีใหม่!<br>ชื่อ Stratos ค่ะ!<br>ส่งเสียงเรียกได้ตามสบายทุกเมื่อเลยนะคะ!"""
5426#0,"""ข้าก็เป็นเพียงพลังอันบริสุทธิ์<br>หากเตรียมใจที่จะก้าวเดินไปด้วยกันแล้วล่ะก็<br>ข้าก็จะเป็นพลังให้กับเจ้าเอง"""
5457#0,"""Partner Card นี่เขียนแบบนี้โอเคไหม?<br>มีเธออยู่ด้วยแล้วช่วยได้เยอะเลยล่ะ<br>ถ้าเรียกฉันบ่อยๆ จะดีใจมากเลยน้า"""
5427#0,"""ปืนของฉันน่ะแม่นร้อยเปอร์เซ็นต์!<br>เวลาที่จำเป็นก็เรียกได้เลย<br>ถ้าเป็นคำขอร้องล่ะก็ จะรีบพุ่งไปหาเลยล่ะ"""
5428#0,"""ความสนุกน่ะไม่ใช่สิ่งที่ควรเก็บไว้คนเดียวนะ<br>ช่วยเรียกฉันหน่อยได้ไหมจ๊ะ?<br>อุふふ... จะทำให้สนุกสุดเหวี่ยงไปเลยล่ะ"""
5459#0,"""ฉันคือ Politan!<br>จะใช้กรงเล็บที่ฉีกเสื้อผ้ามานับไม่ถ้วนนี้<br>เป็นพลังให้เอง เพราะงั้นเรียกด้วยล่ะ!"""
5462#0,"""ระหว่างที่ตามหาซานต้า<br>ก็จะช่วยทำเควสต์ไปด้วยเลย<br>เพราะงั้นเรียกได้ทุกเมื่อเลยนะ!"""
5463#0,"""ทั้งเรื่องตามหาซานต้าและเควสต์<br>จะพยายามอย่างเต็มที่ค่ะ<br>เรียกได้ทุกเมื่อเลยนะคะ"""
5478#0,"""ถ้าปล่อยให้เป็นหน้าที่ของ Och Miller คนนี้ล่ะก็<br>ไม่ว่าภารกิจไหนก็สำเร็จ 100% แน่นอน!<br>เอ๊ะ วาเลนไทน์เหรอ? ไม่รู้เรื่องย่ะ!"""
5483#0,"""สำหรับงานเขียนแล้ว การเก็บข้อมูลและประสบการณ์นั้นสำคัญ<br>วาเลนไทน์เองก็อยากจะลงพื้นที่เก็บข้อมูลเหมือนกัน<br>ถ้ายอมร่วมมือด้วยล่ะก็ จะช่วยให้ยืมมือก็ได้"""
5479#0,"""ฉันถือคติว่ารับบุญคุณมาก็ต้องทดแทนล่ะนะ<br>เรียกได้ทุกเมื่อเลย... ของตอบแทนช็อกโกแลตเหรอ?<br>ด เดี๋ยวไว้คราวหน้าเถอะน่า!"""
5499#0,"""ฉันยังอ่อนหัดอยู่ก็จริง<br>แต่ก็จะพยายามอย่างเต็มที่เพื่อเป็นกำลังให้ค่ะ!<br>เรียกฉันได้ทุกเมื่อเลยนะคะ!"""
5510#0,"""ผู้บัญชาการหน่วยรบ ARKS, Huey!<br>ถ้าลำบากก็เรียกได้ไม่ต้องเกรงใจเลย!<br>พร้อมปรากฏตัวในชุดว่ายน้ำทุกเมื่อ!"""
5519#0,"""ช่วยดึงพลังของฉันออกมาให้ดูหน่อยสิ<br>แล้วก็... สักวันนึง มาดวลกับฉันด้วยล่ะ..."""
5525#0,"""ดาบสายฟ้าของฉันคือเครื่องมือแห่งความยุติธรรม<br>หากเธอต่อสู้เพื่อความยุติธรรม ฉันก็จะทำลาย<br>ทุกคนที่ต่อต้านเธอเอง"""
5518#0,"""อยากจะไปตามหาหินสวยๆ จังเลยน้า<br>เธอ... จะไปเป็นเพื่อนฉันหน่อยได้ไหม?"""
5527#0,"""รอรับคำสั่งอยู่ค่ะ<br>ไม่ว่าศัตรูจะเป็นใคร<br>จะเป่าให้หายไปไม่เหลือซากให้ดูเลยค่ะ!"""
5526#0,"""โคตรจะน่ารำคาญสุดๆ เลยก็เถอะ<br>แต่ถ้าเป็นคำขอของนายล่ะก็ จะยอมช่วย<br>ให้ก็ได้... พ เพราะงั้น ขอบคุณฉันซะด้วยล่ะ?"""
5532#0,"""Magical★Xiera ค่ะ!<br>จะร่ายเวทมนตร์สุดแสนวิเศษ<br>ใส่ทุกคนเองนะคะ☆"""
5528#0,"""ถึงนายท่าน ARKS<br>เวลาไปออกล่าก็เรียกได้ทุกเมื่อเลยเนีย<br>ผมจะคอยเป็นคู่หูตามไปทุกที่เลยเนีย"""
5533#0,"""I've been getting stronger. I'll help<br>you any time, even at Christmas!<br>Um, I hope this costume's alright...!"""
5534#0,"""ฉันแข็งแกร่งขึ้นเรื่อยๆ เลยล่ะ ฉันจะช่วย<br>เธอทุกเมื่อเลยนะ แม้แต่ตอนคริสต์มาสก็เถอะ!<br>เอ่อ หวังว่าชุดนี้จะดูโอเคนะ...!"""
5543#0,"""ชุดนี้กับวาเลนไทน์เนี่ย<br>มันเกี่ยวข้องกันตรงไหนงั้นเหรอ...?<br>เอาเถอะ จะพยายามทำตัวให้เข้าสังคมก็แล้วกัน"""
5544#0,"""ถ้าต้องการพลังของฉันล่ะก็<br>จะรีบพุ่งไปหาทุกเมื่อเลย!<br>ไม่ต้องเกรงใจหรอกนะ คู่หู!"""
5566#0,"""ต้องการพลังของ 'หมาป่าทมิฬ' ผู้นี้งั้นรึ?<br>คุคุคุ ย่อมได้ ถ้างั้นแกก็จงรับรู้ถึง<br>ความน่าสะพรึงกลัวของ 'วิญญาณอาฆาต' ซะเถอะ"""
5570#0,"""สวัสดีค่ะ มาสเตอร์<br>จะรีบไปรับใช้ทุกเมื่อเลยค่ะ<br>เรียกได้ตามสบายเลยนะคะ!"""
5580#0,"""ต้องการพลังของฉันกับเรือชูโทโร่เหรอทูน่า?<br>จะยอมช่วยให้ก็ได้ทูน่า<br>จะแสดงพลังของนักรบปลาทูน่าให้ดูเองทูน่า!"""
5581#0,"""ถ้าเป็นฉันล่ะก็ จะช่วยเองค่ะ<br>เอ่อ ให้ Phigi กับ Jis<br>ไปด้วยก็ได้ใช่ไหมคะ...?"""
5582#0,"""เซอร์ เยสเซอร์!<br>ข้าน้อย Yasminkov 8000C<br>ยินดีติดตามไปด้วยเป็นอย่างยิ่งขอรับ!"""
5583#0,"""ถ้าเป็นแกล่ะก็ คงจะไม่ใช้<br>พลังไปในทางที่ผิดหรอก<br>ในฐานะทูตแห่งธรรมชาติ จะขอยื่นมือเข้าช่วยก็แล้วกัน!"""
5584#0,"""พาฉันไปด้วยสิ<br>ฉันจะช่วยนายเอง<br>ก็แค่ผลประโยชน์มันตรงกันน่ะ"""
5587#0,"""...ฉันติดหนี้บุญคุณคุณอย่างมาก<br>เรียกใช้ฉันได้ทุกเมื่อเลยนะคะ<br>ฉันจะพยายามอย่างเต็มที่เพื่อเป็นกำลังให้กับคุณค่ะ"""
5589#0,"""ฉันยังอ่อนหัดอยู่ก็จริง<br>แต่ก็จะพยายามอย่างเต็มที่เพื่อเป็นกำลังให้ค่ะ!<br>เรียกฉันได้ทุกเมื่อเลยนะคะ!"""
5590#0,"""ถ้าเป็นฉันล่ะก็... จะร่วมมือด้วยก็ได้<br>เวลาลำบาก ก็เรียกได้ทุกเมื่อเลยนะ"""
5591#0,"""ความสนุกน่ะไม่ใช่สิ่งที่ควรเก็บไว้คนเดียวนะ<br>ช่วยเรียกฉันหน่อยได้ไหมจ๊ะ?<br>อุふふ... จะทำให้สนุกสุดเหวี่ยงไปเลยล่ะ"""
5597#0,"""Mitarashi เองนะ!<br>เวลาจะไปลงเควสต์แนะนำก็เรียกด้วยล่ะー<br>กุญแจโบนัสทอง! กุญแจโบนัสทอง!"""
5598#0,"""Tetra ค่ะ เรียกได้ตามสบายเลยน้าー<br>อ๊ะ! เวลาจะจัดงานถ่ายสกรีนช็อตล่ะก็<br>ต้องเรียกฉันให้ได้เลยนะคะ!"""
5599#0,"""เรียกได้ทุกเมื่อเลยนะ<br>ถึงตอนนั้นฉันจะปลดปล่อยพลังที่แท้จริง<br>แล้วตามไปด้วยทุกที่เลยล่ะ"""
5620#0,"""การสร้างบุญคุณกับ Guardian<br>ก็ดูไม่เลวเหมือนกันล่ะนะ จะให้ยืมพลังก็แล้วกัน"""
5621#0,"""ถ้ามีอะไรที่ฉันพอจะเป็นกำลังให้ได้ล่ะก็<br>เรียกได้ทุกเมื่อเลยนะคะ"""
5624#0,"""เพื่อปกป้องความสงบสุขของวาเลนไทน์และช็อกโกแลตของทุกคน<br>จะพยายามให้สมกับเป็นฮีโร่เลยค่ะ!<br>เรียกฉันได้ทุกเมื่อเลยนะคะ!"""
5625#0,"""...คนมีฝีมืออย่างแก<br>ถึงกับต้องให้ 'หมาป่าทมิฬ' ผู้นี้ให้ยืมพลังเลยรึ...<br>คุคุคุ มันจะต้องน่าสะพรึงกลัวมากแน่ๆ"""
