r01_gd_flo_wi#0,"""Fuwan"""
r01_gd_sol_ribo#0,"""Boms Gun"""
r01_gd_sol_ribold#0,"""Bomux Gun"""
r01_gd_ins_ba#0,"""Destragras"""
r01_unk_rap_mo#0,"""Tsukimi Rappy"""
r01_unk_rap_ha#0,"""Scythe Rappy"""
r02_gd_flo_th#0,"""Sand Fuwan"""
r02_gd_pyc_ba#0,"""Sand Tinos"""
r02_gd_gos_ba#0,"""Sand Koron"""
r02_gd_sol_sw#0,"""Dezas Sword"""
r02_gd_sol_ri#0,"""Dezas Gun"""
r02_gd_sol_lu#0,"""Dezas Launcher"""
r02_gd_sol_gs#0,"""Dezas Slash"""
r02_gd_gor_ba#0,"""Sand Roron"""
r02_gd_gor_bald#0,"""Sand Rorox"""
r02_gd_for_ba#0,"""Sandotts"""
r02_gd_bra_ba#0,"""Brancle"""
r02_gd_mtl_ba#0,"""Metis"""
r02_gd_box_ba#0,"""Sand Nagrus"""
r02_gd_phe_ba#0,"""Sand Oruq"""
r02_gd_sip_ba#0,"""Lysentos"""
r02_gd_cas_mi#0,"""Fortes Launcher"""
r02_gd_cas_el#0,"""Fortes Laser"""
r02_gd_kic_ba#0,"""Kelkund"""
r02_gd_sna_ba#0,"""Lenus Retem"""
r02_gd_sna_rai#0,"""Lenus Vera"""
r02_gd_gia_hm#0,"""Snaedal Hammer"""
r02_gd_gia_rai#0,"""Snaedal Vera"""
r02_alt_sin_ba#0,"""Mummidog"""
r02_alt_dwf_ba#0,"""Savallk"""
r02_alt_dks_ba#0,"""Kero Gero"""
r02_alt_hrp_ba#0,"""Saval Ange"""
r02_alt_snk_ba#0,"""Grassneg"""
r02_alt_tkm_ba#0,"""Laughinbear"""
r02_alt_tig_ba#0,"""Clawper"""
r02_alt_dvs_ba#0,"""Bubble Crab"""
r02_ani_rbt_a#0,"""Ramul Sunny"""
r02_ani_bis_a#0,"""Ramul Patt"""
r02_ani_bis_b#0,"""Ramul Pattie"""
r02_ani_bir_b#0,"""Ramul Birdie"""
r02_ani_sli_a#0,"""Ramul Otterica"""
r02_ani_kit_a#0,"""Ramul Voks"""
r02_ani_cam_a#0,"""Camellio"""
r02_ani_cam_b#0,"""Camellia"""
r02_ani_hip_a#0,"""Pippotan"""
r02_ani_hip_b#0,"""Hippoko"""
r02_ani_boa_a#0,"""Ramul Noxi"""
r01_unk_rap_ch#0,"""Tonna Rappy"""
r02_gd_god2_ba#0,"""Dark Falz"""
r03_gd_flo_th#0,"""Snow Fuwan"""
r03_gd_pyc_ba#0,"""Snow Tinos"""
r03_gd_tyu_ba#0,"""Jungues"""
r03_gd_sol_sw#0,"""Zamus Sword"""
r03_gd_sol_ri#0,"""Zamus Gun"""
r03_gd_sol_lu#0,"""Zamus Launcher"""
r03_gd_sol_gs#0,"""Zamus Slash"""
r03_gd_gor_ba#0,"""Snow Roron"""
r03_gd_gor_bald#0,"""Snow Rorox"""
r03_gd_for_ba#0,"""Fritts"""
r03_gd_bkt_ba#0,"""Rinshan"""
r03_gd_abn_ba#0,"""Proctus Ael"""
r03_gd_abn_ba2#0,"""Proctus Retena"""
r03_gd_hum_cl#0,"""Ams Clone"""
r03_gd_phe_ba#0,"""Snowruq"""
r03_gd_wic_ba#0,"""Relinne"""
r03_gd_pan_ba#0,"""Pangolan"""
r03_gd_gia_ice#0,"""Raedal Sword"""
r03_gd_tur_ba#0,"""Crocodallus"""
r03_gd_tur_rai#0,"""Crocodallus Vera"""
r03_gd_hum_ba#0,"""Ams Kvaris"""
r03_gd_hum_rai#0,"""Ams Vera"""
r02_gd_god2_ex#0,"""Dark Falz"""
r03_alt_sin_ba#0,"""Chilldidog"""
r03_alt_sin_ba2#0,"""Freezidog"""
r03_alt_dks_ba#0,"""Heir Gero"""
r03_alt_dks_ba2#0,"""Chibeta Gero"""
r03_alt_wlf_ba#0,"""Chilldiron"""
r03_alt_wlf_ba2#0,"""Freeziron"""
r03_alt_cli_ba#0,"""Chilldicurio"""
r03_alt_cli_ba2#0,"""Freezicurio"""
r03_alt_hog_ba#0,"""Chilldinhog"""
r03_alt_hog_ba2#0,"""Freezinhog"""
r03_alt_snk_ba#0,"""Chilldisneg"""
r03_alt_snk_ba2#0,"""Freezisneg"""
r03_alt_tig_ba#0,"""Chilldiroper"""
r03_alt_tig_ba2#0,"""Freeziroper"""
r03_alt_tao_ba#0,"""Mach Ride"""
r03_ani_rbt_a#0,"""Lummy Sunny"""
r03_ani_bis_a#0,"""Lummy Patt"""
r03_ani_bir_a#0,"""Lummy Birdie"""
r03_ani_sli_a#0,"""Lummy Otterica"""
r03_ani_kit_a#0,"""Lummy Voks"""
r03_ani_rei_a#0,"""Pororo"""
r03_ani_fih_a#0,"""Comanta"""
r03_non_rob_a#0,"""Hovac"""
r01_unk_emp_ba#0,"""Emperappy"""
r01_unk_emp_babi#0,"""Greatrappy"""
r01_unk_emp_10av#0,"""Ceremo Emperappy"""
r01_unk_emp_10avbi#0,"""Ceremo Greatrappy"""
r02_gd_kpy_ba#0,"""Ikusa Bujin"""
r02_alt_cli_ba#0,"""Sava Curio"""
r02_alt_wlf_ba#0,"""Sava Wauron"""
r02_alt_tis_ba#0,"""Sava Discythe"""
r01_unk_rap_wi#0,"""Nordi Rappy"""
r02_alt_hog_ba#0,"""Savinehog"""
r02_nat_gdn_ba#0,"""Guardine Loa"""
r02_nat_wol_sm#0,"""Gulf Deloa"""
r02_nat_wol_bi#0,"""Fangulf Deloa"""
r02_nat_bir_ba#0,"""Agnis Deloa"""
r02_nat_gma_ba#0,"""Spardan A Loa"""
r02_nat_gma_gu#0,"""Spargun Loa"""
r02_nat_gma_bo#0,"""Sparzyle Loa"""
r02_nat_armma_ba#0,"""Armarongo"""
r02_nat_can_gu#0,"""Signo Gun Loa"""
r02_nat_zmr_rs#0,"""Gilnach Loa"""
r02_nat_hmc_ba#0,"""Dingell Loa"""
r02_nat_bea_ba#0,"""Dunebear"""
r01_nat_fan_tmsp#0,"""Thunder Banther"""
r02_nat_trf_ba#0,"""Gran Mizer"""
r01_unk_tan_ba#0,"""Captan"""
r01_unk_rap_1ng#0,"""Anniversa Rappy"""
r03_nat_bea_mon#0,"""Yede Loa"""
r03_nat_wol_sm#0,"""Gulfur Loa"""
r03_nat_wol_bi#0,"""Fangulfur Loa"""
r03_nat_bir_ba#0,"""Aginis Zaloa"""
r03_nat_armma_ba#0,"""Blizzarongo"""
r03_nat_bea_ice#0,"""Konigs Yede"""
r03_nat_fan_icem#0,"""Ice Banther"""
r03_nat_fan_icef#0,"""Ice Banshee"""
r03_alt_hog_sm#0,"""Chilldinhedge"""
r03_alt_hog_sm2#0,"""Freezinhedge"""
r03_alt_tao_ba2#0,"""Mach Rider"""
r01_nat_bea_robi#0,"""Rockbear Geo"""
r03_gd_mrt_ba#0,"""Lemutis"""
r04_gd_zrf_ba#0,"""Nilus Stia"""
r04_gd_zrf_rai#0,"""Nilus Vera"""
r01_gd_dra_cm#0,"""Nex"""
r04_gd_flo_fl#0,"""Lava Fuwan"""
r04_gd_pyc_ba#0,"""Lava Tinos"""
r03_nat_mam_sm#0,"""Malmoth Loa"""
r03_nat_mam_de#0,"""Zo Malmoth"""
r03_gd_ksg_ba#0,"""Vardias"""
r03_gd_rkt_ba#0,"""Bitts"""
r04_gd_mtl_ba#0,"""Lava Metis"""
r04_gd_leg_ba#0,"""Stradis"""
r04_gd_sip_ba#0,"""Blazentos"""
r04_ani_rbt_a#0,"""Flamm Sunny"""
r04_ani_brs_a#0,"""Flamm Patt"""
r04_ani_bir_a#0,"""Flamm Birdie"""
r04_ani_sli_a#0,"""Flamm Otterica"""
r04_ani_kit_a#0,"""Flamm Voks"""
r04_ani_rei_a#0,"""Flamm Pororo"""
r04_ani_fih_a#0,"""Flamm Comanta"""
r04_gd_god3_ba#0,"""Dark Falz Aegis"""
r04_gd_ufo_gr#0,"""Darlet Attacker"""
r04_gd_ufo_fl#0,"""Darlet Shooter"""
r04_alt_bat_ba#0,"""Freyray"""
r04_alt_bat_ba2#0,"""Thunderay"""
r04_alt_chk_ba#0,"""Kowordli"""
r04_alt_crb_ba#0,"""Basalpion"""
r04_alt_nod_ba#0,"""Slaghead"""
r04_alt_shp_ba#0,"""Rockhound"""
r04_alt_shp_ba2#0,"""Steinhound"""
r04_alt_slm_ba#0,"""Borecrawl"""
r04_alt_slm_th#0,"""Vigorcrawl"""
r04_alt_tat_ba#0,"""Crysancle"""
r04_alt_vdr_ba#0,"""Dark Remnus"""
r04_alt_vdr_ba2#0,"""Volt Remnus"""
r04_gd_mog_ba#0,"""Doldoris"""
r04_gd_mog_rai#0,"""Doldoris Vera"""
r04_gd_nyb_ba#0,"""Engouku"""
r04_gd_pun_ba#0,"""Boostas"""
r04_gd_sol_ax#0,"""Gazas Axe"""
r04_gd_sol_ri#0,"""Gazas Gun"""
r04_gd_sol_lu#0,"""Gazas Launcher"""
r04_gd_sol_gs#0,"""Gazas Slash"""
r04_gd_gor_ba#0,"""Lava Roron"""
r04_gd_gor_bald#0,"""Lava Rorox"""
r04_gd_for_ba#0,"""Burnitts"""
r04_gd_akm_ba#0,"""Dark Magirus"""
r02_gd_kic_wi#0,"""Kelkund"""
r01_gd_ktn_wi#0,"""Bujin"""
r04_gd_box_ba#0,"""Blaznagrus"""
r03_gd_sol_swbo#0,"""Volzamus Sword"""
r03_gd_sol_ribo#0,"""Volzamus Gun"""
r01_unk_emp_mo#0,"""Tsukimi Emperappy"""
r01_unk_emp_mobi#0,"""Tsukimi Greatrappy"""
r01_gd_dra_old#0,"""Nex Aelio"""
r01_unk_emp_atm#0,"""Yaoro Emperappy"""
r01_unk_emp_atmbi#0,"""Yaoro Greatrappy"""
r01_unk_tan_kn#0,"""King Captan"""
r04_alt_nod_ba2#0,"""Magghead"""
r04_alt_wlf_ba#0,"""Duskron"""
r04_alt_tis_ba#0,"""Dusk Discythe"""
r04_alt_dvs_ba#0,"""Dusk Crab"""
r04_alt_tkm_ba#0,"""Grinbear"""
r04_nat_armma_ba#0,"""Volgarongo"""
r01_unk_rap_atm#0,"""Yaoro Rappy"""
r01_unk_rap_ud1#0,"""DOLLS Rappy"""
r01_unk_rap_ud2#0,"""Specu Rappy"""
r04_gd_nyb_ex#0,"""Ikusa Engouku"""
r04_nat_rpt_ba#0,"""Digg Loa"""
r04_nat_frp_sh#0,"""Sol Digara Loa"""
r04_nat_dwl_sm#0,"""Nordiran Loa"""
r04_nat_dwl_ba#0,"""Fordoran Loa"""
r04_nat_dbt_ba#0,"""Baridran Loa"""
r04_gd_gia_fl#0,"""Flaedal Sword"""
r05_stl_sls_ba#0,"""Dark Falz Solus"""
r04_nat_bea_ba#0,"""Volgbear"""
r04_nat_gdn_ba#0,"""Guardinane Voloa"""
r04_nat_wol_sm#0,"""Gulf Voloa"""
r04_nat_wol_bi#0,"""Fangulf Voloa"""
r04_nat_bir_ba#0,"""Aginis Voloa"""
r04_nat_gma_ba#0,"""Spardan A Voloa"""
r04_nat_gma_gu#0,"""Spargun Voloa"""
r04_nat_can_gu#0,"""Signo Voloa"""
r01_unk_emp_ch#0,"""Saint Emperappy"""
r04_non_scr_a#0,"""Scout Wasp"""
r04_non_trt_a#0,"""Beehive E"""
r01_unk_emp_chbi#0,"""Saint Greatrappy"""
r01_unk_emp_wi#0,"""Nordi Emperappy"""
r01_unk_emp_wibi#0,"""Nordi Greatrappy"""
r05_stl_mtl_ba1#0,"""Dhind"""
r04_nat_cry_ba#0,"""Quartz Skordin"""
r01_unk_emp_ea#0,"""Hululu Emperappy"""
r01_unk_emp_eabi#0,"""Hululu Greatrappy"""
r05_gd_gho_ba#0,"""Mariones"""
r05_gd_gho_ch#0,"""Giruva"""
r05_stl_solri_ba#0,"""Barogue Gun"""
r05_stl_solsw_ba#0,"""Barogue Sword"""
r01_alt_wlf_bi#0,"""Wauron Geo"""
r01_nat_armma_bi#0,"""Garongo Geo"""
r04_non_dro_a#0,"""Hi Drome"""
r05_stl_pnr_ba#0,"""Halvaldi"""
r05_stl_mrt_ba1#0,"""Bal Bredha"""
r05_stl_bbd_ba#0,"""Ahnzu"""
r03_gd_hum_1ng#0,"""Ams"""
r03_gd_hum_cm#0,"""Ams"""
r05_stl_box_ba1#0,"""Raviid"""
r05_gd_zft_ba#0,"""Venogia"""
r05_gd_zft_str#0,"""Zephetto Venogia"""
r05_gd_zft_rai#0,"""Venogia Vera"""
r04_gd_god3_str#0,"""Dark Falz Aegis"""
r05_stl_bkt_ba1#0,"""Grudge Bone"""
r05_rem_spi_ba#0,"""Ruino Ragne"""
r05_rem_dhu_ba#0,"""Ruino Hunar"""
r05_stl_leg_ba1#0,"""Drangread"""
r05_stl_cas_el1#0,"""Varzagga"""
r05_stl_mzc_ba#0,"""Zerevin"""
r05_stl_dnt_ba#0,"""Dark Falz Dalion"""
r05_stl_krb_ba#0,"""Dryvelz"""
r05_rem_bhu_ba#0,"""Ruino Angel"""
r05_rem_ctl_ba#0,"""Ruino Ringahda"""
r05_stl_ktn_ba1#0,"""Rasetsu"""
r05_stl_gia_ba1#0,"""Herzieg"""
r05_stl_ins_ba1#0,"""Elimineida"""
r05_non_myt_a#0,"""Volgaris"""
r05_stl_pyc_ba#0,"""Volga"""
r00_unknownenemy#0,"""?????"""
r05_stl_sip_ba1#0,"""Maxvang"""
r05_stl_pnr_rai#0,"""Halvaldi Vera"""
r01_unk_emp_ha#0,"""Treat Emperappy"""
r01_unk_emp_habi#0,"""Treat Greatrappy"""
r03_nat_bea_icbi#0,"""Konigs Yede Geo"""
r01_unk_rap_wi2#0,"""Snowm Rappy"""
r01_unk_emp_wi2#0,"""Snowm Emperappy"""
r01_unk_emp_wi2bi#0,"""Snowm Greatrappy"""
r05_stl_kic_ba1#0,"""Ring Wedge"""
r05_stl_pan_ba1#0,"""Gilzeiva"""
r05_stl_wic_ba1#0,"""Plutinede"""
r05_rem_btl_ba#0,"""Ruino Vibrace"""
r05_rem_des_ba#0,"""Ruino Execour"""
r01_unk_emp_1ng#0,"""Anniversa Emperappy"""
r01_unk_emp_1ngbi#0,"""Anniversa Greatrappy"""
r05_stl_flo_ba#0,"""Levide"""
r05_stl_gos_ba#0,"""Peyvel"""
r05_stl_hrp_ba1#0,"""Pavolim"""
r05_stl_tig_ba1#0,"""Agned"""
r05_stl_fan_ba1#0,"""Gratigal"""
r05_stl_ars_ax#0,"""Valvilan Axe"""
r05_stl_ars_st#0,"""Valvilan Wand"""
r05_stl_sls_ex#0,"""Dark Falz Solus"""
r05_rem_ggr_ba#0,"""Ruino Gryphon"""
r05_stl_dnt_ex#0,"""Dark Falz Dalion"""
r05_rem_yor_ba#0,"""Ruino Gunne-gam"""
r05_rem_ace_ba#0,"""Ruino Ange"""
r05_stl_nyb_ba1#0,"""Hanumad"""
r05_stl_akm_ba1#0,"""Chaos Zavel"""
r05_rem_akk_ba#0,"""Ruino Masquerade"""
r05_stl_bel_ba#0,"""Dark Falz Vael"""
r05_rem_abh_ba#0,"""Ruino Dio Hunar"""
r05_rem_akk_mlt#0,"""Ruino Masquerade"""
r05_stl_bel_ex#0,"""Dark Falz Vael"""
r02_nat_gma_bobi#0,"""Heat Sparzyle"""
r05_stl_box_ba1h#0,"""Hi Raviid"""
r05_stl_ktn_ba1h#0,"""Hi Rasetsu"""
r05_stl_cas_el1h#0,"""Hi Varzagga"""
r05_stl_mrt_ba1h#0,"""Hi Bal Bredha"""
r05_stl_solsw_ba1h#0,"""Hi Barogue Sword"""
r05_stl_solri_ba1h#0,"""Hi Barogue Gun"""
r01_unk_rap_id#0,"""Idorappy"""
r02_gd_sna_raih#0,"""Hi Lenus"""
r05_stl_ins_ba1h#0,"""Hi Elimineida"""
r05_rem_ztg_ba#0,"""Ruino Guranz"""
r05_stl_bkt_ba1h#0,"""Hi Grudge Bone"""
r05_stl_sip_ba1h#0,"""Hi Maxvang"""
r05_stl_pan_ba1h#0,"""Hi Gilzeiva"""
r05_stl_akm_ba1h#0,"""Hi Chaos Zavel"""
r05_stl_hum_ba#0,"""Agni"""
r05_stl_mzc_bah#0,"""Hi Zerevin"""
r05_stl_wic_ba1h#0,"""Hi Plutinede"""
r05_rem_dpb_ba#0,"""Ruino Loser"""
r05_stl_kic_ba1h#0,"""Hi Ring Wedge"""
r05_stl_nyb_ba1h#0,"""Hi Hanumad"""
r03_gd_tur_raih#0,"""Hi Crocodallus"""
r03_gd_hum_raih#0,"""Hi Ams"""
r05_gd_gor_baldh#0,"""Hi Gororox"""
r01_unk_nav_ba#0,"""Rago Rappy"""
r01_unk_nav_babi#0,"""Rago Greatrappy"""
r05_stl_hum_bah#0,"""Hi Agni"""
r05_rem_gla_ba#0,"""Ruino EX"""
r05_non_cml1_mob#0,"""Survey Corps [Partizan]"""
r05_non_cml2_mob#0,"""Survey Corps [Rod]"""
r05_non_cml3_mob#0,"""Survey Corps [Sword]"""
r02_nat_trf_bah#0,"""Hi Gran Mizer"""
r02_alt_wlf_bah#0,"""Hi Wauron"""
r05_rem_dpb_ex#0,"""Ruino Loser"""
r05_stl_sls_exh#0,"""Solas Crypt"""
r05_rem_zsh_ba#0,"""Ruino Shrayda Lambda"""
r05_nat_zmr_rsh#0,"""Hi Gilnach"""
EnemyTitleRareEnemyGti#0,"""สีทอง: """
EnemyTitleRareEnemySti#0,"""สีเงิน: """
EnemyTitleStrongEnemy#0,"""ชั่วร้าย: """
EnemyTitleRegionBossEnemy#0,"""เจนศึก: """
EnemyTitleHighRankEnemy#0,"""ชั้นยอด: """
EnemyTitleSeasonEaster1#0,"""ร่ายรำบุปผา: """
EnemyTitleSeasonAnnivNGS1#0,"""ดาราประกาย: """
EnemyTitleFrozenAncientEnemy#0,"""โบราณกาล: """
EnemyTitleSeasonMoon1#0,"""อายุยืน: """
EnemyTitleSeasonWinter1#0,"""เกล็ดหิมะ: """
EnemyTitleMobileForceEnemy#0,"""ชั่วร้าย: """
EnemyTitleNightmareBoss#0,"""ไม่ลดละ: """
EnemyTitleSeasonAnnivPSO21#0,"""ฉลองครบรอบ: """
EnemyTitleGrowUpFloorBoss#0,"""ต่างดาว: """
EnemyTitleGrowUpBuffEnemy#0,"""รุกราน: """
EnemyTitleHighDread#0,"""ผู้พิชิต: """
EnemyTitleStrongRaidEnemy#0,"""หายนะลึกล้ำ: """
EnemyTitleMutualResurrect#0,"""แฝด: """
EnemyTitleAkkFinal#0,"""ภัยพิบัติ: """
All#0,"""Either Enemy"""
Generic#0,"""Enemy"""
God#0,"""DOLLS"""
Alter#0,"""Alters"""
Another#0,"""Super Dimensional"""
Animal#0,"""Tames"""
Natural#0,"""Formers"""
Independent#0,"""Independent"""
Starless#0,"""Starless"""
Remnants#0,"""Ruinas"""
SwordPA01#0,"""Spiral Edge """
SwordPA02#0,"""Twist Zapper """
SwordPA03#0,"""Streak Calibur """
WlancePA01#0,"""Cutting Layer """
WlancePA02#0,"""Vane Mixture """
WlancePA03#0,"""Turbulence Train """
PartisanPA01#0,"""Scythe Ripper """
PartisanPA02#0,"""Stab Javelin """
PartisanPA03#0,"""Fatal Tornado """
TdaggerPA01#0,"""Vulture Moment """
TdaggerPA02#0,"""Hell's Escort """
TdaggerPA03#0,"""Pirouette Ripper """
DsaberPA01#0,"""Julienne Dance """
DsaberPA02#0,"""Unchained Circle """
DsaberPA03#0,"""Quick Gash """
KnucklePA01#0,"""Swift Rush """
KnucklePA02#0,"""Thousand Blows """
KnucklePA03#0,"""Tri-Drive """
RiflePA01#0,"""Raging Shot """
RiflePA02#0,"""Homing Dart """
RiflePA03#0,"""Blaze Shot """
LauncherPA01#0,"""Fallen Impact """
LauncherPA02#0,"""Fear Eraser """
LauncherPA03#0,"""Multiple Launch """
MachinegunPA01#0,"""Bullet Rave """
MachinegunPA02#0,"""Aimless Rain """
MachinegunPA03#0,"""Close Bullet """
Fire01#0,"""Foie """
Fire02#0,"""Gifoie """
Ice01#0,"""Barta """
Ice02#0,"""Gibarta """
Thunder01#0,"""Zonde """
Thunder02#0,"""Gizonde """
Wind01#0,"""Zan """
Wind02#0,"""Gizan """
Light01#0,"""Grants """
Light02#0,"""Gigrants """
Dark01#0,"""Megid """
Dark02#0,"""Gimegid """
WandPA01#0,"""Rapid Smash """
WandPA02#0,"""Wave Hit """
TalisPA01#0,"""Perforated Shoot """
TalisPA02#0,"""Spread Feather """
KatanaPA01#0,"""Hayate-tsuwabuki """
KatanaPA02#0,"""Ayame-reppu """
KatanaPA03#0,"""Fuyo-tenrai """
CompoundBowPA01#0,"""Flex Arrow """
CompoundBowPA02#0,"""Frenzy Squib """
CompoundBowPA03#0,"""Dimensional Ray """
JetBootsPA01#0,"""Spinning Gust """
JetBootsPA02#0,"""Violent Gale """
JetBootsPA03#0,"""Fierce Wave """
DbladePA01#0,"""Stork Distraction """
DbladePA02#0,"""Harrier Rampage """
DbladePA03#0,"""Rolling Pheasant """
SwordPA04#0,"""Relentless Cleave """
WlancePA04#0,"""Hellish Fall """
PartisanPA04#0,"""Triumph Shift """
TdaggerPA04#0,"""Limber Figure """
DsaberPA04#0,"""Sky Climb """
KnucklePA04#0,"""Backhand Strike """
RiflePA04#0,"""Revolt Aim """
LauncherPA04#0,"""Divine Impact """
MachinegunPA04#0,"""Infinite Richochet """
KatanaPA04#0,"""Hyuga-sendan """
CompoundBowPA04#0,"""Ceaseless Draw """
JetBootsPA04#0,"""Surging Impulse """
DbladePA04#0,"""Raving Falcon """
TaktPA01#0,"""Fredran Breath """
TaktPA02#0,"""Fredran Riding """
TaktPA03#0,"""Wulfer Demolition """
TaktPA04#0,"""Wulfer Raid """
GunslashPA01#0,"""Shifting Spica """
GunslashPA02#0,"""Flowing Sirius """
GunslashPA03#0,"""Leaping Regulus """
GunslashPA04#0,"""Waving Rigel """
SwordPA01#1,"""Photon Art ของ Sword<br>กระโดดหมุนตัวฟันขึ้นไปในอากาศ ชาร์จเพื่อเพิ่มความแรง"""
SwordPA02#1,"""Photon Art ของ Sword<br>หมุนตัวฟันเป็นแนวนอน ชาร์จเพื่อเพิ่มความแรง"""
SwordPA03#1,"""Photon Art ของ Sword<br>ฟันอย่างรุนแรง กดปุ่ม PA ซ้ำเพื่อโจมตีต่อเนื่องสูงสุด 3 ครั้ง หากชาร์จจะเพิ่มจำนวนฮิต"""
WlancePA01#1,"""Photon Art ของ Wired Lance<br>โจมตีต่อเนื่องเป็นวงกว้างด้านหน้า"""
WlancePA02#1,"""Photon Art ของ Wired Lance<br>หมุนตัวโจมตีศัตรูต่อเนื่องแล้วปิดท้ายด้วยการฟันรุนแรง สามารถเคลื่อนที่ได้"""
WlancePA03#1,"""Photon Art ของ Wired Lance<br>หมุนตัวพร้อมกับฟันแนวตั้งอย่างต่อเนื่อง"""
PartisanPA01#1,"""Photon Art ของ Partizan<br>ฟันกวาดด้านหน้า ชาร์จเพื่อให้รอยฟันคงอยู่ในอากาศชั่วครู่"""
PartisanPA02#1,"""Photon Art ของ Partizan<br>แทงรัวด้านหน้าแล้วปาหอกพลังงาน กดค้างเพื่อแทงต่อเนื่องจนกว่าจะปล่อยปุ่มหรือ PP หมด"""
PartisanPA03#1,"""Photon Art ของ Partizan<br>ควงอาวุธโจมตีรอบตัว ชาร์จเพื่อควงฟาดลงพื้นแล้วปิดท้ายด้วยการหมุน"""
TdaggerPA01#1,"""Photon Art ของ Twin Daggers<br>หมุนตัวพุ่งเข้าหาเป้าหมายแล้วกระหน่ำแทง"""
TdaggerPA02#1,"""Photon Art ของ Twin Daggers<br>พุ่งไปด้านหน้าและปล่อยคลื่นกระแทก"""
TdaggerPA03#1,"""Photon Art ของ Twin Daggers<br>พุ่งแทงอย่างรวดเร็วแล้วกระหน่ำฟันศัตรูด้วยใบมีดจำนวนมาก"""
DsaberPA01#1,"""Photon Art ของ Double Saber<br>สร้าง Kamaitachi เมื่อใช้งาน<br>พุ่งเข้าหาเป้าหมายแล้วกระหน่ำฟันอย่างรวดเร็ว"""
DsaberPA02#1,"""Photon Art ของ Double Saber<br>สร้าง Kamaitachi เมื่อใช้งาน<br>ปาอาวุธหมุนรอบตัวโจมตีศัตรูใกล้เคียง แล้วรับมาฟันต่อเนื่องด้านหน้า"""
DsaberPA03#1,"""Photon Art ของ Double Saber<br>สร้าง Kamaitachi เมื่อใช้งาน<br>แทงซ้ายขวาอย่างรวดเร็ว แล้วสร้างพายุทอร์นาโดพร้อมกับถอยฉาก"""
KnucklePA01#1,"""Photon Art ของ Knuckles<br>ต่อยซ้ายขวาแล้วปิดท้ายด้วยหมัดทรงพลัง"""
KnucklePA02#1,"""Photon Art ของ Knuckles<br>รัวหมัดไม่ยั้งแล้วปิดท้ายด้วยอัปเปอร์คัตสุดแรง"""
