Title#0,"""購買菜單"""
RetryMessage_SG#0,"""<pict StarGem><c 1dedd7>SG消費內容<c><br>繼續使用$(2)$(0)<br>購買$(1)。<br>確定麼？"""
NextBonusMessageFixed#0,"""$(0)<br><br>$(1)"""
NextBonusMessage#0,"""距離下個次數追加獎勵：還有<yellow>$(0)次<c><br><pict $(1)><pict 4space>$(2) $(3)"""
NextStepMessage#0,"""距離提升階段：還有<yellow>$(0)次<c><br><yellow>※即便一次性轉多次轉蛋<br>　也會在途中提升階段。<c>"""
NextBonusOtherNum#0,"""其他$(0)種"""
ExchangeUseTitle#0,"""轉蛋獎品交換券"""
ExchangeUseMessage#0,"""獲得了『$(0)』。<br>可以從對應轉蛋的獎品列表中，任意選擇交換一個獎品。<br><br>要立刻從獎品列表中進行交換麼？<br><br><yellow>※兌換獎品將會消耗交換券。<br>※超過對應轉蛋的實施期間後<br>　將無法交換獎品，還請留意。<c>"""
ExchangeUseMessage_ItemPackFull#0,"""獲得了『$(0)』。<br>可以從對應轉蛋的獎品列表中，任意選擇交換一個獎品。<br><br><red>請從倉庫取出轉蛋獎品交換券<br>並從獎品列表中進行交換。<c><br><br><yellow>※兌換獎品將會消耗交換券。<br>※超過對應轉蛋的實施期間後<br>　將無法交換獎品，還請留意。<c>"""
ExchangeUseMessage_SG#0,"""獲得了『$(0)』。<br>可以從對應SG轉蛋的獎品列表中，任意選擇交換一個獎品。<br><br>要立刻從獎品列表中進行交換麼？<br><br><yellow>※兌換獎品將會消耗交換券。<br>※超過對應轉蛋的實施期間後<br>　將無法交換獎品，還請留意。<c>"""
ExchangeUseMessage_ItemPackFull_SG#0,"""獲得了『$(0)』。<br>可以從對應SG轉蛋的獎品列表中，任意選擇交換一個獎品。<br><br><red>請從倉庫取出轉蛋獎品交換券<br>並從獎品列表中進行交換。<c><br><br><yellow>※兌換獎品將會消耗交換券。<br>※超過對應轉蛋的實施期間後<br>　將無法交換獎品，還請留意。<c>"""
ExchangeUseButton1#0,"""是"""
ExchangeUseButton2#0,"""否"""
ExchangeConsumptionTitle#0,"""確認消耗交換票券"""
ExchangeConsumptionMessage#0,"""將以<yellow>$(0)<c>×1<br>與選中的道具進行交換。<br>確定麼？<br><yellow>※不會消耗下面沒有列出的道具。<c><br><br>（持有交換票券：$(1)枚）"""
StepUp_Title#0,"""提升階段"""
StepUp_Message#0,"""提升到了<yellow>Step.$(1)<c>！<br><br>階段加成：$(0)"""
ExchangeConsumptionButton1#0,"""是"""
ExchangeConsumptionButton2#0,"""否"""
ExchangeUseMessage_FUN#0,"""獲得了『$(0)』。<br>可以從對應FUN轉蛋的獎品列表中，任意選擇交換一個獎品。<br><br>要立刻從獎品列表中進行交換麼？<br><br><yellow>※兌換獎品將會消耗交換券。<br>※超過對應轉蛋的實施期間後<br>　將無法交換獎品，還請留意。<c>"""
ExchangeUseMessage_ItemPackFull_FUN#0,"""獲得了『$(0)』。<br>可以從對應FUN轉蛋的獎品列表中，任意選擇交換一個獎品。<br><br><red>請從倉庫取出轉蛋獎品交換券<br>並從獎品列表中進行交換。<c><br><br><yellow>※兌換獎品將會消耗交換券。<br>※超過對應轉蛋的實施期間後<br>　將無法交換獎品，還請留意。<c>"""
ExplanationMessage#0,"""<c f0df60>選擇喜歡的欄位，打開轉蛋！<c>"""
Normal#0,"""轉到了$(0)！"""
Complete#0,"""贈送給您$(0)！"""
Count#0,"""（$(0)個）"""
Title_scratch#0,"""獲得道具一覽"""
scratch_message#0,"""轉到了以下的獎品！"""
GachaBonusGet#0,"""轉蛋次數追加獎勵！<br><br>獲得了$(0)！<br><br>再轉$(1)次該轉蛋，即可獲得下個追加獎勵！"""
GachaBonusGetSimple#0,"""轉蛋次數追加獎勵！<br><br>獲得了$(0)！<br><br> """
Title_bonus#0,"""獲得追加獎勵道具一覽"""
bonus_message#1,"""因<yellow>次數追加獎勵<c><br>獲得了以下的道具！"""
exchange_message#0,"""獎品交換完成。"""
Title#6,"""確認購買"""
Message#1,"""要繼續轉蛋麼？"""
Title#7,"""確認AC充值"""
Message#2,"""AC不足。<br>要充值AC麼？"""
Title#8,"""訊息"""
Message_E1#0,"""AC不足。"""
Message_E2#0,"""由於道具背包剩餘空間不足，<br>或超過了對應AC轉蛋券的持有上限，<br>因此無法購買。"""
Message_E3#0,"""倉庫需要有充足的剩餘空間，<br>才可進行轉蛋。<br><br>即便道具背包有剩餘容量<br>也無法轉蛋。"""
Message_E4#0,"""FUN不足。"""
Message_E5#0,"""並未持有票證。"""
Message_E6#0,"""倉庫需要有兩倍於道具份量的剩餘空間，才可進行該轉蛋。<br>請千萬確保空間充足後再進行轉蛋。"""
Message_E0#0,"""發生錯誤，未能進行轉蛋。<br><br>有可能是倉庫剩餘容量不足。"""
Message_E7#0,"""倉庫需要有<yellow>$(0)個<c>道具份量的剩餘空間，<br>才可進行該轉蛋。<br>請千萬確保空間充足後再進行轉蛋。"""
Message_E8#0,"""交換票證不足。"""
Message_E9#0,"""交換票證錯誤。"""
Message_E10#0,"""已超過轉蛋有效期限。"""
Message_E11#0,"""交換道具錯誤。"""
Message_E12#0,"""由於道具背包剩餘空間不足，<br>或超過了持有數上限，<br>因此未能進行交換。"""
Message_E100#0,"""發生錯誤，未能進行轉蛋。<br><br>請稍后重試。"""
denomination_1#0,"""AC"""
denomination_2#0,"""FUN"""
none#0,"""無"""
undecided#0,"""未定"""
denomination_3#0,"""SG"""
times#0,"""連"""
NewDirectingType_BuyNow#0,"""（立刻購買）"""
TimesaleTitle#0,"""限時優惠中！"""
PopupItem1#1,"""使用<red>$(1)<c>$(0)轉蛋"""
