Window_Titletelop_WeeklyRanking#0,"""บันทึกกิจกรรม At-Random"""
MyRank_Description#0,"""คุณยังไม่ได้เข้าร่วม ARKS Record<br>คุณสามารถเข้าร่วมได้โดยการเล่นคอนเทนต์ที่กำหนด"""
TopRank_Description#0,"""ยังไม่มีข้อมูลอันดับสูงสุด<br>(อัปเดต $(0) ทุกวันหลังจากวันแรก)"""
Reward_ControlGuide#0,"""<%Function> ตรวจสอบอันดับสูงสุด"""
TopRank_ControlGuide#0,"""<%Function> ตรวจสอบรางวัลของคุณ"""
TabButton_Class_All#0,"""ทุก Class"""
Ranking_Period_Open#0,"""ตั้งแต่ $(1) ถึง<br>$(0)"""
Ranking_Period_Notice#0,"""จะเริ่มในอีก $(0)"""
Ranking_Period_Notice_Soon#0,"""จะเริ่มในเร็วๆ นี้"""
Ranking_Period_Close#0,"""จะสิ้นสุดในอีก $(0)"""
Rank_Name_Tier1#0,"""Gold"""
Rank_Name_Tier2#0,"""Silver"""
Rank_Name_Tier3#0,"""Bronze"""
RewardDetail_Headline1#0,"""รายละเอียดรางวัล"""
RewardDetail_Headline2#0,"""รางวัล"""
Window_Titletelop_TeamtaskRanking#0,"""Team Task Record"""
Window_TwolineGuide_TeamtaskRanking#0,"""คุณสามารถตรวจสอบรายละเอียดเกี่ยวกับ Team Task Record ที่กำลังจัดขึ้นได้ที่นี่"""
Ranking_Reward_Nmeseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Ranking_Reward_StarGem#0,"""$(0)<pict 4space><pict StarGem>"""
Ranking_Reward_Item#0,"""$(0)"""
Ranking_Reward_Item_Num#0,"""$(1) x $(0)"""
Ranking_Reward_Other#0,"""$(0)\u3000(รวมด้านล่าง)"""
ScoreCategory#0,"""$(0)/$(1)"""
Main_Headline_MyRank_Best#0,"""สถิติที่ดีที่สุดในปัจจุบัน"""
Main_Headline_MyRank_Update#0,"""<yellow>อัปเดตสถิติที่ดีที่สุด<c>"""
ScoreDisplay_Best#0,"""<yellow>$(0)<c>"""
ScoreDisplay_Max#0,"""<pure_orange>$(0)<c>"""
ScoreDisplay_Star#0,"""★"""
ScoreDisplay_TimeSS#0,"""$(0):$(1).$(2)"""
Main_Headline_UpdateTime_Open#0,"""วันที่สรุปผล: ---"""
Main_Headline_UpdateTime#0,"""วันที่สรุปผล: $(0)"""
Main_Headline_UpdateTime_Close#0,"""วันที่สรุปผลรอบสุดท้าย: $(0)"""
ScoreCategory_Score#0,"""Score"""
ScoreCategory_ClearTime#0,"""เวลาเคลียร์"""
ScoreCategory_Score_and_ClearTime#0,"""Score/เวลาเคลียร์"""
ScoreCategory_Mission_Success_Level#0,"""ระดับความสำเร็จ"""
ScoreCategory_ClearTime2#0,"""เวลาเคลียร์"""
ScoreCategory_Clear_Difficulty_Multiplier#0,"""ตัวคูณความยาก"""
ScoreCategory_Teamtask_Name#0,"""ชื่อ Team"""
ScoreCategory_Teamtask_Score#0,"""Score"""
ScoreList_RecruitMembers#0,"""กำลังรับสมัครสมาชิก"""
WeeklyRanking_Category_Score#0,"""ตาม Ship: สถิติ Score แบ่งตาม Class"""
WeeklyRanking_Category_ClearTime#0,"""ตาม Ship: สถิติเวลาเคลียร์ แบ่งตาม Class"""
WeeklyRanking_Category_Score_AllClasses#0,"""ตาม Ship: สถิติ Score รวม"""
WeeklyRanking_Category_ClearTime_AllClasses#0,"""ตาม Ship: สถิติเวลาเคลียร์รวม"""
WeeklyRanking_Category_Mission_AllClasses#0,"""ตาม Ship: สถิติ Mission รวม"""
WeeklyRanking_Quest_Description#0,"""รับ Quests และรักษาอันดับของคุณไว้!"""
WeeklyRanking_Trial_Description#0,"""รับ Trials และรักษาอันดับของคุณไว้!"""
WeeklyRanking_Description_Trinites_Solo#0,"""เคลียร์ Trinitas Trainia Quest ที่กำหนดแบบเล่นคนเดียว (Solo)"""
WeeklyRanking_Description_Trinites_Party#0,"""เคลียร์ Trinitas Trainia Quest ที่กำหนดแบบปาร์ตี้ (Party)"""
WeeklyRanking_Description_Trinites_R2_Solo#0,"""เคลียร์ Trinitas Trainia Quest ที่กำหนดแบบเล่นคนเดียว (Solo)"""
WeeklyRanking_Description_Trinites_R2_Party#0,"""เคลียร์ Trinitas Trainia Quest ที่กำหนดแบบปาร์ตี้ (Party)"""
WeeklyRanking_Description_Goalgetter_Solo#0,"""เคลียร์ Advanced Trainia Quest: Bunker Type 1 แบบเล่นคนเดียว (Solo)"""
WeeklyRanking_Description_Goalgetter_Party#0,"""เคลียร์ Advanced Trainia Quest: Bunker Type 1 แบบปาร์ตี้ (Party)"""
WeeklyRanking_Description_FieldRace#0,"""เคลียร์ Field Race ที่กำหนดแบบเล่นคนเดียว (Solo)"""
WeeklyRanking_Description_Cocoon#0,"""เคลียร์ Cocoon Trainia Quest ที่กำหนดแบบเล่นคนเดียวหรือปาร์ตี้"""
WeeklyRanking_Description_Cocoon_Mission_Solo#0,"""เคลียร์ Cocoon Trainia Quest ที่กำหนดแบบเล่นคนเดียว (Solo)"""
WeeklyRanking_Teamtask_Description#0,"""ร่วมมือกับ Team ของคุณเพื่อเคลียร์ Team Tasks ให้ได้มากที่สุดและรับรางวัลสูงสุด<br><yellow>※คุณสามารถสมัครเข้าร่วม Team ได้ด้วย <pict party_request><c>"""
WeeklyRanking_Title_Trinites#0,"""Geometric Labyrinth: Solo"""
WeeklyRanking_Title_Minigame1#0,"""Southern Aelio Marathon (Stage 1): Solo"""
WeeklyRanking_Title_Goalgetter#0,"""Cannonball Strike: Solo"""
WeeklyRanking_Title_Trinites_Solo#0,"""Geometric Labyrinth:<br>Solo"""
WeeklyRanking_Title_Trinites_Party#0,"""Geometric Labyrinth:<br>Party"""
WeeklyRanking_Title_Goalgetter_Solo#0,"""Cannonball Strike:<br>Solo"""
WeeklyRanking_Title_Goalgetter_Party#0,"""Cannonball Strike:<br>Party"""
WeeklyRanking_Title_FieldRace_AelioSouth#0,"""Southern Aelio Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_RetemWest#0,"""Western Retem Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_KvarisCenter#0,"""Central Kvaris Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_Teamtask#0,"""Team Task Record"""
TabButton_Teamtask_All#0,"""แสดงทั้งหมด"""
Reward_Description_Teamtask#0,"""<yellow>※คุณจะได้รับรางวัลเมื่อเคลียร์ Team Tasks 3 งานขึ้นไปในฐานะสมาชิกของ Team ณ เวลาที่สรุปผลรอบสุดท้าย<c>"""
WeeklyRanking_Title_FieldRace_AelioCenter#0,"""Central Aelio Board Training (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_RetemCenter#0,"""Central Retem Board Training (Stage 1):<br>Solo"""
WeeklyRanking_Title_OrdinalTower_Solo#0,"""Ordinal Tower (Rank 7):<br>Solo"""
WeeklyRanking_Title_OrdinalTower_Party#0,"""Ordinal Tower (Rank 7):<br>Party"""
WeeklyRanking_Description_OrdinalTower_Solo#0,"""เคลียร์ Ordinal Tower Quest ที่กำหนดแบบเล่นคนเดียว (Solo)"""
WeeklyRanking_Description_OrdinalTower_Party#0,"""เคลียร์ Ordinal Tower Quest ที่กำหนดแบบปาร์ตี้ (Party)"""
WeeklyRanking_Title_FieldRace_HotSpring#0,"""Stia: Fringes Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_UndergroundFactory#0,"""Dreisen Plant Board Training (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_AelioNorth_Board#0,"""Northern Aelio Board Training (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_RetemSouth_Run#0,"""Southern Retem Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_KvarisSouth_Run#0,"""Southern Kvaris Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_AelioWest_Run#0,"""Western Aelio Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_RetemNorth_Board#0,"""Northern Retem Board Training (Stage 1):<br>Solo"""
WeeklyRanking_Title_Trinites_R2_Solo#0,"""Geometric Labyrinth (Rank 2):<br>Solo"""
WeeklyRanking_Title_Trinites_R2_Party#0,"""Geometric Labyrinth (Rank 2):<br>Party"""
WeeklyRanking_Title_Cocoon_HelicalLine#0,"""Helical Line:<br>Solo"""
WeeklyRanking_Title_FieldRace_MediolaOuter_Board#0,"""Outer Mediola: Sector 2 (Stage 1):<br>Solo"""
WeeklyRanking_Title_Cocoon_Quarterstaff#0,"""Quarterstaff:<br>Solo"""
WeeklyRanking_Title_Cocoon_FacetheDarkness#0,"""Face The Darkness:<br>Solo"""
WeeklyRanking_Title_Cocoon_BrokenWorld#0,"""Broken World:<br>Solo"""
WeeklyRanking_Title_Cocoon_FleetingFight#0,"""Setsuna no Issen:<br>Solo"""
WeeklyRanking_Title_FieldRace_HalphiaLake_Boar#0,"""Lake Halphiria Board Training (Stage 1):<br>Solo"""
WeeklyRanking_Title_FieldRace_KvarisWest_Run#0,"""Western Kvaris Marathon (Stage 1):<br>Solo"""
WeeklyRanking_Title_Cocoon_VanishingPath2#0,"""Vanishing Way II:<br>Solo"""
WeeklyRanking_Title_Cocoon_SlopeStyle#0,"""Slope Style:<br>Solo"""
WeeklyRanking_Title_Standard_Continuousbattle1#0,"""Battle of Shimmering Heat:<br>Party"""
WeeklyRanking_Title_Standard_Continuousbattle2#0,"""Battle of Frigid Night:<br>Party"""
WeeklyRanking_Description_Standard_Party#0,"""<br>เคลียร์ Quest ที่กำหนดแบบปาร์ตี้ (Party)"""
WeeklyRanking_Title_Cocoon_CrazyTail#0,"""Crazy Tail:<br>Solo"""
WeeklyRanking_Title_Cocoon_Narrow Cage#0,"""Narrow Cage:<br>Solo"""
WeeklyRanking_Title_Cocoon_Vanishing Path#0,"""Vanishing Way:<br>Solo"""
WeeklyRanking_Title_Cocoon_Parkour Master#0,"""Parkour Master:<br>Solo"""
WeeklyRanking_Title_Cocoon_Dyna Assault#0,"""Dynamic Assault:<br>Solo"""
WeeklyRanking_Title_Cocoon_Horrible Flapping#0,"""Horrible Flapping:<br>Solo"""
WeeklyRanking_Title_FieldRace_LimitedSeason1#0,"""Southern Kvaris Marathon (Spring '24):<br>Solo"""
WeeklyRanking_Title_Cocoon_Buddy Attack#0,"""Buddy Attack:<br>Solo"""
WeeklyRanking_Title_Finalattacker_RoadSprint#0,"""Sand Road Sprint:<br>Solo"""
WeeklyRanking_Description_Standard_Soro#0,"""เคลียร์ Quest ที่กำหนดแบบเล่นคนเดียว (Solo)"""
WeeklyRanking_Title_Cocoon_Wild Avalanche#0,"""Wild Avalanche:<br>Solo"""
WeeklyRanking_Title_OrdinalTower2_Solo#0,"""Ordinal Tower (Rank 8): Solo"""
WeeklyRanking_Title_OrdinalTower2_Party#0,"""Ordinal Tower (Rank 8): Party"""
WeeklyRanking_Title_Cocoon_Aero Runner#0,"""Aero Runner: Solo"""
WeeklyRanking_Title_Cocoon_Wild Rush#0,"""Wild Rush: Solo"""
WeeklyRanking_Title_Cocoon_Alters Rush#0,"""Alters Rush: Solo"""
WeeklyRanking_Standard_Yedi_Hunt_Solo#0,"""Simulation: Frosty Followers:<br>Solo"""
WeeklyRanking_Title_Cocoon_Dolls Burrow#0,"""DOLLS Burrow:<br>Solo"""
WeeklyRanking_Title_Cocoon_Clockwork Prison#0,"""Clockwork Jail:<br>Solo"""
WeeklyRanking_Title_Cocoon_Deepwell#0,"""Deep Well:<br>Solo"""
WeeklyRanking_Standard_surfing_Solo#0,"""Simulation: Scorching Summer Slam:<br>Solo"""
WeeklyRanking_Standard_DragonX_Solo#0,"""Simulation: Ruino EX Battle:<br>Solo"""
WeeklyRanking_Standard_R4surfing_Solo#0,"""Simulation: Infernal Sprint:<br>Solo"""
