OrderList#0,"""毎日製作清單"""
MenuMakePotion#0,"""-----"""
MenuEnchant#0,"""時限能力安裝"""
MenuStampCreate#0,"""更新資料盤"""
MenuStampItemCreate#0,"""製作時限能力資料"""
MenuRemoveRecipe#0,"""解除登録"""
Item#0,"""道具"""
ItemDetails#0,"""道具詳情"""
RecipeSelect#0,"""選擇製作清單"""
Material#0,"""必要素材"""
ItemExtend#0,"""武裝擴張"""
CraftsmanDetails#0,"""鍛造者詳情"""
SupportItem1#0,"""補助道具1"""
SupportItem2#0,"""補助道具2"""
SupportItem3#0,"""補助道具3"""
ExtendContents#0,"""武裝擴張内容"""
Chapter#0,"""變化状態"""
Before#0,"""補助使用前"""
After#0,"""補助使用後"""
CharacterName#0,"""角色名稱"""
OrderReceivedRecipe#1,"""可受理的製作清單"""
Advertisement#1,"""廣告"""
ExtendLevel#0,"""擴張等級"""
EquipClass#0,"""可裝備職業"""
EquipCondition#0,"""可裝備條件"""
Result#0,"""武裝擴張結果"""
CraftLineReturn#0,"""回到生產線選擇"""
OrderListReturn#1,"""回到委託清單"""
ExplainTop#0,"""<c f0df60>可以調整裝備和法術的性能，也可以藉由分解道具來獲得素材。<c>"""
ExplainLineSelect#0,"""<c f0df60>執行鍛造需要使用一條「生產線」，最多可以使用9條生產線。<c>"""
ExplainExtendItemSelect#0,"""<c f0df60>請選擇想要進行武裝擴張的武器或配件。<c>"""
ExplainExtendRecipeSelect#0,"""<c f0df60>利用高等級製作清單來提升擴張等級，或者以同等級製作清單來嘗試放寬裝備條件。<c>"""
ExplainExtendConfirm#0,"""<c f0df60>這是武裝擴張的最終確認界面。可以使用輔助道具來放寬裝備條件等等。<c>"""
FriendRegistration#1,"""已登録好友"""
TeamMember#0,"""公會成員"""
MaterialListItem#0,"""$(0) × $(1)　（現在：$(2)）"""
MaterialListItemOrder#0,"""$(0) × $(1)"""
MaterialListMeseta#0,"""$(0)美賽達　（現在：$(1)）"""
MaterialListMesetaOrder#0,"""$(0)美賽達"""
ExtendConfirmNeedStatus#0,"""$(0)$(1)"""
ExtendNoRecipe#0,"""無製作清單"""
ExtendConfirmMessage#0,"""確定要執行武裝擴張？<br><br>※若在未登録所有者的状態下進行武裝擴張<br>  ，將會自動進行<yellow>所有者登録<c>，<br>　變成無法與其他玩家交易。<br>※裝備條件限制的放寬状態將被<yellow>重置。<c><br><br>冷卻時間：$(0)"""
ExtendConfirmMessageSameLevel#0,"""是否執行武裝擴張？<br><br>※因擴張等級相同，<br>　<c ff007f>「大成功！」<c>發生機率上升。<br><br>冷卻時間：$(0)"""
ExtendSuccessMessage#0,"""武裝擴張 <green>成功<c> 。"""
ExtendSuccessOwnerMessage#0,"""武裝擴張 <green>成功<c> 。<br><yellow>所有者登記完成<c>。"""
ExtendSpecialSuccessMessage#0,"""武裝擴張 <c ff007f>大成功！<c> <br>放寬了下列限制。"""
ExtendSpecialSuccessOwnerMessage#0,"""武裝擴張 <c ff007f>大成功！<c> <br><yellow>所有者登記完成<c>。<br>放寬了下列限制。"""
ExtendResetConfirmMessage#0,"""重置擴張等級，<br>讓道具回歸到原本持有的最初状態。<br>確定麼？<br><br><yellow>※重置後，不會歸還已使用的素材與費用。<br>※進行擴張時登録的所有者設定將會解除，<br>　請注意。<br>※不會列入製作成就中。<c><br><br>冷卻時間：$(0)"""
ExtendResetConfirmMessage2#0,"""確定要重置已選擇的道具？"""
ExtendResetMessage#0,"""重置了武裝擴張。"""
ExtendResetTitle#0,"""武裝擴張重置"""
CraftAchievementTitle#0,"""成就解除"""
CraftAchievementMessage#0,"""已解除$(1)個$(0)的成就。<br><br>可以從個人小屋裝置的<br>「鍛造」＞「鍛造成就」<br>確認提升至下一個鍛造等級所須之成就數。"""
CraftLevelUpMessage#0,"""<yellow>$(0)<c>的鍛造等級已達 <yellow>$(1)<c> 。"""
GetCraftRecipeMessage#0,"""習得了以下製作清單。"""
Rarity#0,"""稀有度"""
Element#0,"""特殊能力"""
ReviseParameter#0,"""數值補正"""
FullSizeTitleExtend#0,"""武裝擴張"""
FullSizeTitleTechnicCustomize#0,"""法術自定義"""
FullSizeTitleMaterialComp#0,"""-----"""
FullSizeTitleDecomp#0,"""道具分解"""
FullSizeTitleFarm#0,"""-----"""
FullSizeTitleMakePotion#0,"""-----"""
FullSizeTitleEnchant#0,"""時限能力安裝"""
FullSizeTitleCreateStamp#0,"""更新資料盤"""
FullSizeTitleCreateStampItem#0,"""製作時限能力資料"""
RecipeSelectItemErrorMessage#0,"""所須素材不足。<br><br>素材道具可藉由鍛造的「道具分解」獲得<br>稀有等級★7或以上的武器或配件，或是分解<br>Lv.11以上的PA／法術光盤來獲得。"""
RecipeSelectItemErrorMessage2#0,"""所須素材不足。"""
RecipeSelectMesetaErrorMessage#0,"""所須美賽達不足。"""
MenuTitleRecipe#0,"""習得製作清單"""
TabTitleWeapon1_3#0,"""武器 ★1～★3"""
TabTitleWeapon4_6#0,"""武器 ★4～★6"""
TabTitleWeapon7_9#0,"""武器 ★7～★9"""
TabTitleWeapon10#0,"""武器 ★10"""
TabTitleWeapon11#0,"""武器 ★11"""
TabTitleWeapon12#0,"""武器 ★1～★12"""
TabTitleWeapon13#0,"""武器 ★13"""
TabTitleWeapon14#0,"""武器 ★14"""
TabTitleWeapon15#0,"""武器 ★15"""
TabTitleAddonDFStrike#0,"""防具 必要打撃防禦"""
TabTitleAddonDFFirearm#0,"""防具 必要射撃防禦"""
TabTitleAddonDFTechnic#0,"""防具 必要法撃防禦"""
EquipType_2String#0,"""$(0)$(1)"""
EquipType_NewWeapon#0,"""（新世武器）"""
EquipType_OldWeapon#0,"""（旧式武器）"""
EquipTypeWeaponStrike#0,"""打撃系武器"""
EquipTypeWeaponFirearm#0,"""射撃系武器"""
EquipTypeWeaponTechnic#0,"""法撃系武器"""
EquipTypeAddonBack#0,"""背部防具"""
EquipTypeAddonArm#0,"""手臂防具"""
EquipTypeAddonLeg#0,"""腿部防具"""
RemoveNoEffectSupportItemMessage#0,"""未使用無效果的補助道具。"""
AchieveAll#0,"""無條件"""
AchieveWeapon#0,"""種類： 武器"""
AchieveWeaponStrike#0,"""種類： 打撃系武器"""
AchieveWeaponFirearm#0,"""種類： 射撃系武器"""
AchieveWeaponTechnic#0,"""種類： 法撃系武器"""
AchieveAddonUnit#0,"""種類： 配件"""
AchieveAddonBack#0,"""種類： 背部配件"""
AchieveAddonArm#0,"""種類： 手臂配件"""
AchieveAddonLeg#0,"""種類： 腿部配件"""
AchieveRecipeNoLevel#0,"""無條件"""
AchieveRecipeLevel#0,"""製作等級$(0)或以上可解放的製作清單"""
AchieveExtendNoLevel#0,"""無條件"""
AchieveExtendLevel#0,"""完成品擴張等級： $(0)或以上"""
AchieveWeaponRareAll#0,"""無條件"""
AchieveWeapon1_3#0,"""稀有度： ★1～★3"""
AchieveWeapon4_6#0,"""稀有度： ★4～★6"""
AchieveWeapon7_9#0,"""稀有度： ★7～★9"""
AchieveWeapon10#0,"""稀有度： ★10"""
AchieveWeapon11#0,"""稀有度： ★11"""
AchieveWeapon12#0,"""稀有度： ★12"""
AchieveWeapon13#0,"""稀有度： ★13"""
AchieveWeapon14#0,"""稀有度： ★14"""
AchieveWeapon15#0,"""稀有度： ★15"""
AchieveAddonAll#0,"""無條件"""
AchieveAddonStrike#0,"""裝備條件： 打撃防禦"""
AchieveAddonFirearm#0,"""裝備條件： 射撃防禦"""
AchieveAddonTechnic#0,"""裝備條件： 法撃防禦"""
AchieveResultAll#0,"""無條件"""
AchieveResultSuccess#0,"""結果條件： 必須為 大成功！ """
AchieveMakeAll#0,"""無條件"""
AchieveMakeReceive#0,"""從委託中選擇製作"""
AchieveNumber#0,"""達成數： $(0)/ $(1)"""
CategoryTabForwardText#0,"""按下切換"""
CategoryTabForward#0,"""<pict Sign_SQUARE>"""
DetailTabForward#0,"""<%NextTabDetails>"""
AchieveIconLevel#0,"""等級$(0)"""
LevelCheckTitle#0,"""高性能裝備品的武裝擴張相關注意事項"""
LevelCheckMessage#0,"""因所選擇的裝備品原本的性能很高，<br>所以即使進行武裝擴張提高擴張等級，<br>最後産升的威力也可能<yellow>不會超越原本的性能<c>。<br><br>但由於在最終裝備條件必要値方面，<br>將會比原本的必要値寬鬆，<br>因此可藉由武裝擴張來降低裝備條件。<br><br>要對這個裝備品進行武裝擴張麼？"""
MenuPaCustomize#0,"""PA自定義"""
FullSizeTitlePaCustomize#0,"""PA自定義"""
AchieveWeaponAtpTec#0,"""打擊射擊武器法擊力： $(0)或以上"""
AchieveWeaponMinAtp#0,"""完成品武器最小攻擊力： $(0)或以上"""
AchieveAddonAttribute#0,"""完成品防具屬性抗性： $(0)或以上"""
AchieveAddonHp#0,"""完成品防具HP： $(0)或以上"""
AchieveAddonPp#0,"""完成品防具PP： $(0)或以上"""
ReleaseContentsTitle#0,"""クラフト能力解放"""
ReleaseContentsMessage#0,"""実績の解除、レベルアップにより<br>以下を獲得しました。"""
ReleaseContentsRecipe#0,"""レシピ： $(0)"""
ReleaseContentsBonus#0,"""ライセンス： $(0)"""
ReleaseContentsCraftLine#0,"""ライン： $(0)"""
GetCraftBonusMessage#0,"""以下のクラフトライセンスを獲得しました。"""
MenuStampSave#0,"""バックアップデータドライブに保存"""
MenuStampCall#0,"""バックアップデータドライブから呼び出す"""
BackupChange#0,"""バックアップデータドライブ"""
CraftInfo#0,"""鍛造情報"""
Search#0,"""檢索方法的選擇"""
SearchConstituent#0,"""檢索對象的選擇"""
SearchOrderWorkman#0,"""選擇委託角色"""
Technic#0,"""法術選擇"""
CustomizeType#0,"""自定義類型選擇"""
SearchNewExtend#0,"""武装エクステンド（新世武器）で探す"""
SearchExtend#0,"""以武裝擴張（旧式武器・防具）尋找"""
SearchCustomize#0,"""以法術自定義尋找"""
SearchMaterialComp#0,"""-----"""
SearchItemDecomp#0,"""-----"""
SearchFarm#0,"""-----"""
SearchMakePotion#0,"""-----"""
SearchEnchant#0,"""以時限能力資料尋找"""
SearchItem#0,"""從持有物搜尋"""
SearchRecipe#0,"""從製作清單搜尋"""
CharacterName#1,"""角色名稱"""
Acquire#0,"""限定已習得"""
AcquireVita#0,"""<pict Sign_SQUARE>限定已習得"""
FullSize_Title_CraftSearchTarget#0,"""鍛造者搜尋"""
FullSize_Title_CraftSearchType#0,"""鍛造者搜尋"""
FullSize_Title_CraftSearchExtend#0,"""武裝擴張搜尋"""
FullSize_Title_CraftSearchTechnic#0,"""法術自定義搜尋"""
FullSize_Title_CraftSearchMaterial#0,"""鍛造者搜尋"""
FullSize_Title_CraftSearchPotion#0,"""鍛造者搜尋"""
FullSize_Title_CraftSearchEnchant#0,"""鍛造者搜尋"""
FullSize_Title_CraftSearchRecipe#0,"""確認習得製作清單"""
FullSize_Title_CraftSearchAchievement#0,"""鍛造成就"""
FullSize_Title_CraftSearchBonus#0,"""製作許可證"""
FullSize_Title_CraftSearchStampList#0,"""確認資料盤"""
FullSize_Help_CraftSearchTarget#0,"""<c f0df61>搜尋已登録符合條件 之鍛造清單的角色。<c>"""
FullSize_Help_CraftSearchType#0,"""<c f0df61>搜尋已登録符合條件 之鍛造清單的角色。<c>"""
FullSize_Help_CraftSearchExtend#0,"""<c f0df61>搜尋已登録武裝擴張之鍛造清單的角色。<c>"""
FullSize_Help_CraftSearchTechnic#0,"""<c f0df61>搜尋已登録法術訂製之鍛造清單的角色。<c>"""
FullSize_Help_CraftSearchMaterial#0,"""<c f0df61>搜尋已登録符合條件 之鍛造清單的角色。<c>"""
FullSize_Help_CraftSearchPotion#0,"""<c f0df61>搜尋已登録符合條件 之鍛造清單的角色。<c>"""
FullSize_Help_CraftSearchEnchant#0,"""<c f0df61>搜尋已登録符合條件 之鍛造清單的角色。<c>"""
FullSize_Help_CraftSearchRecipe#0,"""<c f0df61>可以確認已經習得的鍛造清單。製作清單可以透過鍛造成就的解除來習得。<c>"""
FullSize_Help_CraftSearchAchievement#0,"""<c f0df61>鍛造等級可以透過解除各種種類的鍛造成就來提昇。<c>"""
FullSize_Help_CraftSearchBonus#0,"""<c f0df61>可確認透過鍛造等級提升而獲得之製作許可證和其加成效果。<c>"""
FullSize_Help_CraftSearchStampList#0,"""<c f0df61>可以確認現有的資料盤。<c>"""
Craft_List_Nothing#0,"""該角色不存在"""
Craft_List_Error#0,"""該角色無法取得"""
RoomMove_Title#0,"""確認移動到個人小屋"""
RoomMove_Cant#0,"""現在已在目的地的個人小屋。<br><br>若要進行委託鍛造，可自此小屋内的<br><yellow>個人小屋裝置<c>選擇<yellow>「鍛造」<c>，<br>再選擇未使用的「訂單」，<br>即可選擇要委託的角色。"""
RoomMove_Message#0,"""前往<br>「$(0)」的<br>個人小屋進行委託。確定麼？<br><br>如果移動到其他線路，<br>就會自動退出已加入的隊伍，<br>也會放棄正在進行的任務。<br><br>此外，若是已經接受了任務，<br>在任務内獲得的效果也會消失。<br><br>※移動後，可從<yellow>該房間的個人小屋裝置<c><br>　進行各種製作的委託。"""
RoomMoveInMyRoom_Message#0,"""前往<br>「$(0)」的<br>個人小屋進行委託。確定麼？<br><br>※移動後，可從<yellow>該房間的個人小屋裝置<c><br>　進行各種鍛造的委託。"""
RoomMove_Result_Title#0,"""個人小屋移動結果"""
RoomMove_Result_OK#0,"""成功移動至個人小屋。"""
RoomMove_Result_DB#0,"""因資料庫錯誤，<br>移動至個人小屋失敗。"""
RoomMove_Result_SystemError#0,"""因系統錯誤，<br>移動至個人小屋失敗。"""
RoomMove_Result_Error#0,"""移動至個人小屋失敗。"""
SearchPaCustomize#0,"""以PA自定義尋找"""
FullSize_Title_CraftSearchPaCustomize#0,"""鍛造者搜尋"""
FullSize_Help_CraftSearchPaCustomize#0,"""<c f0df61>搜尋已登録符合條件 之鍛造清單的角色。<c>"""
ResultInfo#0,"""成就情報"""
CraftResult#0,"""鍛造成就"""
CraftLine#0,"""選擇使用的生產線"""
CraftRecipe#0,"""確認習得製作清單"""
ResultFavor#0,"""成就解除恩惠"""
ResultCondition#0,"""成就解除條件"""
Level#0,"""距離等級提升：剩"""
ResultNum#0,"""已解除成就數："""
Charge#0,"""冷卻中"""
Line#0,"""可製作"""
Lock#0,"""未解放"""
Expire#0,"""期限到期"""
Line01#0,"""01基本生產線"""
Line02#0,"""02基本生產線"""
Line03#0,"""03基本生產線"""
PremiumLine01#0,"""04VIP生產線"""
PremiumLine02#0,"""05VIP生產線"""
PremiumLine03#0,"""06VIP生產線"""
ExpansionLine01#0,"""07擴張生產線"""
ExpansionLine02#0,"""08擴張生產線"""
ExpansionLine03#0,"""09擴張生產線"""
PremiumRelease#0,"""VIP可解放"""
ACRelease#0,"""AC可解放"""
ConditionRelease#0,"""確認解放條件"""
Shortening#0,"""可縮短時間"""
NotReleaseMessage#0,"""這條生產線尚未解放，<br>無法選擇。"""
NotReleaseConditionMessage#0,"""此基本生産線尚未解放，<br>無法選擇。<br>製作等級到達 Lv.$(0) 時將被解放。"""
ChargeMessage#0,"""因尚未持有「電池充電」，<br>無法縮短冷卻時間。<br><br>「電池充電」可透過任務或AC商店取得，<br>電池愈大，冷卻時間縮短的效果也會越高。"""
AddLineDisableMessage#0,"""此生產線無法使用。<br>藉由追加$(0)可購買。"""
LineChargeTimeRemain#0,"""剩餘：$(0)"""
LineChargeTimeSecond#0,"""不到1分"""
ChargeItemUseConfirmMessage#0,"""<pict Arcscash><c 5fdf00>使用已購買的道具<c><br>使用<yellow>「電池充電」<c>道具可以縮短冷卻時間。<br><br>「電池充電」可透過任務和AC商店取得，<br>電池愈大，冷卻時間縮短的效果也會越高。<br><br>要選擇「電池充電」的大小，<br>縮短冷卻時間麼？"""
ChargeItemSelectTitle#0,"""冷卻時間短縮道具選擇"""
ChargeItemSelectMessage#0,"""請選擇欲使用的「電池充電」。"""
SelectChargeItemUseConfirmMessage#0,"""確定要使用$(0)<br>來縮短冷卻時間麼？"""
AddLinePassBuyConfirmMessage#0,"""<pict Arcscash><c ff4f3f>AC消費内容<c><br>解放擴張生產線。<br>要進入<yellow>「新增生產線」<c>的購買畫面麼？<br><br><yellow>※産線的新增是以<br>　　角色為單位進行。<c><br><br><yellow>(所持AC：$(0))<c>"""
ConditionLineReleaseMessage#0,"""開放了生產線「$(0)」。"""
ChargeAllItemBuyConfirmMessage#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br><yellow>「リリパリウムオール（極大）」<c>を購入し、使用することで<br>このキャラクターのすべてのクラフトラインの<br>クールタイムを一定時間短縮できます。<br><yellow>「リリパリウムオール（極大）」<c>の<br>購入確認画面に進みますか？<br><br><yellow>(所持AC： $(0))<c>"""
ChargeItemNotHaveMessage#0,"""各リリパリウムx0"""
Details#0,"""詳情"""
ExtendDetails#0,"""製作清單情報（武裝擴張）"""
TechnicDetails#0,"""製作清單情報（法術自定義）"""
EnchantDetails#0,"""製作清單情報（時限能力安裝）"""
StampDetails#0,"""資料盤詳情"""
ConditionDetails#0,"""對象道具與實行後的状態"""
Category#0,"""對象種類"""
ConditionStrike#0,"""必要打擊力"""
ConditionFirearm#0,"""必要射擊力"""
ConditionTechnic#0,"""必要法擊力"""
ConditionAbility#0,"""必要技量"""
ConditionStrikeDefence#0,"""必要打擊防禦"""
ConditionFirearmDefence#0,"""必要射擊防禦"""
ConditionTechnicDefence#0,"""必要法擊防禦"""
Class#0,"""職業"""
Extend#1,"""實行後ExLv."""
ParamDetails#0,"""實行後的數值"""
TechnicCustomize#1,"""法術自定義詳情"""
Merit#0,"""有利"""
Demerit#0,"""不利"""
Effect#0,"""特殊效果"""
NeedLevel#0,"""對象ExLv."""
NeedRarity#0,"""對象稀有度"""
NoSelectMessage#0,"""未選擇製作清單"""
Range#0,"""$(0)～$(1)"""
RarityValue#0,"""★$(0)"""
ExtendLevelValue#0,"""Lv.$(0)"""
NeedNone#0,"""全部"""
ExtendResetRecipe#0,"""擴張等級設為0，<br>回復道具原本的状態。"""
PaCustomizeDetails#0,"""レシピ情報（PAカスタマイズ）"""
Customize1#0,"""カスタムタイプ1"""
Customize2#0,"""カスタムタイプ2"""
