Title#0,"""任務成果"""
MenuType_QuestCondition#0,"""任務達成状況"""
MenuType_QuestDestruction#0,"""放棄任務"""
MenuType_BeforeQuestResult#0,"""前次任務結果"""
MenuType_Back#1,"""返回"""
Trial_Title#0,"""發生中的E試煉情報"""
Trial_Name#0,"""E試煉名稱"""
Trial_TrialTarget#0,"""E試煉目標"""
Trial_ExtraTarget#0,"""額外目標"""
Trial_FailureConditions#0,"""失敗原因"""
Trial_Achievement#0,"""進行状況"""
Trial_Back#0,"""返回"""
Target_Success#0,"""達成目標！"""
MenuType_ExtraQuestConfirm#0,"""活動内容確認"""
MenuType_ArksBoostRoadConfirm#0,"""ARKS增益拉力情報"""
Target_Finish#0,"""作戦終了"""
YesText#0,"""是"""
NoText#0,"""否"""
CloseText#0,"""關閉"""
OpenText#0,"""打開"""
MaxText#0,"""最大化"""
MinText#0,"""最小化"""
Sort#0,"""排序"""
Copy#0,"""複製"""
Peaste#0,"""粘貼"""
NextText#0,"""下一頁"""
PrevText#0,"""上一頁"""
CancelText#0,"""取消"""
OKText#0,"""OK"""
ReturnText#0,"""返回"""
CheckText#0,"""以後不再顯示此視窗"""
Q_Event001#0,"""目前，對於特定區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_01_MES#0,"""目前，對於納貝流士行星森林區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_02_MES#0,"""目前，對於納貝流士行星雪原區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_03_MES#0,"""目前，對於納貝流士行星遺跡區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_04_MES#0,"""目前，對於安杜斯奇亞行星火山洞窟區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_05_MES#0,"""目前，對於安杜斯奇亞行星浮游大陸區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_06_MES#0,"""目前，對於莉莉芭行星沙漠區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_07_MES#0,"""目前，對於莉莉芭行星地下坑道區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_08_MES#0,"""目前，對於里里芭行星採掘場遺蹟區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_09_MES#0,"""現在正準備進行全ARKS參加的侵蝕舊母艦大規模敵人討伐作戰。"""
Q_Event001_51_MES#0,"""目前，以納貝流士行星為目標，全體ARKS一同參加的大規模敵人討伐作戰，正在準備中。"""
Q_Event001_52_MES#0,"""目前，以安杜斯奇亞行星為目標，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_53_MES#0,"""目前，以莉莉芭行星為目標，全體ARKS一同參加的大規模敵人討伐作戰，正在準備中。"""
Q_Event001_54_MES#0,"""目前，以沃芭爾行星為目標，全體ARKS一同參加的大規模敵人討伐作戰，正在準備中。"""
Q_Event001_90_MES#0,"""目前，以多數區域為目標，全體ARKS一同參加的大規模敵人討伐作戰，正在準備中。"""
Q_Event001_91_MES#0,"""目前，以多數行星為目標，全體ARKS一同參加的大規模敵人討伐作戰，正在準備中。"""
Q_Event002_MES#0,"""發生緊急任務。正展開全體ARKS一同參加的大規模作戰。ARKS各位成員，請到任務櫃台開始任務。"""
Q_Event003_MES#0,"""大規模作戰結束。感謝大家的協助。"""
R_Event004_MES#0,"""現在，演習排行結果正在統計中。直到發表為止，請大家耐心等候。"""
R_Event005_MES#0,"""演習排行結果已更新。可於附近的通訊裝置確認。本次的冠軍是<%TSE_AllTopPlayer_Name>恭喜！"""
Q_Event006_MES#0,"""發布緊急警報。ARKS船隊週邊的宇宙區域，反映有多數黑暗種接近。"""
Q_Event007_MES#0,"""發生緊急事態。ARKS戰艦正受到黑暗種的襲撃。請ARKS各位成員請盡速到任務櫃台，前往救援。"""
W_Event008_MES#0,"""週排行統計結束！　開始計算結果。請稍待。"""
W_Event009_MES#0,"""週排行結果已更新。　詳情可於附近的通訊裝置確認。"""
RD_Event001_MES#0,"""發布緊急警報。ARKS船隊週邊的宇宙區域，反應有黑暗法爾斯接近。"""
RD_Event002_MES#0,"""發生緊急事態。ARKS戰艦正受到黑暗法爾斯的襲撃。請ARKS各位成員請盡速到任務櫃台，前往救援。"""
RD_Event003_MES#0,"""法爾斯之腕撃破目標達成率0%！無法阻止黑暗法爾斯的進撃期待ARKS各位成員英勇的戰鬥。"""
RD_Event004_MES#0,"""法爾斯之腕撃破目標達成率20%！無法阻止黑暗法爾斯的進撃期待ARKS各位成員英勇的戰鬥。"""
A_Event001_MES#0,"""現在正準備進行全ARKS參加的異常宇宙空間調査行動。"""
A_Event002_MES#0,"""緊急任務發生。現在正在進行全ARKS參加的異常宇宙空間調査行動。請各位ARKS至任務櫃台申請參加任務。"""
D_Event001_MES#0,"""緊急聯絡各位ARKS。在莉莉芭行星的採掘基地附近，有許多黑暗種正在集結。請為防衛戰做好準備。"""
D_Event002_MES#0,"""發生緊急防衛任務。莉莉芭行星的採掘基地有許多黑暗種來襲。請各位ARKS盡速至任務櫃台申請參加防衛。"""
D_Event003_MES#0,"""緊急聯絡各位ARKS。在莉莉芭行星的第一採掘基地附近，有許多黑暗種正在集結。請為防衛戰做好準備。"""
D_Event004_MES#0,"""發生緊急防衛任務。莉莉芭行星的第一採掘基地有許多黑暗種來襲。請各位ARKS盡速至任務櫃台申請參加防衛。"""
D_Event005_MES#0,"""緊急聯絡各位ARKS。在莉莉芭行星的第二採掘基地附近，有許多黑暗種正在集結。請為防衛戰做好準備。"""
D_Event006_MES#0,"""發生緊急防衛任務。莉莉芭行星的第二採掘基地有許多黑暗種來襲。請各位ARKS盡速至任務櫃台申請參加防衛。"""
D_Event007_MES#0,"""緊急聯絡各位ARKS。在莉莉芭行星的第三採掘基地附近，有許多黑暗種正在集結。請為防衛戰做好準備。"""
D_Event008_MES#0,"""發生緊急防衛任務。莉莉芭行星的第三採掘基地有許多黑暗種來襲。請各位ARKS盡速至任務櫃台申請參加防衛。"""
LS_Event001_MES#0,"""即將在商店區域舉行現場舞台演唱會。"""
LS_Event002_MES#0,"""商店區域正在舉行現場舞台演唱會。"""
LS_Event003_MES#0,"""前來聆聽的大家，謝謝！下次見。我是庫娜！"""
RD_Event005_MES#0,"""法爾斯之腕撃破目標達成率40%！確認黑暗法爾斯的數量減少。現在正是你的機會。"""
RD_Event006_MES#0,"""法爾斯之腕撃破目標達成率60%！戰況居於優勢。請繼續以這樣的状態迎接戰鬥。"""
RD_Event007_MES#0,"""法爾斯之腕撃破目標達成率80%！確認黑暗法爾斯受到很大的傷害。請一口氣刺向敵人，給它致命的一撃。"""
RD_Event008_MES#0,"""距離第一次迎撃作戰預定結束時間，已所剩不多。這樣的話無法達成打倒目標的任務。請ARKS各位成員抱著必死的決心，努力到最後。"""
RD_Event009_MES#0,"""距離第一次迎撃作戰預定結束時間，已所剩不多。這樣的話無法達成打倒目標的任務。請ARKS各位成員抱著必死的決心，努力到最後。"""
RD_Event010_MES#0,"""距離第一次迎撃作戰預定結束時間，已所剩不多。這樣的話無法達成打倒目標的任務。請ARKS各位成員抱著必死的決心，努力到最後。"""
RD_Event011_MES#0,"""距離第一次迎撃作戰預定結束時間，已所剩不多。這樣的話無法達成打倒目標的任務。請ARKS各位成員抱著必死的決心，努力到最後。"""
RD_Event012_MES#0,"""距離第一次迎撃作戰預定結束時間，已所剩不多。在作戰結束時間以前達成打倒目標的任務，方可進行第二次迎撃作戰。最後的賭注。"""
RD_Event013_MES#0,"""第一次迎撃作戰失敗...。放棄受到襲撃的ARKS戰艦，現存的所有ARKS戰艦全數撤退。"""
RD_Event014_MES#0,"""第一次迎撃作戰成功。接著第二次迎撃作戰開始！請接近已減弱的黑暗法爾斯，進行攻撃。"""
RD_Event015_MES#0,"""成功撃退黑暗法爾斯。感謝各位ARKS的協助。"""
RD_Event016_MES#0,"""シップ全体で30分間に<%Sint64Arg1>体フクロウを討伐せよ！"""
RD_Event017_MES#0,"""發布緊急警報。侵蝕舊母艦與黑暗法爾斯【敗者】的反應正在接近中。"""
RD_Event018_MES#0,"""發布緊急作戰。發現黑暗法爾斯【敗者】的屬下。大規模殲滅作戰開始。請各位ARKS至任務櫃台申請進攻侵蝕舊母艦。"""
RD_Event019_MES#0,"""距離大規模作戰預定結束時刻只剩一點時間。雖然已經達到目標，但請繼續討伐敵人。"""
RD_Event020_MES#0,"""距離大規模作戰預定結束時刻只剩一點時間。還未達成目標値。敬請各位ARKS繼續努力奮戰。"""
RD_Event021_MES#0,"""找到黑暗法爾斯【敗者】的座標了。似乎正利用下屬的殘骸累積力量。請各位ARKS盡速出撃，並將其殲滅。"""
RD_Event022_MES#0,"""找到黑暗法爾斯【敗者】的座標了。請各位ARKS盡速出撃，並將其殲滅。"""
RD_Event023_MES#0,"""目前正與黑暗法爾斯【敗者】交戰中。請各位ARKS至任務櫃台申請出撃。"""
Q_Event001_10_MES#0,"""目前，對於哈魯古丹行星 白之領域區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_11_MES#0,"""目前，對於哈魯古丹行星 黑之領域區域的敵人，全體ARKS一同參加的大規模作戰正在準備中。"""
Q_Event001_55_MES#0,"""目前，以哈魯古丹行星為目標，全體ARKS一同參加的大規模敵人討伐作戰，正在準備中。"""
Q_Event010_MES#0,"""緊急警報発令。アークス船団周辺宙域に、ダークファルス【巨躯】【敗者】２つの反応が接近しつつあります。"""
D_Event009_MES#0,"""ARKS的大家！我是奈奇！接下來為了測試大家的實力，將會送出我的挑戰狀！請務必參加！"""
D_Event010_MES#0,"""已經將我的挑戰狀送至任務櫃台了！請務必參加！"""
D_Event011_MES#0,"""ARKS的大家！謝謝接受本次我的挑戰！還有下次的請再次參加！"""
D_Event012_MES#0,"""緊急聯絡。全ARKS一起參加的特殊作戰即將展開。ARKS各員請做好作戰的準備。"""
D_Event013_MES#0,"""緊急任務發生。全ARKS一起參加的特殊作戰開始了。ARKS各員請從任務櫃台參加作戰。"""
D_Event014_MES#0,"""ARKS的大家！我是波莉譚！借用VR空間的任務做好了。馬上就要開始了請務必要來參加！"""
D_Event015_MES#0,"""波莉譚公園開園了！可以從任務櫃台參加，請務必參加！"""
D_Event016_MES#0,"""非常感謝今天來到波莉譚公園的各位！下次還有機會的話請務必再來！"""
D_Event017_MES#0,"""現在、ＶＲ空間にて全アークス一斉参加の特殊訓練を準備中です。"""
D_Event018_MES#0,"""緊急任務発生。全アークス一斉参加による特殊訓練実施中。アークス各員はクエストカウンターより、任務への参加を。"""
M_Event001_MES#0,"""即將在商店區域舉行演唱會。"""
M_Event002_MES#0,"""商店區域正在舉行演唱會。"""
Q_TwiceEvent001_01_MES#0,"""目前，對於納貝流士行星森林區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_02_MES#0,"""目前，對於納貝流士行星雪原區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_03_MES#0,"""目前，對於納貝流士行星遺蹟區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_04_MES#0,"""現目前，對於安杜斯奇亞行星火山洞窟區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_05_MES#0,"""目前，對於安杜斯奇亞行星浮游大陸區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_06_MES#0,"""目前，對於莉莉芭行星沙漠區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_07_MES#0,"""目前，對於莉莉芭行星地下坑道區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_08_MES#0,"""目前，對於莉莉芭行星採掘場遺蹟區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_09_MES#0,"""目前，以侵蝕舊母艦為對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_10_MES#0,"""目前，對於哈魯古丹行星白之領域區域的敵人，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_51_MES#0,"""目前，以納貝流士行星為對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_52_MES#0,"""目前，以安杜斯奇亞行星為對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_53_MES#0,"""目前，以莉莉芭行星為對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_54_MES#0,"""目前，以沃芭爾行星為對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_55_MES#0,"""目前，以哈魯古丹行星為對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_90_MES#0,"""目前，以複數地域對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent001_91_MES#0,"""目前，以複數行星為對象，全體ARKS一同參加的複數大規模作戰正在準備中。"""
Q_TwiceEvent002_MES#0,"""第一緊急任務發生。全ARKS一同參加的大規模作戰展開中。請ARKS各員從任務櫃台參加任務。"""
Q_TwiceEvent003_MES#0,"""第二緊急任務發生。全ARKS一同參加的大規模作戰展開中。請ARKS各員從任務櫃台參加任務。"""
D_TwiceEvent001_MES#0,"""致ARKS各員的緊急聯絡。在莉莉芭行星多個採掘基地周邊，集結了大量的黑暗種。請做好防衛戰的準備。"""
D_TwiceEvent002_1_MES#0,"""第一緊急防衛任務發生。有大量黑暗種向莉莉芭行星第一採掘基地襲來。請ARKS各員儘快從任務櫃台接受防衛任務。"""
D_TwiceEvent003_1_MES#0,"""第一緊急防衛任務發生。有大量黑暗種向莉莉芭行星第二採掘基地襲來。請ARKS各員儘快從任務櫃台接受防衛任務。"""
D_TwiceEvent004_1_MES#0,"""第一緊急防衛任務發生。有大量黑暗種向莉莉芭行星第三採掘基地襲來。請ARKS各員儘快從任務櫃台接受防衛任務。"""
D_TwiceEvent002_2_MES#0,"""第二緊急防衛任務發生。有大量黑暗種向莉莉芭行星第一採掘基地襲來。請ARKS各員儘快從任務櫃台接受防衛任務。"""
D_TwiceEvent003_2_MES#0,"""第二緊急防衛任務發生。有大量黑暗種向莉莉芭行星第二採掘基地襲來。請ARKS各員儘快從任務櫃台接受防衛任務。"""
D_TwiceEvent004_2_MES#0,"""第二緊急防衛任務發生。有大量黑暗種向莉莉芭行星第三採掘基地襲來。請ARKS各員儘快從任務櫃台接受防衛任務。"""
RD_Event024_MES#0,"""緊急警報發生。在哈魯古丹行星感知到了強大的反應。『禍津』即將出現。"""
RD_Event025_MES#0,"""緊急事態發生。『禍津』在哈魯古丹行星出現。開始進攻白之領域。請ARKS各員從任務櫃台儘快參戰。"""
RD_Event026_MES#0,"""成功擊退『禍津』。感謝各位的協助。"""
RD_Event027_MES#0,"""緊急召集。將要追擊在哈魯古丹行星出現的『禍津』。請ARKS各員儘快出擊，追擊『禍津』並將之擊敗。"""
RD_Event028_MES#0,"""『禍津』追擊作戰結束。感謝各位的協助。"""
RD_Event029_MES#0,"""緊急警報。納貝流士行星上空，【深遠之暗】的反應持續增大。"""
RD_Event030_MES#0,"""緊急作戰發令。將開始【深遠之暗】的殲滅作戰。請ARKS各員從任務櫃台參加作戰。"""
RD_Event031_MES#0,"""成功擊退【深遠之暗】。感謝各位的協助。"""
RD_Event040_MES#0,"""緊急警報。在行莉莉芭確認到黑暗法爾斯【若人】的反應。請ARKS各員做好出擊的準備。"""
RD_Event041_MES#0,"""緊急作戰發令。黑暗法爾斯【若人】的在封印作戰即將開始。請ARKS各員從任務櫃台接受任務前往莉莉芭採掘基地。"""
RD_Event042_MES#0,"""黑暗法爾斯【若人】的再封印作戰平安結束。感謝各位的協助。"""
RD_Event043_MES#0,"""緊急警報。在地球確認到超巨大反應。現在開始作戰準備。"""
RD_Event044_MES#0,"""緊急作戰發令。對在地球發生的超巨大反應的擊退作戰即將開始。請ARKS各員從任務櫃台參加任務。"""
LS_Event004_MES#0,"""ARKS的大家，我是地球親善大使小林幸子。接下來將在商店區域舉行現場演出。請大家一定要來觀看。"""
LS_Event005_MES#0,"""ARKS的大家，我是地球親善大使小林幸子。馬上將在商店區域舉行現場演出。大家快來吧！"""
RD_Event045_MES#0,"""緊急警報。在地球的衛星月球檢測到以太的異常狀態。現在開始作戰準備。"""
RD_Event046_MES#0,"""緊急作戰發令。即將開始在地球的衛星月球出現的幻創法爾斯・聖母的擊退作戰。請ARKS各員從任務櫃台接受任務並出發。"""
RD_Event047_MES#0,"""成功擊退幻創法爾斯・聖母。感謝各位的協助。"""
RD_Event048_MES#0,"""緊急警報発令。確認到造神在地球出現的預兆。現在開始作戰準備。"""
RD_Event049_MES#0,"""緊急作戦発令。開始對出現在地球的造神的撃退作戰。請ARKS的各位從任務櫃台參加任務。"""
RD_Event050_MES#0,"""現在限定Lv.80或以上 ARKS的對再次出現於地球的造神的撃退作戰展開中。對象的ARKS各位請從任務櫃台參加任務。"""
RD_Event051_MES#0,"""成功撃退造神。感謝協助作戰。"""
RD_Event052_MES#0,"""現在限定Lv.80或以上  ARKS的對再次發生於地球的超巨大反應的撃退作戰展開中。對象的ARKS各位請從任務櫃台參加任務。"""
RD_Event053_MES#0,"""成功撃退超巨大反応。感謝ARKS各位的協助。"""
Q_Event001_56_MES#0,"""我來聯絡了。對面的世界－－歐米茄發生了異變。有可能會發生大規模戰鬥，請做好準備。"""
Q_Event001_57_MES#0,"""緊急聯絡。對面的世界－－歐米茄發生了異變。好像正在發生大規模戰鬥。請儘快出擊鎮壓戰鬥。"""
Q_Event001_58_MES#0,"""歐米茄作戰結束。感謝各位的協助。"""
RD_Event054_MES#0,"""我來聯絡了。在歐米茄確認了紅色邪龍的出現預兆。收到了出擊請求，請做好準備。"""
RD_Event055_MES#0,"""緊急聯絡。在歐米茄的舊昆特城，確認到了紅色邪龍的出現。請儘快出擊，擊退紅色邪龍。"""
RD_Event056_MES#0,"""剛才的邪龍好像再次肆虐了起來。滿足特定條件的ARKS請儘快前往，展開擊退作戰。"""
RD_Event057_MES#0,"""紅色邪龍的擊退作戰結束。感謝參與作戰的各位的協助。"""
Q_Event001_59_MES#0,"""現在、地球を対象に、全アークス一斉参加の大規模なエネミー討伐作戦を準備中。"""
RD_Event058_MES#0,"""連絡だよ。オメガにてダークファルス【敗者】の出現予兆が確認されたみたいだ。出撃を要請するから準備をしてほしい。"""
RD_Event059_MES#0,"""緊急連絡。オメガにてダークファルス【敗者】出現が確認された。急ぎ出撃し、撃退にあたってほしい。"""
RD_Event060_MES#0,"""ダークファルス撃退作戦が終了したみたいだね。作戦に協力してくれてありがとう。"""
RD_Event061_MES#0,"""撃退したはずのダークファルス【敗者】が活動を再開した模様だ。特定条件を満たしたアークスに向けて、撃退作戦を展開したから改めて撃退作戦に参加してほしい。"""
RD_Event062_MES#0,"""連絡だよ。オメガにてダークファルス【若人】の出現予兆が確認されたみたいだ。出撃を要請するから準備をしてほしい。"""
RD_Event063_MES#0,"""緊急連絡。オメガにてダークファルス【若人】出現が確認された。急ぎ出撃し、撃退にあたってほしい。"""
RD_Event064_MES#0,"""ダークファルス【若人】の撃退作戦が終了したみたいだね。作戦に協力してくれてありがとう。"""
RD_Event065_MES#0,"""緊急警報発令。月および地球にてエーテルの異常励起を検知。現在、作戦準備中です。"""
RD_Event066_MES#0,"""緊急警報発令。オラクル船団進路上にダークファルス・ペルソナの出現予兆を確認。現在、作戦準備中です。"""
RD_Event067_MES#0,"""緊急作戦発令。オラクル船団進路上にて出現したダークファルス・ペルソナに対し撃退作戦を開始します。アークス各員はクエストカウンターより任務への参加をお願いします。"""
RD_Event068_MES#0,"""ダークファルス・ペルソナの撃退に成功しました。アークス各員の協力に感謝します。"""
RD_Event069_MES#0,"""緊急警報発令。オラクル船団の近傍にフォトナー艦隊の反応確認。アークス各員は出撃の準備を。"""
RD_Event070_MES#0,"""緊急作戦発令。フォトナー艦隊に対し、迎撃作戦を展開。アークス各員は作戦への参加をお願いします。"""
RD_Event071_MES#0,"""フォトナー艦隊迎撃作戦は、第２段階に移行しました。アークス各員はセクター２展開区域での作戦への参加をお願いします。"""
RD_Event072_MES#0,"""フォトナー艦隊迎撃作戦は、最終段階に移行しました。アークス各員はセクター３展開区域での作戦への参加をお願いします。"""
RD_Event073_MES#0,"""フォトナー艦隊迎撃作戦は、最終段階に移行しました。アークス各員はセクター３展開区域での作戦への参加をお願いします。"""
RD_Event074_MES#0,"""フォトナー艦隊の撃退に成功しました。作戦協力に感謝します。"""
Q_Event001_70_MES#0,"""我來聯絡了。對面的世界－－歐米茄發生了異變。有可能會發生大規模戰鬥，請做好準備。"""
Q_Event001_71_MES#0,"""***"""
Q_Event001_72_MES#0,"""***"""
Q_Event001_73_MES#0,"""***"""
RD_Event001_74_MES#0,"""これより、アークス総動員によるマザーシップ・シバへの突撃作戦を開始します。アークス各員は出撃の準備をお願いします。"""
RD_Event001_75_MES#0,"""現在、マザーシップ・シバへの突撃作戦が展開中です。これが本当に最後の戦いです……。アークス各員は、クエストカウンターより出撃をお願いします。"""
RD_Event001_76_MES#0,"""已確認終末女神的消失……成功了……！我們成功了！真的非常感謝大家！快回來吧、守護輝士！"""
RD_Event001_77_MES#0,"""これより、マザーシップ・シバへの突撃作戦を開始します。アークス各員は出撃の準備をお願いします。"""
RD_Event001_78_MES#0,"""現在、マザーシップ・シバへの突撃作戦が展開中です。これが本当に最後の戦いです……。アークス各員は、クエストカウンターより出撃をお願いします。"""
RD_Event001_79_MES#0,"""已確認終末女神的消失……成功了……！我們成功了！真的非常感謝大家！快回來吧、守護輝士！"""
R_Event001_MES#0,"""來自<%TSE_OpenLimetTime>的演習排行開始。請大家踴躍參加。"""
R_Event002_MES#0,"""現在，走破排行進行中。對象是「<%TSE_TA_Quset_Name> <%TSE_TA_Quset_Difficulty>」。統計到<%TSE_EndTime>為止。所有難度對象任務的敵人經驗值、完成報酬時的美賽達都會有加成！"""
R_Event003_MES#0,"""走破排行結束。"""
R_Event004_MES#1,"""現在，演習排行結果正在統計中。直到發表為止，請大家耐心等候。"""
R_Event005_MES#1,"""演習排行結果已更新。可於附近的通訊裝置確認。本次的冠軍是<%TSE_AllTopPlayer_Name>恭喜！"""
