LineDuel_DeckSelect_Title_Text#0,"""เลือก Deck"""
LineDuel_Deck_Title_Text#0,"""Decklist"""
LineDuel_GradesScreen_Title_Text#0,"""ผลการแข่งขัน"""
LineDuel_DeckList_Title_Text#0,"""Decklist"""
LineDuel_PopUp1#0,"""แก้ไข"""
LineDuel_PopUp2#0,"""จัดการ Deck"""
LineDuel_PopUp3#0,"""รีเซ็ต"""
LineDuel_PopUp4#0,"""คัดลอก"""
LineDuel_PopUp5#0,"""วาง"""
LineDuel_PopUp6#0,"""Battle"""
LineDuel_CardList_Title_Text#0,"""รายการการ์ด"""
LineDuel_Details_Title_Text#0,"""รายละเอียดการ์ด"""
LineDuel_SkillDetails_Title_Text#0,"""รายละเอียด Skill"""
LineDuel_DeckList_Help_Text#0,"""หากคุณเลือกการ์ดใน Decklist คุณสามารถนำการ์ดนั้นออกจากรายการได้"""
LineDuel_DeckName_Text#0,"""ชื่อ Deck"""
LineDuel_Sleeve_Text#0,"""ตั้งค่า Card Sleeve"""
LineDuel_PlayMat_Text#0,"""ตั้งค่า Playmat"""
LineDuel_BoardSurface_Text#0,"""ตั้งค่าความโปร่งใส Playmat"""
LineDuel_Synchronize_Text#0,"""ซิงค์การตั้งค่า Deck"""
LineDuel_Synchronize_Hint#0,"""คัดลอกการตั้งค่าของ Deck หนึ่งไปยัง Decks อื่นๆ ของคุณ<br><yellow>※ไม่เปลี่ยนแปลงชื่อของ Decks<c>"""
LineDuel_Preview_Title_Text#0,"""แสดงตัวอย่าง"""
LineDuel_Initialization_Title#0,"""ข้อความ"""
LineDuel_Initialization_Message#0,"""คุณต้องการรีเซ็ต Deck นี้หรือไม่?"""
LineDuel_VictoriaBattle_Message#0,"""คุณต้องการมอบ Deck นี้ให้ Victoria แล้วเริ่ม Battle หรือไม่?<br><br><yellow>※เมื่อการแข่งขันเริ่มขึ้น คุณจะไม่สามารถออกได้จนกว่าจะจบลง<c>"""
LineDuel_Initialization_Copy#0,"""บันทึกเนื้อหาของ Deck ชั่วคราวแล้ว"""
LineDuel_Copy_Message#0,"""คัดลอกเนื้อหาของ $(0) ไปยัง $(1) หรือไม่?"""
LineDuel_Initialization_Paste#0,"""คัดลอก Deck แล้ว"""
LineDuel_Initialization_PasteError#0,"""ไม่สามารถคัดลอก Deck ได้"""
LineDuel_MatchResults_Title_Text#0,"""ผลการแข่งขันล่าสุด"""
LineDuel_MatchResults_EmptyText#0,"""ไม่พบผลการแข่งขัน"""
LineDuel_MatchResults_Text1#0,"""ชื่อตัวละคร/วันที่"""
LineDuel_MatchResults_Text2#0,"""รูปแบบ Match/ผลลัพธ์"""
LineDuel_MatchResults_FilterAll#0,"""Battles ทั้งหมด"""
LineDuel_GradesScreen_Header#0,"""สถิติที่ผ่านมา"""
LineDuel_GradesScreen_WinNum_Text#0,"""ชัยชนะตามประเภท Match"""
LineDuel_GradesScreen_WinRate_Text#0,"""อัตราการชนะล่าสุด"""
LineDuel_GradesScreen_CurrentRate_Text#0,"""Rating ปัจจุบัน"""
LineDuel_GradesScreen_HighestRate_Text#0,"""Rating สูงสุดส่วนตัว"""
LineDuel_Num#0,"""<pict ld_rateicon>$(0)"""
LineDuel_PercentNum#0,"""$(0)%"""
LineDuel_WinNum#0,"""$(0)"""
LineDuel_MatchResults_WIN#0,"""YOU WIN"""
LineDuel_MatchResults_LOSE#0,"""YOU LOSE"""
LineDuel_MatchResults_DRAW#0,"""DRAW"""
LineDuel_NPCBattle_Strength_Text0#0,"""Beginner"""
LineDuel_NPCBattle_Strength_Text1#0,"""Veteran"""
LineDuel_NPCBattle_Strength_Text2#0,"""Expert"""
LineDuel_MatchDetails_Title_Text#0,"""รายละเอียด"""
LineDuel_MatchDetails_Message1#0,"""เข้าคิวและต่อสู้กับผู้เล่นอื่นใน <yellow>All-Ship Matching<c><br><yellow>※ผลการแข่งขันจะไม่มีผลต่อ Rating ของคุณ<c><br><br>พื้นที่ที่เล่นได้: ARKS Base<br><br>รางวัลการแข่งขัน: Card Scratch Voucher x12"""
LineDuel_MatchDetails_Message2#0,"""เข้าคิวและต่อสู้กับผู้เล่นอื่นใน <yellow>All-Ship Matching<c><br><yellow>※Rating ของคุณอาจเปลี่ยนแปลงตามผลการแข่งขัน<c><br><br>พื้นที่ที่เล่นได้: ARKS Base<br><br>รางวัลการแข่งขัน: Card Scratch Voucher x15"""
LineDuel_MatchDetails_Message3#0,"""สู้กับ NPC<br><yellow>※ผลการแข่งขันจะไม่มีผลต่อ Rating ของคุณ<c><br><br>พื้นที่ที่เล่นได้: ARKS Base/Creative Space<br><br>รางวัลเมื่อชนะ: $(0)<br>รางวัลเมื่อแพ้: $(1)<br>รางวัลเมื่อเสมอ: $(2)"""
LineDuel_MatchDetails_Message4#0,"""ดูคำขอ Free Battle จากผู้เล่นอื่น<br><br><yellow>※ผลการแข่งขันจะไม่มีผลต่อ Rating ของคุณ<c><br><br>พื้นที่ที่เล่นได้: ARKS Base/Creative Space<br><br>รางวัลการแข่งขัน: Card Scratch Voucher x6"""
LineDuel_CasualBattle_Title#0,"""ข้อความ"""
LineDuel_RankBattle_Title#0,"""ข้อความ"""
LineDuel_NPCBattle_Title#0,"""ข้อความ"""
LineDuel_CasuaBattle_Message#0,"""คุณต้องการเริ่ม Unrated Battle หรือไม่?<br><br><yellow>※เมื่อ Matchmaking หาคู่ต่อสู้ให้คุณแล้ว คุณจะไม่สามารถออกได้จนกว่า Battle จะจบลง<c>"""
LineDuel_RankBattle_Message#0,"""คุณต้องการเริ่ม Rated Battle หรือไม่?<br><br><yellow>※เมื่อ Matchmaking หาคู่ต่อสู้ให้คุณแล้ว คุณจะไม่สามารถออกได้จนกว่า Battle จะจบลง<c>"""
LineDuel_NPCBattle_Message#0,"""คุณต้องการเริ่มสู้กับ NPC หรือไม่?<br><br><yellow>※เมื่อ Matchmaking หาคู่ต่อสู้ให้คุณแล้ว คุณจะไม่สามารถออกได้จนกว่า Battle จะจบลง<c>"""
LineDuel_InqueCheckMessageWithPartyExit#0,"""คุณต้องการออกจาก Party และเริ่ม $(0) หรือไม่?<br><br><yellow>※เมื่อ Matchmaking หาคู่ต่อสู้ให้คุณแล้ว คุณจะไม่สามารถออกได้จนกว่า Battle จะจบลง<c>"""
LineDuel_Battle_Error1#0,"""Rated Battles และ Unrated Battles สามารถเล่นได้ที่ ARKS Bases เท่านั้น"""
LineDuel_Battle_Error2#0,"""การสู้กับ NPC สามารถเล่นได้ที่ ARKS Bases และ Creative Spaces เท่านั้น"""
LineDuel_Reward_Title_Text#0,"""รางวัลรายสัปดาห์"""
LineDuel_SlashNum#0,"""$(0)/$(1)"""
DeckEdit_GuideText#0,"""<%Decide>: เพิ่มการ์ด\u3000<%Function>: นำการ์ดที่เลือกออก\u3000<%Exception2>: นำการ์ดทั้งหมดออก\u3000<%Exception>: จัดเรียง Decklist\u3000<%ChangeCtrlWindowForward>: สลับหน้าต่าง\u3000<%Cancel>: เสร็จสิ้นการแก้ไข"""
DeckEdit_GuideText_DeckList#0,"""<%Decide>: นำการ์ดที่เลือกออก\u3000<%Exception2>: นำการ์ดทั้งหมดออก\u3000<%Exception>: จัดเรียง Decklist\u3000<%ChangeCtrlWindowForward>: สลับหน้าต่าง\u3000\u3000<%Cancel>: เสร็จสิ้นการแก้ไข"""
DeckEdit_Save_Message#0,"""บันทึก Deck แล้ว"""
DeckEdit_Save_Error_Message#0,"""ไม่สามารถบันทึกได้เนื่องจากมีจำนวนการ์ดใน Deck นี้ไม่เพียงพอ"""
InvitationList_EmptyText#0,"""ไม่มีคำขอ Free Battle ที่เปิดอยู่"""
DeckEdit_SortDefault#0,"""จัดเรียงแบบมาตรฐาน"""
DeckEdit_SortCost#0,"""Cost"""
DeckEdit_SortNormal#0,"""เฉพาะ Normal Cards"""
DeckEdit_SortRare#0,"""เฉพาะ Rare Cards"""
DeckEdit_HintTextUsing#0,"""ใน Deck"""
DeckEdit_EmptyText#0,"""ไม่มีการ์ด"""
DeckEdit_ReturnConfirmMessage#0,"""การทำเช่นนี้จะละทิ้งการเปลี่ยนแปลงของคุณ<br>แน่ใจหรือไม่?"""
DeckEdit_ResetConfirmMessage#0,"""การทำเช่นนี้จะนำการ์ดทั้งหมดออกจาก Decklist ของคุณ<br>แน่ใจหรือไม่?"""
PenaltyMessage#0,"""เนื่องจากคุณไม่มีการเคลื่อนไหวเป็นเวลานานใน Battle ก่อนหน้า คุณจึงถูกจำกัดการเล่นชั่วคราว"""
LineDuel_ReplayPopup#0,"""มุมมองของคุณ"""
LineDuel_ReplayPopupR#0,"""มุมมองของฝ่ายตรงข้าม"""
LineDuel_ReplayErrorToast#0,"""ไม่สามารถเล่น Replay ได้"""
LineDuel_ReplayGuide#0,"""เลือก Battle ที่คุณต้องการรับชม"""
LineDuel_WatchStartPopup#0,"""เริ่ม"""
