TransferMultiStart#0,"""เริ่มการเคลื่อนย้ายในอีก $(0) วินาที"""
SignContainerOpenMessage#0,"""ฟื้นฟูจำนวนการใช้ Sign แล้ว"""
BuffContainerOpen_RangeDamage#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>โจมตีเพิ่มเติมเป็นระยะ<c>"""
BuffContainerUi_RangeDamage#0,"""โจมตีเพิ่มเติมเป็นระยะ"""
BuffContainerOpen_PbGauge#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>เพิ่มอัตราการชาร์จเกจ Photon Blast<c>"""
BuffContainerUi_PbGauge#0,"""เพิ่มอัตราการชาร์จเกจ Photon Blast"""
BuffContainerOpen_PADamage#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>เพิ่มพลังโจมตี PA/Technique<c>"""
BuffContainerUi_PADamage#0,"""เพิ่มพลังโจมตี PA/Technique"""
BuffContainerOpen_WPDamage#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>เพิ่มพลังโจมตีจุดอ่อน (Weak Point)<c>"""
BuffContainerUi_WPDamage#0,"""เพิ่มพลังโจมตีจุดอ่อน (Weak Point)"""
BuffContainerOpen_OverRecovery#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>เพิ่มสเตตัส 10 วินาทีหลังจากใช้ Resta Sign<c>"""
BuffContainerUi_OverRecovery#0,"""เพิ่มสเตตัส 10 วินาทีหลังจากใช้ Resta Sign"""
BuffContainerOpen_CriticalAdd#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>เพิ่มอัตราคริติคอล/ความเสียหายคริติคอล<c>"""
BuffContainerUi_CriticalAdd#0,"""เพิ่มอัตราคริติคอล/ความเสียหายคริติคอล"""
BuffContainerOpen_StepCounter#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>เมื่อ Step สำเร็จ: เพิ่มดาเมจ/โจมตีสวนกลับตามเงื่อนไข<c>"""
BuffContainerUi_StepCounter#0,"""เมื่อ Step สำเร็จ: เพิ่มดาเมจ/โจมตีสวนกลับตามเงื่อนไข"""
BuffContainerOpen_StepShot#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>โจมตีเพิ่มเติมเมื่อทำการ Step<c>"""
BuffContainerUi_StepShot#0,"""โจมตีเพิ่มเติมเมื่อทำการ Step"""
BuffContainerOpen_GlideAtk#0,"""เอฟเฟกต์ที่เกิดขึ้นระหว่างเควสต์: <yellow>เพิ่มพลัง Dive Attack/การสร้างสถานะ Down<c>"""
BuffContainerUi_GlideAtk#0,"""เพิ่มพลัง Dive Attack/การสร้างสถานะ Down"""
TorchBuff_NotFound#0,"""ไม่สามารถใช้งานได้หากไม่มีสถานะ Heat Coating"""
RequiredPoints#0,"""<pict quest_point>"""
LackOfPoints#0,"""Exploration Points ไม่เพียงพอ"""
DiscoverBonus#0,"""คุณค้นพบ Wandering Chest ได้รับแต้ม: $(0)"""
GaugeCharge#0,"""M.A.R.S. Battery ของคุณได้รับการชาร์จฟื้นฟูบางส่วนแล้ว"""
LackOfHWPoints#0,"""Candy ของคุณมีไม่พอ"""
CandyIcon#0,"""<pict icon_sweets>"""
LackOfNPoint#0,"""Exploration Points ไม่เพียงพอ"""
co_access_object_TitleContainer#0,"""คอนเทนเนอร์"""
co_access_object_ItemSearch#0,"""กดค้างเพื่อตรวจสอบ"""
