PB#0,"""光子爆發"""
ChangeLooksMsg#0,"""可給予瑪古進化裝置<br>讓他如同以下樣貌進化。<br><br>同時，若是未曾使用過該進化裝置，<br>　點選「使用瑪古形態變更票證」後即可進行選擇。<br>確定麼？"""
ChangeLooksMsg1#0,"""給予瑪古進化裝置，<br>使其進行以下進化。<br>確定麼？<br><br><yellow>※曾使用過的進化裝置。<br>　可從「使用瑪古形態變更票證」變更形態。<c>"""
UseDeviceMsg#0,"""使用了$(0)。"""
ResetDeviceMsg#0,"""瑪古恢復成初期状態。<br>是否確定使用？"""
Error#0,"""未能使用$(0)。"""
ErrorHT#0,"""瑪古等級達到Lv.100之前無法使用。"""
ErrorCraftDevice#0,"""生産裝置只可設置一項。"""
ErrorLevelCap#0,"""等級成長已經達到上限<br>故無法使用。"""
ErrorAddTA#0,"""本項裝置已無法使用。"""
ErrorNoColorChange#0,"""本裝置無法變更指定瑪古的顏色<br>故無法使用。"""
ErrorNonEquip#0,"""若本裝置無裝備在指定瑪古身上<br>故無法使用。"""
ErrorMeaningless#0,"""本裝置的效果已經套用完畢。<br>故無法使用。"""
ColorTitle#0,"""選擇瑪古顏色"""
ConfirmTitle#0,"""確認使用裝置"""
MessageTitle#1,"""使用裝置"""
ErrorTitle#1,"""使用裝置"""
OverwriteMsgSAA#0,"""會覆蓋以下的SP自動動作。<br>確定麼？"""
ErrorSAA#0,"""瑪古等級達到Lv.200之前無法使用。"""
ErrorLevelLow#0,"""這個裝置在瑪古到達Lv.$(0)之前<br>無法使用。"""
LearningMsgSAA#0,"""$(0)<br>習得了$(1)。"""
Title#4,"""變更觸發動作優先度"""
Indicate#2,"""如想變更變更觸發動作優先度，請先選擇要變更的指定項目。"""
Msg1#2,"""應用優先度變更。<br>確定麼？"""
Msg2#1,"""變更了觸發動作的優先度。"""
Error1#1,"""未能變更觸發動作的優先度。"""
MoveTargetMsg#0,"""移動到優先度 $(0)"""
Update#0,"""更新"""
ConfirmTitle#1,"""確認變更觸發動作的優先度"""
Title#5,"""確認行動"""
TANumber#0,"""$(0)"""
Msg1#3,"""裝備了瑪古。"""
Msg2#2,"""卸除了瑪古。"""
Error1#2,"""未能裝備瑪古。<br><br>[No.2200]"""
Error2#0,"""未能卸除瑪古。<br><br>[No.2201]"""
ListTitle#0,"""使用瑪古形態變更票證"""
Indicate#3,"""<c f0df60>使用瑪古形態變更票證，可以變更成曾經使用進化裝置變身過的型態。請選擇要變更的型態。<c>"""
EmptyList#0,"""沒有已登録的形態。"""
PopupMenuChangeFigure#0,"""變更為這個形態"""
PopupMenuRegisterFavorite#0,"""登録收藏"""
PopupMenuCancelFavorite#0,"""解除收藏"""
ChangeFigureConfirm#0,"""使用瑪古形態變更票證，<br>變更形態為「$(0)」。<br>確定麼？<br><br>瑪古形態變更票證（持有：$(1)）"""
SortItemFavorite#0,"""收藏"""
SameFigureError#0,"""因與目前形態相同，<br>無法選擇。"""
LevelError#0,"""瑪古等級100前無法變更形態。"""
ChangeFigurePassError#0,"""沒有瑪古形態變更票證<br>無法執行。"""
FavoriteMaxError#0,"""已達到收藏登録數上限20個，<br>無法登録。"""
ChangeFigureResult#0,"""使用票證變更為「$(0)」。"""
RegisterFavoriteResult#0,"""登録到收藏。"""
CancelFavoriteResult#0,"""從收藏解除登錄。"""
ChangeFigureError#0,"""未能變更形態。"""
RegisterFavoriteError#0,"""未能登録到收藏。"""
RegisterFavoriteMaxError#0,"""已達到收藏登録數上限20個，<br>無法登録。"""
CancelFavoriteError#0,"""未能從收藏解除登錄。"""
RegisterFigure#0,"""登録了瑪古的形態。"""
ChangeFigureConfirmTitle#0,"""確認使用票證"""
Vita_ChangeFigureConfirm#0,"""使用瑪古形態變更票證，<br>變更形態為「$(0)」？<br>瑪古形態變更票證（持有：$(1)）"""
Title#6,"""-"""
Msg1#4,"""-"""
Msg2#3,"""-"""
Msg3#0,"""-"""
Title#7,"""確認使用裝置"""
Msg1#5,"""請選擇要降級的支援等級。"""
Msg2#4,"""使用瑪古等級下降裝置，<br>瑪古的支援等級會降低1。<br>確定麼？"""
