PlayNav_Unit1_Item1#0,"""ถึง Lv. 7"""
PlayNav_Unit5_Index1#0,"""・เคลียร์ Side Tasks<br>・เคลียร์ Battledia<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Resol Forest"""
PlayNav_Unit5_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit5_Index2#0,"""・ตีบวก Weapon และ Armor ระดับความแรร์ ★4 ให้ถึง +40<br>・เพิ่ม Special Ability 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★4"""
PlayNav_Unit5_Item3#0,"""รับ Special Ability Capsules"""
PlayNav_Unit5_Index3#0,"""・รับ Special Ability Capsules จากสถานที่ดังต่อไปนี้:<br>\u3000Striking Classes: Mt. Magnus<br>\u3000Ranged Classes: Vanford Laboratory Ruins<br>\u3000Technique Classes: Resol Forest"""
PlayNav_Unit6_Item1#0,"""ถึง Lv. 20"""
PlayNav_Unit6_Index1#0,"""・เคลียร์ Side Tasks<br>・เคลียร์ Battledia<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Mt. Magnus (Rank 2)<br>\u3000Vanford Laboratory Ruins (Rank 2)<br>\u3000Resol Forest"""
PlayNav_Unit6_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit6_Index2#0,"""・ตีบวก Weapon และ Armor ระดับความแรร์ ★4 ให้ถึง +40<br>・เพิ่ม Special Ability 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★4"""
PlayNav_Unit6_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit6_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 28 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit7_Item1#0,"""ถึง Lv. 20"""
PlayNav_Unit7_Index1#0,"""・เคลียร์ Side Tasks<br>・เคลียร์ Battledia<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Mt. Magnus (Rank 2)<br>\u3000Vanford Laboratory Ruins (Rank 2)<br>\u3000Resol Forest"""
PlayNav_Unit7_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit7_Index2#0,"""・ตีบวก Weapon และ Armor ระดับความแรร์ ★4 ให้ถึง +40<br>・เพิ่ม Special Ability 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★4"""
PlayNav_Unit7_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit7_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 34 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit8_Item1#0,"""ถึง Lv. 22"""
PlayNav_Unit8_Index1#0,"""・เคลียร์ Side Tasks<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Retem El-Nossa"""
PlayNav_Unit8_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit8_Index2#0,"""・ตีบวก Weapon และ Armor ระดับความแรร์ ★4 ให้ถึง +40<br>・เพิ่ม Special Ability 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★4"""
PlayNav_Unit8_Item3#0,"""หา Ore เพื่ออัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit8_Index3#0,"""・เก็บรวบรวม Ore ใน Sections ดังต่อไปนี้:<br>\u3000Photon Chunk: Southern Aelio<br>\u3000Photon Quartz: Northern Aelio<br>\u3000Dualomite: Southern Aelio, Western Aelio<br>\u3000Trinite: Northern Aelio, Southern Retem<br>\u3000Tetracite: Western Retem, Northern Retem, Luf Maqaad"""
PlayNav_Unit9_Item1#0,"""ถึง Lv. 24"""
PlayNav_Unit9_Index1#0,"""・เคลียร์ Side Tasks<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Retem El-Nossa"""
PlayNav_Unit9_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit9_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★5<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★5 ให้ถึง +40<br>・เพิ่ม Special Ability 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★5"""
PlayNav_Unit9_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit9_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 40 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit10_Item1#0,"""ถึง Lv. 40"""
PlayNav_Unit10_Index1#0,"""・เคลียร์ Side Tasks<br>・เคลียร์ Battledia<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Mt. Magnus (Rank 3)<br>\u3000Vanford Laboratory Ruins (Rank 3)<br>\u3000Resol Forest (Rank 2)"""
PlayNav_Unit10_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit10_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★5<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★5 ให้ถึง +40<br>・เพิ่ม Special Ability ระดับ II หรือสูงกว่า 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★5"""
PlayNav_Unit10_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit10_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 48 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit11_Item1#0,"""ถึง Lv. 43"""
PlayNav_Unit11_Index1#0,"""・เคลียร์ Side Tasks<br>・เคลียร์ Battledia<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Mt. Magnus (Rank 3)<br>\u3000Vanford Laboratory Ruins (Rank 3)<br>\u3000Resol Forest (Rank 2)"""
PlayNav_Unit11_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit11_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★5<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★5 ให้ถึง +40<br>・เพิ่ม Special Ability ระดับ II หรือสูงกว่า 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★5"""
PlayNav_Unit11_Item3#0,"""รับ Special Ability Capsules"""
PlayNav_Unit11_Index3#0,"""・รับ Special Ability Capsules จากสถานที่ดังต่อไปนี้:<br>\u3000Striking Classes: Mt. Magnus (Rank 3)<br>\u3000Ranged Classes: Lower Maqaad (Rank 3)<br>\u3000Technique Classes: Retem El-Nossa (Rank 3)"""
PlayNav_Unit12_Item1#0,"""ถึง Lv. 43"""
PlayNav_Unit12_Index1#0,"""・เคลียร์ Side Tasks<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Retem El-Nossa (Rank 3)<br>\u3000Lower Maqaad (Rank 3)"""
PlayNav_Unit12_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit12_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★5<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★5 ให้ถึง +40<br>・เพิ่ม Special Ability ระดับ II หรือสูงกว่า 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★5"""
PlayNav_Unit12_Item3#0,"""หา Ore เพื่ออัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit12_Index3#0,"""・เก็บรวบรวม Ore ใน Sections ดังต่อไปนี้:<br>\u3000Photon Chunk: Southern Aelio<br>\u3000Photon Quartz: Northern Aelio<br>\u3000Dualomite: Southern Aelio, Western Aelio<br>\u3000Trinite: Northern Aelio, Southern Retem<br>\u3000Tetracite: Western Retem, Northern Retem, Luf Maqaad"""
PlayNav_Unit13_Item1#0,"""ถึง Lv. 49"""
PlayNav_Unit13_Index1#0,"""・เคลียร์ Side Tasks<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Bergana Ruins"""
PlayNav_Unit13_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit13_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★5<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・รับ Special Ability Capsules ด้วยการแลกเปลี่ยน Material<br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★5 ให้ถึง +40<br>・เพิ่ม Special Ability ระดับ II หรือสูงกว่า 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★5"""
PlayNav_Unit13_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit13_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 48 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit14_Item1#0,"""ถึง Lv. 60"""
PlayNav_Unit14_Index1#0,"""・เคลียร์ Side Tasks<br>・เคลียร์ Battledia<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Bergana Ruins<br>\u3000Lost Central"""
PlayNav_Unit14_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit14_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★6<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・รับ Special Ability Capsules ด้วยการแลกเปลี่ยน Material<br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★6 ให้ถึง +50<br>・เพิ่ม Special Ability ระดับ III หรือสูงกว่า 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★6"""
PlayNav_Unit14_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit14_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 70 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit15_Item1#0,"""ถึง Lv. 63"""
PlayNav_Unit15_Index1#0,"""・เคลียร์ Side Tasks"""
PlayNav_Unit15_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit15_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★6<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・รับ Special Ability Capsules ด้วยการแลกเปลี่ยน Material<br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★6 ให้ถึง +50<br>・เพิ่ม Special Ability ระดับ III หรือสูงกว่า 4 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 3 ให้ Weapon ระดับความแรร์ ★6"""
PlayNav_Unit15_Item3#0,"""หา Ore เพื่ออัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit15_Index3#0,"""・เก็บรวบรวม Ore ใน Sections ดังต่อไปนี้:<br>\u3000Photon Chunks: Southern Aelio<br>\u3000Dualomite: Southern Aelio, Western Aelio<br>\u3000Trinite: Northern Aelio, Southern Retem<br>\u3000Tetracite: Western Retem, Northern Retem, Luf Maqaad<br>\u3000Pentrite: Western Kvaris"""
PlayNav_Unit16_Item1#0,"""ถึง Lv. 65"""
PlayNav_Unit16_Index1#0,"""・เคลียร์ Side Tasks"""
PlayNav_Unit16_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit16_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★6<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・รับ Special Ability Capsules ด้วยการแลกเปลี่ยน Material<br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★6 ให้ถึง +60<br>・เพิ่ม Special Ability ระดับ III หรือสูงกว่า 5 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 4 ให้ Weapon ระดับความแรร์ ★6"""
PlayNav_Unit16_Item3#0,"""รับ Special Ability Capsules"""
PlayNav_Unit16_Index3#0,"""・รับ Special Ability Capsules จากสถานที่ดังต่อไปนี้:<br>\u3000All Classes: Lost Central (Rank 3)<br>\u3000Striking Classes: Mt. Magnus (Rank 4)<br>\u3000Shooting Classes: Lower Maqaad (Rank 4)<br>\u3000Tech Classes: Retem El-Nossa (Rank 4)"""
PlayNav_Unit17_Item1#0,"""ถึง Lv. 65"""
PlayNav_Unit17_Index1#0,"""・เคลียร์ Side Tasks"""
PlayNav_Unit17_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit17_Index2#0,"""・รับ Weapon และ Armor ระดับความแรร์ ★6<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・รับ Special Ability Capsules ด้วยการแลกเปลี่ยน Material<br>・ตีบวก Weapon และ Armor ระดับความแรร์ ★6 ให้ถึง +60<br>・เพิ่ม Special Ability ระดับ III หรือสูงกว่า 5 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 4 ให้ Weapon ระดับความแรร์ ★6"""
PlayNav_Unit17_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit17_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 74 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit18_Item1#0,"""ถึง Lv. 67"""
PlayNav_Unit18_Index1#0,"""・เคลียร์ Side Tasks<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Dext Base"""
PlayNav_Unit18_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit18_Index2#0,"""・รับ Weapon ระดับความแรร์ ★8 และ Armor ระดับ ★7<br><yellow>※ดรอปจากศัตรู หรือซื้อใน My Shop<c><br>・รับ Special Ability Capsules ด้วยการแลกเปลี่ยน Material<br>・ตีบวก Weapon ระดับความแรร์ ★8 และ Armor ระดับ ★7 ให้ถึง +50<br>・เพิ่ม Special Ability ระดับ III หรือสูงกว่า 5 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 4 ให้ Weapon ระดับความแรร์ ★8"""
PlayNav_Unit18_Item3#0,"""รับ Special Ability Capsules"""
PlayNav_Unit18_Index3#0,"""・รับ Special Ability Capsules จากสถานที่ดังต่อไปนี้:<br>\u3000All Classes: Dext Base<br>\u3000Striking Classes: Mt. Magnus (Rank 4)<br>\u3000Shooting Classes: Lower Maqaad (Rank 4)<br>\u3000Tech Classes: Retem El-Nossa (Rank 4)"""
