MySpaceCommonLabel_EditMode#0,"""Edit Mode"""
MySpaceDirectPurchaseListText_NeedGp#0,"""GP ที่ต้องใช้: $(0)<pict 4space><pict myspace_point><pict 4space>(มี: $(1)<pict 4space><pict myspace_point><pict 4space>)"""
MySpaceDirectPurchaseListText_NeedSg#0,"""SG ที่ต้องใช้: $(0)<pict 4space><pict StarGem><pict 4space>(มี: $(1)<pict 4space><pict StarGem><pict 4space>)"""
MySpaceDirectPurchaseListText_ButtonYes#0,"""ซื้อ Build Part"""
MySpaceDirectPurchaseListText_ButtonNo#0,"""ไม่ซื้อ"""
MySpaceBuildPartsPurchaseListTitle#0,"""ซื้อ Build Part"""
MySpaceBuildPartsPurchaseListText_Gp#0,"""กำลังสั่งซื้อไอเทมในราคา $(0) GP<br>ต้องการดำเนินการต่อหรือไม่?"""
MySpaceBuildPartsPurchaseListText_Sg#0,"""กำลังสั่งซื้อไอเทมในราคา $(0) SG<br>ต้องการดำเนินการต่อหรือไม่?"""
MySpaceBuildPartsPurchaseListText_ButtonYes#0,"""ใช่"""
MySpaceBuildPartsPurchaseListText_ButtonNo#0,"""ไม่"""
MySpaceBuildPartsPurchaseListText_ButtonScc#0,"""การแสดงข้อมูลตามกฎหมายว่าด้วยธุรกรรมทางการค้าที่กำหนด"""
MySpaceConnect_Busy#0,"""จำนวนตัวส่งและรับสัญญาณ ของคุณมากเกินไป กรุณาพิจารณาการจัดวางและการตั้งค่าการเชื่อมต่อของคุณใหม่"""
MySpaceOfficialNotice#0,"""Build Part บางชิ้นที่ใช้งานในที่นี้จะพร้อมใช้งาน<br>หลังจากการปิดปรับปรุงตามกำหนดการในวันที่ $(0)"""
MyspaceInfoText_BuildParts_DeploymentInitialization#0,"""รีเซ็ตการจัดวาง Build Part เรียบร้อยแล้ว"""
MyspaceInfoText_Terrain_Initialization#0,"""รีเซ็ตสภาพพื้นที่ กลับเป็นสถานะเริ่มต้นเรียบร้อยแล้ว"""
CraftMenu_BuildCommand#0,"""Build Commands"""
CraftMenu_BuildParts#0,"""Build Parts"""
CraftMenu_BuildParts_OthersSpace#0,"""Build Parts ของ $(0)"""
CraftMenu_DeleteObject#0,"""ลบ"""
CraftMenu_MoveObject#0,"""ย้าย"""
CraftMenu_ObjectConfig#0,"""ตั้งค่า"""
CraftMenu_ObjectColor#0,"""เปลี่ยนสี"""
CraftMenu_EditTerrain#0,"""แก้ไขสภาพพื้นที่: ขึ้น/ลง"""
CraftMenu_LandLeveling#0,"""ปรับระดับพื้นที่"""
CraftMenu_FloatingOnAir#0,"""ลอยตัว"""
CraftMenu_QuitEditMode#0,"""ออกจาก Edit Mode"""
CraftMenu_Sort_Normal#0,"""เรียงลำดับมาตรฐาน"""
CraftMenu_NoItem#0,"""ไม่มีไอเทม"""
CraftMenu_NoRecord#0,"""ไม่มีประวัติ"""
MySpaceCraftPaletteFormTitle#0,"""Build Palette"""
MySpaceCraftPalette_DeleteTitle#0,"""ข้อความ"""
MySpaceCraftPalette_ConfirmDeletePalette#0,"""คุณต้องการลบ Build Commands/Build Parts ที่ลงทะเบียนไว้ใน Build Palette นี้หรือไม่?"""
CraftMenu_Sort_Category#0,"""เรียงตาม: ประเภท"""
CraftMenu_Sort_Name#0,"""เรียงตาม: ชื่อ"""
CraftMenu_Sort_Rarity#0,"""เรียงตาม: ระดับความแรร์"""
BuildMenuFullSizeTitle#0,"""Build Menu"""
BuildMenuTwolineGuide#0,"""ที่นี่ คุณสามารถใช้งาน Build Commands และเลือก Build Parts เพื่อจัดวางได้"""
BuildPaletteGuide_Inactive#0,"""ลงทะเบียน/แก้ไข Palette: <%Function>"""
BuildPaletteGuide_Active#0,"""ลงทะเบียน: <%Decide> ยกเลิก: <%Cancel> ลบ: <%Exception>"""
BuildPaletteButton_Initialize#0,"""รีเซ็ต Palette"""
BuildPaletteInitialize_Title#0,"""ยืนยันการรีเซ็ต"""
BuildPaletteInitialize_Text#0,"""คุณต้องการรีเซ็ต Build Palette กลับเป็นค่าเริ่มต้นหรือไม่?"""
Guide_BuildMenu#0,"""ตกลง: <%Decide> ยกเลิก: <%Cancel> ย้ายออบเจกต์: <%NextWidget>"""
Guide_BuildMenu_Blueprint#0,"""ตกลง: <%Decide> ยกเลิก: <%Cancel> ย้ายออบเจกต์: <%NextWidget> เปลี่ยนหน้าต่าง: <%ChangeCtrlWindowForward> ลงทะเบียน Build Parts: <%MultiSelect> ลบ: <%Exception>"""
Blueprint_RegistMSG_Text1#0,"""Build Parts ทั้งหมดสำหรับ Blueprint นี้มีพร้อมใช้งานอยู่ใน Creative Space นี้แล้ว"""
Blueprint_RegistMSG_Text2#0,"""ไม่สามารถลงทะเบียน Build Parts เหล่านี้ใน Creative Space นี้ได้"""
BuildParts_Positioning_WindowTitle#0,"""การปรับแต่ง Build Parts อย่างละเอียด"""
BuildParts_Positioning_Position#0,"""ตำแหน่ง"""
BuildParts_Positioning_Rotate#0,"""การหมุน"""
BuildParts_Positioning_Size#0,"""การปรับขนาด"""
BuildParts_Positioning_SizeSyncMove#0,"""ปรับขนาดทุกแกน"""
BuildParts_Positioning_X#0,"""X"""
BuildParts_Positioning_Y#0,"""Y"""
BuildParts_Positioning_Z#0,"""Z"""
BuildParts_Positioning_Coordinate_Rotate#0,"""(X: $(0), Y: $(1), Z: $(2)) (X, Y, Z: $(0), $(1), $(2))"""
BuildParts_Positioning_Coordinate_Size#0,"""(X, Y, Z: $(0), $(1), $(2))"""
BuildParts_Positioning_Decision#0,"""ตกลง"""
BuildParts_Positioning_Cancel#0,"""หากคุณออก การเปลี่ยนแปลงใดๆ ที่ทำไว้จะไม่ถูกบันทึก ต้องการดำเนินการต่อหรือไม่?"""
MySpaceOptionMenuFormTitle#0,"""ตัวเลือกการสร้าง"""
MySpaceOptionMenuTitle_GridTerrain#0,"""มุมมองกริดบนพื้นที่"""
MySpaceOptionMenuTitle_GridTerrain_exp#0,"""กำหนดว่าจะแสดงเส้นกริดบนพื้นหรือไม่ในขณะที่วาง Build Parts หรือแก้ไขสภาพพื้นที่"""
MySpaceOptionMenuTitle_GridSnap#0,"""ล็อคเข้ากับกริด"""
MySpaceOptionMenuTitle_GridSnap_exp#0,"""กำหนดว่าจะให้ Build Parts ล็อคเข้ากับเส้นกริดเมื่อวางหรือไม่<br><br><yellow>※หากตั้งค่าเป็น 【 ปิด 】 คุณจะสามารถวาง Build Parts ในพิกัดใดก็ได้ตามที่ต้องการ<c>"""
MySpaceOptionMenuTitle_HitCollision#0,"""ป้องกันการซ้อนทับของออบเจกต์"""
MySpaceOptionMenuTitle_HitCollision_exp#0,"""กำหนดว่าจะสามารถวาง Build Parts ให้ทะลุหรือซ้อนทับกับ Build Parts ที่ถูกวางไว้ก่อนหน้าได้หรือไม่"""
MySpaceOptionMenuTitle_Rotate#0,"""ล็อคองศาการหมุน"""
MySpaceOptionMenuTitle_Rotate_exp#0,"""กำหนดว่าจะล็อคองศาการหมุนของ Build Parts ให้เป็นทวีคูณของ 45 องศาหรือไม่"""
MySpaceOptionMenuTitle_Scaling#0,"""ล็อคการปรับขนาด Build Parts"""
MySpaceOptionMenuTitle_Scaling_exp#0,"""กำหนดว่าจะล็อคค่าการปรับขนาดของ Build Parts ให้เป็นทวีคูณของ 25% หรือไม่"""
MySpaceOptionMenuTitle_Distance#0,"""ล็อคระยะการติดตั้ง Build Parts"""
MySpaceOptionMenuTitle_Distance_exp#0,"""กำหนดว่าจะล็อคระยะห่างในการติดตั้ง Build Parts ไว้ที่ค่าคงที่ชุดหนึ่งหรือไม่<br><br><yellow>หากเปิดใช้งาน 【 ล็อคเข้ากับกริด 】 คุณจะมีข้อจำกัดในตำแหน่งการวาง Build Parts แม้ว่าจะไม่ได้เปิดใช้งานตัวเลือกนี้ก็ตาม<c>"""
MySpaceOptionMenuTitle_Assistance#0,"""แสดงเงาไกด์เมื่อวาง Build Parts"""
MySpaceOptionMenuTitle_Assistance_exp#0,"""กำหนดว่าจะให้แสดงเงาของ Build Part ที่เลือกไว้บนพื้นผิวใกล้เคียง เพื่อช่วยในการกะระยะและจัดวาง Build Parts หรือไม่"""
MySpaceOptionMenuTitle_TerrainAdjustment#0,"""อัตราการยก/ลดระดับพื้นที่ (Terrain Raise/Lower Rate)"""
MySpaceOptionMenuTitle_TerrainAdjustment_exp#0,"""กำหนดระดับความสูงหรือต่ำของพื้นที่ที่จะปรับในแต่ละครั้ง"""
MySpaceOptionMenuTitle_TranslucentPlayer#0,"""ความโปร่งแสงของตัวละคร"""
MySpaceOptionMenuTitle_TranslucentPlayer_exp#0,"""กำหนดว่าจะให้ตัวละครของคุณโปร่งแสงแบบกึ่งโปร่งใสในขณะที่แก้ไขหรือไม่<br><br><yellow>※จะไม่มีผลกับไอเทมแฟชั่นบางชิ้นและรูปลักษณ์ของ Mag<c>"""
MySpaceOptionMenuItemText_On#0,"""เปิดใช้งาน"""
MySpaceOptionMenuItemText_Off#0,"""ปิดใช้งาน"""
MySpaceOptionMenuItemText_onefourth#0,"""ทุกๆ 1/4 ช่อง"""
MySpaceOptionMenuItemText_onehalf#0,"""ทุกๆ 1/2 ช่อง"""
MySpaceOptionMenuItemText_one#0,"""ทุกๆ 1 ช่องเต็ม"""
MySpaceMenuFormTitle#0,"""เมนู C-Space"""
MySpaceMenuHeadLine_AddObject#0,"""ชิ้นส่วนเพิ่มเติม"""
MySpaceMenuTitle_ObjectExchange#0,"""ซื้อชิ้นส่วน"""
MySpaceMenuTitle_ObjectRegister#0,"""ลงทะเบียนชิ้นส่วน"""
MySpaceMenuHeadLine_Setting#0,"""ตั้งค่า Creative Space"""
MySpaceMenuTitle_BgmSetting#0,"""ตั้งค่า BGM"""
MySpaceMenuTitle_TimeControl#0,"""ตั้งค่าเวลา"""
IntroductionFormTitle#0,"""ตั้งค่าความเป็นสาธารณะ"""
MySpaceMenuTitle_TeamMag#0,"""Team Mag"""
MySpaceMenuHeadLine_Init#0,"""สถานะ Creative Space"""
MySpaceMenuTitle_SettingInit#0,"""รีเซ็ต Creative Space"""
MySpaceMenuTitle_TerrainInit#0,"""รีเซ็ตสภาพพื้นที่"""
MySpaceMenuHeadLine_EditPermission#0,"""จัดการสิทธิ์"""
MySpaceMenuTitle_EditPermission#0,"""จัดการสิทธิ์ผู้เล่น"""
TeamSpaceMenuTitle_EditPermission#0,"""ตั้งค่าสิทธิ์การแก้ไขของสมาชิกทีม"""
TeamSpaceMenuTitle_EditPermission_Title#0,"""ตั้งค่าสิทธิ์การแก้ไข"""
MySpaceMenuHeadLine_ObjectSetting#0,"""สถานะ Build Parts"""
MySpaceMenuTitle_ObjectSetting#0,"""รีเซ็ตเป็นค่าเริ่มต้น"""
MySpaceMenuText_NoEditAuth1#0,"""คุณไม่สามารถเปิดเมนูนี้ได้เนื่องจากคุณไม่มีสิทธิ์ในการแก้ไขในพื้นที่นี้"""
TeamSpaceMenuText_NoEditAuth1#0,"""เมนูที่เลือกสามารถเข้าถึงได้เฉพาะ Team Master หรือ Team Manager ของ Team Space ปัจจุบันเท่านั้น"""
MySpace_Notice_SwitchMode_Editing#0,"""สลับไปยัง Edit Mode แล้ว"""
MySpace_Notice_SwitchMode_Normal#0,"""ออกจาก Edit Mode แล้ว"""
MySpaceShopTitle_Guide#0,"""ที่นี่ คุณสามารถซื้อ Build Parts ได้ด้วย Genesis Points ที่คุณหามาได้"""
MySpaceSgShopTitle_Guide#0,"""ที่นี่ คุณสามารถซื้อ Build Parts ได้ด้วย Star Gems"""
MySpaceGPShop_VolumeSelectTitle#0,"""เลือก Storage"""
MySpaceSGShop_VolumeSelectTitle#0,"""เลือก Storage"""
MySpaceShop_Volume#0,"""Storage $(0)"""
MySpaceShopCheckBoxTitle#0,"""แสดงไอเทมที่ยังไม่ได้ลงทะเบียน"""
MySpaceRegisterText_Register#0,"""กำลังใช้ $(0) เพื่อลงทะเบียน Build Parts ใหม่<br>ต้องการดำเนินการต่อหรือไม่?"""
MySpaceRegisterText_Registered#0,"""ลงทะเบียน Build Parts เรียบร้อยแล้ว"""
MySpaceBaseChangeTitle#0,"""เปลี่ยน/ปลดล็อกธีม"""
MySpaceBaseChangeName#0,"""ชื่อธีม"""
MySpaceBaseUnlocked#0,"""ปลดล็อกแล้ว"""
MySpaceBaseErr#0,"""ไม่สามารถดึงข้อมูลราคาได้"""
MySpaceBaseErrMess_Title#0,"""เกิดข้อผิดพลาดในการรับข้อมูล"""
MySpaceBaseErrMess_Text#0,"""เกิดข้อผิดพลาดขณะดึงข้อมูลราคา<br><br>การรีสตาร์ทเกมอาจช่วยแก้ไขปัญหานี้ได้"""
MySpaceBaseChangeAelio#0,"""ธีม Aelio"""
MySpaceBaseChangeRetem#0,"""ธีม Retem"""
MySpaceBaseChangeKvaris#0,"""ธีม Kvaris"""
MySpaceBaseChangeStia#0,"""ธีม Stia"""
MySpaceBaseChangeUnkaiSakura#0,"""ธีม Far Eastern"""
MySpaceBaseChangeScene#0,"""พรีวิวธีม"""
MySpaceBaseApply_Title#0,"""ข้อความ"""
MySpaceBaseApply_Confirm1#0,"""ต้องการใช้งาน 【 $(0) 】 กับ Space นี้หรือไม่?<br><br>เมื่อเปลี่ยนธีม Build Parts และสภาพพื้นที่ที่ถูกจัดวางไว้ทั้งหมดจะถูกรีเซ็ต<br><br><yellow>※ผู้เล่นคนอื่นๆ ที่อยู่ใน Space นี้จะถูกย้าย<br>กลับเข้ามาใหม่เมื่อการเปลี่ยนแปลงมีผล<c>"""
MySpaceBaseApply_Confirm2#0,"""การเปลี่ยนธีม จะรีเซ็ต Build Parts และสภาพพื้นที่ทั้งหมดกลับสู่สถานะเริ่มต้น เมื่อเปลี่ยนแล้วจะไม่สามารถกู้คืนกลับเป็นสภาพก่อนหน้าได้ คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?"""
MySpaceBaseApply_Confirm2_Blueprint#0,"""การเปลี่ยนธีม จะรีเซ็ต Build Parts และสภาพพื้นที่ทั้งหมดกลับสู่สถานะเริ่มต้น เมื่อเปลี่ยนแล้วจะไม่สามารถกู้คืนกลับเป็นสภาพก่อนหน้าได้ คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?<br><br><yellow>※การเปลี่ยนธีมจะลบ Blueprints ใดๆ ที่เผยแพร่ออกไปแล้วด้วย<c>"""
MySpaceBaseChangeBuyData#0,"""ข้อมูลการสั่งซื้อ"""
MySpaceBaseChangePossessionPoint#0,"""แต้มปัจจุบัน"""
MySpaceBaseChangeRequiredPoint#0,"""แต้มที่ต้องการ"""
MySpaceBaseChangeSettlement#0,"""คงเหลือ"""
MySpaceBaseChangeBuyTitle#0,"""ซื้อธีม"""
MySpaceBaseChangeBuyConfirm#0,"""กำลังสั่งซื้อธีมในราคา $(0) GP<br>ต้องการดำเนินการต่อหรือไม่?"""
MySpaceBaseChangeBuySuccess#0,"""ซื้อธีมเรียบร้อยแล้ว"""
MySpaceBaseChangeBuyFailure#0,"""Genesis Points ไม่เพียงพอ"""
MySpaceBgmText_Note#0,"""หากคุณเล่นเพลงผ่าน Mag Jukebox เพลงนั้นจะได้รับความสำคัญเป็นอันดับแรก<br><br>นอกจากนี้ เพลงจาก PSO2 บางเพลงอาจจะไม่สามารถเล่นได้"""
MySpaceBgmText_Notice#0,"""ไม่สามารถใช้งานได้เนื่องจากคุณกำลังเล่นเพลงผ่าน Mag Jukebox ของคุณอยู่"""
TimeControl_Title#0,"""เปลี่ยนเวลา"""
TimeControll_TimePasses#0,"""เวลาใน Creative Space เดินตามปกติ"""
TimeControll_TimePasses_TeamSpace#0,"""เวลาใน Team Space เดินตามปกติ"""
DefaultMySpaceName#0,"""Creative Space """
DefaultTeamSpaceName#0,"""Team Space"""
DefaultMySpaceComment#0,"""<pict 4space>"""
If_All_OK#0,"""ทุกคน (รวมถึงผู้ที่ค้นหาเจอ)"""
If_Friend_Guild_Member#0,"""เฉพาะเพื่อนและสมาชิกทีมเท่านั้น"""
If_Guild_Member#0,"""เฉพาะสมาชิกทีมเท่านั้น"""
If_Friend_Member#0,"""เฉพาะเพื่อนเท่านั้น"""
If_All_Not#0,"""ส่วนตัว (เฉพาะคุณเท่านั้น)"""
CancelMessageTitle#0,"""ข้อความ"""
CancelMessage#0,"""ระบบจะออกโดยไม่บันทึกการเปลี่ยนแปลงใดๆ<br>ต้องการดำเนินการต่อหรือไม่?"""
IntroductionSaveSameTag#0,"""คุณไม่สามารถลงทะเบียนแท็กค้นหาซ้ำกันหลายครั้งได้ กรุณาลบแท็กที่ซ้ำกันออก"""
IntroductionSaveFailed#0,"""บันทึกข้อมูลสาธารณะล้มเหลว"""
MySpaceMenuText_InitTitle#0,"""ยืนยันการรีเซ็ต"""
MySpaceMenuText_ConfirmSettingInit#0,"""การกระทำนี้จะรีเซ็ต Build Parts ทั้งหมดกลับสู่สถานะก่อนจัดวาง<br>ต้องการดำเนินการต่อหรือไม่?"""
MySpaceMenuText_ReconfirmSettingInit#0,"""การกระทำนี้จะรีเซ็ต Build Parts ทั้งหมดกลับสู่สถานะก่อนจัดวาง และไม่สามารถย้อนกลับได้<br>คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?<br><br><yellow>※เมื่อทำการรีเซ็ตแล้ว Blueprints ที่ติดตั้งไว้ใดๆ จะถูกลบออกด้วย<c>"""
MySpaceMenuText_SettingInit#0,"""รีเซ็ต Build Parts ทั้งหมดกลับสู่สถานะเริ่มต้นเรียบร้อยแล้ว"""
MySpaceMenuText_ConfirmTerrainInit#0,"""การกระทำนี้จะรีเซ็ตสภาพพื้นที่ที่ถูกแก้ไขทั้งหมดกลับสู่สถานะเริ่มต้น<br>ต้องการดำเนินการต่อหรือไม่?"""
MySpaceMenuText_ReconfirmTerrainInit#0,"""เมื่อทำการรีเซ็ตแล้ว สภาพพื้นที่จะไม่สามารถกู้คืนกลับเป็นสภาพที่แก้ไขไว้ได้<br>คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?"""
MySpaceMenuText_TerrainInit#0,"""รีเซ็ตสภาพพื้นที่ของ Creative Space กลับสู่สถานะเริ่มต้นเรียบร้อยแล้ว"""
TeamSpaceMenuText_TerrainInit#0,"""รีเซ็ตสภาพพื้นที่ของ Team Space กลับสู่สถานะเริ่มต้นเรียบร้อยแล้ว"""
PermissionList_Title#0,"""ตั้งค่าสิทธิ์การแก้ไข"""
PermissionList_Editors#0,"""ผู้เล่นที่มีสิทธิ์การแก้ไข"""
PermissionList_Authorize#0,"""มอบสิทธิ์การแก้ไข"""
PermissionList_Reject#0,"""เพิกถอนสิทธิ์การแก้ไข"""
PermissionList_IdName#0,"""$(0)"""
PermissionList_Names#0,"""$(0) $(1)"""
PermissionList_AuthorizeConfirm#0,"""มอบสิทธิ์การแก้ไขให้ $(0) หรือไม่?<br>การกระทำนี้จะให้สิทธิ์การเข้าถึงแก่ตัวละคร $(1) ตัว"""
PermissionList_RejectConfirm#0,"""เพิกถอนสิทธิ์การแก้ไขของ $(0) หรือไม่?<br>การกระทำนี้จะปิดใช้งานการเข้าถึงสำหรับตัวละคร $(1) ตัว"""
PermissionList_EditorsNumberMax#0,"""จำนวนผู้เล่นที่มีสิทธิ์การแก้ไขถึงขีดจำกัดสูงสุดแล้ว"""
TeamSpaceMenuText_Editpermission_Guide#0,"""คุณสามารถตั้งค่าได้ว่าจะมอบสิทธิ์การแก้ไข<br>ให้สมาชิกทีมทุกคนหรือไม่ ไม่ใช่แค่ Manager และ<br>Team Master เท่านั้น เมื่อพวกเขาได้รับสิทธิ์นี้<br>จะสามารถใช้งานฟีเจอร์ต่อไปนี้ได้:<br><br>・Edit Mode<br>・การซื้อและลงทะเบียน Build Parts<br>・การเปลี่ยนเวลาของวัน<br>・การรีเซ็ตชิ้นส่วนกิมมิค"""
TeamSpaceMenuText_Editpermission_PositionTitle#0,"""ระดับ ที่จะมอบสิทธิ์การแก้ไข"""
TeamSpaceMenuText_Editpermission_NoAuthority#0,"""ไม่เปลี่ยนแปลงสิทธิ์"""
TeamSpaceMenuText_Editpermission_Commonmember#0,"""สมาชิกทั่วไป"""
TeamSpaceMenuText_Editpermission_Common_Visitormember#0,"""สมาชิกทั่วไปและผู้เยี่ยมชม"""
TeamSpaceMenuText_Editpermission_Position_Decision#0,"""อัปเดตสิทธิ์การแก้ไขของสมาชิกทีมเรียบร้อยแล้ว"""
TeamSpaceMenuText_Editpermission_Position_Decision_Fail#0,"""อัปเดตสิทธิ์การแก้ไขของสมาชิกทีมล้มเหลว"""
ObjectReset_Title#0,"""ยืนยันการรีเซ็ต"""
ObjectReset_Confirm#0,"""การกระทำนี้จะรีเซ็ต Build Parts ที่ใช้งานได้ทั้งหมดกลับสู่สถานะเริ่มต้น<br>ต้องการดำเนินการต่อหรือไม่?"""
ObjectReset_Complete#0,"""รีเซ็ต Build Parts ที่ใช้งานได้ทั้งหมดเรียบร้อยแล้ว"""
TeamSpaceMenuFormTitle#0,"""เมนู Team Space"""
TeamSpaceMenuHeadLine_Setting#0,"""ตั้งค่า Team Space"""
TeamSpaceMenuHeadLine_Init#0,"""สถานะ Team Space"""
TeamSpaceMenuHeadLine_EditPermission#0,"""จัดการสิทธิ์การแก้ไข"""
TeamSpaceBgmText_NotPlay#0,"""ไม่สามารถใช้งานได้เนื่องจากกำลังเล่น BGM บน Mag Jukebox ของคุณอยู่"""
TeamSpaceBgmText_Download#0,"""มีการตั้งค่า BGM ที่ไม่สามารถเล่นได้<br>หากต้องการเล่น BGM นี้ ต้องติดตั้งข้อมูลของ PSO2 ก่อน"""
MySpaceBase_ErrorMessage#0,"""เปลี่ยนธีม ล้มเหลว กรุณาลองใหม่อีกครั้งในภายหลัง"""
MySpace_LinkMoveCSpace#0,"""การกระทำนี้จะลิงก์ไปยัง Creative Space ของคุณ<br>ต้องการดำเนินการต่อหรือไม่?"""
MySpace_Notice_ReachGaugeLimit#0,"""ความจุในการติดตั้งถึงขีดจำกัดสูงสุดแล้ว ไม่สามารถติดตั้ง Build Parts เพิ่มได้อีก"""
MySpace_Notice_ReachCreateLimit#0,"""ไม่สามารถติดตั้ง Build Part ชิ้นนี้ซ้ำได้อีก"""
MySpace_Notice_ReachUnregisteredParts#0,"""มี Build Parts ที่ยังไม่ได้ลงทะเบียน Build Parts เหล่านี้จะไม่ถูกจัดวาง"""
MySpace_Notice_ReachPartsNumberLimit#0,"""Build Parts บางชิ้นจะทำให้คุณใช้โควตาเกินขีดจำกัดการติดตั้ง Build Parts เหล่านี้จะไม่ถูกจัดวาง"""
MySpaceColorChangeTitle#0,"""ตั้งค่าสี"""
MySpaceColorChangePattern1#0,"""สี 1"""
MySpaceColorChangePattern2#0,"""สี 2"""
MySpaceColorPaletteTitle#0,"""Color Palette"""
DefaultColorButton#0,"""คืนค่าสีเริ่มต้น"""
MySpaceConfigGude#0,"""ดูการอัปเดต: <%MultiSelect>"""
MySpaceUpdateInfo_Title#0,"""ข้อมูลการอัปเดต"""
