MissionProgress#0,"""簡易MISSION情報"""
MissionRate#0,"""$(0)%"""
MissionRateMax#0,"""<yellow>達成<c>"""
Missionlist#0,"""MISSION一覽"""
MissionTimeLimitHead#0,"""更新時間"""
MissionDaily#0,"""每日MISSION"""
MissionDailyLimit#0,"""毎日<utc>15:00</utc>"""
MissionWeekly#0,"""每週MISSION"""
MissionWeeklyLimit#0,"""<utcdow>星期三4:00</utcdow>"""
MissionTier#0,"""-"""
MissionTierLimit#0,"""-"""
MissionBoardCampaign#0,"""*Campaign"""
MissionBoardEvent#0,"""活動"""
MissionBoardDailyWeekly#0,"""每日/每週"""
MissionBoardTutorial#0,"""教程"""
MissionBoardNumber#0,"""($(0))"""
MissionProgressNumber#0,"""$(0)/$(1)"""
MissionProgressComplete#0,"""<%Decide>領取報酬"""
CategoryMenu_GetAll#0,"""領取所有報酬 ($(0))"""
MissionRewardConfirmTitle#0,"""領取報酬"""
MissionRewardConfirmMsg#0,"""タスクの報酬アイテムを受け取ります。<br>よろしいですか？（仮）"""
MissionRewardConfirmMsgAll#0,"""領取所有報酬。<br>確定麼？"""
MissionRewardConfirmYes#0,"""是"""
MissionRewardConfirmNo#0,"""否"""
MissionRewardConfirm_limited_Title#0,"""領取報酬"""
MissionRewardConfirm_limited_Msg#0,"""領取MISSION報酬。<br>確定麼？<br><br><yellow>※這個報酬<br>每個帳號只能領取一次。<br>請確認想要領取該報酬的角色或者想要領取該報酬的船。<c>"""
MissionRewardConfirm_limited_Yes#0,"""是"""
MissionRewardConfirm_limited_No#0,"""否"""
MissionRewardConfirm_All_limited_Title#0,"""領取報酬"""
MissionRewardConfirm_All_limited_Msg#0,"""領取MISSION報酬。<br>確定麼？<br><yellow>※包含<br>一個帳號只能領取一次的道具。<br>請確認沒有搞錯想要領取該報酬的角色或者想要領取該報酬的船<c><br>※選擇否的話<br>只會領取沒有限制的道具。"""
MissionRewardConfirm_All_limited_Msg_Only#0,"""領取MISSION報酬。<br>確定麼？<br><br><yellow>※這個報酬<br>每個帳號只能領取一次。<br>請確認想要領取該報酬的角色或者想要領取該報酬的船。<c>"""
MissionRewardConfirm_All_limited_Yes#0,"""是"""
MissionRewardConfirm_All_limited_No#0,"""否"""
MissionReward_Error_Close#0,"""關閉"""
MissionReward_Error_Inventorylimit#0,"""道具背包剩餘空間不足<br>或者說持有道具太多<br>領取失敗。"""
MissionReward_Error_limitTime#0,"""已經過期<br>領取失敗。"""
MissionNoItem#0,"""沒有可選的MISSION。"""
MissionGetReward_Header#0,"""領取了MISSION報酬"""
MissionReward_RewardList_Header#0,"""報酬一覽"""
MissionReward_RewardList_Issue#0,"""領取了下列報酬。"""
MissionReward_RewardList_Next#0,"""繼續領取"""
MissionReward_RewardList_Interrupt#0,"""停止"""
MissionReward_RewardList_Close#0,"""關閉"""
MissionNotice_Issue_Header#0,"""<c f0df60>已接受<c>"""
MissionNotice_Issue_Description#0,"""達成目標獲取報酬吧。"""
MissionNotice_Issue_Number#0,"""…其他$(0)件"""
MissionNotice_Achieve_Header#0,"""達成了"""
MissionNotice_Achieve_Description#0,"""通過ARKS MISSION領取報酬吧。"""
MissionNotice_Achieve_Number#0,"""…其他$(0)件"""
SimpleStatus_NotOpen#0,"""沒有接受中的MISSION"""
SimpleStatus_SharedShip#0,"""在共通艦船無法確認MISSION"""
MissionBoardCategoryMenuDaily#0,"""每日MISSION"""
MissionBoardCategoryMenuWeekly#0,"""每週MISSION"""
MissionBoardCategoryMenuLimited#0,"""期間限定MISSION"""
MissionBoardCategoryMenuGuidance#0,"""主要MISSION"""
MissionBoardCategoryMenuTier#0,"""-"""
MissionReward_Error_General_Header#0,"""領取報酬"""
MissionReward_Error_General_Msg#0,"""領取報酬失敗。<br><br>請稍後再試。"""
MissionReward_Error_Inventorylimit_Header#0,"""領取報酬"""
MissionReward_Error_Inventorylimit_Msg#0,"""道具背包剩餘空間不足<br>或者說持有道具太多<br>領取失敗。"""
MissionReward_Error_limitTime_Header#0,"""領取報酬"""
MissionReward_Error_limitTime_Msg#0,"""已經過期<br>領取失敗。"""
MissionTracking_Change_toast#0,"""變更了跟蹤的MISSION。"""
MissionTracking_Change_error#0,"""無法跟蹤的MISSION。"""
MissionMenu_ItemDetail_NoItem#0,"""沒有報酬道具。"""
