MYROOM#0,"""個人小屋"""
MainMenu_Craft#0,"""鍛造"""
MainMenu_EventChronicle#0,"""事件紀事"""
SelectMenu_Title_RoomGoods#0,"""選擇房間飾品"""
SelectMenu_Title_Reform#0,"""選擇主題"""
SelectMenu_Title_DeleteRoom#0,"""選擇拆除"""
SelectMenu_Title_MovePass#0,"""選擇搬家票證"""
SelectMenu_Title_PresentBox#0,"""選擇要贈送的道具"""
SelectMenu_Title_MusicDisk#0,"""選擇MusicDisc"""
SelectMenu_Title_Weapon#0,"""選擇武器"""
SelectMenu_Backpack#0,"""從持有物品中選擇"""
SelectMenu_Warehouse#0,"""從$(0)選擇"""
SelectMenu_DeleteRoom#0,"""拆除"""
SelectMenu_RemovalAll#0,"""全部撤除（測試專用）"""
SelectMenu_Cancel#0,"""返回"""
SelectMenu_Not_Item#0,"""沒有道具"""
guide_move#0,"""移動飾品"""
guide_rotation#0,"""旋轉飾品"""
guide_enter_cancel#0,"""確定 / 返回"""
guide_enter_vita#0,"""確定："""
guide_cancel_vita#0,"""返回："""
guide_move_key#0,"""↑↓←→"""
guide_move_pad#0,"""<%DirectionButton> / <%LStick>"""
guide_rotation_key#0,"""Ctrl + ← / Ctrl + →"""
guide_rotation_pad#0,""" <%TabBack> / <%TabForward>"""
guide_enter_cancel_key#0,"""<%Decide> / <%Cancel>"""
guide_enter_key_vita#0,"""<%Decide>"""
guide_cancel_key_vita#0,"""<%Cancel>"""
guide_enter_total_cost#0,"""設置用度 """
guide_not_key#0,"""不使用"""
ItemList_Title_RoomGoods#0,"""房間飾品列表"""
ItemList_Title_Reform#0,"""裝修票證列表"""
ItemList_Title_MovePass#0,"""搬家票證列表"""
ItemList_Title_MusicDisc#0,"""MusicDisc列表"""
ItemList_Title_EntryMusic#0,"""已登録背景音樂列表"""
ItemList_Title_ItemList_Title_DisplayWeapon#0,"""武器列表"""
ItemList_Title_ItemList_Title_DisplayWeaponAvatar#0,"""武器迷彩一覽"""
ItemList_Title_ItemList_Title_DecoGoods#0,"""裝飾飾品列表"""
ItemList_Title_ItemList_Title_PresentBox#0,"""送禮對象列表"""
ItemList_Title_ItemList_Title_PhotonGachanItemAdd#0,"""光子轉蛋：可登録的道具列表"""
ItemList_Title_ItemList_Title_PhotonGachanItemDelete#0,"""光子轉蛋：已登録的道具列表"""
ItemList_Title_ItemList_Title_Recommended#0,"""推薦道具列表"""
ItemList_Title_Cost#0,"""設置用度"""
ItemList_Title_Add_Current_Max#0,"""$(2) (登録數：$(0)/$(1))"""
RoomCustmize_Title#0,"""房間裝修"""
RoomCustmize_header1#0,"""房間"""
RoomCustmize_header2#0,"""主題、指令"""
RoomCustmize_header3#0,"""大小"""
RoomCustmize_Reform#0,"""裝修"""
RoomCustmize_RoomSize#0,"""增建房間"""
RoomCustmize_CheckMessage#0,"""裝修後設置。<br>撤除所有房間飾品。<br>是否確定？"""
RoomCustmize_RoomSize_Middle#0,"""小"""
RoomCustmize_RoomSize_Large#0,"""大"""
PortalUnit_Title#0,"""入門要點"""
PortalUnit_Move_Lobby#0,"""移動到ARKS大廳"""
BGMMenu_Title#0,"""登録MusicDisc菜單"""
BGMMenu_Entry#0,"""登録MusicDisc"""
BGMMenu_Play#0,"""確認已登録完成的菜單"""
BGMMenu_Cancel#0,"""返回"""
Reform_Room_Center#0,"""中間的房間"""
Reform_Room_Left#0,"""左邊的房間"""
Reform_Room_Rght#0,"""右邊的房間"""
Reform_Room_None#0,"""使用擴建房間票證"""
Reform_UseInfo#0,"""是否確認使用這張裝修票證？<br>※若不變更房間大小，<br>　 飾品也不會被撤除。"""
Reform_DeleteRoomInfo#0,"""確認刪除這個房間？<br>※若房間被刪除<br>　 房間内的飾品也會全數撤除。"""
Reform_Playing#0,"""裝修中"""
DeleteRoomGoods_SelectRoom_Playing#0,"""撤除了指定房間内所有房間飾品"""
MovePass_UseInfo#0,"""是否使用搬家票證？<br>※裝修或是搬家後，飾品<br>　 房間内的飾品也會全數撤除。"""
DeleteRoomGoodsInSelectRoom_UseInfo_Title#0,"""確認撤除"""
DeleteRoomGoodsInSelectRoom_UseInfo#0,"""是否確認撤除這個房間内所設置的<br>所有房間飾品？"""
RoomSize_Delete#0,"""刪除"""
ItemList_MenuTitle#0,"""道具詳情"""
ItemList_Install#0,"""設置"""
Custmize_Main_Install#0,"""設置"""
Custmize_Main_Delete#0,"""撤除"""
Custmize_Main_1#0,"""第1項"""
Custmize_Main_2#0,"""第2項"""
Custmize_Main_3#0,"""第3項"""
Custmize_Main_4#0,"""第4項"""
RoomGoodsSelectTitle#0,"""選擇房間飾品"""
SelectMenu_Title_EntryMusicDisc#0,"""MusicDisc登録"""
ItemList_Title_ItemList_Title_PosterBoardGoods#0,"""ポスター類一覧"""
BGMMenu_Entry_UseInfo#0,"""登録しますか？"""
BGMMenu_Entry_UseInfo2#0,"""$(0)を登録しますか？"""
RoomGoods_Action#0,"""移動飾品"""
RoomGoods_Removal#0,"""撤除"""
RoomGoods_Cancel#0,"""返回"""
RoomGoods_Motion_Default#0,"""變魔術"""
RoomGoods_Motion_SitDown#0,"""坐下"""
RoomGoods_Motion_Sleeping#0,"""躺下"""
RoomGoods_Motion_Darts#0,"""射飛鏢"""
RoomGoods_Motion_Bathe#0,"""洗澡"""
RoomGoods_Motion_Toilet#0,"""掀開蓋子"""
RoomGoods_Motion_Kusudama#0,"""分割"""
RoomGoods_Motion_Instrument#0,"""演奏"""
RoomGoods_Motion_SwitchOn#0,"""按壓按鈕"""
RoomGoods_Motion_Yoga#0,"""做瑜珈"""
RoomGoods_Motion_Paku#0,"""收藏"""
RoomGoods_Motion_Barbel#0,"""拿起"""
RoomGoods_Motion_Use#0,"""使用"""
RoomGoods_Motion_RiceCakeMaking#0,"""使用"""
RoomGoods_Custmize_Gimmick#0,"""組合飾品"""
RoomGoods_Custmize_Remove#0,"""撤除組合"""
RoomGoods_MessageInOut#0,"""編輯訊息"""
RoomGoods_PresentBox#0,"""打開 $(0)"""
RoomGoods_GoodJob#0,"""送出鼓勵"""
RoomGoods_GoodJob_Greeting#0,"""編輯招呼訊息"""
RoomGoods_GoodJob_Thanks#0,"""編輯感謝訊息"""
RoomGoods_PlayingBGM#0,"""播放BGM"""
RoomGoods_DefaultBGM#0,"""從開始播放BGM"""
RoomGoods_ChangeTune#0,"""改變曲調"""
RoomGoods_DisplayWeapon#0,"""展示武器"""
RoomGoods_DisplayWeaponInfo#0,"""査詢武器詳細資料"""
RoomGoods_DisplayWeaponAvatar#0,"""展示武器迷彩"""
RoomGoods_DisplayWeaponAvatarInfo#0,"""看武器迷彩的詳細資料"""
RoomGoods_MyShop#0,"""起動個人商店"""
RoomGoods_Timer#0,"""設定計時器"""
RoomGoods_GahaRecommended#0,"""檢視推薦道具"""
RoomGoods_GahaPlay#0,"""旋轉轉蛋"""
RoomGoods_GahaManagement#0,"""管理轉蛋"""
RoomGoods_FatChecker#0,"""測量體重"""
RoomGoods_CashBox_Challenge#0,"""解除密碼"""
RoomGoods_CashBox_ChangeNum#0,"""改變行數"""
RoomGoods_CashBox_Confirmation#0,"""確認目前的記錄"""
RoomGoods_Mikiri_Challenge#0,"""挑戰"""
RoomGoods_Mikiri_Easy#0,"""簡單模式"""
RoomGoods_Mikiri_Normal#0,"""普通模式"""
RoomGoods_Mikiri_Hard#0,"""困難模式"""
RoomGoods_Mikiri_HiScore#0,"""高分模式"""
RoomGoods_Mikiri_CheckRecord#0,"""確認最高分數"""
RoomGoods_SupportPartnerStandSet#0,"""設置支援夥伴"""
RoomGoods_SaProjector#0,"""設定塗鴉"""
RoomGoods_OrgelPlay#0,"""響起音樂盒"""
RoomGoods_OrgelStop#0,"""停止音樂盒"""
RoomGoods_StrongBoxOpen#0,"""打開門窗"""
RoomGoods_StrongBoxClose#0,"""關閉門窗"""
RoomGoods_DiceShake#0,"""甩賽克羅"""
RoomGoods_DiceEdit#0,"""編輯文字"""
RoomGoods_BlackBoard#0,"""確認訊息"""
RoomGoods_CameraShoot#0,"""攝影菜單"""
RoomGoods_CameraSetting#0,"""角度設定"""
RoomGoods_CameraGuideShoot#0,"""拍攝清單:"""
RoomGoods_CameraGuideMove01#0,"""鏡頭角度:"""
RoomGoods_CameraGuideMove02#0,"""鏡頭高度:"""
RoomGoods_CameraGuideMove03#0,"""鏡頭旋轉:"""
RoomGoods_CameraGuideMove04#0,"""縮放:"""
RoomGoods_CameraGuideReset#0,"""相機重設:"""
RoomGoods_CameraGuideResetVita#0,"""相機重設:"""
RoomGoods_CameraGuideCancel#0,"""返回："""
RoomGoods_CameraGuideShoot_key#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_key#0,"""移動鼠標"""
RoomGoods_CameraGuideMove02_key#0,"""<%MoveForward>/<%MoveBack>"""
RoomGoods_CameraGuideMove03_key#0,"""<%MoveLeft>/<%MoveRight>"""
RoomGoods_CameraGuideMove04_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_key#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
RoomGoods_CameraGuideShoot_pad#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_pad#0,"""<%RStick>"""
RoomGoods_CameraGuideMove02_pad#0,"""<%LStick>(上下)"""
RoomGoods_CameraGuideMove03_pad#0,"""<%LStick>(左右)"""
RoomGoods_CameraGuideMove04_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
RoomGoods_CameraGuideCancel_pad#0,"""<%Cancel>"""
RoomGoods_RaceMachine_Entry#0,"""最近"""
RoomGoods_RoomRunnerRunning#0,"""設定下雨"""
RoomGoods_CraftCommonOwner#0,"""鍛造菜單"""
RoomGoods_CraftCommonGuest#0,"""看訂單"""
RoomGoods_CraftOrderOwner#0,"""看委託清單"""
RoomGoods_CraftOrderGuest#0,"""看訂單"""
RoomGoods_Shower#0,"""開始淋浴"""
RoomGoods_StopShower#0,"""停止淋浴"""
RoomGoods_Motion_Hug#0,"""ハグハグされる"""
RoomGoods_Motion_Ice#0,"""食べる"""
RoomGoods_DioramaOn#0,"""破壊演出をONにする"""
RoomGoods_DioramaOff#0,"""破壊演出をOFFにする(元に戻す)"""
RoomGoods_DioramaBreak#0,"""壊れた状態にする"""
RoomGoods_DioramaReset#0,"""元に戻す"""
RoomGoods_GolfPlay#0,"""挑戰"""
RoomGoods_GolfScore#0,"""確認最高分數"""
RoomGoods_Tanzaku#0,"""短冊の願い事を編集する"""
RoomGoods_Access#0,"""アクセスする"""
RoomGoods_PlayDrum#0,"""楽器を鳴らす"""
RoomGoods_DrumpadGuideSnare#0,"""スネアドラムを鳴らす"""
RoomGoods_DrumpadGuideHighhat#0,"""ハイハットシンバルを鳴らす"""
RoomGoods_DrumpadGuideHighTam#0,"""ハイタムを鳴らす"""
RoomGoods_DrumpadGuideLowTom#0,"""ロータムを鳴らす"""
RoomGoods_DrumpadGuideCymbal#0,"""クラッシュシンバルを鳴らす"""
RoomGoods_DrumpadGuideDrum#0,"""バスドラムを鳴らす"""
RoomGoods_DrumpadGuideReturn#0,"""返回"""
RoomGoods_DrumpadGuideSnare_pad#0,"""：<%SubPaletteLeft>"""
RoomGoods_DrumpadGuideHighhat_pad#0,"""：<%PaletteReverse>"""
RoomGoods_DrumpadGuideHighTam_pad#0,"""：<%SubPaletteRight>"""
RoomGoods_DrumpadGuideLowTom_pad#0,"""：<%PhotonArts>"""
RoomGoods_DrumpadGuideCymbal_pad#0,"""：<%NormalAttack>"""
RoomGoods_DrumpadGuideDrum_pad#0,"""：<%Access>"""
RoomGoods_DrumpadGuideReturn_pad#0,"""：<%Cancel>"""
RoomGoods_DrumpadGuideSnare_key#0,"""[1]キー"""
RoomGoods_DrumpadGuideHighhat_key#0,"""[2]キー"""
RoomGoods_DrumpadGuideHighTam_key#0,"""[3]キー"""
RoomGoods_DrumpadGuideLowTom_key#0,"""[4]キー"""
RoomGoods_DrumpadGuideCymbal_key#0,"""[5]キー"""
RoomGoods_DrumpadGuideDrum_key#0,"""[6]キー"""
RoomGoods_DrumpadGuideReturn_key#0,"""[0]キー"""
RoomGoods_DrumpadGuideOr#0,""" or """
RoomGoods_LightSourceChangeColor#0,"""ライトカラーの変更"""
RoomGoods_LightSourceInvalid#0,"""通常のライトに戻す"""
RoomGoods_Closet#0,"""エステへ行く"""
PresentBox#0,"""禮物箱僅限擁有這個房間<br>所有權的玩家打開。<br>已無被打開的禮物箱<br>被放入的贈品，將屬於打開箱子的<br>玩家所有。<br><br>是否確認設置禮物箱？"""
Common#0,"""禮物箱僅限擁有這個房間<br>所有權的玩家打開。<br>已無被打開的禮物箱<br>被放入的贈品，將屬於打開箱子的<br>玩家所有。<br><br>是否確認設置禮物箱？"""
ob_1001_0000#0,"""主題・基本款"""
ob_1001_0001#0,"""主題・基本款"""
ob_1002_0000#0,"""主題・時髦"""
ob_1002_0001#0,"""主題・時髦"""
ob_1003_0000#0,"""ゴシック・テーマ／Ｒ"""
ob_1003_0001#0,"""ゴシック・テーマ／Ｒ"""
ob_1004_0000#0,"""主題・經典"""
ob_1004_0001#0,"""主題・經典"""
ob_1005_0000#0,"""ベーシック・テーマ／Ｂ"""
ob_1005_0001#0,"""ベーシック・テーマ／Ｂ"""
ob_1006_0000#0,"""ベーシック・テーマ／Ｐ"""
ob_1006_0001#0,"""ベーシック・テーマ／Ｐ"""
ob_1007_0000#0,"""モダン・テーマ／Ｙ"""
ob_1007_0001#0,"""モダン・テーマ／Ｙ"""
ob_1008_0000#0,"""モダン・テーマ／Ｂ"""
ob_1008_0001#0,"""モダン・テーマ／Ｂ"""
ob_1009_0000#0,"""ゴシック・テーマ／Ｂ"""
ob_1009_0001#0,"""ゴシック・テーマ／Ｂ"""
ob_1010_0000#0,"""主題・歌德"""
ob_1010_0001#0,"""主題・歌德"""
ob_1011_0000#0,"""クラシック・テーマ／Ｐ"""
ob_1011_0001#0,"""クラシック・テーマ／Ｐ"""
ob_1012_0000#0,"""クラシック・テーマ／Ｃ"""
ob_1012_0001#0,"""クラシック・テーマ／Ｃ"""
ob_1013_0000#0,"""主題・甜點"""
ob_1013_0001#0,"""主題・甜點"""
ob_1014_0000#0,"""スイーツ・テーマ／Ｂ"""
ob_1014_0001#0,"""スイーツ・テーマ／Ｂ"""
ob_1015_0000#0,"""スイーツ・テーマ／Ｃ"""
ob_1015_0001#0,"""スイーツ・テーマ／Ｃ"""
ob_1016_0000#0,"""チャイナ・テーマ"""
ob_1016_0001#0,"""チャイナ・テーマ"""
ob_1017_0000#0,"""チャイナ・テーマ／G"""
ob_1017_0001#0,"""チャイナ・テーマ／G"""
ob_1018_0000#0,"""チャイナ・テーマ／Ｂ"""
ob_1018_0001#0,"""チャイナ・テーマ／Ｂ"""
ob_1019_0000#0,"""ウェスタン・テーマ"""
ob_1019_0001#0,"""ウェスタン・テーマ"""
ob_1020_0000#0,"""ウェスタン・テーマ／Ｂ"""
ob_1020_0001#0,"""ウェスタン・テーマ／Ｂ"""
ob_1021_0000#0,"""ウェスタン・テーマ／Ｃ"""
ob_1021_0001#0,"""ウェスタン・テーマ／Ｃ"""
ob_1022_0000#0,"""主題・東方"""
ob_1022_0001#0,"""主題・東方"""
ob_1023_0000#0,"""主題・甜點/B"""
ob_1023_0001#0,"""主題・甜點/B"""
ob_1024_0000#0,"""主題・甜點/B"""
ob_1024_0001#0,"""主題・甜點/B"""
ob_1027_0000#0,"""オリエント・テーマ／Ｂ"""
ob_1027_0001#0,"""オリエント・テーマ／Ｂ"""
ob_1028_0000#0,"""オリエントテーマ／Ｃ"""
ob_1028_0001#0,"""オリエントテーマ／Ｃ"""
ob_1029_0000#0,"""レトロ・テーマ"""
ob_1029_0001#0,"""レトロ・テーマ"""
ob_1030_0000#0,"""オールド・テーマ"""
ob_1030_0001#0,"""オールド・テーマ"""
ob_1031_0000#0,"""ファンシー・テーマ"""
ob_1031_0001#0,"""ファンシー・テーマ"""
ob_1032_0000#0,"""レトロ・テーマ／G"""
ob_1032_0001#0,"""レトロ・テーマ／G"""
ob_1033_0000#0,"""レトロ・テーマ／Ｂ"""
ob_1033_0001#0,"""レトロ・テーマ／Ｂ"""
ob_1034_0000#0,"""オールド・テーマ／Ｂ"""
ob_1034_0001#0,"""オールド・テーマ／Ｂ"""
ob_1035_0000#0,"""オールド・テーマ／Ｃ"""
ob_1035_0001#0,"""オールド・テーマ／Ｃ"""
ob_1036_0000#0,"""ファンシー・テーマ／Ｂ"""
ob_1036_0001#0,"""ファンシー・テーマ／Ｂ"""
ob_1037_0000#0,"""ファンシー・テーマ／Ｃ"""
ob_1037_0001#0,"""ファンシー・テーマ／Ｃ"""
ob_1038_0000#0,"""主題・甜點/B"""
ob_1038_0001#0,"""主題・甜點/B"""
ob_1039_0000#0,"""主題・甜點/B"""
ob_1039_0001#0,"""主題・甜點/B"""
ob_1040_0000#0,"""主題・甜點/B"""
ob_1040_0001#0,"""主題・甜點/B"""
ob_1041_0000#0,"""エレガント・テーマ"""
ob_1041_0001#0,"""エレガント・テーマ"""
ob_1042_0000#0,"""エレガント・テーマ／Ｂ"""
ob_1042_0001#0,"""エレガント・テーマ／Ｂ"""
ob_1043_0000#0,"""ナイトクラブ・テーマ"""
ob_1043_0001#0,"""ナイトクラブ・テーマ"""
ob_1044_0000#0,"""ナイトクラブ・テーマ／Ｂ"""
ob_1044_0001#0,"""ナイトクラブ・テーマ／Ｂ"""
ob_1045_0000#0,"""ウッディ・テーマ"""
ob_1045_0001#0,"""ウッディ・テーマ"""
ob_1046_0000#0,"""ウッディ・テーマ／Ｂ"""
ob_1046_0001#0,"""ウッディ・テーマ／Ｂ"""
ob_1047_0000#0,"""ガッコ・テーマ"""
ob_1047_0001#0,"""ガッコ・テーマ"""
ob_1048_0000#0,"""ガッコ・テーマ／Ｂ"""
ob_1048_0001#0,"""ガッコ・テーマ／Ｂ"""
ob_1049_0000#0,"""リゾート・テーマ"""
ob_1049_0001#0,"""リゾート・テーマ"""
ob_1050_0000#0,"""主題・甜點/B"""
ob_1050_0001#0,"""主題・甜點/B"""
ob_1051_0000#0,"""ビンテージ・テーマ"""
ob_1051_0001#0,"""ビンテージ・テーマ"""
ob_1052_0000#0,"""主題・甜點/B"""
ob_1052_0001#0,"""主題・甜點/B"""
Title#0,"""設定可進入的群組"""
If_All_OK#0,"""誰都可以"""
If_Friend_Guild_Member#0,"""僅限好友與公會成員"""
If_Guild_Member#0,"""僅限公會成員"""
If_Friend_Member#0,"""僅限好友"""
If_All_Not#0,"""非公開（只有自己可進入）"""
PasswardInfo#0,"""設定進入密碼（16字以内）"""
Enter#0,"""確定"""
Enter_Hint#0,"""確定後顯示設定内容"""
Title#1,"""可設置訊息"""
MenuMessage#0,"""顯示的訊息"""
MenuFukidashi#0,"""對話框形状"""
MenuManpu#0,"""顯示的漫畫符號"""
Title_Edit#0,"""設定贈品"""
MenuItem#0,"""放入道具"""
MenuMeseta#0,"""放入美賽達"""
Title_Meseta#0,"""設定金額"""
Meseta_Message#0,"""輸入要贈送的金額"""
Result_Title#0,"""獲得贈品"""
Result_MesseaeItem#0,"""贈品道具<br>獲得$(0)。"""
Result_MesseaeMeseta#0,"""獲得$(0)美賽達。"""
Result_None#0,"""裡面什麼都沒有。"""
Title_Check#0,"""確認贈品"""
Check_MesseaeItem#0,"""將$(0)<br>放入禮物箱裡。<br>是否確定？"""
Check_MesseaeMeseta#0,"""將$(0)美賽達<br>放入禮物箱裡。<br>是否確定？"""
Check_MesseaeNone#0,"""設置在空的禮物箱裡。<br>確定麼？"""
Title#2,"""個人小屋裝置"""
Menu_Main#0,"""<c f0df60>可設置房間飾品、進行房間裝修（變更主題或是房間增改建）、搬家、房間鎖定設定。<c>"""
Menu_Main_v#0,"""<c f0df60>可進行設置房間飾品、進行房間裝修（變更主題或是房間增改建）等等設定。<c>"""
Menu_RoomGoods#0,"""<c f0df60>可選擇、設置房間飾品。設置時，請確認道具詳情裡的「必要用度」及「大小」。<c>"""
Menu_RoomGoods_v#0,"""<c f0df60>可選擇、設置房間飾品。<c>"""
Menu_RoomSelect#0,"""<c f0df60>請選擇要裝修的房間。房間增改建時，需要「主題」系列，或是「改造房間」系列的裝修專用票證。<c>"""
Menu_RoomSelect_v#0,"""<c f0df60>請選擇要裝修的房間。<c>"""
Menu_Reform#0,"""<c f0df60>改變房間主題時需要「主題」系列票證，改變房間大小需要「改造房間」系列的票證。增建的話，2種票證皆可使用。<c>"""
Menu_Reform_v#0,"""<c f0df60>改變房間主題時需要「主題」系列票證，改變房間大小需要「改造房間」系列的票證。<c>"""
Menu_MovePass#0,"""<c f0df60>請選擇搬家據點的搬家票證。（搬家票證，可透過轉蛋等等獲得）<c>"""
Menu_BGM#0,"""<c f0df60>可從所擁有的MusicDisc登録背景音樂。已登録的背景音樂，可在房間飾品的「點唱機」裡播放。<c>"""
Menu_BGMEntry#0,"""<c f0df60>可從所擁有的MusicDisc登録背景音樂。請選擇想登録的MusicDisc。<c>"""
Menu_BGMCheck#0,"""<c f0df60>可在個人小屋裡變更撥放中的背景音樂。請選擇要播放的背景音樂。<c>"""
Menu_RoomLock#0,"""<c f0df60>可設置小屋進入限制。選擇可進到小屋裡的群組。<c>"""
Menu_PresentBoxMain#0,"""<c f0df60>禮物箱裡可以放入道具或是美賽達。<c>"""
Menu_PresentBoxItem#0,"""<c f0df60>請選擇要放入禮物箱裡的道具。<c>"""
Menu_PresentBoxMeseta#0,"""<c f0df60>請設定放入禮物箱内的美賽達之持有金額。<c>"""
Menu_WeaponDisplay#0,"""<c f0df60>展示所持有武器的立體照片。請選擇要展示的武器。<c>"""
Menu_WeaponDisplayInfo#0,"""<c f0df60>確認被展示的武器詳細資料。<c>"""
Menu_WeaponAvatarDisplay#0,"""<c f0df60>展示所持有武器迷彩的全像攝影。請選擇要展示的武器。<c>"""
Menu_WeaponAvatarDisplayInfo#0,"""<c f0df60>確認展示中武器迷彩的詳細資料。<c>"""
Menu_RoomGoodsAccess#0,"""<c f0df60>可使用房間飾品的功能。又，個人小屋的所有者，有權力移動或是撤除房間内飾品。<c>"""
Menu_RoomGoodsAccess_v#0,"""<c f0df60>可使用房間飾品的功能。個人小屋的所有者，有權力移動或是撤除房間内飾品。<c>"""
Menu_DecoGoods#0,"""<c f0df60>已選擇的地方可設置1X1大小的房間飾品。請選擇要設置的房間飾品。<c>"""
Menu_DecoGoods_v#0,"""<c f0df60>已選擇的地方可設置1X2大小的房間飾品。請選擇房間飾品。<c>"""
Menu_Message#0,"""<c f0df60>可設置房間飾品所表達的訊息。<c>"""
Menu_GoodJob#0,"""<c f0df60>對這個房間的所有人送出鼓勵。<c>"""
Menu_GoodJob_Greeting#0,"""<c f0df60>可設置接近鼓勵櫃台時被顯示的訊息。<c>"""
Menu_GoodJob_Thanks#0,"""<c f0df60>可設置接近被鼓勵後所顯示的訊息。<c>"""
Menu_SetTimer#0,"""<c f0df60>時間設定後，訊息會在數分鐘後起動。<c>"""
Menu_PhotoGachan_Line_Up#0,"""<c f0df60>確認包含光子轉蛋的推薦道具。<c>"""
Menu_PhotoGachan_Play#0,"""<c f0df60>挑戰一次光子轉蛋<c>"""
Menu_PhotoGachan_Management#0,"""<c f0df60>變更光子轉蛋設定<c>"""
Menu_Ceilling_RoomSelect#0,"""<c f0df60>請選擇想設置天花板樣式的房間<c>"""
Menu_Ceilling_SetPointSelect#0,"""<c f0df60>指定設置點數，選擇設置或撤除的地點<c>"""
Menu_Symbolart#0,"""<c f0df60>可設置顯示於房間飾品裡的塗鴉。<c>"""
Menu_LayoutChange#0,"""<c f0df60>切換個人小屋為配置模式<c>"""
Menu_DeleteRoomGoods_SelectRoom#0,"""<c f0df60>選擇要撤除所有房間飾品的房間<c>"""
Menu_SupportPartnerList#0,"""<c f0df60>顯示支援夥伴列表<c>"""
Menu_Dice#0,"""<c f0df60>編輯訊息<c>"""
Menu_Explain_Order#0,"""<c f0df60>對支援夥伴下達探索指示。還有$(0)件指示可下達。<c>"""
Menu_Explain_Status#0,"""<c f0df60>確認支援夥伴的資料。<c>"""
Menu_Camera_Shoot#0,"""<c f0df60>可指定到進行拍攝之前的時間。<c>"""
Menu_PhotoGachanMain#0,"""<c f0df60>可選擇推薦的道具3個。已選擇的道具在「看推薦的道具」上會顯示。<c>"""
Menu_CloseoutMoment#0,"""<c f0df60>遊玩配合著暗號提早按下<c><%Access><c f0df60>的遊戲。競速通關模式是與最佳通關速度進行比賽的模式。<c>"""
