ScratchMenue_Title#0,"""สุ่ม Scratch"""
useitem_message2#0,"""คุณต้องการใช้ตั๋วที่ได้รับทั้งหมดหรือไม่?<br>คุณสามารถเลือกใช้ทีละชิ้นได้เช่นกัน"""
Tags01#0,"""แนะนำ!"""
Tags02#0,"""ยอดนิยม!"""
Tags03#0,"""โบนัส!"""
Tags04#0,"""ใกล้หมดอายุ"""
GachaBonusCommentNothing_re#0,"""Scratch Ticket นี้<br>ไม่มีรางวัล Count Bonus"""
GachaBonusCommentAchieved_re#0,"""คุณได้รับ<br>รางวัล Count Bonus ทั้งหมดสำหรับ Ticket นี้แล้ว"""
ScratchChoice_LimitedTime#0,"""หมดเขต"""
ScratchStep_CurrentStep#0,"""Step ปัจจุบัน"""
ScratchStep_CurrentStep2#0,"""Step.$(0) (Step ปัจจุบัน)"""
ScratchStep_Step#0,"""Step.$(0)"""
ScratchStep_CurrentStepBonus#0,"""<c 97e2fc>โบนัส Step ปัจจุบัน<c><br>$(0)"""
ScratchStep_Bonus01#0,"""ไม่มีเอฟเฟกต์"""
ScratchStep_Bonus02#0,"""ยอดนิยม! โอกาสออกเพิ่มขึ้น (ตัวคูณ: $(0))"""
ScratchStepBonus_Title#0,"""ยืนยัน Step Bonus"""
ScratchStepBonus_Text#0,"""Steps จะเพิ่มขึ้นตามจำนวนครั้งที่คุณสุ่ม Scratch<br>Step Bonus จะเกิดขึ้นโดยขึ้นอยู่กับจำนวน Steps ปัจจุบัน"""
ScratchSearchTitle#0,"""ตั้งค่าหมวดหมู่"""
ScratchSearchItem_1#0,"""ดูทั้งหมด"""
ScratchSearchItem_2#0,"""Outerwear"""
ScratchSearchItem_3#0,"""Basewear/Setwear"""
ScratchSearchItem_4#0,"""Innerwear"""
ScratchSearchItem_5#0,"""Hairstyle"""
ScratchSearchItem_6#0,"""Accessories"""
ScratchSearchItem_7#0,"""Body Paint"""
ScratchSearchItem_8#0,"""Costume"""
ScratchSearchItem_9#0,"""Body Parts"""
ScratchSearchItem_10#0,"""Arm Parts"""
ScratchSearchItem_11#0,"""Leg Parts"""
ScratchSearchItem_12#0,"""Head Parts"""
ScratchSearchItem_13#0,"""Weapon Camos"""
ScratchSearchItem_14#0,"""ไอเทมกดใช้"""
ScratchSearchItem_15#0,"""ไอเทมอื่นๆ"""
ScratchSearchItem_none#0,"""ไม่มีไอเทมที่เกี่ยวข้อง"""
ScratchSearchItem_16#0,"""Build Parts"""
ScratchSearchItem_17#0,"""Portable Holograms"""
ScratchError_NotAchieved_Title#0,"""ไม่ผ่านเงื่อนไข"""
ScratchError_NotAchieved_Mess#0,""""""
Title#0,"""Scratch Storage"""
Header_ItemName#0,"""ชื่อไอเทม"""
Header_SavePeriod#0,"""วันหมดอายุ"""
Sort_Save#0,"""วันหมดอายุ"""
Sort_Reality#0,"""ระดับความแรร์"""
Sort_Costume#0,"""Costume/Parts"""
Sort_Camouflage#0,"""Weapon Camouflage"""
Sort_Consumables#0,"""ไอเทมกดใช้"""
Sort_etr#0,"""อื่นๆ"""
ReceiveButton#0,"""รับทั้งหมด"""
SavePeriodNote_Title#0,"""วันหมดอายุ"""
SavePeriodNote_Header1#0,"""ไอเทมที่เกินวันหมดอายุ"""
SavePeriodNote_Header1Mess#0,"""ไอเทมที่อยู่ใน Scratch Storage สามารถเก็บไว้ได้ในเวลาจำกัด หากเกินเวลาที่กำหนด ไอเทมเหล่านั้นจะถูกแปลงเป็น Recycle Points อัตโนมัติ อย่าลืมเข้ามากดรับไอเทมของคุณด้วย"""
SavePeriodNote_Header2#0,"""การแปลงเป็น Recycle Point"""
SavePeriodNote_Header2Mess#0,"""แปลงเป็น Prize Scratch Ticket 1 ใบ"""
StorageCheck_Title#0,"""ยืนยันการเลือก Storage"""
StorageCheck_Mess#0,"""กรุณาเลือกพื้นที่ที่คุณต้องการส่งไอเทม $(0) ชิ้นไปเก็บ<br><yellow>※หากพื้นที่ไม่พอ ระบบจะส่งไปเฉพาะจำนวนที่สามารถรับได้เท่านั้น<c>"""
StorageCheck_BuckButton#0,"""กลับ"""
StorageCheck_GetPrize#0,"""ได้รับไอเทมแล้ว"""
StorageCheck_MaxError#0,"""ไม่สามารถส่งไอเทมได้เนื่องจากพื้นที่ไม่เพียงพอ กรุณาเคลียร์พื้นที่ใน Storage ของคุณ หรือเลือก Storage อื่นที่มีพื้นที่ว่างมากกว่านี้"""
StorageCheck_GetPrize2#0,"""ไม่สามารถส่งไอเทมบางชิ้นได้"""
ChangePoint_Title#0,"""Scratch"""
ChangePoint_Text01#0,"""หมดเวลารับไอเทมแล้ว<br>ไอเทมต่อไปนี้ถูกแปลงเป็น Recycle Points"""
ChangePoint_Text02#0,"""ชื่อรางวัล"""
ChangePoint_Text03#0,"""วันหมดอายุ"""
ChangePoint_Text04#0,"""Point"""
ChangePoint_Text05#0,"""จนถึง $(0)"""
ChangePoint_CloseButton#0,"""ปิด"""
ChangePoint_mess01#0,"""คุณมีไอเทมที่ยังไม่ได้กดรับใน Scratch Ticket Storage"""
ChangePoint_mess02#0,"""<pure_red>คุณมีไอเทมใกล้หมดอายุที่ยังไม่ได้กดรับ<c> ใน Scratch Ticket Storage"""
