Symbol_Common_ID#0,"""Part ID"""
EditForm_VITA_Menu#0,"""<pict Sign_SELECT>เมนู"""
EditForm_VITA_Menu_Create#0,"""สร้าง Part"""
EditForm_VITA_Menu_Save#0,"""บันทึก"""
EditForm_VITA_Menu_SaveAs#0,"""บันทึกลงใน Slot อื่น"""
EditForm_VITA_Menu_NameEdit#0,"""แก้ไขชื่อ"""
EditForm_VITA_Menu_Zoom#0,"""ซูม"""
EditForm_VITA_Menu_Sound#0,"""ตั้งค่า SFX"""
EditForm_VITA_Menu_Size#0,"""เปลี่ยนขนาด Canvas"""
EditForm_VITA_Menu_Title#0,"""เมนู Symbol Art"""
EditForm_VITA_Size_Title#0,"""เปลี่ยนขนาด Canvas"""
EditForm_VITA_Sound_Title#0,"""ตั้งค่า SFX"""
EditForm_VITA_Zoom_Title#0,"""ซูม"""
EditForm_NoParts#0,"""ไม่มี Parts ให้เลือก"""
EditForm_SaveNoData_Exp#0,"""คุณไม่สามารถบันทึกได้หากไม่มี Parts ใดๆ"""
EditForm_Exit_Exp#0,"""การแก้ไขหลังจากบันทึกครั้งล่าสุดจะสูญหายไป<br>คุณแน่ใจหรือไม่ว่าต้องการออก?"""
EditForm_Save_Exp#0,"""Slot นี้ถูกใช้งานอยู่<br>คุณต้องการบันทึกทับหรือไม่?"""
EditForm_Exten_Exp#0,"""เฉพาะ Parts ที่แสดงผลอยู่เท่านั้นที่จะถูกบันทึก<br>ดำเนินการต่อหรือไม่?"""
EditForm_Draft_Exp#0,"""แบบร่างนี้ยังไม่ได้บันทึก<br>การออกจะทำให้ข้อมูลแบบร่างสูญหาย ดำเนินการต่อหรือไม่?"""
CreateForm_Title#0,"""เลือก Parts"""
CreateForm_Parts_NotFound#0,"""ไม่มี Parts"""
CreateForm_Tab_Font#0,"""ข้อความ"""
CreateForm_Tab_Base#0,"""รูปทรงพื้นฐาน"""
CreateForm_Tab_Line#0,"""เส้น"""
CreateForm_Tab_Ink#0,"""หยดหมึก"""
CreateForm_Tab_Gradation#0,"""ไล่สี (Gradients)"""
CreateForm_Tab_Pattern#0,"""แฟรกทัล (Fractals)"""
CreateForm_Tab_Mark#0,"""สัญลักษณ์"""
CreateForm_Tab_Etc#0,"""อื่นๆ"""
CreateForm_Tab_Stamp#0,"""รูปภาพ"""
CreateForm_Menu_View#0,"""แสดง/ซ่อน"""
CreateForm_Menu_ViewEnable#0,"""แสดง"""
CreateForm_Menu_ViewDisable#0,"""ซ่อน"""
CreateForm_Menu_Pos#0,"""เคลื่อนย้าย"""
CreateForm_Menu_Size#0,"""ปรับขนาด"""
CreateForm_Menu_Rotate#0,"""หมุน"""
CreateForm_Menu_Warp#0,"""Warp"""
CreateForm_Menu_Reverse#0,"""กลับสี (Inverted)"""
CreateForm_Menu_ReverseUPDOWN#0,"""พลิกแนวตั้ง (V Flip)"""
CreateForm_Menu_ReverseLEFTRIGHT#0,"""พลิกแนวนอน (H Flip)"""
CreateForm_Menu_ColorSelect#0,"""สี"""
CreateForm_Menu_Alpha#0,"""ความโปร่งใส"""
CreateForm_Menu_Move#0,"""เลื่อน"""
CreateForm_Menu_Move_Shift#0,"""เคลื่อนย้ายต่อเนื่อง"""
CreateForm_Menu_Move_UP#0,"""เลื่อนขึ้น 1\u3000\u3000<gray>[-]<c>"""
CreateForm_Menu_Move_UP_V#0,"""เลื่อนขึ้น 1"""
CreateForm_Menu_Move_DOWN#0,"""เลื่อนลง 1\u3000\u3000<gray>[+]<c>"""
CreateForm_Menu_Move_DOWN_V#0,"""เลื่อนลง 1"""
CreateForm_Menu_Move_TOP#0,"""ชิดบนสุด\u3000<gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_TOP_V#0,"""ชิดบนสุด"""
CreateForm_Menu_Move_BOTTOM#0,"""ชิดล่างสุด\u3000<gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_BOTTOM_V#0,"""ชิดล่างสุด"""
CreateForm_Menu_Delete#0,"""ลบ"""
CreateForm_Menu_Duplicate#0,"""ทำซ้ำ\u3000\u3000\u3000<gray>[Ctrl]+[D]<c>"""
CreateForm_Menu_Duplicate_V#0,"""ทำซ้ำ"""
CreateForm_Menu_Copy#0,"""คัดลอก\u3000\u3000<gray>[Ctrl]+[C]<c>"""
CreateForm_Menu_Copy_V#0,"""คัดลอก"""
CreateForm_Menu_Paste#0,"""วาง\u3000<gray>[Ctrl]+[V]<c>"""
CreateForm_Menu_Paste_V#0,"""วาง"""
CreateForm_Menu_AddParts#0,"""เพิ่ม Parts"""
CreateForm_Menu_ColorCopy#0,"""คัดลอกสี"""
CreateForm_Menu_ColorPaste#0,"""วางสี"""
CreateForm_Menu_Change#0,"""เปลี่ยน Parts"""
CreateForm_Menu_Edit#0,"""แก้ไข"""
CreateForm_Menu_Etc#0,"""อื่นๆ"""
CreateForm_Menu_ColorPasteToast#0,"""คัดลอกสีและความโปร่งใสเรียบร้อยแล้ว"""
ListForm_Title#0,"""Data Storage"""
ListForm_Hash#0,"""ID: $(0)"""
ListForm_NoHash#0,"""ID: ไม่มี"""
ListForm_ItemName#0,"""Slot $(1) $(0)"""
ListForm_DefaultName#0,"""ไม่มีชื่อ"""
ListForm_List_Non#0,"""ไม่มีข้อมูล"""
ListForm_NoSymbolArt#0,"""ไม่มี Symbol Arts"""
ListForm_NowLoading#0,"""กำลังโหลด..."""
ListForm_WrongSize#0,"""ขนาดไม่ตรงกับเป้าหมาย"""
ListForm_StockSave_Exp#0,"""บันทึกลง Stock แล้ว"""
ListForm_ServerSave_Exp#0,"""บันทึกแล้ว"""
ListForm_StockLoad_Exp#0,"""โหลดจาก Stock แล้ว"""
ListForm_ServerLoad_Exp#0,"""โหลดแล้ว"""
ListForm_StockRemove_Exp#0,"""ลบออกจาก Card แล้ว"""
ListForm_ServerRemove_Exp#0,"""ลบออกจาก Server แล้ว"""
ListForm_VITA_Status_Title#0,"""สถานะ"""
ListForm_VITA_Hash#0,"""ID"""
ListForm_VITA_Size#0,"""ขนาด"""
ListForm_Say_Title#0,"""Symbol Arts"""
ListForm_Save_Exp#0,"""Slot นี้ถูกใช้งานอยู่<br>คุณต้องการบันทึกทับหรือไม่?"""
ListForm_RemoveQue_Title#0,"""ลบ Symbol Art"""
ListForm_RemoveQue_Exp#0,"""กำลังจะลบ Symbol Art นี้<br>แน่ใจหรือไม่?"""
ListForm_RemoveImport_Title#0,"""ลบ Symbol Art ที่นำเข้า"""
ListForm_RemoveImport_Exp#0,"""กำลังจะลบ Symbol Art ที่นำเข้านี้<br>แน่ใจหรือไม่?"""
ListForm_ClearImport_Title#0,"""ลบ Symbol Arts ที่นำเข้าทั้งหมด"""
ListForm_ClearImport_Exp#0,"""กำลังจะลบ Symbol Arts ที่นำเข้าทั้งหมด<b>แน่ใจหรือไม่?"""
ListForm_BAN_Exp#0,"""Symbol Art ที่คุณพยายามใช้งาน<br>ถูกจำกัดสิทธิ์ สามารถบันทึกได้เฉพาะ<br>Symbol ที่ไม่ถูกจำกัดสิทธิ์เท่านั้น"""
ListForm_Illegal_LayerDelete#0,"""เนื่องจากมีการใช้ Part ที่ไม่ได้รับอนุญาต<br>ข้อมูลจึงถูกลบไปแล้ว"""
ListForm_Error_ServerLoadFailed#0,"""โหลดล้มเหลว<br><br><br>[No.1200]"""
ListForm_Error_LoacalLoadFailed#0,"""โหลดล้มเหลว<br><br>[No.1201]"""
ListForm_Error_LoacalLoadFailed_Null#0,"""มีการร้องขอข้อมูลที่ว่างเปล่า<br><br>[No.1202]"""
ListForm_Error_LoacalLoadFailed_Not#0,"""ไม่พบข้อมูล<br><br>[No.1203]"""
ListForm_Error_LoacalLoadFailed_Other#0,"""โหลดล้มเหลว<br><br>[No.1204]"""
ListForm_Error_SaveFailed#0,"""บันทึกล้มเหลว<br><br>[No.1205]"""
ListForm_Error_LoacalRemoveFailed#0,"""ลบล้มเหลว<br><br>[No.1206]"""
ListForm_Error_ServerRemoveFailed#0,"""ลบล้มเหลว<br><br>[No.1207]"""
ListForm_Error_LoadImport#0,"""โหลดล้มเหลว<br><br>[No.1208]"""
ListForm_Error_RemoveImport#0,"""ลบล้มเหลว<br><br>[No.1209]"""
ListForm_Error_Illegaldata#0,"""ไม่สามารถบันทึก Symbol Art ได้<br>เนื่องจากมีการดัดแปลงที่ไม่ได้รับอนุญาต<br><br>[No.1210］"""
ListForm_Error_IllegalNotSay#0,"""ไม่สามารถใช้งาน Symbol Art ได้<br>เนื่องจากมีการดัดแปลงที่ไม่ได้รับอนุญาต<br><br>[No.1211]"""
SelectedForm_Title#0,"""รายชื่อ Symbol Art"""
SelectedForm_Exp#0,"""<c f0df60>เลือก Symbol Art เพื่อแก้ไข เลือก \""แก้ไข\"" ใน Slot ว่างเพื่อสร้างใหม่<c>"""
SelectedForm_Exp_v#0,"""<c f0df60>กรุณาเลือก Symbol Art ที่ต้องการแก้ไขหรือใช้งาน<c>"""
ListForm_Exp#0,"""<c f0df60>กรุณาเลือก Slot สำหรับบันทึก<c>"""
EditForm_Exp#0,"""<c f0df60>เลือกปุ่ม \""เพิ่ม Parts\"" เพื่อเพิ่มและแก้ไข (กด ? เพื่อดูวิธีใช้)<c>"""
EditForm_Exp_v#0,"""<c f0df60>แก้ไข Parts ที่เพิ่มด้วยปุ่ม \""เพิ่ม Parts\"" เพื่อสร้าง Symbol Art<c>"""
SelectedForm_SaveList#0,"""1. บันทึกแล้ว"""
SelectedForm_LogList_Big#0,"""2. ประวัติ (มาตรฐาน)"""
SelectedForm_LogList_Normal#0,"""3. ประวัติ (ขนาดกลาง)"""
SelectedForm_LogList_Mini#0,"""4. ประวัติ (ขนาดเล็ก)"""
SelectedForm_LogList#0,"""2. ประวัติ"""
SelectedForm_Etc#0,"""5. นำเข้า"""
SelectedForm_EditName_Title#0,"""เปลี่ยนชื่อ Symbol Art"""
SelectedForm_EditName_Exp#0,"""ชื่อ Symbol Art<br>(ผู้เล่นอื่นสามารถมองเห็นได้)"""
SelectedForm_Menu_Save#0,"""บันทึก"""
SelectedForm_Menu_Say#0,"""แสดงผล"""
SelectedForm_Menu_Edit#0,"""แก้ไข"""
SelectedForm_Menu_Delete#0,"""ลบ"""
SelectedForm_Menu_Clear#0,"""ลบทั้งหมด"""
SelectedForm_Menu_NameEdit#0,"""เปลี่ยนชื่อ Symbol Art"""
SelectedForm_Menu_BlackList#0,"""-"""
SelectedForm_Menu_Import#0,"""นำเข้า"""
SelectedForm_LoadImport_Exp#0,"""นำเข้าเสร็จสมบูรณ์"""
SelectedForm_Error_Filter#0,"""ชื่อ Symbol Art นี้มีตัวอักษรที่ไม่สามารถใช้งานได้"""
SelectedForm_Error_Premium#0,"""<pict Arcscash><c ff4f3f>เนื้อหา ARKS Cash<c><br><yellow>คุณไม่ใช่ผู้เล่น Premium หรือ<br>สถานะ Premium ของคุณหมดอายุแล้ว<br><br><c>คุณไม่สามารถบันทึกลงใน SA slots 11-40 ได้<br>หากคุณมี <yellow>Premium Set<c> คุณจะสามารถ<br>บันทึกลงใน slots เพิ่มเติมเหล่านี้ได้<br><br>หากต้องการรับสิทธิประโยชน์จาก <yellow>Premium<c><br>กรุณาตรวจสอบ AC Shop จากเมนูหลัก"""
Title#0,"""การเลือก Symbol Art"""
Title_Monitor#0,"""หน้าจอ Symbol Art"""
Close_Title#0,"""การยืนยัน"""
Close_Exp#0,"""การทำเช่นนี้จะแสดงผล Symbol Art<br>ที่เลือก ดำเนินการต่อหรือไม่?<br><br><red>※หากไม่ได้เลือก Symbol Art ไว้<br>จะไม่มีการแสดงผลใดๆ ขึ้นมา<c>"""
