st_056220_0010#0,"""윽……으으윽!<br>감히 이 아름다운 몸에<br>상처를……냈겠다!"""
st_056220_0240#0,"""그릇을 잃고 네게 베여서<br>나는 사라질 운명이었어.<br>하지만……"""
st_056220_0250#0,"""……그, 그렇지만.<br>아무리 요란한 여왕이라도<br>너도 나잖아."""
st_056220_0260#0,"""그런 내가 실컷 이용만 당하다가<br>그대로 사라진다니……<br>나로서는 용납할 수 없잖아."""
st_056220_0270#0,"""……그러네.<br>이용만 당하는 건<br>내 성미에 안 맞아."""
st_056220_0280#0,"""하지만 알고 있겠지?<br>마르가레타."""
st_056220_0290#0,"""내가 네 안으로 돌아가면<br>아까처럼 다시 내가<br>몸을 차지하게 될 거야."""
st_056220_0300#0,"""헉! 그럼 아무 의미 없잖아!<br>어, 어떻게 안 돼?"""
st_056220_0310#0,"""어떻게든 할게"""
st_056220_0320#0,"""【약인】은 이쪽으로"""
st_056220_0330#0,"""요란한 여왕을 받아들인다고……?<br>수호휘사는 그런 일까지<br>할 수 있는 거야?"""
st_056220_0340#0,"""솔직히 우리 눈으로 봐도<br>기분 나쁠 수밖에 없어."""
st_056220_0350#0,"""그 꼬맹이의 능력도 그랬지만<br>너는 이질적이라는 말로도 부족해.<br>어떻게 그런 일을 할 수 있는 걸까?"""
st_056220_0360#0,"""뭐, 그런 셈이니까.<br>어서 돌아가도록 해,<br>마르가레타."""
st_056220_0370#0,"""서두르지 않으면<br>몸과 영혼이 완전히 떨어져서<br>돌아갈 수 없게 될 거야."""
st_056220_0380#0,"""……마지막으로<br>확인하고 싶은 게 있어."""
st_056220_0390#0,"""뭔데?"""
st_056220_0400#0,"""나한테는 무엇이 필요했던 거야?"""
st_056220_0410#0,"""……글쎄.<br>직접 생각해, 꼬맹이."""
st_056220_0420#0,"""……뭐야.<br>딱히 저 아이를<br>배려한 건 아니야."""
st_056220_0430#0,"""내겐 목적이 있어.<br>나를 이용한 무례한 자에게<br>벌을 내리는 거지."""
st_056220_0440#0,"""저 아이의 몸을 빼앗는 것과<br>너를 돕는 것 중 어느 쪽이<br>더 확실하고 효율적인지 따졌을 뿐이야."""
st_056220_0450#0,"""솔직하지 못하네"""
st_056220_0460#0,"""그래도 괜찮다면"""
st_056220_0470#0,"""……! 시끄러워!<br>감히 누구한테 그런 식으로 말하는 거야?"""
st_056220_0480#0,"""친하게 지내자는 말은 필요 없어.<br>나는 힘을, 너는 몸을<br>서로의 목적을 위해 쓸 뿐이야!"""
st_056220_0490#0,"""알겠어? 그게 전부야."""
st_056220_0500#0,"""……아, 됐어. 이야기는 끝이야!<br>너도 어서 돌아가!"""
st_056220_0510#0,"""<%me> 씨!<br>하리엣 씨!<br>괜찮으세요!?"""
st_056220_0520#0,"""……저는 괜찮습니다."""
st_056220_0530#0,"""……이쪽도 괜찮아"""
st_056220_0540#0,"""그보다……"""
st_056220_0550#0,"""겉모습은 원래대로 돌아온 것 같은데<br>지금까지 씌었던 사람들은 모두……"""
st_056220_0560#0,"""……오라버니도 그랬습니다.<br>빛에 감싸여 사라지고 말았죠."""
st_056220_0570#0,"""아, 마르가레타 님……!"""
st_056220_0580#0,"""이대로 헤어지는 건가요……!<br>한 번만 더 이야기해요!<br>잘난 척이라도 해 보세요!"""
st_056220_0590#0,"""<%me> 씨?"""
st_056220_0600#0,"""얼굴을 가까이 댄다"""
st_056220_0610#0,"""주먹을 치켜든다"""
st_056220_0620#0,"""서, 설마!<br>입으로 생명력을 옮기려고요!?"""
st_056220_0630#0,"""그, 그런 일도 할 수 있습니까!?"""
st_056220_0640#0,"""뭐, 뭐뭐뭐뭐 하는 거야!<br>아니, 뭘 하려는 거야!<br>사람이 못 움직인다고 무례하게 굴지 마!"""
st_056220_0650#0,"""<%me> 씨?<br>설마 정신 차리게<br>때려서 깨울 생각인가요!?"""
st_056220_0660#0,"""너, 너무 가엾습니다!<br>하지만 그것밖에 방법이 없다면……<br>어쩔 수 없는 걸까요?"""
st_056220_0670#0,"""자, 잠깐만!<br>자는 아이를 때리다니 무례한 걸 넘어<br>사람의 도리에도 어긋나잖아!?"""
st_056220_0680#0,"""아."""
st_056220_0690#0,"""아, 아하하……<br>조, 좋은 아침입니다.<br>그럼 난 세수하러 갈게."""
st_056220_0700#0,"""왜, 왜 그러는데!<br>조금 장난친 것뿐인데<br>다들 너무 속이 좁은 것 아니야!"""
st_056220_0710#0,"""장난도 정도가 있어요!<br>술법까지 써서 그럴듯하게 꾸미고<br>……저희 눈물을 돌려주세요!"""
st_056220_0720#0,"""애초에 죽을 생각 없었거든!<br>난 신왕이야! 신을 대신한다고!<br>신의 허락 없이 죽을 수 있을 것 같아!"""
st_056220_0730#0,"""게다가 난 눈물 같은 건 필요 없다고<br>계속 말했잖아?<br>웃어 줬다면 정말 죽었을지도 몰라."""
st_056220_0740#0,"""하지만……그렇다면<br>장난을 쳐 주셔서 다행입니다."""
st_056220_0750#0,"""덕분에 마르가레타 님과<br>다시 만났으니까요."""
st_056220_0760#0,"""어, 그래……그렇구나.<br>……으음, 이러면 어떻게 반응해야 할지 모르겠네."""
st_056220_0770#0,"""그래도 가끔 진지하게 구는 것도 중요하겠지.<br>우러름과 믿음을 받아야 신이니까."""
st_056220_0780#0,"""수호휘사 <%me> 님.<br>시에라 님.<br>쿠엔트 국왕 하리엣 님."""
st_056220_0790#0,"""에픽에 닥친 전에 없던 위기 속에서<br>신의 보호도 없이 신을 대신하듯<br>애써 주신 데 깊이 감사드립니다."""
st_056220_0800#0,"""……어때!<br>나도 이런 말 할 수 있거든!"""
st_056220_0810#0,"""……아, 마지막 그 말 덕분에<br>마르 씨답다고 느꼈어요."""
st_056220_0820#0,"""무슨 뜻이야, 요정!"""
st_056220_0830#0,"""평소 마르 씨는<br>전혀 왕답지 않다는 뜻이에요!"""
st_056220_0840#0,"""요・정・아아앗!"""
st_056220_0850#0,"""몸은 괜찮아?"""
st_056220_0860#0,"""이상한 곳은 없어?"""
st_056220_0870#0,"""……네.<br>저도 무슨 일이 일어나도 이상하지 않다고<br>생각하고 뛰어들었습니다."""
st_056220_0880#0,"""하지만 신기합니다.<br>아무 이상도 없습니다.<br>오히려 몸 상태가 좋을 정도입니다."""
st_056220_0890#0,"""그보다 마르가레타 님에게<br>붙어 있던 검은 그림자는 어디로……?"""
st_056220_0900#0,"""……적어도 여기서는 느껴지지 않아.<br>하지만 그만한 힘이 있었으니<br>어딘가에서 모여 다시 모습을 갖출지도 몰라."""
st_056220_0910#0,"""불길한 기척은 아직 남아 있으니<br>주변 경계를 강화해야겠어요."""
st_056220_0920#0,"""아, 바쁘다 바빠.<br>돌아오자마자 열심히 일하는구나, 나도."""
st_056220_0930#0,"""물론 여기까지 왔으니 한배를 탄 사이야.<br>너희에게도 일을 맡길 거니까.<br>수호휘사, 쿠엔트 왕."""
skit01#0,"""The Apprentices"""
skit02#0,"""사막에 불려 온 【약인】들"""
name01#0,"""？？？"""
name02#0,"""？？？"""
