st_062040_0180#0,"""〔오랜만이군〕〔<%me>〕"""
st_062040_0360#0,"""〔그 결과 태어난 것이 이 별이다.<br>행성 암두스키아의 기원은 거기에 있다〕"""
st_062040_0370#0,"""〔전승으로 남긴 천국용 테리오토와<br>자옥룡 카시나의 싸움.<br>쌍을 이룬 모방체의 충돌을 나타낸 이야기다〕"""
st_062040_0380#0,"""〔하지만 나는 그 일을 끔찍하게 여기지 않는다.<br>포토너를 원망하지도 않는다.<br>내게는 그런 감정이 없다〕"""
st_062040_0390#0,"""〔나는 이곳에서만 얻을 수 있는 것을<br>얻었다. 그것으로 충분하다고 생각한다〕"""
st_062040_0400#0,"""〔다만 카시나가<br>어떻게 생각하는지는 나도 모른다〕"""
st_062040_0410#0,"""……샤오가 사라지기 직전에<br>암두스키아로 가라고 한 건<br>로 카미츠를 새 관리자로 세우기 위해서……？"""
st_062040_0420#0,"""〔아니다. 그래서는 상황이 달라지지 않는다.<br>내 연산 능력은 샤오에 미치지 못한다.<br>그저 임시 대체품에 그칠 뿐이다〕"""
st_062040_0430#0,"""그럼 어떻게 해야……"""
st_062040_0440#0,"""또 하나의 모방체는 어디에？"""
st_062040_0450#0,"""하나로 안 된다면 둘이라면……"""
st_062040_0460#0,"""〔……카시나는 잠들어 있다.<br>나와 충돌한 충격으로<br>깨어나지 못할 잠에 빠졌다〕"""
st_062040_0470#0,"""〔지금은 암두스키아 땅속 깊은 곳에서<br>자옥을 떠받치는 존재로<br>그릇만 남아 있다〕"""
st_062040_0480#0,"""알려 줘.<br>카시나가 잠든 곳에는<br>어떻게 가면 돼？"""
st_062040_0490#0,"""〔……카시나 안으로<br>사라 안에 있는 샤오를 옮길 셈인가？〕"""
st_062040_0500#0,"""〔옮기는 데 실패하면 샤오뿐만 아니라<br>현재 그릇인 사라의 몸까지 위험해진다.<br>샤오는 그런 일을 바라지 않을 거라 본다〕"""
st_062040_0510#0,"""샤오가 돌아오려면 그 방법밖에 없어.<br>그래서 내게<br>이곳으로 가라고 한 거야."""
st_062040_0520#0,"""게다가……나도<br>당하고만 있는 건 성격에 안 맞아."""
st_062040_0530#0,"""샤오는 내 목숨을<br>두 번이나 구해 줬어.<br>그 은혜를 갚고 싶어."""
st_062040_0540#0,"""……모두를 지키려면 필요합니다."""
st_062040_0550#0,"""……부디 부탁드립니다."""
st_062040_0560#0,"""힘을 빌려 줬으면 해"""
st_062040_0570#0,"""……부탁드립니다"""
st_062040_0580#0,"""〔……인간의 의지는 이토록 아름다운 것이로군〕"""
st_062040_0590#0,"""〔……그 뜻을 받아들이겠다.<br>카시나가 있는 곳으로 안내하지.<br>코 레라, 이들을 이끌어라〕"""
st_062040_0600#0,"""〔네〕〔카미츠 님！〕"""
st_062040_0610#0,"""레라가 길잡이인가요？<br>그 크기로 화산 동굴 깊숙한 곳까지<br>따라올 수 있습니까？"""
st_062040_0620#0,"""〔후후후〕〔걱정 마, 쿠나〕<br>〔이럴 때를 대비했지！〕"""
st_062040_0630#0,"""작아졌어……！？"""
st_062040_0640#0,"""〔몸을 이루는〕〔용정의 크기〕<br>〔그걸 조절하는 일쯤〕<br>〔무녀에게는 쉽다！〕"""
st_062040_0650#0,"""〔레라가 함께라면 나와 연락할 수도 있다.<br>카시나가 있는 곳으로 가거라〕"""
st_062040_0660#0,"""〔……이해되지 않는 점이 있다.<br>왜 포토너의 후예를 돕는 것이지？<br>시온이 바랐기 때문인가？〕"""
st_062040_0670#0,"""아니, 시온의 소원은 달라.<br>시온이 바라는 건 단 한 사람을 구하는 거야."""
st_062040_0680#0,"""사라를 구한 것도 여기서 조언하는 것도<br>모두 내 자유 의지로 한 일이야."""
st_062040_0690#0,"""물론 그마저도<br>시온의 손바닥 위였을지 모르지만."""
st_062040_0700#0,"""〔더욱 이해할 수 없군.<br>샤오, 그 너머에서 무엇을 바라는가？〕"""
st_062040_0710#0,"""참 딱딱하네, 카미츠.<br>나는 그렇게 대단한 걸<br>바라는 게 아니야."""
st_062040_0720#0,"""그저 굳이 말하자면……"""
st_062040_0730#0,"""〔인간의 의지가 우리를 뛰어넘는 모습.<br>……나도 마지막까지 지켜보고 싶군〕"""
