st_058160_0010#0,"""Imposible... He sido... ¿Derrotado?..."""
st_058160_0580#0,"""En ese caso, ¡Vamos a necesitar un nuevo nombre! ¿Qué tal el Santo Reino Mágico de Epicuent?"""
st_058160_0590#0,"""Maru... Incluso tu sentido de los nombres es atroz."""
st_058160_0600#0,"""¡¿Hasta mi?!... Maldita sea, hada, si me blasfemas más, haré que Harriet te golpee por donde flotas."""
st_058160_0610#0,"""No tengo intención de golpear a nadie tan frívolamente. Y, debo volver a donde pertenezco."""
st_058160_0620#0,"""¿Donde perteneces?..."""
st_058160_0630#0,"""Si he heredado el manto, entonces debo ser uno con el mundo mismo."""
st_058160_0640#0,"""Ser capaz de manifestarse físicamente es, bueno... Una sola vez en estas circunstancias."""
st_058160_0650#0,"""Espera, entonces, ¡¿Eso significa que todavía vas a desaparecer, Harriet?!, ¡No! Eso no es... ¡Esto no es lo que quería!"""
st_058160_0660#0,"""No estoy desapareciendo, ni mucho menos. Me convertiré en uno con el mundo, para poder apoyarlos a todos."""
st_058160_0670#0,"""Era un mero espectro llamado desde el vacío, y ahora puedo convertirme en un pilar que ayuda a apoyar a todos... No se me ocurre ninguna bendición mayor que pueda recibir."""
st_058160_0680#0,"""ハリエットぉ……"""
st_058160_0690#0,"""Por favor no llores Margareta"""
st_058160_0700#0,"""No tengas miedo. Una vez que me haya acostumbrado a mi función, debería poder comunicarme con usted, como la Reina Sagrada, cuando lo deseemos."""
st_058160_0710#0,"""Hasta entonces, dejaré el... Santo Reino Mágico de Epicuent, ¿Verdad? Enteramente en tus manos."""
st_058160_0720#0,"""Eh, ¿Hada? ¡¿Guardián?!, ¡Hay algo raro que sale de ustedes dos ahora mismo!"""
st_058160_0730#0,"""Eso solo puede significar una cosa, que el mundo se ha salvado."""
st_058160_0740#0,"""Guardián. Te he agradecido abundantemente más veces de lo que puedo contar, así que te diré una última cosa."""
st_058160_0750#0,"""Espero el momento en que nos volvamos a encontrar, desde el fondo de mi corazón."""
st_058160_0760#0,"""Adiós, Guardián. Siempre estaré a tu lado."""
name01#0,"""Primera Claris Claes"""
name02#0,"""？？？"""
