WINDOW_TITLE#0,"""Что случилось?"""
TICHETSHOP_SEA_TITLE05#0,"""ホムラシリーズ交換ショップ（～2018年8月8日11時00分)"""
TICHETSHOP_SEA_TITLE06#0,"""新年祭2019交換ショップ・前半（～2019年1月23日11時00分）"""
TICHETSHOP_SEA_TITLE07#0,"""新年祭2019交換ショップ・後半（～2019年2月6日11時00分）"""
TICHETSHOP_SEA_TITLE08#0,"""オメガDFシリーズ交換ショップ（～2019年3月6日11時00分）"""
TICHETSHOP_SEA_TITLE09#0,"""新年祭2019交換ショップ・前半（～2019年2月20日11時00分）"""
TICHETSHOP_SEA_TITLE10#0,"""新年祭2019交換ショップ・後半（～2019年3月6日11時00分）"""
TICHETSHOP_SEA_TITLE13#0,"""限定ACリサイクルショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE14#0,"""7周年バッヂ交換ショップ・前半（～2019年7月24日11時00分)"""
TICHETSHOP_SEA_TITLE15#0,"""Подтверждение web-связанной панели"""
TICHETSHOP_SEA_TITLE21#0,"""7周年バッヂ交換ショップ・後半（～2019年8月7日11時00分)"""
TICHETSHOP_SEA_TITLE24#0,"""7周年バッヂ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE22#0,"""7周年バッヂでノヴェルシリーズ引換券を入手"""
TICHETSHOP_SEA_TITLE23#0,"""ノヴェルシリーズ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE16#0,"""Подтверждение вознаграждения за очки"""
TICHETSHOP_SEA_TITLE17#0,"""Подтверждение вознаграждения за очки рейтинга"""
TICHETSHOP_SEA_TITLE18#0,"""Заработанные очки рейтинга"""
TICHETSHOP_SEA_TITLE19#0,"""Проверить рейтинг первой половины"""
TICHETSHOP_SEA_TITLE20#0,"""Проверить рейтинг второй половины"""
TICHETSHOP_SEA_TITLE25#0,"""Web-связанное меню"""
TICHETSHOP_SEA_TITLE26#0,"""МО бейджей 2020"""
TICHETSHOP_SEA_TITLE27#0,"""新年祭2020限定交換ショップ（～2020年2月5日11時00分)"""
TICHETSHOP_COLLABO_TITTLE01#0,"""狩猟石交換ショップ（～2018年12月5日11時00分)"""
TICHETSHOP_COLLABO_TITTLE02#0,"""セレシリーズ交換ショップ（～2018年12月5日11時00分)"""
QC_STORY_EP6#0,"""Сюжетный квест"""
EP6_CHANGE_SIERRA#0,"""Смена эпизода"""
MEDALSHOP_TITLE01_V60501#0,"""МО \""Cobalt Medal\"""""
TICHETSHOP_SEA_TITLE28#0,"""МО бейджами 8-й годовщины (до 5-го августа, 11:00 по JST)"""
00_01#0,"""Опция 1"""
00_02#0,"""Опция 2"""
TALK_ST#0,"""Поговорить"""
C_ORDER_ST#0,"""Прослушать подробности"""
