kind	jp	ko
event	ぴりぴりした空気	날카롭게 긴장된 공기
event	うごめく闇に気付く	꿈틀거리는 어둠을 깨닫다
event	研究部で大事故でーす！	연구부에서 대사고예요!
event	面倒な尻ぬぐい	귀찮은 뒷수습
event	げにおそろしきは始末屋！	참으로 무서운 건 해결사!
event	命令だからこそ	명령이기에
event	調査依頼おまかせあれ！	조사 의뢰라면 맡겨만 둬!
event	邪魔をしないでください	방해하지 말아 주세요
event	あいつとわたしの関係	그 녀석과 나의 관계
event	始末屋失格	해결사 실격
event	依頼情報へいおまち！	의뢰 정보 나왔어요!
event	あなたの噂を良く聞きます	당신 소문을 자주 듣습니다
event	テリオトーの元へ	테리오토에게로
event	人使いの荒いことで	사람을 참 부려 먹는군
event	秘密の秘密のおにいさん	비밀의 비밀 오빠
event	時には立ちたい表舞台	가끔은 나서고 싶은 무대
event	お祭り騒ぎしましょうよお	축제처럼 떠들어 봅시다아
event	戦技大会が間近だが	전투기술 대회가 코앞이지만
event	気になることはあるけども	신경 쓰이는 건 있지만
event	悔しいんだぞ六芒均衡	분하다, 육망균형
event	戦技大会が近いけど	전투기술 대회가 가까워졌지만
event	騒いでいる場合なのかしら	이렇게 떠들고 있을 때일까
event	ルールはきちんと覚えて	룰은 제대로 기억해 둬
event	ゼノのかわりになるために	제노를 대신할 수 있도록
event	ふしぎなウォパル！	이상한 워팔!
event	放浪中のテオドール	방랑 중인 테오도르
event	気持ち悪い原生住民	기분 나쁜 원주민
event	ヘンな気配	이상한 기운
event	さりげない気遣い	은근한 배려
event	話が通じるだけマシ	말이 통하기만 해도 낫지
event	雑用に東奔西走	잡무 때문에 동분서주
event	神聖なるは龍祭壇！	신성한 곳은 용제단!
event	一人のアキ	한 사람의 아키
event	もっとも新しき魂！	가장 새로운 혼!
event	一方的なお願い	일방적인 부탁
event	肉体の死、魂の巡り	육체의 죽음, 혼의 순환
event	海底だけど、水はない！	해저지만, 물은 없다!
event	言葉が通じるのはおもしろい	말이 통하는 건 재밌어
event	喧嘩するほど	싸울수록 정든다
event	本音と建前	속마음과 겉치레
event	彼を想う	그를 생각하며
event	ここではまだ掴めない	여기선 아직 알 수 없어
event	クーナからの警告	쿠나의 경고
event	オーザとアザナミ	오자와 아자나미
event	マールーは見ていた	마루는 보고 있었다
event	クラリッサの行方	클라리사의 행방
event	ぴりぴり、ぞくぞく、羨ましい	찌릿찌릿, 오싹오싹, 부러워요오
event	言えることと言えないこと	말할 수 있는 것과 없는 것
event	ゼノの足跡を……	제노의 발자취를…
event	特訓中のゼノ	특훈 중인 제노
event	十年前の、わたし	10년 전의, 나
event	彼女は一人でかしましい	그녀는 혼자서도 떠들썩해
event	殲滅の約束	섬멸의 약속
event	すでに出会っていたからこそ	이미 만나고 있었기에
event	師匠と弟子	스승과 제자
event	私じゃなくても座れた椅子	내가 아니어도 앉을 수 있었던 자리
