11_voice_NPC_5008_101#0,"""<%me> 님!<br>잠깐 괜찮으신가요?"""
11_voice_NPC_5008_101#3,"""저, 아크스라서 정말 다행이에요.<br>아니었다면 그 아이들과<br>여러분을 만나지 못했을 테니까요."""
11_voice_NPC_5008_105#1,"""무기를 고르는 건 고민되죠.<br>왠지 손에 맞아서 골랐다는<br>적당한 이유로는 안 될까요?"""
11_voice_NPC_5008_100#3,"""다들 캐스트는 치밀하다는<br>선입견을 가진 분이 많지만<br>아마 꼭 그렇지는 않을 거예요."""
Fourie_13_020#0,"""캐스트도 사람이니까<br>성향과 성격은 저마다 다르죠.<br>제가 좋은 예라고 생각하지 않나요?"""
11_voice_NPC_5008_100#4,"""언제 무슨 일이 생길지 모르니<br>고민하는 시간도 아깝잖아요……"""
11_voice_NPC_5008_104#1,"""가끔 앞만 보고 간다는 말을 들어요.<br>그게 무슨 뜻일까요?"""
Fourie_15_020#0,"""제 센서는 뒤를 감지하지 못해서<br>원래 앞밖에 볼 수 없는데……<br>어려운 질문이네요."""
Alice_01_10#0,"""다른 종족과의 연애 말인가요?<br>그렇군요, 그렇군요…… 잠깐<br>네!\u3000네에!?"""
Alice_01_20#0,"""그런, 다른 종족과 연애라니<br>전 그 아이들에게 그런 감정을<br>품고 있는 게 아니라……"""
Alice_01_30#0,"""……네?\u3000그게 아니라고요?<br>아크스 안의 다른 종족과 연애요?"""
Alice_01_40#0,"""아, 아하하……!\u3000정말 참!<br>괜히 오해하게 하지 마세요!"""
Alice_01_50#0,"""으음, 연애, 연애 말이죠?<br>저는 뭐든, 누구든 괜찮아요!<br>좋아한다면 아무 문제 없어요!"""
Alice_01_60#0,"""……이런 말을 해서<br>캐스트답지 않다는 소리를 듣지만<br>그런 건 신경 쓰지 않아요!"""
Alice_01_70#0,"""누군가를 좋아하는 건 멋진 일이라고<br>생각해요. 그러니 그 마음을<br>솔직하게 받아들여야 한다고 봐요!"""
Alice_01_80#0,"""……으음, 부끄럽긴 하지만<br>이 정도면 답변이<br>되었을까요?"""
11_voice_NPC_5008_104#2,"""다크 펄스 부활의 영향은<br>지금까지 리리파에는 그다지<br>나타나지 않았어요."""
Fourie_mb9_020#0,"""……그것만으로 안심한 제가<br>조금 한심하게 느껴지네요.<br>훨씬 큰 문제인데."""
11_voice_NPC_5008_104#3,"""소문의 폭주룡 말인가요?<br>……으음, 죄송하지만<br>저는 만난 적이 없어요."""
Fourie_mb10_020#0,"""그 아이들도 본 적이 없대요.<br>닥치는 대로 습격한다고 들었는데<br>참 이상한 일이죠."""
11_voice_NPC_5008_101#4,"""전투 기술 대회 말이죠!<br>전의를 높이기 위한 행사잖아요!<br>좋은 일이라고 생각해요!"""
Fourie_mb11_020#0,"""저는 이번에 참가하지 못하지만<br>여러분 모두 힘내셨으면 해요!"""
Fourie_mb11_030#0,"""왜냐하면<br>서로 겨루며 성장하는 건<br>왠지 가슴이 뜨거워지잖아요!"""
11_voice_NPC_5008_100#5,"""행성 워팔은 행성 전체가<br>바다에 둘러싸인 느낌이죠.<br>바닷바람도 강할 것 같아요."""
Fourie_mb12_020#0,"""으음……괜찮다는 건 알지만<br>혹시 녹슬지는 않을까<br>조금 신경 쓰이네요."""
11_voice_NPC_5008_100#6,"""저, 카타나나 파르티잔을<br>조금 동경하고 있거든요."""
Fourie_mb13_020#0,"""레기아스 씨와 마리아 씨가<br>쓰시는 무기잖아요.<br>멋있지 않나요?"""
11_voice_NPC_5008_100#7,"""저, 카타나나 파르티잔을<br>조금 동경하고 있거든요."""
Fourie_mb14_020#0,"""레기아스 씨와 마리아 씨가<br>쓰시는 무기잖아요.<br>멋있지 않나요?"""
11_voice_NPC_5008_100#8,"""자신의 정의는 스스로 정하는 거예요.<br>아, 아앗, 죄송해요.<br>그냥 스스로 되새기던 말이에요."""
Fourie_mb15_020#0,"""전에 마리아 씨께 들은 말을<br>마음에 깊이 새겨<br>두고 싶어요."""
11_voice_NPC_5008_100#9,"""자신이 믿는 일을 끝까지 해낸다.<br>그럴 수 있으면 좋겠다고<br>요즘은 특히 간절히 바라요."""
Fourie_mb16_020#0,"""그만큼 하고 싶은 일이<br>생겼다는 뜻이겠지만……<br>직접 실천하기는 어렵네요."""
11_voice_NPC_5008_104#4,"""<%me> 님!<br>정말, 정말……죄송해요!<br>미안해요!"""
Fourie_mb16zeno_020#0,"""절대령……그런 것에 휘둘려서<br><%me> 님과<br>싸우고 말았다니……"""
Fourie_mb16zeno_030#0,"""……정말 죄송해요.<br>아무리 사과해도 부족하지만<br>……저는 사과밖에 할 수 없어요."""
11_voice_NPC_5008_100#10,"""행성 하루코탄……<br>독특한 문화를 지닌 행성이라죠."""
Fourie_mb18_020#0,"""아주 거대한 사람들이<br>살고 있다나 봐요."""
Fourie_mb18_030#0,"""……그렇다 해도 저는 아직<br>가 본 적은 없지만요.<br>아하하."""
Fourie_mb19_010#0,"""지금은 익숙해졌지만, 로지오 씨는<br>리리파에 막 왔을 때<br>환경 때문에 고생하셨어요."""
Fourie_mb19_020#0,"""사막 지역은 모래가 많아서<br>입이나 눈에 모래가 들어가<br>많이 힘드셨나 봐요."""
11_voice_NPC_5008_100#11,"""그런 점은 제가 캐스트라서<br>전혀 문제없지만요."""
Fourie_mb20_010#0,"""로지오 씨는 리리파에 있을 때<br>기후를 열심히 조사하셨어요.<br>정말 아주 세세하게요."""
Fourie_mb20_020#0,"""그 모습이 신기했던 모양인지<br>그 아이들이 몰래 로지오 씨를<br>지켜보고 있었어요."""
11_voice_NPC_5008_100#12,"""그 광경은 참 흐뭇했어요.<br>물론 힘든 일도 많았지만<br>지금은 좋은 추억이에요."""
Fourie_mb21_010#0,"""아핀 씨는 리리파에<br>자주 찾아오는 모양이에요."""
Fourie_mb21_020#0,"""저도 몇 번 만났거든요.<br>아주 소중한 것을 찾고 있다고<br>말씀하셨어요."""
Fourie_mb21_030#0,"""무엇을 찾는지는 모르지만<br>꼭 찾았으면 좋겠어요."""
11_voice_NPC_5008_100#13,"""아핀 씨, 밝아졌죠.<br>무거운 짐을 내려놓은 듯……<br>후련해진 느낌이에요."""
Fourie_mb22_020#0,"""아직 과제는 많이 남았겠죠.<br>오히려 이제야 출발선에<br>선 것일지도 몰라요."""
Fourie_mb22_030#0,"""하지만 할 일을 찾았다면<br>이제 달리기만 하면 되잖아요.<br>분명 괜찮을 거예요."""
11_voice_NPC_5008_100#14,"""다행이다……만나서 안심했어요.<br>직접 얼굴을 보기 전까지 걱정했거든요.<br>무사해서 정말 다행이에요."""
11_voice_NPC_5008_104#5,"""걱정이라면……<br>아핀 씨 일행도 마음에 걸리네요."""
Fourie_mb23_030#0,"""왠지 눈을 뗄 수 없달까……<br>아무튼 좋은 방향으로 나아갔으면 해요.<br>지금은 그 생각뿐이에요."""
11_voice_NPC_5008_100#15,"""<%me> 님.<br>여러 이야기를 들었어요.<br>물론 마토이 씨 이야기도요."""
11_voice_NPC_5008_104#6,"""현재까지 리리파에 온<br>흔적은 찾지 못했어요.<br>그 아이들도 보지 못했대요."""
Fourie_mb23_after_030#0,"""그래도 반드시 찾을 거라고 믿어요.<br>포기하지 않으면 길은 열려요.<br>저는 그렇게 믿고 있어요."""
Fourie_mb24_after_010#0,"""자신이 믿는 일을 끝까지 해내고<br>제대로 결과를 낸다."""
11_voice_NPC_5008_101#5,"""그렇게 해낼 수 있다는 건<br>정말 멋진 일이라고 생각해요."""
11_voice_NPC_5008_100#16,"""아크스의 관리 체제 말인데요.<br>또 조금 바뀌는 모양이에요."""
Fourie_mb25_020#0,"""어떻게 바뀔지도<br>이미 정보가 공개되어 있어서<br>다들 걱정하지 않는 것 같아요."""
11_voice_NPC_5008_100#17,"""아, 아아앗!<br><%me> 님!<br>보, 복귀하셨군요!"""
st01_020#0,"""저기, 그러니까……!<br>머, 먼저 심호흡부터 해야……<br>스읍, 하아, 스읍, 하아……"""
st01_030#0,"""그……어서 오세요!<br>돌아오시길 계속 기다렸어요!<br>다시 함께 힘내요!"""
11_voice_NPC_5008_100#18,"""마토이 씨는요?\u3000아, 맞다.<br>지금 쉬고 계셨죠.<br>아하하, 깜빡해서 죄송해요."""
st01_020#1,"""마침 서로 엇갈린 셈이네요.<br>마토이 씨도 돌아오시길<br>정말 기다리고 있었어요."""
11_voice_NPC_5008_100#19,"""저는 마리아 씨가 있는 총무부……가 아니라<br>휴이 씨 일행의 전투부 소속이에요!"""
st01_020#2,"""동경하던 마리아 씨의 부서도<br>좋았지만, 역시 현장에서<br>그 아이들과 함께 있고 싶었어요."""
st01_030#1,"""리사 씨도 권해 주셨고<br>망설임은 없었어요, 네!"""
11_voice_NPC_5008_100#20,"""리사 씨와 함께 임무에 나가면<br>뭐랄까, 정말 굉장해요."""
st01_020#3,"""마구 쏘고, 폭파하고<br>전부 부숴 버리는 느낌이라<br>그런 걸 통쾌하다고 하나 봐요!"""
11_voice_NPC_5008_104#7,"""지구에서는 여러 일이 있었나 봐요.<br>으음……자꾸 신경 쓰이네요."""
st01_020#4,"""그리고 히츠기 씨라고 했죠.<br>괜찮을까요?<br>걱정이네요."""
11_voice_NPC_5008_104#8,"""지구에서 일어난 문제의 영향으로<br>아크스 쪽 세계에도 뭔가 생길까 했는데<br>지금까지는 아무 일도 없어요."""
st01_020#5,"""평화……라고 하기엔 싸움이 많지만<br>소강상태라고 해야 할까요."""
st01_010#0,"""지난번 습격에는 정말 놀랐어요……<br>설마 이곳에 직접 올 줄은<br>생각도 못 했거든요……"""
st01_020#6,"""하지만 침입 규모에 비하면<br>피해는 적었던 모양이에요.<br>목적은 파괴가 아니었겠죠."""
st01_010#1,"""아크스와 다크 펄스의<br>차이가 무엇인지<br>다시 생각해 보고 있어요."""
st01_020#7,"""유클리타 씨도 마토이 씨도<br>한때 다크 펄스에 가까운 존재가<br>되었지만, 돌아올 수 있었어요."""
st01_030#2,"""……우리가 생각하는 것보다<br>그 경계는 모호할지도 몰라요."""
11_voice_NPC_5008_100#21,"""<%me> 님!<br>이번 작전도 같이 힘내요!\u3000네!"""
sq00_020#0,"""저도 도움이 될 수 있도록<br>온 힘을 다할게요!"""
sq01_010#0,"""<%me> 님!<br>어서 오세요!"""
sq01_020#0,"""다들 걱정하실 것 같아서<br>저라도 평소처럼 대해 보려 했는데<br>……아아, 역시 안 되겠어요."""
sq01_030#0,"""무사해서 정말 다행이고<br>직접 모습을 보니까……<br>저도 모르게 미소가 나왔어요."""
sq02_010#0,"""요즘은 출격 횟수도 줄어서<br>틈만 나면 리리파에 가고 있어요."""
sq02_020#0,"""네?\u3000평소와 똑같다고요?<br>……아하하, 뭐 그렇기는 하지만<br>여유롭게 지낸다는 뜻이에요."""
sq13_010#0,"""……저도 봤어요.<br>종언의 여신 시바라는 사람을."""
sq13_020#0,"""아니, 느꼈다고 해야 할지도<br>모르겠어요. 그녀의 감정이<br>전해져 온 듯했어요."""
sq13_030#0,"""고요한 분노……그리고 절망.<br>표정과는 달리 차갑고 날카로워서<br>……정말 무서운 느낌이었어요."""
ep6_sq00_01#0,"""저에게도 준비하라는<br>연락이 왔어요."""
ep6_sq00_02#0,"""여러분도 저마다 서둘러<br>준비하고 계신 모양인데……"""
11_voice_NPC_5008_105#2,"""……왠지 무서워요.<br>아주 큰일이 일어날 것 같아서……"""
11_voice_NPC_5008_108#0,"""설마 이런 일이……"""
ep6_sq01_02#0,"""……아니, 우리가 여기서<br>꺾여 버리면 안 되겠죠."""
ep6_sq01_03#0,"""괴롭지만, 우리 힘만으로라도<br>어떻게든 해야 해요……"""
ep6_sq02_01#0,"""하아……다행이에요.<br>어떻게든 해결돼서……"""
ep6_sq02_02#0,"""아, 죄송해요.<br>안심하니 긴장이 풀려서……"""
ep6_sq02_01_01#0,"""샤오가 돌아오지 않았다면……<br>상상만 해도 아찔해요."""
ep6_sq02_01_02#0,"""전력 차이는 금방 메우지 못해도……<br>온 힘을 다하겠습니다!"""
ep6_sq02_01_03#0,"""<%me> 님도<br>무리하지 말라고는 할 수 없지만<br>부디 각별히 조심해 주세요."""
ep6_sq05_1#0,"""조금씩이지만<br>전선을 유지할 수 있게 됐어요.<br>전투부도 거의 한계였지만……"""
11_voice_NPC_5008_101#6,"""<%me> 님과<br>여러분이 힘내 주신 덕분이에요!<br>이제 조금 더 버틸 수 있어요!"""
11_voice_NPC_5008_101#7,"""아아, 무사히 돌아오셨군요!<br>정말, 정말 다행이에요."""
text02#0,"""덕분에<br>아주 긴 여정이 끝난 듯한……<br>그런 기분이 들어요."""
11_voice_NPC_5008_100#22,"""맞다!\u3000리리파의 그 아이들에게도<br>알려 줘야겠어요!"""
