msc_027020_0010#0,"""อ๊ะ มาแล้วสินะ"""
msc_027020_0550#0,"""จนถึงตอนนี้พวกเราเรียกมันว่า Nameless City น่ะ"""
msc_027020_0560#0,"""ใช่ ระหว่างภารกิจลาดตระเวนที่เลเซียล (Leciel) น่ะ"""
msc_027020_0570#0,"""จนถึงตอนนี้พวกเราเรียกมันว่า Nameless City น่ะ"""
msc_027020_0580#0,"""ดูเหมือนว่าเซเฟตโต้ (Zephetto) จะอยู่ในพื้นที่ชั้นล่างนะ"""
msc_027020_0590#0,"""เซเฟตโต้ (Zephetto) บอกว่าให้ข้อมูลวิธีเดินทางไปหาเขาแก่ฟาเรีย (Pharia) แล้วนี่นะ"""
msc_027020_0600#0,"""ถูกต้อง คิดว่าสามารถนำทางไปที่นั่นได้ทันทีที่พร้อมเลยล่ะ"""
msc_027020_0610#0,"""แต่... ทำไมถึงเจาะจงต้องเป็นแค่สี่คนนี้ด้วยล่ะ?"""
msc_027020_0620#0,"""อาจจะคิดผิดก็ได้นะ แต่พวกเธอทั้งสี่คนเคยพบกับเซเฟตโต้ (Zephetto) เป็นการส่วนตัวมาก่อนนี่นา"""
msc_027020_0630#0,"""อาจจะเป็นไปได้ว่าเขารู้สึกผูกพันบางอย่างกับพวกเธอทั้งสี่คนเป็นพิเศษก็เป็นได้นะ"""
msc_027020_0640#0,"""ความจริงก็สนใจสถานที่แห่งนั้นเหมือนกันนะเนี่ย"""
msc_027020_0650#0,"""อยากจะตามไปด้วยจังเลยแฮะ..."""
msc_027020_0660#0,"""ไม่ได้นะ"""
msc_027020_0670#0,"""ฟาเรีย (Pharia)?"""
msc_027020_0680#0,"""หน้าที่ของนายคือการพัฒนาอาวุธให้เสร็จสมบูรณ์นะ"""
msc_027020_0690#0,"""อาวุธเหรอ?"""
msc_027020_0700#0,"""อ้อ ใช่... พวกเรายังอยู่ในช่วงที่บอกรายละเอียดไม่ได้น่ะ<br>แต่ว่ากำลังพัฒนาอาวุธใหม่สำหรับรับมือกับพวก Starless อยู่น่ะ"""
msc_027020_0710#0,"""ฟาเรีย (Pharia) กับชาวเลเซียล (Lecielan) คนอื่นๆ ก็คอยช่วยเหลือฉันเรื่องนี้อยู่ล่ะ"""
msc_027020_0720#0,"""ถ้าพวกเราทั้งคู่ไปกันหมด การพัฒนาก็จะล่าช้าไปน่ะสิ"""
msc_027020_0730#0,"""...ก็... ก็รู้แหละน่า รู้แล้วล่ะน่า..."""
msc_027020_0740#0,"""เข้าใจแล้ว จะอยู่รอดำเนินการเรื่องอาวุธต่อก็แล้วกัน"""
msc_027020_0750#0,"""ถ้าสถานที่แห่งนั้นช่วยจุดประกายไอเดียเรื่องเทคโนโลยีใหม่ๆ ได้ล่ะก็ อย่าลืมบอกด้วยล่ะ เข้าใจไหม?"""
msc_027020_0760#0,"""แน่นอนอยู่แล้วล่ะ"""
msc_027020_0770#0,"""พวกเธอสองคนเข้ากันได้ดีจริงๆ เลยนะเนี่ย?"""
msc_027020_0780#0,"""ในระหว่างที่ฉันออกไปสำรวจที่ฮาลฟา (Halpha) สองคนนี้ก็คุยกันน้ำไหลไฟดับเลยล่ะ"""
msc_027020_0790#0,"""ยังไงก็เถอะ คนที่ถูกเรียกตัวไปมีแค่พวกเธอสี่คนเท่านั้นล่ะนะ"""
msc_027020_0800#0,"""เซเฟตโต้ (Zephetto) คงจะมีเหตุผลบางอย่างนั่นแหละ"""
msc_027020_0810#0,"""เมื่อดูจากข้อมูลอันน้อยนิดที่พวกเรามีแล้ว ก็คงต้องตามน้ำไปก่อนล่ะนะ"""
msc_027020_0820#0,"""ถึงแม้ว่ามันจะเสี่ยงมากก็เถอะ พวกเธอจะยอมทำตามนั้นไหม?"""
msc_027020_0830#0,"""แน่นอนสิ"""
msc_027020_0840#0,"""...ก็ไม่เห็นทางเลือกอื่นแล้วนี่นะ"""
msc_027020_0850#0,"""อื้ม จะไปด้วยเหมือนกัน"""
msc_027020_0860#0,"""...ไปสิ"""
msc_027020_0870#0,"""ขอบใจนะ"""
msc_027020_0880#0,"""มีเรื่องมากมายที่อยากจะคุยกับเซเฟตโต้ (Zephetto) เหมือนกันนะเนี่ย"""
msc_027020_0890#0,"""คงได้คุยกันโต้รุ่งแน่ๆ เลยล่ะ"""
msc_027020_0900#0,"""เพราะงั้นช่วยพาเขากลับมาอย่างปลอดภัยด้วยนะ"""
