msc_020220_0010#0,"""Heya."""
msc_020220_0660#0,"""Then if we can persuade him or otherwise disarm him,<br>then the war against the DOLLS will be over..."""
msc_020220_0670#0,"""When did this experiment start?"""
msc_020220_0680#0,"""According to the records, it started 300 years ago."""
msc_020220_0690#0,"""300 YEARS?!"""
msc_020220_0700#0,"""..."""
msc_020220_0710#0,"""Then... an uncountable amount of ARKS were<br>sacrificed, all for this experiment..."""
msc_020220_0720#0,"""..."""
msc_020220_0730#0,"""What was the definitive reason<br>Manon decided to confront Zephetto?"""
msc_020220_0740#0,"""...I'm not sure."""
msc_020220_0750#0,"""...Well, there is one thing..."""
msc_020220_0760#0,"""While I was monitoring Manon's data,<br>I could see feelings of intense anger."""
msc_020220_0770#0,"""Anger at Zephetto?"""
msc_020220_0780#0,"""Yes."""
msc_020220_0790#0,"""So Manon really does intend to<br>put an end to this by herself."""
msc_020220_0800#0,"""But that's just... too reckless..."""
msc_020220_0810#0,"""..."""
msc_020220_0820#0,"""Hm?"""
msc_020220_0830#0,"""Teleporter successfully activated."""
msc_020220_0840#0,"""So this is a teleporter?"""
msc_020220_0850#0,"""But isn't this one for short distances?"""
msc_020220_0860#0,"""It may look like one, but it's<br>actually a hundred times stronger."""
msc_020220_0870#0,"""Even without a stable Photon Field,<br>it's capable of extremely long distances."""
msc_020220_0880#0,"""Whoa."""
msc_020220_0890#0,"""Alright, let's call everyone and<br>board this so-called Leciel, shall we?"""
msc_020220_0900#0,"""Can you hear me?"""
msc_020220_0910#0,"""Ah, Crawford. Good timing."""
msc_020220_0920#0,"""We've just finished preparations<br>to head for Leciel, so--"""
msc_020220_0930#0,"""No, our foray into<br>Leciel will have to wait."""
msc_020220_0940#0,"""Did something happen?"""
msc_020220_0950#0,"""A grand offensive from the DOLLS.<br>They're raining down all over Halpha right now."""
msc_020220_0960#0,"""They're what?!"""
msc_020220_0970#0,"""I've heard nothing on my end... You're saying<br>they evaded my entire security network?"""
msc_020220_0980#0,"""It's true. Unbelievable."""
msc_020220_0990#0,"""I've sent word to Taivas. I'll send<br>whatever support we can spare."""
msc_020220_1000#0,"""...Well, you heard him. I'm gonna go<br>meet up with my siblings right away."""
msc_020220_1005#0,"""Are you all returning to Aelio?"""
msc_020220_1010#0,"""...We aren't."""
msc_020220_1020#0,"""Aina?"""
msc_020220_1030#0,"""We're going to Leciel.<br>You'll have to protect your own regions."""
msc_020220_1040#0,"""..."""
msc_020220_1050#0,"""Crawford?"""
msc_020220_1060#0,"""Alright. I'm trusting you on this."""
msc_020220_1070#0,"""Crawford!"""
msc_020220_1080#0,"""We can't ignore the situation with Manon."""
msc_020220_1090#0,"""When the situation here allows for it,<br>I'll send a team after you."""
msc_020220_1100#0,"""Until then, if things get too dangerous,<br>I want you to return immediately."""
msc_020220_1110#0,"""Understood."""
msc_020220_1120#0,"""I'm coming as well."""
msc_020220_1130#0,"""Ah..."""
msc_020220_1140#0,"""You haven't fully recovered."""
msc_020220_1150#0,"""Ilma, look after her."""
msc_020220_1160#0,"""Yeah. You wait here, okay?"""
msc_020220_1170#0,"""...Understood."""
msc_020220_1180#0,"""Ilma, please take care of her."""
msc_020220_1190#0,"""Alright. Leave her to me."""
msc_020220_1200#0,"""Roger that."""
msc_020220_1210#0,"""I guess you haven't fully recovered then."""
msc_020220_1220#0,"""..."""
msc_020220_1230#0,"""Then I'll give this to you."""
msc_020220_1240#0,"""What's this?"""
msc_020220_1250#0,"""A map of Leciel's interior."""
msc_020220_1260#0,"""Before I came here, Manon was<br>headed for a DOLLS manufacturing facility."""
msc_020220_1270#0,"""I don't know where she would be by now."""
msc_020220_1280#0,"""Leciel has blocked itself off<br>from outside communications."""
msc_020220_1290#0,"""Got it. Thanks."""
msc_020220_1300#0,"""...Please help Manon."""
msc_020220_1310#0,"""Yeah, leave it to us!"""
msc_020220_1320#0,"""We'll be right behind you as soon as<br>we've taken care of things here."""
msc_020220_1330#0,"""Until then, good luck."""
