msc_020220_0010#0,"""ไง"""
msc_020220_1000#0,"""...เอาล่ะ เธอได้ยินแล้วนะ ฉันจะไป<br>สมทบกับพี่น้องของฉันเดี๋ยวนี้แหละ"""
msc_020220_1005#0,"""พวกเธอทุกคนจะกลับไปที่เอลิโอ (Aelio) ไหม?"""
msc_020220_1010#0,"""...พวกเราจะไม่ไปค่ะ"""
msc_020220_1020#0,"""ไอน่า?"""
msc_020220_1030#0,"""พวกเราจะไปที่เลเซียล (Leciel)<br>พวกคุณต้องปกป้องภูมิภาคของตัวเองนะคะ"""
msc_020220_1040#0,"""..."""
msc_020220_1050#0,"""ครอว์ฟอร์ด (Crawford)?"""
msc_020220_1060#0,"""เข้าใจแล้วครับ ผมจะเชื่อใจคุณในเรื่องนี้"""
msc_020220_1070#0,"""ครอว์ฟอร์ด (Crawford)!"""
msc_020220_1080#0,"""เราจะเพิกเฉยต่อสถานการณ์ของมาน่อนไม่ได้หรอกครับ"""
msc_020220_1090#0,"""เมื่อสถานการณ์ทางนี้เอื้ออำนวยแล้ว<br>ผมจะส่งทีมไปสมทบกับพวกคุณนะครับ"""
msc_020220_1100#0,"""จนกว่าจะถึงตอนนั้น ถ้าสถานการณ์มันอันตรายเกินไป<br>ผมอยากให้พวกคุณถอยกลับมาทันทีนะครับ"""
msc_020220_1110#0,"""เข้าใจแล้วค่ะ"""
msc_020220_1120#0,"""ฉันจะไปด้วยค่ะ"""
msc_020220_1130#0,"""อ๊ะ..."""
msc_020220_1140#0,"""เธอยังไม่หายดีเลยนะ"""
msc_020220_1150#0,"""อิลม่า (Ilma) ฝากดูแลเธอด้วยนะคะ"""
msc_020220_1160#0,"""อืม เธอรออยู่ที่นี่นะ เข้าใจไหม?"""
msc_020220_1170#0,"""...เข้าใจแล้วค่ะ"""
msc_020220_1180#0,"""อิลม่า (Ilma) ฝากดูแลเธอด้วยนะคะ"""
msc_020220_1190#0,"""เอาล่ะ ปล่อยให้เป็นหน้าที่ฉันเอง"""
msc_020220_1200#0,"""รับทราบ!"""
msc_020220_1210#0,"""ฉันเดาว่าเธอยังไม่หายดีสินะคะ"""
msc_020220_1220#0,"""..."""
msc_020220_1230#0,"""งั้นฉันจะให้สิ่งนี้กับพวกคุณค่ะ"""
msc_020220_1240#0,"""นี่คืออะไรเหรอ?"""
msc_020220_1250#0,"""แผนที่ภายในเลเซียล (Leciel) ค่ะ"""
msc_020220_1260#0,"""ก่อนที่ฉันจะมาที่นี่ มาน่อนกำลัง<br>มุ่งหน้าไปยังโรงงานผลิต DOLLS ค่ะ"""
msc_020220_1270#0,"""ฉันไม่รู้ว่าตอนนี้เธอจะอยู่ที่ไหนแล้ว"""
msc_020220_1280#0,"""เลเซียล (Leciel) ได้ปิดกั้นตัวเอง<br>จากการสื่อสารภายนอกแล้วค่ะ"""
msc_020220_1290#0,"""เข้าใจแล้ว ขอบใจนะ"""
msc_020220_1300#0,"""...โปรดช่วยมาน่อนด้วยนะคะ"""
msc_020220_1310#0,"""อื้ม ปล่อยให้เป็นหน้าที่พวกเราเอง!"""
msc_020220_1320#0,"""พวกเราจะตามไปทันทีที่<br>จัดการเรื่องทางนี้เสร็จแล้วนะ"""
msc_020220_1330#0,"""จนกว่าจะถึงตอนนั้น ขอให้โชคดีนะ"""
