line01#0,"""4択クイズ、開始！<br>（全2問）"""
quize06_select2#0,"""마그너스산: 서"""
quize06_select3#0,"""발플로우 대폭포: 서"""
quize06_select4#0,"""피코트산"""
quize06_correct#0,"""<red>마그너스산: 동<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize06_incorrect#0,"""<red>마그너스산: 동<c>입니다!<br>크으~ 아쉽네요!!"""
quize07_select1#0,"""라카우 해안"""
quize07_select2#0,"""크라이아노 절벽"""
quize07_select3#0,"""에아리오 타운 흔적"""
quize07_select4#0,"""카나이 섬"""
quize07_correct#0,"""<red>라카우 해안<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize07_incorrect#0,"""<red>라카우 해안<c>입니다!<br>크으~ 아쉽네요!!"""
quize08_select1#0,"""베르가나 유적: 남"""
quize08_select2#0,"""베르가나 유적: 북"""
quize08_select3#0,"""미스트라 삼림: 남"""
quize08_select4#0,"""다난 설원"""
quize08_correct#0,"""<red>베르가나 유적: 남<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize08_incorrect#0,"""<red>베르가나 유적: 남<c>입니다!<br>크으~ 아쉽네요!!"""
quize09_select1#0,"""미스트라 삼림: 남"""
quize09_select2#0,"""베르가나 유적: 북"""
quize09_select3#0,"""베르가나 유적: 남"""
quize09_select4#0,"""다난 설원"""
quize09_correct#0,"""<red>미스트라 삼림: 남<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize09_incorrect#0,"""<red>미스트라 삼림: 남<c>입니다!<br>크으~ 아쉽네요!!"""
quize10_select1#0,"""라트바산: 북"""
quize10_select2#0,"""다난 설원: 서"""
quize10_select3#0,"""베르가나 유적: 북"""
quize10_select4#0,"""이하나산: 서"""
quize10_correct#0,"""<red>라트바산: 북<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize10_incorrect#0,"""<red>라트바산: 북<c>입니다!<br>크으~ 아쉽네요!!"""
quize11_select1#0,"""스텟킨 저지대"""
quize11_select2#0,"""모라바 협곡"""
quize11_select3#0,"""사간 산길: 서"""
quize11_select4#0,"""사간 산길: 동"""
quize11_correct#0,"""<red>스텟킨 저지대<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize11_incorrect#0,"""<red>스텟킨 저지대<c>입니다!<br>크으~ 아쉽네요!!"""
quize12_select1#0,"""사간 산길: 동"""
quize12_select2#0,"""모라바 협곡"""
quize12_select3#0,"""사간 산길: 서"""
quize12_select4#0,"""스텟킨 저지대"""
quize12_correct#0,"""<red>사간 산길: 동<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize12_incorrect#0,"""<red>사간 산길: 동<c>입니다!<br>크으~ 아쉽네요!!"""
quize13_select1#0,"""알디만드 사막"""
quize13_select2#0,"""트리니테스"""
quize13_select3#0,"""달스마블 사막"""
quize13_select4#0,"""가르네르 해안: 동"""
quize13_correct#0,"""<red>알디만드 사막<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize13_incorrect#0,"""<red>알디만드 사막<c>입니다!<br>크으~ 아쉽네요!!"""
quize14_select1#0,"""달스마블 사막"""
quize14_select2#0,"""트리니테스"""
quize14_select3#0,"""알디만드 사막"""
quize14_select4#0,"""가르네르 해안: 동"""
quize14_correct#0,"""<red>달스마블 사막<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize14_incorrect#0,"""<red>달스마블 사막<c>입니다!<br>크으~ 아쉽네요!!"""
quize15_select1#0,"""가르네르 해안: 서"""
quize15_select2#0,"""스텟킨 저지대"""
quize15_select3#0,"""알디만드 사막"""
quize15_select4#0,"""가르네르 해안: 동"""
quize15_correct#0,"""<red>가르네르 해안: 서<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize15_incorrect#0,"""<red>가르네르 해안: 서<c>입니다!<br>크으~ 아쉽네요!!"""
quize16_select1#0,"""아르테라 베이스"""
quize16_select2#0,"""페르사 암릉: 제2"""
quize16_select3#0,"""덱스트 베이스: 제1"""
quize16_select4#0,"""덱스트 베이스: 제2"""
quize16_correct#0,"""<red>아르테라 베이스<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize16_incorrect#0,"""<red>아르테라 베이스<c>입니다!<br>크으~ 아쉽네요!!"""
quize17_select1#0,"""덱스트 베이스: 제1"""
quize17_select2#0,"""페르사 암릉: 제2"""
quize17_select3#0,"""아르테라 베이스"""
quize17_select4#0,"""덱스트 베이스: 제2"""
quize17_correct#0,"""<red>아르테라 베이스<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize17_incorrect#0,"""<red>아르테라 베이스<c>입니다!<br>크으~ 아쉽네요!!"""
quize18_select1#0,"""드라이젠 플랜트: 제2"""
quize18_select2#0,"""드라이젠 플랜트: 제1"""
quize18_select3#0,"""페르사 암릉: 제1"""
quize18_select4#0,"""노이젠 플랜트"""
quize18_correct#0,"""<red>드라이젠 플랜트: 제2<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize18_incorrect#0,"""<red>드라이젠 플랜트: 제2<c>입니다!<br>크으~ 아쉽네요!!"""
quize19_select1#0,"""페르사 암릉: 제1"""
quize19_select2#0,"""드라이젠 플랜트: 제1"""
quize19_select3#0,"""페르사 암릉: 제2"""
quize19_select4#0,"""노이젠 플랜트"""
quize19_correct#0,"""<red>페르사 암릉: 제1<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize19_incorrect#0,"""<red>페르사 암릉: 제1<c>입니다!<br>크으~ 아쉽네요!!"""
quize20_select1#0,"""페르사 암릉: 제1"""
quize20_select2#0,"""드라이젠 플랜트: 제1"""
quize20_select3#0,"""페르사 암릉: 제2"""
quize20_select4#0,"""노이젠 플랜트"""
quize20_correct#0,"""<red>페르사 암릉: 제1<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize20_incorrect#0,"""<red>페르사 암릉: 제1<c>입니다!<br>크으~ 아쉽네요!!"""
