name_7234#0,"""패피 랍피"""
ssn_019080_002_0029#0,"""이런 기회는 두 번 다시 없을지도 몰라!<br>잘 부탁하네."""
ssn_019080_002_0030#0,"""자네와 내가 랍피에게 품은 깊은 애정이<br>분명 기적을 일으킬 거야. 나는 그렇게 믿고 있네."""
ssn_019080_002_0031#0,"""…돌아왔군.<br>정말 멋진 시간이었네."""
ssn_019080_002_0032#0,"""이번엔 내 고집에<br>어울려 줘서 고마웠네."""
ssn_019080_002_0033#0,"""이 감사의 마음은 꼭 형태로 남기고 싶네.<br>원하는 게 있으면 뭐든 말해 보게."""
ssn_019080_002_0034#0,"""내 권한 안에서 가능한 일이라면,<br>어느 정도는 해 줄 수 있을 걸세."""
ssn_019080_002_0035#0,"""아-아-, 들리나?<br>자네가 <%me> 맞지?"""
ssn_019080_002_0036#0,"""아-아-, 들리나?<br>오랜만이네, 보급 담당 시트레야."""
ssn_019080_002_0037#0,"""갑자기 연락해서 미안해.<br>나는 아크스 보급 담당인 시트레야."""
ssn_019080_002_0038#0,"""아무래도 상사… 아, 아니, 패피 랍피가<br>폐를 끼친 모양이라서."""
ssn_019080_002_0039#0,"""시트레, 나는 지금<br>둘이 감동을 나누고 있어서…"""
ssn_019080_002_0040#0,"""앞으로의 보급 계획 자료,<br>체크해 주셨나요?"""
ssn_019080_002_0041#0,"""…아직 못 봤어…"""
ssn_019080_002_0042#0,"""오늘 안으로 결재해 주세요."""
ssn_019080_002_0043#0,"""…그래서 일이 좀 밀려 있어서,<br>혹시 자네에게도 부탁할 일이 생길지 몰라."""
ssn_019080_002_0044#0,"""미안하지만, 그때는 잘 부탁해.<br>그럼 이만!"""
ssn_019080_002_0045#0,"""어쨌든 이번 은혜는 잊지 않겠네.<br>무슨 일이 있으면 사양 말고 말해 주게."""
ssn_019080_002_0046#0,"""앞으로도 랍피를 사랑하는 동지로서,<br>잘 부탁하네!"""
ssn_019080_002_0047#0,"""<%me>, 잘 왔네.<br>랍피 라이프는 순조로운가?"""
ssn_019080_002_0048#0,"""그건 그렇고,<br>뭔가 교환해 갈 텐가?"""
ssn_019080_002_0049#0,"""\""랍피 집회장\""은<br>아직 못 찾은 모양이군."""
ssn_019080_002_0050#0,"""드레드 에너미를 쓰러뜨리고,<br>안전한 장소를 만들자."""
ssn_019080_002_0051#0,"""그건 그렇고,<br>뭔가 교환해 갈 텐가?"""
ssn_019080_002_0052#0,"""으, 음…<br>방해를 받고 말았군."""
ssn_019080_002_0053#0,"""\""랍피 집회장\""은<br>아직 못 찾은 모양이군."""
ssn_019080_002_0054#0,"""드레드 에너미를 쓰러뜨리고,<br>안전한 장소를 만들자."""
ssn_019080_002_0055#0,"""그건 그렇고,<br>뭔가 교환해 갈 텐가?"""
npc_menu_0001#0,"""티켓과 교환하기"""
npc_menu_0002#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0003#0,"""시즈널 포인트의 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 대해"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 대해"""
npc_menu_0007#0,"""\""데일리/위클리 태스크\""에 대해"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 대해"""
npc_menu_0009#0,"""\""시즌 개더링\""에 대해"""
npc_menu_0010#0,"""\""시즈널 리전 마그\""에 대해"""
npc_menu_0011#0,"""\""시즌 에너미\""에 대해"""
npc_menu_0012#0,"""\""월드 트라이얼\""에 대해"""
npc_menu_0013#0,"""\""랍피 집회장\""에 대해"""
npc_menu_0014#0,"""묻고 싶은 것이 없다"""
npc_menu_0015#0,"""『PSO2』만화 메모리와 교환하기"""
