pr_064940_0010#0,"""Did you say... \""Angel\""?"""
pr_064940_0580#0,"""Dance?! Asuka and Ayanami...!"""
pr_064940_0590#0,"""You... What the hell are you imagining, you pervert?!"""
pr_064940_0600#0,"""Ow... You're the one that said it."""
pr_064940_0610#0,"""Shut up, idiot."""
pr_064940_0620#0,"""..."""
pr_064940_0630#0,"""No, Ayanami! It's not what you're thinking...!"""
pr_064940_0640#0,"""OK."""
pr_064940_0650#0,"""While I certainly wouldn't mind seeing them dance, I have something a little more useful in mind for them."""
pr_064940_0660#0,"""Hey, what?! You're a Cast or whatever, aren't you? I mean, you're not human, right?"""
pr_064940_0670#0,"""Yes, that's right. To be precise, Xiera and I are High Casts."""
pr_064940_0680#0,"""I don't care what you call it! I'm not letting you chop us up and turn us into robots!"""
pr_064940_0690#0,"""Oh, no, I'd never do that. You're the only ones who can help me with this. Heheheh."""
pr_064940_0700#0,"""I've got a bad feeling about this...<br>Misato, help! Your precious pilots are in danger!"""
pr_064940_0710#0,"""Asuka..."""
pr_064940_0720#0,"""Asuka, that's enough. You're to help Ludmilla with whatever she needs. That's your top priority from now on."""
pr_064940_0730#0,"""Ugh...! Hey, wonder girl, say something!"""
pr_064940_0740#0,"""Or do you want to be turned into a mechanical doll?!"""
pr_064940_0750#0,"""I will follow my mission."""
pr_064940_0760#0,"""Ahh, you're always like this!"""
pr_064940_0770#0,"""Ugh... Fine, I get it, I get it."""
pr_064940_0780#0,"""I don't want to stay in this stupid world any longer than I have to. If it'll get us home faster, I'll do it."""
pr_064940_0790#0,"""Alright, then it's settled."""
pr_064940_0800#0,"""Well then, everyone...<br>The Sixth Angel Eradication Operation begins now!"""
pr_064940_0810#0,"""View next story"""
pr_064940_0820#0,"""Finish"""
