msc_041020_0010#0,"""ไง พวกเธอมากันแล้วสินะ"""
msc_041020_0240#0,"""...เป้าหมายการเทียบเคียงข้อมูล Lucia ได้ทำการเปรียบเทียบกับข้อมูลทางชีวภาพ<br>ของ ARKS ทั้งหมด รวมถึงชาวเมือง Central City และ Lucielan"""
msc_041020_0250#0,"""ผลลัพธ์คือ... ไม่พบผู้ที่ตรงกันค่ะ ในฐานข้อมูลทั้งหมด<br>ไม่มีข้อมูลทางชีวภาพใดที่คิดว่าเป็นแบบเดียวกับของ Lucia เลยค่ะ"""
msc_041020_0260#0,"""ไม่มี... อยู่เลยเหรอ?"""
msc_041020_0270#0,"""ใช่ค่ะ<br>Lucia นั่นหมายความว่าคุณเป็น 【 บุคคลที่ไม่มีตัวตนอยู่จริงในที่ใดเลย 】 ค่ะ"""
msc_041020_0280#0,"""เรื่องแบบนั้น...!"""
msc_041020_0290#0,"""...ฉันรู้ดีว่าเธอเป็นคนช่วยพวกเขาเอาไว้ที่ Alter Realm<br>แล้วแน่นอนว่าฉันก็รู้สึกขอบคุณสำหรับเรื่องนั้นด้วย"""
msc_041020_0300#0,"""แต่ว่า เธอเป็นใครกันแน่ ในตอนนี้ยังไม่มีอะไรชัดเจนเลยสักอย่าง<br>ในฐานะองค์กรแล้ว จะปล่อยให้ตัวตนแบบนั้นเคลื่อนไหวอย่างอิสระโดยไม่มีเงื่อนไขไม่ได้หรอกนะ"""
msc_041020_0310#0,"""เพราะฉะนั้น ในช่วงต่อจากนี้<br>ฉันขอให้เธอร่วมเดินทางไปกับพวก <%me> ตลอดเวลานะ"""
msc_041020_0320#0,"""...นั่นหมายความว่า จะจับตาดูฉัน งั้นเหรอ?"""
msc_041020_0330#0,"""จะคิดแบบนั้นก็ไม่เป็นไรหรอกนะ<br>แต่นี่เป็นสิ่งจำเป็นในการรักษาความปลอดภัยของกลุ่มที่เรียกว่า ARKS"""
msc_041020_0340#0,"""ถ้าวันไหนที่เรื่องของเธอกระจ่างขึ้น การตัดสินใจนี้ก็อาจจะเปลี่ยนแปลงได้<br>เพราะงั้น... ตอนนี้อยากจะให้ใจเย็นๆ แล้วยอมรับมาตรการนี้ไปก่อนนะ"""
msc_041020_0350#0,"""...อะไรกันเนี่ย<br>พูดเหมือนกับว่าฉันเป็นศัตรูอย่างนั้นแหละ"""
msc_041020_0360#0,"""ฉันต้องนึกให้ออกสิ<br>ว่าตัวเองเป็นใคร... แล้วต้องทำอะไรบ้าง...!"""
msc_041020_0370#0,"""จะให้ฉันหยุดอยู่ตรงนี้ โดยที่ในหัวยังว่างเปล่าแบบนี้ไปตลอดน่ะ<br>เรื่องแบบนั้น... ทนไม่ไหวหรอกนะ!"""
msc_041020_0380#0,"""Lucia!"""
msc_041020_0390#0,"""ตามไปกันเถอะ!"""
msc_041020_0400#0,"""ขอโทษด้วยนะ ฝากเธอดูแลด้วยล่ะ<br>ถ้าเป็นคำพูดของพวกเธอ เธอคงจะยอมรับฟังแน่ๆ"""
