msc_041190_0010#0,"""ทุกคน มากันแล้วสินะ"""
msc_041190_0350#0,"""...ทำไมถึงต้องลงทุนมาบอกพวกเราด้วยล่ะ?"""
msc_041190_0360#0,"""การละเล่นที่รู้ผลแพ้ชนะตั้งแต่แรกมันน่าเบื่อจะตายไปใช่ไหมล่ะ?<br>ก็แค่การต่อให้เล็กๆ น้อยๆ เท่านั้นแหละ"""
msc_041190_0370#0,"""พูดมากจังเลยนะ<br>นี่คือความมั่นใจของคนที่มีชื่อว่า Three Shadow Heroes งั้นสิ?"""
msc_041190_0380#0,"""...อ่า มาไม้นี้สินะ เป็นแผนที่ดีนะ Original"""
msc_041190_0390#0,"""แต่น่าเสียดาย ฉันไม่บอกไปมากกว่านี้หรอกนะ<br>ก็เพราะเธอคงกำลังคิดแบบนี้อยู่ล่ะสิ?"""
msc_041190_0400#0,"""กะจะหลอกถามข้อมูลจากฉันให้ได้มากที่สุด<br>แล้วทุ่มกำลังทั้งหมดที่มีในตอนนี้ จัดการฉันให้สิ้นซาก... สินะ"""
msc_041190_0410#0,"""แต่นั่นเป็นการเดิมพันที่เสี่ยงอยู่นะ ถ้าสู้กันตรงนี้ล่ะก็ ทั้งเมืองนี้<br>หรือพวกเธอที่กำลังหลับใหลอยู่ตรงนั้นจะเป็นยังไง... เธอเองก็น่าจะรู้ดีนี่?"""
msc_041190_0420#0,"""ขี้ขลาดนี่"""
msc_041190_0430#0,"""ทำอะไรลงไปน่ะ"""
msc_041190_0440#0,"""แล้วมันผิดตรงไหนล่ะ?<br>เพราะมัวแต่ยึดติดกับของไร้สาระแบบนี้ไง พวกเธอถึงได้อ่อนแอน่ะ"""
msc_041190_0450#0,"""ก็แค่ทำให้หลับไปหน่อยนึงน่ะ<br>ไม่ต้องห่วงหรอก เดี๋ยวก็ตื่นแล้ว"""
msc_041190_0460#0,"""อึก..."""
msc_041190_0470#0,"""ฟุฟุ... ฮ่าฮ่าฮ่า อย่าจ้องเขม็งแบบนั้นสิ ท่านผู้บัญชาการ<br>การมีสิ่งให้ปกป้องเยอะเนี่ย มันลำบากจังเลยเนอะ?"""
msc_041190_0480#0,"""งั้น ครั้งนี้ขอตัวก่อนก็แล้วกัน<br>จะตั้งตารอวันที่พวกเธอมาเยือนนะ"""
msc_041190_0490#0,"""...อ้อ จริงสิ ตรงนั้นมี 【 เด็กหลงทาง 】 ที่อยู่ผิดที่ผิดทางอยู่ใช่ไหมล่ะ?<br>อย่าลืมพาเธอคนนั้นมาด้วยล่ะ"""
msc_041190_0500#0,"""เพราะการละเล่นนี้ เธอคนนั้นก็จำเป็นเหมือนกันน่ะ<br>งั้น ไว้เจอกันใหม่นะ"""
msc_041190_0510#0,"""ข้ามมิติ... ไปแล้ว"""
msc_041190_0520#0,"""...การต่อสู้ยังไม่รู้ผลหรอกนะ<br>เบาะแสน่ะ เราได้มามากพอแล้วล่ะ"""
name01#0,"""???"""
