st_052050_0010#0,"""Aku mengatakan ini ke semua orang juga, tapi aku sungguh berterima kasih atas bantuanmu."""
st_052050_0190#0,"""Satu negara berspesialisasi dalam meningkatkan kekuatan mereka, satu lagi menggunakan sihir untuk teknik pengobatan, dan satunya lagi menggunakannya untuk proliferasi."""
st_052050_0200#0,"""Dan yang terakhir, negara kami menciptakan Sihir Pemanggilan."""
st_052050_0210#0,"""Devil Castle adalah puncak dari Sihir Pemanggilan. Mereka akan mengakar di dunia ini dengan mengonsumsi Ephimera yang tumbuh di sekitarnya."""
st_052050_0220#0,"""Mereka akan membuat tembok pembatas di sekelilingnya dan memanggil Demon untuk menyerang, dan mereka sendiri bisa menggunakan serangan tertentu."""
st_052050_0230#0,"""Tidak peduli sihir apa yang digunakan, hampir tidak mungkin untuk menghancurkan tembok pembatas yang mereka buat."""
st_052050_0240#0,"""Setelah dipanggil, tidak mungkin lagi untuk memanggil Devil Castle yang lain karena kurangnya Mana dan Ephimera yang telah digunakan untuk memanggil yang pertama."""
st_052050_0250#0,"""Kalau begitu, siapa yang bisa memanggil Devil Castle duluan akan menang."""
st_052050_0260#0,"""Itu benar. Perang telah berubah... Semuanya karena kemunculan dari Devil Castle."""
st_052050_0270#0,"""Oleh karena itu, \""Buster Tower\"" diciptakan untuk mengalahkan Sihir Pemanggilan yang jahat ini."""
st_052050_0280#0,"""Jadi itu yang tadi kita gunakan dalam pertempuran sebelumnya."""
st_052050_0290#0,"""Buster Tower adalah senjata penerobos yang menggunakan Mana di atmosfir untuk menghancurkan Devil Barrier."""
st_052050_0300#0,"""Namun, mereka memerlukan Mana yang banyak untuk bisa digunakan. Tanpa menggunakan Ephimera, kita tidak mungkin bisa mengendalikannya."""
st_052050_0310#0,"""Meski begitu, <%me> bisa mengendalikannya dengan mudah untuk menghancurkan Devil Castle."""
st_052050_0320#0,"""Menggunakan Mana untuk sihir, teknologinya memerlukan usaha yang besar... Untuk memakai kekuatannya, suatu kompensasi akan diperlukan."""
st_052050_0330#0,"""Mustahil untuk bisa menggunakan kekuatan sebesar itu tanpa bayaran apapun..."""
st_052050_0340#0,"""Perseteruan antar negara, kudeta di negaraku sendiri... Itu semua akibat dari kekuatan Ephimera."""
st_052050_0350#0,"""Bunga iblis ini... Dan nektar iblisnya telah membuat dunia ini menjadi gila. Kami ingin menghapus Ephimera dari dunia ini, dan mengembalikan kedamaian negara, bukan, dunia kami."""
st_052050_0360#0,"""Kedamaian dunia terdengar sangat muluk...<br>Tapi aku tidak bisa berkomentar banyak."""
st_052050_0370#0,"""Harriet, bolehkah <%me> memegang bunga itu?"""
st_052050_0380#0,"""Fokuskan kekuatanmu pada bunga itu, seperti apa yang kamu lakukan biasanya dengan Photon."""
st_052050_0390#0,"""Sudah kuduga..."""
st_052050_0400#0,"""Sudah kuduga..."""
st_052050_0410#0,"""Eh? Harriet, apa maksudmu?"""
st_052050_0420#0,"""Ini adalah bagian dari cerita yang ingin kujelaskan sebelumnya. Ada legenda tua yang diwariskan sejak zaman kuno."""
st_052050_0430#0,"""Isinya seperti ini."""
st_052050_0440#0,"""Meskipun dunia dilanda kegelapan, janganlah berduka.<br>Dari cahaya yang jauh, dari tanah yang jauh, seorang pelindung yang dipandu oleh peri akan muncul."""
st_052050_0450#0,"""Pelindung itu akan membawa kita ke jalan cahaya.<br>Cahaya itu akan menjadi panduan bagi para pemberani yang akan membimbing teman-teman mereka."""
st_052050_0460#0,"""Dan mereka akan membawa orang-orang ke arah yang benar."""
st_052050_0470#0,"""Janganlah takut, karena mereka akan memandu kita menuju keselamatan.<br>Seorang penyelamat akan tiba, melenyapkan kegelapan, dan membawa cahaya terang."""
st_052050_0480#0,"""<%me>, pengunjung dari tanah yang jauh seperti yang diceritakan dalam legenda..."""
st_052050_0490#0,"""Bukan, \""Guardian\""."""
st_052050_0500#0,"""Aku mohon padamu, tolong pinjamkanlah kekuatanmu pada kami semua."""
st_052050_0510#0,"""Benar-benar cerita yang luar biasa..."""
st_052050_0520#0,"""Apakah kamu baik-baik saja dengan ini semua, Harriet?"""
st_052050_0530#0,"""Aku mengerti ini semua dari legenda, tapi sudah jelas bahwa kami bukan dari dunia ini. Bukankah tidak bijak untuk mempercayai orang-orang seperti kami begitu saja?"""
st_052050_0540#0,"""Tentu saja, aku akan berhati-hati kalau ini semua hanyalah sebuah dongeng."""
st_052050_0550#0,"""Tapi, kalian telah membantuku dan menyelamatkanku dua kali."""
st_052050_0560#0,"""Dengan itu saja, kalian telah mendapat kepercayaanku."""
st_052050_0570#0,"""Tanpa mengetahui yang benar dan salah di dunia ini, kalian telah membantu kami tanpa ragu-ragu. Untuk itu, aku akan tetap mempercayai kalian."""
st_052050_0580#0,"""Meskipun tanpa legenda itu, aku akan tetap melakukan hal yang sama."""
st_052050_0590#0,"""Bunga Ephimera itu, dia bereaksi terhadap Photon dan menghilang."""
st_052050_0600#0,"""Bunga itu adalah suatu wujud dari elemen Darker.<br>Sebagai ARKS, kita tidak bisa menghiraukan itu. Lagipula..."""
st_052050_0610#0,"""Karena kamu sudah menjelaskan semua ini, kita wajib untuk membantumu bagaimanapun juga. Iya kan...?"""
st_052050_0620#0,"""Terima kasih banyak!"""
st_052050_0630#0,"""Kita telah mendapatkan banyak informasi.<br>Bagaimana kalau kita kembali ke ARKS Ship dan melaporkan penemuan kita?"""
skit01#0,"""Sang Penyelamat"""
skit02#0,"""Keberadaan sang Penyelamat"""
