WINDOW_TITLE#0,"""어떻게 할까?"""
RECYCLESHOP_JIG_TITLE19#0,"""신세무기 입수"""
RECYCLESHOP_JIG_TITLE20#0,"""무기 카테고리 변경"""
RECYCLESHOP_JIG_TITLE21#0,"""심원 시온 시리즈 입수"""
RECYCLESHOP_JIG_TITLE22#0,"""용자의 문장으로 ★14무기 입수"""
RECYCLESHOP_JIG_TITLE23#0,"""이브리더 시리즈 업그레이드<pict Fresh>"""
RECYCLESHOP_JIG_TITLE24#0,"""문장으로 장비 입수"""
RECYCLESHOP_JIG_TITLE25#0,"""타격무기 입수"""
RECYCLESHOP_JIG_TITLE26#0,"""사격무기 입수"""
RECYCLESHOP_JIG_TITLE27#0,"""법격무기 입수"""
RECYCLESHOP_JIG_TITLE28#0,"""유닛 입수"""
RECYCLESHOP_JIG_TITLE29#0,"""무기 카테고리 변경"""
RECYCLESHOP_REO_TITLE01#0,"""증서로 ★13무기 입수"""
RECYCLESHOP_REO_TITLE02#0,"""증서B로 ★14무기 입수"""
TICHETSHOP_SEA_TITLE01#0,"""6주년 기념 교환샵 전편(~2018년7월11일11시00분)"""
TICHETSHOP_SEA_TITLE02#0,"""6주년 기념 교환샵 후편(~2018년7월25일11시00분)"""
TICHETSHOP_SEA_TITLE03#0,"""6주년 기념 교환샵 전편（～2018년8월1일11시00분)"""
TICHETSHOP_SEA_TITLE04#0,"""6주년 기념 교환샵 후편（～2018년8월8일11시00분)"""
TICHETSHOP_SEA_TITLE05#0,"""호무라 시리즈 교환샵 （～2018년8월8일11시00분)"""
TICHETSHOP_SEA_TITLE06#0,"""신년제 2019 교환샵 ・전편（～2019년1월23일11시00분）"""
TICHETSHOP_SEA_TITLE07#0,"""신년제 2019 교환샵 ・후편（～2019년2월6일11시00분）"""
TICHETSHOP_SEA_TITLE08#0,"""오메가 DF시리즈 교환샵 （～2019년3월6일11시00분）"""
TICHETSHOP_SEA_TITLE09#0,"""신년제 2019 교환샵 ・전편（～2019년2월20일11시00분）"""
TICHETSHOP_SEA_TITLE10#0,"""신년제 2019 교환샵 ・후편（～2019년3월6일11시00분）"""
TICHETSHOP_SEA_TITLE13#0,"""한정 AC리사이클샵（～2019년8월21일11시00분)"""
TICHETSHOP_SEA_TITLE14#0,"""7주년 뱃지 교환샵 전편（～2019년7월24일11시00분)"""
TICHETSHOP_SEA_TITLE15#0,"""웹 연동패널 확인"""
TICHETSHOP_SEA_TITLE21#0,"""7주년 뱃지 교환샵 후편 （～2019년8월7일11시00분)"""
TICHETSHOP_SEA_TITLE24#0,"""7주년 뱃지 교환샵 교환샵 （～2019년8월21일11시00분)"""
TICHETSHOP_SEA_TITLE22#0,"""7주년 뱃지로 노벨 시리즈 교환권 입수"""
TICHETSHOP_SEA_TITLE23#0,"""노벨 시리즈 교환샵 （～2019년8월21일11시00분)"""
TICHETSHOP_SEA_TITLE16#0,"""개인 포인트 보상 확인"""
TICHETSHOP_SEA_TITLE17#0,"""획득 포인트 랭킹보상 확인"""
TICHETSHOP_SEA_TITLE18#0,"""획득 포인트 랭킹"""
TICHETSHOP_SEA_TITLE19#0,"""전편 랭킹 확인"""
TICHETSHOP_SEA_TITLE20#0,"""후편 랭킹 확인"""
TICHETSHOP_SEA_TITLE25#0,"""웹 연동 메뉴"""
TICHETSHOP_COLLABO_TITTLE01#0,"""수렵석 교환샵 （～2018년12월5일11시00분)"""
TICHETSHOP_COLLABO_TITTLE02#0,"""세레 시리즈 교환샵 （～2018년12월5일11시00분)"""
QC_STORY_EP6#0,"""스토리 퀘스트"""
EP6_CHANGE_SIERRA#0,"""에피소드 변경"""
00_01#0,"""선택지 1"""
00_02#0,"""선택지 2"""
TALK_ST#0,"""대화하기"""
C_ORDER_ST#0,"""상담을 들어주기"""
