st_056210_0010#0,"""……和昆特好不一樣<br>好有特典的城堡。"""
st_056210_0540#0,"""不只是黑暗法爾斯【若人】<br>還有瑪露的力量附着在那具身體上。<br>這樣的話，在這裏就沒辦法……"""
st_056210_0550#0,"""即使如此，也沒辦法退縮"""
st_056210_0560#0,"""約好了要救她"""
st_056210_0570#0,"""……對的。<br>必須要救瑪露嘉蕾妲大人……！"""
st_056210_0580#0,"""噫……！"""
st_056210_0590#0,"""啊啊啊啊啊啊！？<br>這是啥這是啥啊啊啊啊啊啊啊！"""
st_056210_0600#0,"""瞎眼死了瞎眼爆了！ 瞎眼王瞎眼皇！<br>騙人的吧，這就是我未來的樣子ー！"""
st_056210_0610#0,"""……哈，哈啊啊啊啊？！<br>面對究極的美貌<br>乳臭未乾的小鬼在說什麼呢？！"""
st_056210_0620#0,"""啊啊，別說話別說話！<br>只有這個說話方式像我<br>在這麼下去會變得討厭自己了！"""
st_056210_0630#0,"""區區憑依就別說話了！<br>你懂的吧！"""
st_056210_0640#0,"""王不可能會懂的吧！<br>你真的是我麼！？<br>腦子都不太好使了！？"""
st_056210_0650#0,"""你就那樣閉嘴別說話了<br>然後被守護輝士劈里啪啦<br>得打倒就行了！"""
st_056210_0660#0,"""爲了世界爲了人類爲了國家爲了神<br>最重要的是爲了我！"""
st_056210_0670#0,"""明明應該被侵佔了身體的<br>這麼吵鬧……怎麼想<br>都是瑪露桑吧。"""
st_056210_0680#0,"""這不是明擺的麼！<br>你以爲我是誰啊！<br>我可是神王瑪露嘉蕾妲！"""
st_056210_0690#0,"""不管是使用神的力量<br>還是隨便折騰這個國家的資格<br>都是只有我一個人才行的！"""
st_056210_0700#0,"""最重要的是，絕對沒辦法<br>認同這個瞎眼怪就是將來的我……！"""
st_056210_0710#0,"""所以守護輝士，快上！<br>幹翻她！"""
st_056210_0720#0,"""交給我吧！"""
st_056210_0730#0,"""我會讓她爽翻天的"""
st_056210_0740#0,"""開始吧！"""
st_056210_0750#0,"""搞錯了吧！？<br>嘛，無所謂啦。"""
st_056210_0760#0,"""……到底要<br>小瞧我到什麼地步！？"""
name01#0,"""神官"""
name02#0,"""？？？"""
