IncidentJsApcBegin#0,"""/ci2 2 嗨，看你好像陷入苦戰了！<br>讓我來助你一臂之力吧！"""
IncidentJsApcSuccessEvo#7,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
IncidentJsApcBegin#8,"""/ci2 2 哦，來得正好<br>可以請你幫我一下麼？"""
IncidentJsApcSuccess#8,"""/ci2 2 好，結束了<br>謝啦，幫了我一個大忙"""
IncidentJsApcFailure#8,"""那裡吧......<br>再打下去有點吃力<br>我要撤退囉"""
IncidentJsApcBeginEvo#8,"""/ci4 5 哎喲？<br>好像還有敵人要來呢"""
IncidentJsApcSuccessEvo#8,"""/ci2 2 好，結束了<br>謝啦，幫了我一個大忙"""
IncidentJsApcBegin#9,"""/ci4 5 ......來得正是時候。<br>敵人數量有點多，幫幫我。"""
IncidentJsApcSuccess#9,"""/ci1 5 ……如果只有我一個人的話<br>我想一定很危險。<br>所以呢，我想好好道謝。<br>……謝謝你。"""
IncidentJsApcFailure#9,"""......對不起，我不能再<br>打了。我撤退了。"""
IncidentJsApcBeginEvo#9,"""/ci4 5 ......新的敵人要來了。<br>小心，做好準備。"""
IncidentJsApcSuccessEvo#9,"""/ci1 5 ……如果只有我一個人的話<br>我想一定很危險。<br>所以呢，我想好好道謝。<br>……謝謝你。"""
IncidentJsApcBegin#10,"""/ci2 1 喔喔，來得正是時候！<br>敵人數量有點多<br>快過來幫我吧。"""
IncidentJsApcSuccess#10,"""/ci2 1 好，差不多都解決了！<br>謝啦，多虧有你<br>才能撐過剛才的場面。"""
IncidentJsApcFailure#10,"""......唔，想不到事情會變成這樣。<br>抱歉，我先撤退了。"""
IncidentJsApcBeginEvo#10,"""/ci3 1 這個感覺......<br>也許會出現新的敵人。<br>別忘了做好準備，提高警覺。"""
IncidentJsApcSuccessEvo#10,"""/ci2 1 好，差不多都解決了！<br>謝啦，多虧有你<br>才能撐過剛才的場面。"""
IncidentJsApcBegin#11,"""/toge /ci1 1 哦，哦哦，你是ARKS的人吧！<br>那麼，可以請你幫我點忙麼。<br>數量太多，老骨頭應付不來啦。"""
IncidentJsApcSuccess#11,"""/toge /ci2 1 嗯，這樣應該就結束了。<br>你做得很好，幫了我一個大忙。"""
IncidentJsApcFailure#11,"""唔......果真是<br>歲月不饒人啊......<br>我得先撤退了。"""
IncidentJsApcBeginEvo#11,"""/toge /ci3 1 可惡，有新的敵人要出現了！<br>想整死我這把老骨頭麼！"""
IncidentJsApcSuccessEvo#11,"""/toge /ci2 1 嗯，這樣應該就結束了。<br>你做得很好，幫了我一個大忙。"""
IncidentJsApcBegin#12,"""/toge /mn9 /ci2 1 喂喂喂，這邊這邊這邊！<br>來得可真是時候！<br>幫我一下嘛，好麼！"""
IncidentJsApcSuccess#12,"""/mn15 /ci2 4 很好，清潔溜溜！<br>嘿嘿，怎麼樣怎麼樣？<br>我也滿有一套的吧，是不是？"""
IncidentJsApcFailure#12,"""嗚嗚......這是什麼狀況啊......<br>真的玩不下去了。<br>我要撤退囉。"""
IncidentJsApcBeginEvo#12,"""/mn2 /ci2 1 給我等一下，這是什麼狀況啊！<br>新敵人的反應超強烈的耶！"""
IncidentJsApcSuccessEvo#12,"""/mn15 /ci2 4 很好，清潔溜溜！<br>嘿嘿，怎麼樣怎麼樣？<br>我也滿有一套的吧，是不是？"""
IncidentJsApcBegin#13,"""/ci5 2 哎呀哎呀哎呀？<br>為什麼有這麼多獵物，卻<br>沒有找莉莎一起來？"""
IncidentJsApcSuccess#13,"""/ci4 3 已經結束了麼？<br>嗯......真想再多打一點呢。<br>所以莉莎要悄悄離開了。"""
IncidentJsApcFailure#13,"""......嗯─，莉莎好像有點<br>膩了。我要回去囉。<br>那麼拜囉，那麼拜囉拜囉。"""
IncidentJsApcBeginEvo#13,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#13,"""/ci4 3 已經結束了麼？<br>嗯......真想再多打一點呢。<br>所以莉莎要悄悄離開了。"""
IncidentJsApcBegin#14,"""/mn10 /ci4 5 啊，不好意思......如果方便<br>可以請您幫幫我麼。<br>......與其說是遇到危險，不如說是嫌麻煩。"""
IncidentJsApcSuccess#14,"""/ci4 1 ......結、結束了麼？<br>呼......啊，呃，謝謝您的幫助。<br>非到逼不得已，我實在不太想戰鬥......"""
IncidentJsApcFailure#14,"""......還是謹慎一點比較好嘛。<br>抱歉，我要回去了。"""
IncidentJsApcBeginEvo#14,"""/mn10 /ci4 5 唉......好像又要來了。<br>為什麼會這樣接二連三地<br>出現呢......"""
IncidentJsApcSuccessEvo#14,"""/ci4 1 ......結、結束了麼？<br>呼......啊，呃，謝謝您的幫助。<br>非到逼不得已，我實在不太想戰鬥......"""
IncidentJsApcBegin#15,"""/toge /ci1 3 既然ARKS遇到危機了<br>我怎能坐視不管。<br>讓我助你一臂之力吧。"""
IncidentJsApcSuccess#15,"""/ci1 3 嗯，算是不錯的運動。<br>那麼，我走了。<br>別忘了繼續磨練自己。"""
IncidentJsApcFailure#15,"""整天坐辦公桌，身體似乎僵硬了。<br>我得多想想才行......<br>抱歉，我得撤退了。"""
IncidentJsApcBeginEvo#15,"""/ci5 3 又要來了啊......<br>看來他們是活得不耐煩了。"""
IncidentJsApcSuccessEvo#15,"""/ci1 3 嗯，算是不錯的運動。<br>那麼，我走了。<br>別忘了繼續磨練自己。"""
IncidentJsApcBegin#16,"""/toge /ci2 2 哦，你！ 我說你啊你！<br>好像在做什麼很有趣的事情吶！<br>也讓我參一咖吧！"""
IncidentJsApcSuccess#16,"""/mn15 /ci2 1 哼哼哼，你看到了沒？<br>看到我的實力了麼？　看到了吧！<br>嗯，很好很好，我很滿意！"""
IncidentJsApcFailure#16,"""/mn10  唔......什麼嘛，真沒意思。<br>開始打瞌睡了，我要回去了！"""
IncidentJsApcBeginEvo#16,"""/mn15 /ci2 1 喔喔，你看你看！<br>敵人又出來了！<br>那個也可以炸掉沒關係吧？"""
IncidentJsApcSuccessEvo#16,"""/mn15 /ci2 1 哼哼哼，你看到了沒？<br>看到我的實力了麼？　看到了吧！<br>嗯，很好很好，我很滿意！"""
IncidentJsApcBegin#17,"""/ci1 3 ......這不在我的任務之內<br>但我不能置之不理。"""
IncidentJsApcSuccess#17,"""/ci1 5 ......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcFailure#17,"""非常抱歉......<br>我要撤退了。"""
IncidentJsApcBeginEvo#17,"""……好像還會來呢。<br>趕快清一清吧。 """
IncidentJsApcSuccessEvo#17,"""/ci1 5 ......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcBegin#18,"""/toge /ci2 1 <br>哇哈哈哈！ 六芒均衡的修伊參戰！<br>意外的好像在苦戰中呢！<br>沒關係！ 這裡就交給我吧！"""
IncidentJsApcSuccess#18,"""/toge /ci2 1 算上我一份的話，<br>這種程度根本算不了什麼！<br>還有什麼事情的話儘管叫上我！<br>我隨時都會，在你身邊哦！"""
IncidentJsApcFailure#18,"""/toge /ci2 1 輸了…我竟然輸了…！？<br>對不起，先讓我撤退吧！"""
IncidentJsApcBeginEvo#18,"""/toge /ci2 嗯嗯……有了更加強烈的<br>惡意的氣息！再來一碗的意思麼！<br>好吧，就由我來做為你的對手！"""
IncidentJsApcSuccessEvo#18,"""/toge /ci2 1 算上我一份的話，<br>這種程度根本算不了什麼！<br>還有什麼事情的話儘管叫上我！<br>我隨時都會，在你身邊哦！"""
IncidentJsApcBegin#19,"""/toge /ci3 2 你好像被包圍了啊<br>讓我來幫你！"""
IncidentJsApcSuccess#19,"""/ci2 2 好，你做得很好！<br>那麼，我該走了！"""
IncidentJsApcFailure#19,"""竟然這點程度的交戰都應付不來......<br>我的實力也大不如前了......"""
IncidentJsApcBeginEvo#19,"""嗯，新面孔麼！<br>不要掉以輕心哦！"""
IncidentJsApcSuccessEvo#19,"""/ci2 2 好，你做得很好！<br>那麼，我該走了！"""
IncidentJsApcBegin#20,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#20,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#20,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcSuccessEvo#20,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcBegin#21,"""/ci4 2 你出現得正好<br>來幫我一點忙吧"""
IncidentJsApcSuccess#21,"""/ci2 2 ......就跟你道個謝吧"""
IncidentJsApcFailure#21,"""......似乎有點太貪心了<br>我要先撤退了"""
IncidentJsApcBeginEvo#20,"""/ci5 2 ......這個感覺<br>嘖，又來了麼"""
IncidentJsApcSuccessEvo#21,"""/ci2 2 ......就跟你道個謝吧"""
IncidentJsApcBegin#22,"""/mn2 /ci4 3 前、前輩！<br>抱歉、請協助我！<br>好多敵人要過來了......！"""
IncidentJsApcSuccess#22,"""/mn15 /ci2 1 呼、總算還是做到了......<br>前輩、謝謝您！"""
IncidentJsApcFailure#22,"""/mn7 嗚嗚......抱歉......<br>沒辦法再繼續下去了......"""
IncidentJsApcBeginEvo#21,"""哇哇、哇哇哇……！<br>不覺得好像，還會出來的樣子……"""
IncidentJsApcSuccessEvo#22,"""/mn15 /ci2 1 呼、總算還是做到了......<br>前輩、謝謝您！"""
IncidentJsApcBegin#23,"""/ci2 1 教授！<br>自己一個人狀況有點太嚴苛了！<br>不好意思請幫個忙!"""
IncidentJsApcSuccess#23,"""/ci2 1 成功了！<br>總算是擊退了！<br>都是多虧了教授！"""
IncidentJsApcFailure#23,"""......教授、萬分抱歉。<br>我先自己退下了"""
IncidentJsApcBeginEvo#22,"""嗯嗯、哦哦哦！<br>新的氣息！<br>老師，好像還沒結束呢！"""
IncidentJsApcSuccessEvo#23,"""/ci2 1 成功了！<br>總算是擊退了！<br>都是多虧了教授！"""
IncidentJsApcBegin#24,"""/ci1 3 ......這不在我的任務之內<br>但我不能置之不理。"""
IncidentJsApcSuccess#24,"""/ci1 5 ......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcFailure#24,"""非常抱歉......<br>我要撤退了。"""
IncidentJsApcSuccessEvo#24,"""/ci1 5 ......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcBegin#25,"""/ci1 3 ......還有很多敵人呢<br>我來幫您殲滅他們吧。"""
IncidentJsApcSuccess#25,"""/ci1 5 那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcFailure#25,"""......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcSuccessEvo#25,"""/ci1 5 那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcBegin#26,"""/toge /ci1 1 只要一起加油<br>一定能贏的！"""
IncidentJsApcSuccess#26,"""/toge /mn37 /ci2 4 成功了喵！<br>謝謝喵～！！"""
IncidentJsApcFailure#26,"""/mn2 /ci4 1 嗚哇～！<br>結果還是不行喵～！！"""
IncidentJsApcSuccessEvo#26,"""/toge /mn37 /ci2 4 成功了喵！<br>謝謝喵～！！"""
IncidentJsApcBegin#27,"""/toge /ci1 1 幫手來了！<br>這下贏定了！"""
IncidentJsApcSuccess#27,"""/toge /mn17 /ci2 4 成功了喵～！<br>我整隻貓都哭了！"""
IncidentJsApcFailure#27,"""/mn30 /ci4 1 這就是......<br>世界的選擇喵......"""
IncidentJsApcSuccessEvo#27,"""/toge /mn17 /ci2 4 成功了喵～！<br>我整隻貓都哭了！"""
IncidentJsApcBegin#28,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙麼？"""
IncidentJsApcSuccess#28,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那就下次見咯！"""
IncidentJsApcFailure#28,"""嗚嗚......我不行了......<br>對不起，讓我先<br>撤退吧......"""
IncidentJsApcBeginEvo#23,"""/ci3 1 嗚哇......好像有種很不妙的<br>反應就在附近......<br>小心為上！"""
IncidentJsApcSuccessEvo#28,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那就下次見咯！"""
IncidentJsApcBegin#29,"""/mn15 /toge /ci2 1 來得剛好！<br>可以幫我個忙麼─！"""
IncidentJsApcSuccess#29,"""/toge /ci2 1 哎呀，真的很謝謝你！<br>多虧你的幫助，總算是撐過去了！<br>多謝多謝，萬分感謝！"""
IncidentJsApcFailure#29,"""被打敗了......！<br>對不起，我要撤退了......"""
IncidentJsApcBeginEvo#24,"""/ci4 5 おおっとぉ、まだ来る気配だね？"""
IncidentJsApcSuccessEvo#29,"""/toge /ci2 1 哎呀，真的很謝謝你！<br>多虧你的幫助，總算是撐過去了！<br>多謝多謝，萬分感謝！"""
IncidentJsApcBegin#30,"""/toge /ci3 1 ......真是，我看不下去了！<br>我來幫你，快點<br>把這些傢伙解決掉吧！"""
IncidentJsApcSuccess#30,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
IncidentJsApcFailure#30,"""唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcBeginEvo#25,"""/ci3 1 ……還會來的樣子。<br>吶，趕快清一清吧！"""
IncidentJsApcSuccessEvo#30,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
IncidentJsApcBegin#31,"""/ci2 2 啊，前輩！<br>抱歉，請你幫我個忙！"""
IncidentJsApcSuccess#31,"""/ci2 1 前輩......那個，幸虧你救了我<br>謝謝你來幫助我"""
IncidentJsApcFailure#31,"""......我無法再戰了<br>抱歉，前輩，我要撤退了"""
IncidentJsApcBeginEvo#26,"""/ci2 2 ちぇっ、まだ来るみたいだ"""
IncidentJsApcSuccessEvo#31,"""/ci2 1 前輩......那個，幸虧你救了我<br>謝謝你來幫助我"""
IncidentJsApcBegin#32,"""/ci1 3 ......還有很多敵人呢<br>我來幫您殲滅他們吧。"""
IncidentJsApcSuccess#32,"""/ci1 5 那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcFailure#32,"""......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcSuccessEvo#32,"""/ci1 5 那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcBegin#33,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#33,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#33,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#27,"""啊啦，難道是新面孔麼？"""
IncidentJsApcSuccessEvo#33,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcBegin#34,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#34,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcFailure#34,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#28,"""好像還會來呢"""
IncidentJsApcSuccessEvo#34,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcBegin#35,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#35,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#35,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#29,"""好像還會來的樣子<br>真想稍微休息一下"""
IncidentJsApcSuccessEvo#35,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcBegin#36,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#36,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#36,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#30,"""……還會再來的樣子呢"""
IncidentJsApcSuccessEvo#36,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcBegin#37,"""/mn24 /ci2 2 啊，前輩！<br>抱歉，請你幫我個忙！"""
IncidentJsApcSuccess#37,"""/mn38 /ci2 1 如果沒有前輩的話<br>到底會變成怎麼樣我也不清楚……<br>你能夠來，真的謝謝。"""
IncidentJsApcFailure#37,"""/ci4 5 ……我沒辦法再繼續戰鬥了<br>對不起前輩，我先撤退了。"""
IncidentJsApcBeginEvo#31,"""/mn31 /ci2 2 切，好像還會過來的樣子<br>……可是，好像跟平常的不一樣？"""
IncidentJsApcSuccessEvo#37,"""/mn38 /ci2 1 如果沒有前輩的話<br>到底會變成怎麼樣我也不清楚……<br>你能夠來，真的謝謝。"""
IncidentJsApcBegin#38,"""/mn38 /ci2 1 來得剛好！<br>可以幫我個忙麼─！"""
IncidentJsApcSuccess#38,"""/mn38 /toge /ci2 1 呀，真的謝謝！<br>遇到強敵的實感真的很夠嗆呢<br>感謝感謝，大感謝！"""
IncidentJsApcFailure#38,"""被打敗了......！<br>對不起，我要撤退了......"""
IncidentJsApcBeginEvo#32,"""/ci4 5 哦哦，還會再來的氣息呢？<br>這次是，跟剛才不一樣的氣氛呢。"""
IncidentJsApcSuccessEvo#38,"""/mn38 /toge /ci2 1 呀，真的謝謝！<br>遇到強敵的實感真的很夠嗆呢<br>感謝感謝，大感謝！"""
IncidentJsApcBegin#39,"""/mn6 /ci2 2 前、前輩！ 請幫我一下！<br>但是，請盡量不要看我這裡！<br>……嗚嗚，好害羞哦。"""
IncidentJsApcSuccess#39,"""/mn15 /ci2 1 呼，非常謝謝！<br>多虧了前輩<br>總算是做到了呢……"""
IncidentJsApcFailure#39,"""/mn7 嗚嗚......抱歉......<br>沒辦法再繼續下去了......"""
IncidentJsApcBeginEvo#33,"""/mn35 /ci1 1 哇哇、哇哇哇……！<br>不覺得好像，又有出來的氣息……<br>而且是，非常不好的預感"""
IncidentJsApcSuccessEvo#39,"""/mn15 /ci2 1 呼，非常謝謝！<br>多虧了前輩<br>總算是做到了呢……"""
IncidentJsApcBegin#40,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙麼？"""
IncidentJsApcSuccess#40,"""/mn15 /ci2 3 呼，總算做到了吶……<br>一個人真的沒辦法呢<br>謝謝，幫大忙了。"""
IncidentJsApcFailure#40,"""/ci2 3 嗚嗚……沒辦法再繼續下去了……<br>對不起，先讓我撤退吧……"""
IncidentJsApcBeginEvo#34,"""/mn18 /ci3 1 哇……不覺得<br>是相當糟糕的氣氛麼。<br>小心點！"""
IncidentJsApcSuccessEvo#40,"""/mn15 /ci2 3 呼，總算做到了吶……<br>一個人真的沒辦法呢<br>謝謝，幫大忙了。"""
IncidentJsApcBegin#41,"""/ci2 2 唷，這還真是相當大咖的對手呢！<br>穿成這樣說這些也有點那啥的<br>讓我來幫忙吧！"""
IncidentJsApcSuccess#41,"""/ci2 1 好，完成了！<br>也許是我多管閒事<br>算了，結果最重要啦"""
IncidentJsApcFailure#41,"""/ci1 1 被弄成這樣還真是有點慘呢……<br>對不起吶先讓我回去吧。"""
IncidentJsApcBeginEvo#35,"""/mn18 /ci2 1 哦，來了個看起來很強的傢伙呢。<br>那麼，有辦法阻止正在勢頭上的我們麼？"""
IncidentJsApcSuccessEvo#41,"""/ci2 1 好，完成了！<br>也許是我多管閒事<br>算了，結果最重要啦"""
IncidentJsApcBegin#42,"""/toge /ci2 1 熱到受不了？ 錯，這才是夏天真正的樣貌！<br>夏天的六芒均衡的修伊，華麗的登場！<br>之後就交給我吧！"""
IncidentJsApcSuccess#42,"""/toge /ci2 1 算上我一份的話，<br>這種程度根本算不了什麼！<br>還有什麼事情的話儘管叫上我！<br>我隨時都會，在你身邊哦！"""
IncidentJsApcFailure#42,"""/toge /ci2 1 輸了…我竟然輸了…！？<br>對不起，先讓我撤退吧！"""
IncidentJsApcBeginEvo#36,"""/toge /ci2 這個是……帶有惡意的光子的氣息！<br>那好吧！ 就由我來當對手吧！<br>儘管放馬過來！"""
IncidentJsApcSuccessEvo#42,"""/toge /ci2 1 算上我一份的話，<br>這種程度根本算不了什麼！<br>還有什麼事情的話儘管叫上我！<br>我隨時都會，在你身邊哦！"""
IncidentJsApcBegin#43,"""APC共闘開始"""
IncidentJsApcSuccess#43,"""APC共闘成功"""
IncidentJsApcFailure#43,"""APC共闘失敗"""
IncidentJsApcBeginEvo#37,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#43,"""APC共闘発展成功"""
