11_voice_NPC_5057_101#0,"""啊，你來得正好。<br>這個你拿去吧。"""
11_voice_NPC_5057_104#1,"""新しい世代の者も含めて<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_07_020#0,"""但換個角度來思考，<br>因為黑暗種越來越多，<br>所以需要的ARKS也越來越多。"""
11_voice_NPC_5057_104#2,"""新しい世代の者も含めて<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_08_020#0,"""但換個角度來思考，<br>因為黑暗種越來越多，<br>所以需要的ARKS也越來越多。"""
Alice_01_10#0,"""開放過去的一些職業<br>來使ARKS的人數增加，<br>我認為這是好事。"""
Alice_01_20#0,"""但換個角度來思考，<br>因為黑暗種越來越多，<br>所以需要的ARKS也越來越多。"""
Alice_01_30#0,"""開放過去的一些職業<br>來使ARKS的人數增加，<br>我認為這是好事。"""
Alice_01_40#0,"""但換個角度來思考，<br>因為黑暗種越來越多，<br>所以需要的ARKS也越來越多。"""
Alice_01_50#0,"""開放過去的一些職業<br>來使ARKS的人數增加，<br>我認為這是好事。"""
Alice_01_60#0,"""但換個角度來思考，<br>因為黑暗種越來越多，<br>所以需要的ARKS也越來越多。"""
11_voice_NPC_5057_106#0,"""黑暗法爾斯的復活真的完全<br>出乎我意料之外。"""
Npc57_mb9_020#0,"""看來時勢已不容許<br>我再安穩地隱居了。"""
11_voice_NPC_5057_106#1,"""黑暗法爾斯的復活真的完全<br>出乎我意料之外。"""
Npc57_mb10_020#0,"""看來時勢已不容許<br>我再安穩地隱居了。"""
11_voice_NPC_5057_106#2,"""黑暗法爾斯的復活真的完全<br>出乎我意料之外。"""
Npc57_mb11_020#0,"""看來時勢已不容許<br>我再安穩地隱居了。"""
11_voice_NPC_5057_101#1,"""ダーカーも手強くなっているようだけど<br>アークスも常に成長し続けている。<br>尻込みする必要はないわ。"""
11_voice_NPC_5057_101#2,"""ダーカーも手強くなっているようだけど<br>アークスも常に成長し続けている。<br>尻込みする必要はないわ。"""
11_voice_NPC_5057_101#3,"""ダーカーも手強くなっているようだけど<br>アークスも常に成長し続けている。<br>尻込みする必要はないわ。"""
Npc57_mb16zeno_010#0,"""ARKS的快速進步，或許是因為<br>有那個瘋子指教過的關係呢。"""
11_voice_NPC_5057_101#4,"""只是個跨越最後一線的邪惡之物。<br>真的是做得不錯呢。"""
11_voice_NPC_5057_100#5,"""アークスもどんどん変わっていくわね。<br>どうなるのかは不明だけど<br>いい方向に変わっていきそうね。"""
Npc57_mb21_010#0,"""ダーカーの数も増えていくし<br>敵もどんどん強くなってるわね。"""
Npc57_mb21_020#0,"""でも焦ったり、嘆くことじゃないわ。<br>アークスだって同じように進化して<br>戦力だって上がってるんだから。"""
11_voice_NPC_5057_100#6,"""それにいい方向へアークスは変わった。<br>後方の憂いはなくなったのだから<br>あとはもう、前だけみてればいいわ。"""
Npc57_mb23_010#0,"""いよいよ、厳しい戦いになってきたわ。<br>でも、不思議と私は不安じゃないの。"""
Npc57_mb23_020#0,"""今のアークスは、一丸となっている。<br>情報は全て開示されたし<br>士気もすごく高いわ。"""
Npc57_mb23_030#0,"""不安な要素なんて、全くない。<br>だから私は大丈夫、そう思っているの。"""
Npc57_mb23_after_010#0,"""些細な事だけど<br>意外とね、最後は精神的な部分に<br>かかってきたりするのよ。"""
Npc57_mb23_after_020#0,"""諦めない感情は、バカにできないのよ。<br>全体の士気だって同じ。<br>高ければ高いほど、なんとかなるの。"""
Npc57_mb23_after_030#0,"""だから貴方も、自分がどうしたいのか<br>それを貫けばいいの。<br>負けちゃダメよ。"""
11_voice_NPC_5057_100#7,"""この結果は、貴方が誰よりも強く<br>願ったから手に入れたんだと思うわ。"""
Npc57_mb24_after_020#0,"""バラバラだったアークスも<br>一丸となったわけだし……<br>本当に素晴らしいことよ。"""
Npc57_mb24_after_030#0,"""貴方の影響力は計り知れないわ。<br>これからもそのままの貴方で<br>頑張ってほしいわ。"""
11_voice_NPC_5057_100#8,"""貴方に多くの言葉は不要よね。<br>だから……おかえりなさい。"""
11_voice_NPC_5057_104#3,"""たまに妙なアークスを見るのよね。<br>どこかおかしいというか……<br>違和感を覚えるのよ。"""
st01_020#0,"""しぐさというか、雰囲気というか……<br>なんだか妙なのよね。"""
11_voice_NPC_5057_100#9,"""サモナーの戦い方って、結構好きよ。<br>ペットと一緒に、戦うって<br>素敵だと思うもの。"""
st01_020#1,"""戦場で自分以外の味方がいるって<br>すごく嬉しいことだしね。"""
11_voice_NPC_5057_100#10,"""貴方に続くアークスを育てるためにも<br>最近は、少し厳し目に指導しているわ。"""
st01_020#2,"""そのほうが、将来的にも<br>アークスのためになるからね。"""
11_voice_NPC_5057_104#4,"""予想外な強敵が現れて<br>みんな厳しい顔になってきたわね。"""
ep6_sq00_02#0,"""貴方なら分かっているはずだが<br>こういう時こそ、状況を見極める<br>冷静さを失ってはダメよ。"""
ep6_sq01_01#0,"""力を見せつける敵ほど<br>弱みに対して無防備だったりするの。"""
11_voice_NPC_5057_105#0,"""……厳しい局面に立たされたけど<br>確実に弱点を突く戦略を立てれば<br>逆転も不可能じゃないわ。"""
ep6_sq02_01#0,"""諦めてもおかしくない状況だったけど<br>貴方たちは諦めなかったわね。"""
11_voice_NPC_5057_100#11,"""その信念が、結実した。<br>逆転は、これからよ。"""
ep6_sq03_02_01_01#0,"""どんな状況でも<br>貴方は常に前を向くのね。"""
11_voice_NPC_5057_101#5,"""そんな姿を見て、皆も前を向ける。<br>本当に、誇らしいわ。"""
11_voice_NPC_5057_101#6,"""無事の帰還、おめでとう。<br>本当に、見事な勝利だったわ。"""
text02#0,"""最後まで諦めない信念と<br>共に戦った仲間たちの絆が<br>もたらした奇跡とでも言うべきかしら。"""
