IncidentJsApcBegin#0,"""/ci2 2 嗨，看你好像陷入苦戰了！<br>讓我來助你一臂之力吧！"""
IncidentJsApcFailure#9,"""……如果只有我一個人的話<br>我想一定很危險。<br>所以呢，我想好好道謝。<br>……謝謝你。"""
IncidentJsApcBeginEvo#9,"""/ci4 5 ......新的敵人要來了。<br>小心，做好準備。"""
IncidentJsApcSuccessEvo#9,"""/ci1 5 ......對不起，我不能再<br>打了。我撤退了。"""
IncidentJsApcBegin#10,"""/ci2 1 喔喔，來得正是時候！<br>敵人數量有點多<br>快過來幫我吧。"""
IncidentJsApcSuccess#10,"""/ci2 1 ......唔，想不到事情會變成這樣。<br>抱歉，我先撤退了。"""
IncidentJsApcFailure#10,"""好，差不多都解決了！<br>謝啦，多虧有你<br>才能撐過剛才的場面。"""
IncidentJsApcBeginEvo#10,"""/ci3 1 這個感覺......<br>也許會出現新的敵人。<br>別忘了做好準備，提高警覺。"""
IncidentJsApcSuccessEvo#10,"""/ci2 1 ......唔，想不到事情會變成這樣。<br>抱歉，我先撤退了。"""
IncidentJsApcBegin#11,"""/toge /ci1 1 哦，哦哦，你是ARKS的人吧！<br>那麼，可以請你幫我點忙麼。<br>數量太多，老骨頭應付不來啦。"""
IncidentJsApcSuccess#11,"""/toge /ci2 1 唔......果真是<br>歲月不饒人啊......<br>我得先撤退了。"""
IncidentJsApcFailure#11,"""嗯，這樣應該就結束了。<br>你做得很好，幫了我一個大忙。"""
IncidentJsApcBeginEvo#11,"""/toge /ci3 1 可惡，有新的敵人要出現了！<br>想整死我這把老骨頭麼！"""
IncidentJsApcSuccessEvo#11,"""/toge /ci2 1 唔......果真是<br>歲月不饒人啊......<br>我得先撤退了。"""
IncidentJsApcBegin#12,"""/toge /mn9 /ci2 1 喂喂喂，這邊這邊這邊！<br>來得可真是時候！<br>幫我一下嘛，好麼！"""
IncidentJsApcSuccess#12,"""/mn15 /ci2 4 嗚嗚......這是什麼狀況啊......<br>真的玩不下去了。<br>我要撤退囉。"""
IncidentJsApcFailure#12,"""很好，清潔溜溜！<br>嘿嘿，怎麼樣怎麼樣？<br>我也滿有一套的吧，是不是？"""
IncidentJsApcBeginEvo#12,"""/mn2 /ci2 1 給我等一下，這是什麼狀況啊！<br>新敵人的反應超強烈的耶！"""
IncidentJsApcSuccessEvo#12,"""/mn15 /ci2 4 嗚嗚......這是什麼狀況啊......<br>真的玩不下去了。<br>我要撤退囉。"""
IncidentJsApcBegin#13,"""/ci5 2 哎呀哎呀哎呀？<br>為什麼有這麼多獵物，卻<br>沒有找莉莎一起來？"""
IncidentJsApcSuccess#13,"""/ci4 3 ......嗯─，莉莎好像有點<br>膩了。我要回去囉。<br>那麼拜囉，那麼拜囉拜囉。"""
IncidentJsApcFailure#13,"""已經結束了麼？<br>嗯......真想再多打一點呢。<br>所以莉莎要悄悄離開了。"""
IncidentJsApcBeginEvo#13,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#13,"""/ci4 3 ......嗯─，莉莎好像有點<br>膩了。我要回去囉。<br>那麼拜囉，那麼拜囉拜囉。"""
IncidentJsApcBegin#14,"""/mn10 /ci4 5 啊，不好意思......如果方便<br>可以請您幫幫我麼。<br>......與其說是遇到危險，不如說是嫌麻煩。"""
IncidentJsApcSuccess#14,"""/ci4 1 ......還是謹慎一點比較好嘛。<br>抱歉，我要回去了。"""
IncidentJsApcFailure#14,"""......結、結束了麼？<br>呼......啊，呃，謝謝您的幫助。<br>非到逼不得已，我實在不太想戰鬥......"""
IncidentJsApcBeginEvo#14,"""/mn10 /ci4 5 唉......好像又要來了。<br>為什麼會這樣接二連三地<br>出現呢......"""
IncidentJsApcSuccessEvo#14,"""/ci4 1 ......還是謹慎一點比較好嘛。<br>抱歉，我要回去了。"""
IncidentJsApcBegin#15,"""/toge /ci1 3 既然ARKS遇到危機了<br>我怎能坐視不管。<br>讓我助你一臂之力吧。"""
IncidentJsApcSuccess#15,"""/ci1 3 整天坐辦公桌，身體似乎僵硬了。<br>我得多想想才行......<br>抱歉，我得撤退了。"""
IncidentJsApcFailure#15,"""嗯，算是不錯的運動。<br>那麼，我走了。<br>別忘了繼續磨練自己。"""
IncidentJsApcBeginEvo#15,"""/ci5 3 又要來了啊......<br>看來他們是活得不耐煩了。"""
IncidentJsApcSuccessEvo#15,"""/ci1 3 整天坐辦公桌，身體似乎僵硬了。<br>我得多想想才行......<br>抱歉，我得撤退了。"""
IncidentJsApcBegin#16,"""/toge /ci2 2 哦，你！ 我說你啊你！<br>好像在做什麼很有趣的事情吶！<br>也讓我參一咖吧！"""
IncidentJsApcSuccess#16,"""/mn15 /ci2 1 唔......什麼嘛，真沒意思。<br>開始打瞌睡了，我要回去了！"""
IncidentJsApcFailure#16,"""/mn10  哼哼哼，你看到了沒？<br>看到我的實力了麼？　看到了吧！<br>嗯，很好很好，我很滿意！"""
IncidentJsApcBeginEvo#16,"""/mn15 /ci2 1 喔喔，你看你看！<br>敵人又出來了！<br>那個也可以炸掉沒關係吧？"""
IncidentJsApcSuccessEvo#16,"""/mn15 /ci2 1 唔......什麼嘛，真沒意思。<br>開始打瞌睡了，我要回去了！"""
IncidentJsApcBegin#17,"""/ci1 3 ......這不在我的任務之內<br>但我不能置之不理。"""
IncidentJsApcSuccess#17,"""/ci1 5 非常抱歉......<br>我要撤退了。"""
IncidentJsApcFailure#17,"""......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcBeginEvo#17,"""……好像還會來呢。<br>趕快清一清吧。 """
IncidentJsApcSuccessEvo#17,"""/ci1 5 非常抱歉......<br>我要撤退了。"""
IncidentJsApcBegin#18,"""/toge /ci2 1 <br>能夠到這裡真的相當努力了呢！<br>和最終關卡相符的強敵呢！<br>讓我們合力加油吧！"""
IncidentJsApcSuccess#18,"""/toge /ci2 1 太好了太好了，完美啊！<br>這樣子復活節也能夠無後顧之憂的<br>順利進行了吧！ 感謝你的支援！"""
IncidentJsApcFailure#18,"""/toge /ci2 1 不可能，我居然會輸……！？<br>沒有成為大家的助力……居然……！<br>……對不起！ 讓我先回去吧！"""
IncidentJsApcBeginEvo#18,"""non"""
IncidentJsApcSuccessEvo#18,"""/toge /ci2 1 太好了太好了，完美啊！<br>這樣子復活節也能夠無後顧之憂的<br>順利進行了吧！ 感謝你的支援！"""
IncidentJsApcBegin#19,"""/toge /ci3 2 你好像被包圍了啊<br>讓我來幫你！"""
IncidentJsApcSuccess#19,"""/ci2 2 竟然這點程度的交戰都應付不來......<br>我的實力也大不如前了......"""
IncidentJsApcFailure#19,"""好，你做得很好！<br>那麼，我該走了！"""
IncidentJsApcBeginEvo#19,"""嗯，新面孔麼！<br>不要掉以輕心哦！"""
IncidentJsApcSuccessEvo#19,"""/ci2 2 竟然這點程度的交戰都應付不來......<br>我的實力也大不如前了......"""
IncidentJsApcBegin#20,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#20,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcFailure#20,"""好像結束了呢<br>那麼，我走了"""
IncidentJsApcSuccessEvo#20,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBegin#21,"""/ci4 2 你出現得正好<br>來幫我一點忙吧"""
IncidentJsApcSuccess#21,"""/ci2 2 ......似乎有點太貪心了<br>我要先撤退了"""
IncidentJsApcFailure#21,"""......就跟你道個謝吧"""
IncidentJsApcBeginEvo#20,"""/ci5 2 ......這個感覺<br>嘖，又來了麼"""
IncidentJsApcSuccessEvo#21,"""/ci2 2 ......似乎有點太貪心了<br>我要先撤退了"""
IncidentJsApcBegin#22,"""/mn2 /ci4 3 前、前輩！<br>抱歉、請協助我！<br>好多敵人要過來了......！"""
IncidentJsApcSuccess#22,"""/mn15 /ci2 1 嗚嗚......抱歉......<br>沒辦法再繼續下去了......"""
IncidentJsApcFailure#22,"""/mn7 呼、總算還是做到了......<br>前輩、謝謝您！"""
IncidentJsApcBeginEvo#21,"""哇哇、哇哇哇……！<br>不覺得好像，還會出來的樣子……"""
IncidentJsApcSuccessEvo#22,"""/mn15 /ci2 1 嗚嗚......抱歉......<br>沒辦法再繼續下去了......"""
IncidentJsApcBegin#23,"""/ci2 1 教授！<br>自己一個人狀況有點太嚴苛了！<br>不好意思請幫個忙!"""
IncidentJsApcSuccess#23,"""/ci2 1 ......教授、萬分抱歉。<br>我先自己退下了"""
IncidentJsApcFailure#23,"""成功了！<br>總算是擊退了！<br>都是多虧了教授！"""
IncidentJsApcBeginEvo#22,"""嗯嗯、哦哦哦！<br>新的氣息！<br>老師，好像還沒結束呢！"""
IncidentJsApcSuccessEvo#23,"""/ci2 1 ......教授、萬分抱歉。<br>我先自己退下了"""
IncidentJsApcBegin#24,"""/ci1 3 ......這不在我的任務之內<br>但我不能置之不理。"""
IncidentJsApcSuccess#24,"""/ci1 5 非常抱歉......<br>我要撤退了。"""
IncidentJsApcFailure#24,"""......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcSuccessEvo#24,"""/ci1 5 非常抱歉......<br>我要撤退了。"""
IncidentJsApcBegin#25,"""/ci1 3 ......還有很多敵人呢<br>我來幫您殲滅他們吧。"""
IncidentJsApcSuccess#25,"""/ci1 5 ......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcFailure#25,"""那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcSuccessEvo#25,"""/ci1 5 ......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcBegin#26,"""/toge /ci1 1 只要一起加油<br>一定能贏的！"""
IncidentJsApcSuccess#26,"""/toge /mn37 /ci2 4 嗚哇～！<br>結果還是不行喵～！！"""
IncidentJsApcFailure#26,"""/mn2 /ci4 1 成功了喵！<br>謝謝喵～！！"""
IncidentJsApcSuccessEvo#26,"""/toge /mn37 /ci2 4 嗚哇～！<br>結果還是不行喵～！！"""
IncidentJsApcBegin#27,"""/toge /ci1 1 幫手來了！<br>這下贏定了！"""
IncidentJsApcSuccess#27,"""/toge /mn17 /ci2 4 這就是......<br>世界的選擇喵......"""
IncidentJsApcFailure#27,"""/mn30 /ci4 1 成功了喵～！<br>我整隻貓都哭了！"""
IncidentJsApcSuccessEvo#27,"""/toge /mn17 /ci2 4 這就是......<br>世界的選擇喵......"""
IncidentJsApcBegin#28,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙麼？"""
IncidentJsApcSuccess#28,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那就下次見咯！"""
IncidentJsApcFailure#28,"""嗚嗚......我不行了......<br>對不起，讓我先<br>撤退吧......"""
IncidentJsApcBeginEvo#23,"""/ci3 1 嗚哇......好像有種很不妙的<br>反應就在附近......<br>小心為上！"""
IncidentJsApcSuccessEvo#28,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那就下次見咯！"""
IncidentJsApcBegin#29,"""/mn15 /toge /ci2 1 來得剛好！<br>可以幫我個忙麼─！"""
IncidentJsApcSuccess#29,"""/toge /ci2 1 被打敗了......！<br>對不起，我要撤退了......"""
IncidentJsApcFailure#29,"""哎呀，真的很謝謝你！<br>多虧你的幫助，總算是撐過去了！<br>多謝多謝，萬分感謝！"""
IncidentJsApcBeginEvo#24,"""/ci4 5 おおっとぉ、まだ来る気配だね？"""
IncidentJsApcSuccessEvo#29,"""/toge /ci2 1 被打敗了......！<br>對不起，我要撤退了......"""
IncidentJsApcBegin#30,"""/toge /ci3 1 ......真是，我看不下去了！<br>我來幫你，快點<br>把這些傢伙解決掉吧！"""
IncidentJsApcSuccess#30,"""/ci2 2 唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcFailure#30,"""解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
IncidentJsApcBeginEvo#25,"""/ci3 1 ……還會來的樣子。<br>吶，趕快清一清吧！"""
IncidentJsApcSuccessEvo#30,"""/ci2 2 唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcBegin#31,"""/ci2 2 啊，前輩！<br>抱歉，請你幫我個忙！"""
IncidentJsApcSuccess#31,"""/ci2 1 ......我無法再戰了<br>抱歉，前輩，我要撤退了"""
IncidentJsApcFailure#31,"""前輩......那個，幸虧你救了我<br>謝謝你來幫助我"""
IncidentJsApcBeginEvo#26,"""/ci2 2 ちぇっ、まだ来るみたいだ"""
IncidentJsApcSuccessEvo#31,"""/ci2 1 ......我無法再戰了<br>抱歉，前輩，我要撤退了"""
IncidentJsApcBegin#32,"""/ci1 3 ......還有很多敵人呢<br>我來幫您殲滅他們吧。"""
IncidentJsApcSuccess#32,"""/ci1 5 ......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcFailure#32,"""那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcSuccessEvo#32,"""/ci1 5 ......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcBegin#33,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#33,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcFailure#33,"""好像結束了呢<br>那麼，我走了"""
IncidentJsApcBeginEvo#27,"""啊啦，難道是新面孔麼？"""
IncidentJsApcSuccessEvo#33,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBegin#34,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#34,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcFailure#34,"""好像結束了呢<br>那麼，我走了"""
IncidentJsApcBeginEvo#28,"""好像還會來呢"""
IncidentJsApcSuccessEvo#34,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcBegin#35,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#35,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcFailure#35,"""好像結束了呢<br>那麼，我走了"""
IncidentJsApcBeginEvo#29,"""好像還會來的樣子<br>真想稍微休息一下"""
IncidentJsApcSuccessEvo#35,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBegin#36,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#36,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcFailure#36,"""好像結束了呢<br>那麼，我走了"""
IncidentJsApcBeginEvo#30,"""……還會再來的樣子呢"""
IncidentJsApcSuccessEvo#36,"""/ci2 2 我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBegin#37,"""APC共闘開始"""
IncidentJsApcSuccess#37,"""APC共闘成功"""
IncidentJsApcFailure#37,"""APC共闘失敗"""
IncidentJsApcBeginEvo#31,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#37,"""APC共闘成功"""
