11_voice_NPC_02_101#0,"""最近在商店區徘徊的<br>那隻貓？<br>很可愛對不對呀？"""
11_voice_NPC_5086_104#9,"""ハンターやるようになってから<br>生傷が絶えなくて困るのよ。<br>いろんな意味で、大変さを実感中。"""
Echo_mb14_020#0,"""最討厭的是，嗯......<br>泡澡的時候會超痛的這件事吧?"""
11_voice_NPC_5086_104#10,"""ウォパルの海底エリアって<br>不思議な感じだよね"""
Echo_mb15_020#0,"""行く前は暗くてジメッとしてて<br>イヤーなイメージだったけど<br>思ったよりも悪くないところだよ。"""
Echo_mb15_030#0,"""なんにせよ、頑張らないとね。<br>前へ前へ、ってね"""
11_voice_NPC_5086_104#11,"""<%me>。<br>……なんだか、さ、周りの空気が<br>ぴりぴりしてる感じがしない？"""
Echo_mb16_020#0,"""あたしの気のせいだったら<br>いいんだけど……<br>悪い予感は、よく当たるのよね。"""
11_voice_NPC_5086_102#1,"""どうしてゼノが無事だってことを<br>あたしに黙ってたのよ？<br>……まあ、ゼノの差し金だろうけど。"""
Echo_mb16zeno_020#0,"""そうとも知らず、あたしはきみの前で<br>あんなことやこんなことを……<br>……恥ずかしくて死ぬかも。"""
Echo_mb16zeno_030#0,"""……でも、まあ、ゼノが無事だったし<br>戻ってきてくれたから、いいか。"""
Echo_mb17_010#0,"""みんなを操り人形にしてたアレ。<br>絶対令、だっけ？\u3000あれ、封印されて<br>使用禁止になるみたいだよ。"""
Echo_mb17_020#0,"""六芒の持つ絶対命令権……噂には<br>聞いてたけど、あそこまでの強制力を<br>持つとは思わなかったなあ。"""
Echo_mb17_030#0,"""ん？\u3000じゃあなんであたしには<br>効いてない感じだったのかって？<br>……さあ、なんでだろ？"""
11_voice_NPC_5086_104#12,"""よくわからないけど、あたしは<br>あの時、きみと一緒にいなきゃいけない<br>という気持ちしかなかったんだよね。"""
11_voice_NPC_5086_100#4,"""<%me>。<br>アークスも変わったよね。<br>なんて言うか、雰囲気がね。"""
Echo_mb18_020#0,"""色んな事があったけど<br>いい風に変わっていけばいいよね。"""
Echo_mb19_010#0,"""惑星ウォパルかー……<br>最近は全然行ってないや。"""
Echo_mb19_020#0,"""ウォパルへ行くと、ハンターに<br>なったばかりの頃を思い出すなあ。<br>きみと一緒に調査をしたよね。"""
11_voice_NPC_5086_100#5,"""まさかウォパルの原住民と交流が<br>出来るとは思わなかったけど<br>まあ、いい思い出だよね。"""
11_voice_NPC_5086_104#13,"""はー、最近はフォースだとか<br>関係なく走り回ってる気がする。"""
11_voice_NPC_5086_100#6,"""まあ、理由はいろいろあるんだけどね。<br>体力がつくし、いいことだと思って<br>頑張ってるよ。"""
Echo_mb22_030#0,"""あ、もちろん休憩は大事。<br>そういえば、ちゃんと休んでる？<br>頑張りすぎずに休むのも大切だよ。"""
11_voice_NPC_5086_104#14,"""クリスマスかー。<br>そうね、高価なものや特別なものは<br>べつにいらないかな。"""
Hari_01_020#0,"""でも、気持ちは欲しいかもね……<br>だってクリスマスは、大切な人や<br>家族と過ごしたいでしょ？"""
11_voice_NPC_5086_100#7,"""だから、戦いのこととか忘れて……<br>ゼノと二人っきりで過ごせたらいいな。"""
11_voice_NPC_5086_102#2,"""って、なによその顔！<br>聞いたのはそっちじゃないの！<br>……ゼノ、誘ってくれるかな。"""
