11_voice_NPC_5010_104#0,"""哈......我也想要早一點成為像老師那樣偉大的研究者。"""
11_voice_NPC_5010_104#5,"""你在做什麼啊......?<br>嗯，那個......"""
Right_mb14_020#0,"""......真的就像您說的一樣。<br>我是在做什麼啊。"""
11_voice_NPC_5010_104#6,"""你在做什麼啊......?<br>嗯，那個......"""
Right_mb15_020#0,"""......真的就像您說的一樣。<br>我是在做什麼啊。"""
11_voice_NPC_5010_104#7,"""な、なんだか様子が……<br>先生、嫌な予感がします……"""
11_voice_NPC_5010_104#8,"""這樣啊，總長他……<br>不，我現在已和虛空機關沒有任何關係。"""
Right_mb16zeno_020#0,"""今の僕は、アキ先生の助手ですから！"""
11_voice_NPC_5010_104#9,"""先生は相変わらずですよ。<br>研究費の使い方は雑だし<br>調査と称して無茶をしますし……"""
Right_mb18_020#0,"""だから僕がしっかりしないと。<br>それが助手の勤めですから。"""
Right_mb19_010#0,"""浮上施設へですか？\u3000<br>先生が調査へ行くなら準備しますが……<br>その必要は無いかと思います。"""
Right_mb19_020#0,"""はっきりと聞いたわけじゃないですが<br>そんな感じがしますから。"""
Right_mb20_010#0,"""先生は相変わらず研究に勤しんでます。<br>論文を読んだり、書いたり<br>休みなしで忙しい限りです。"""
Right_mb20_020#0,"""おかげで先生の部屋は<br>汚れ放題で悲惨な状況です。<br>毎日、片付けてはいるんですけど……"""
Right_mb21_010#0,"""現地へ行かないで済むのであれば<br>行きたくはありません。"""
11_voice_NPC_5010_104#10,"""やっぱり怖いんですよね……<br>でも、そうも言ってられないのも<br>分かってはいるんです。"""
Right_mb21_030#0,"""なんとかしようとは思うんですが<br>すぐには中々いかなくて。<br>頑張ってはいるんですけどね……"""
11_voice_NPC_5010_104#11,"""先生は、変わらず忙しくされてます。<br>なんでも新しい発見をしたとかで。"""
Right_mb22_020#0,"""僕も助手として東奔西走の日々です。<br>いやいや、頑張らないといけないですね。"""
Right_mb22_030#0,"""それでも合間を見ては<br>レラさんに会いに行ったり<br>現地へ視察に行ったりしていますよ。"""
Right_mb23_010#0,"""先生は、寝る暇もなく……<br>と言うのは誇張表現かもですが<br>ともかくずっと論文にかかりきりです。"""
Right_mb23_020#0,"""何日もこもりきりで研究に没頭したり<br>論文を書き続けたりするので<br>もう気が気じゃありません。"""
Right_mb23_030#0,"""先生の生活能力については<br>もう期待しておりません。<br>だから僕がしっかりしないと……"""
Right_mb23_after_010#0,"""僕らも、今はアークスとして<br>マトイさんの行方を探しています。"""
Right_mb23_after_020#0,"""今のところ見つかった報告は<br>上がっていません。<br>どうするのかも、分かりません。"""
11_voice_NPC_5010_104#12,"""……もし発見できたらですけど<br>真っ先に貴方に知らせようと<br>僕は思っています。"""
11_voice_NPC_5010_100#3,"""お帰りなさい。<br>無事に戻ってきたということは<br>伺っておりました。"""
Right_mb24_after_020#0,"""本当……さすが、としか<br>言いようがありません。<br>この結果は、僕も嬉しいです。"""
11_voice_NPC_5010_104#13,"""リリーパで色々起きてるみたいですが<br>大丈夫そうですか？"""
Right_mb25_020#0,"""どうしても先生の都合で<br>アムドゥスキアに行くことが多いので<br>リリーパの状況を直接見てなくて。"""
11_voice_NPC_5010_104#14,"""先生はこう言っていますが<br>たびたび貴方の浄化状況なんかを<br>確認していたんですよ。"""
st01_020#0,"""ほんと、素直じゃないですよね。<br>二年経っても、何一つ変化なしです。"""
11_voice_NPC_5010_100#4,"""先生も先生で、あちらこちらに<br>せわしなく動いてるんですけどね。<br>付き合うこっちは大変ですよ。"""
11_voice_NPC_5010_100#5,"""僕も先生と同じく総務部研究課です。"""
st01_020#1,"""総務部は、他の部署で引き受けなかった<br>全てを引き受けるみたいな感じで<br>大所帯なんです。"""
11_voice_NPC_5010_100#6,"""研究課には先生以外にも<br>様々な研究者の方がいるんですよ。"""
st01_020#2,"""ただ、直接現場へ行って<br>調べてくるような研究者の人は<br>先生くらいですけどね。"""
11_voice_NPC_5010_104#15,"""この前マリアさんが研究課にやってきて<br>具現武装みたいなの作れって<br>一大号令出してきたんですよ。"""
st01_020#3,"""みんなそんなの無理無理って<br>言っていたんですが、諦めずに<br>いろいろやってみろ、って。"""
st01_030#0,"""そりゃあ、あの仕組みを汎用化とか<br>出来たらとんでもなく便利ですけど<br>……無理ですよねえ。"""
11_voice_NPC_5010_104#16,"""先日の襲撃時ですか？<br>もちろんすぐに逃げましたよ。<br>どう考えても足手まといですし。"""
st01_020#4,"""先生はその場に残って<br>敵能力の研究分析をしたいと<br>言い出したので、大変だったんです。"""
st01_030#1,"""最終的には、無理矢理引っ張って<br>いきましたけど……<br>二度はごめんですね、はい。"""
st01_010#0,"""アークスシップ直接襲撃時の対策は<br>講じられましたが……<br>正直もう二度とゴメンです。"""
st01_020#5,"""なんとかその場に残ろうとする<br>先生を引っ張っていく大変さったら<br>……ないですよ、本当に。"""
sq00_010#0,"""僕も先生と同じく、留守番です。<br>後方支援に徹します。"""
sq00_020#0,"""……上手くいくことを、お祈りします。"""
sq01_010#0,"""研究者のみなさんは、この前の戦いの<br>データ分析に駆り出されています。"""
11_voice_NPC_5010_105#2,"""作戦結果は成功でも失敗でもないですが<br>そこで収集できたデータが相当貴重で<br>昼夜問わず分析中ですよ。"""
sq13_010#0,"""終の女神、という記述自体は<br>見つかってるようなのですが<br>その詳細は不明です。"""
sq13_020#0,"""というより、記録がほとんど<br>残っていない……消されているようで<br>解析に苦戦しています。"""
ep6_sq00_01#0,"""終の女神、という記述自体は<br>見つかってるようなのですが<br>その詳細は不明です。"""
11_voice_NPC_5010_105#3,"""というより、記録がほとんど<br>残っていない……消されているようで<br>解析に苦戦しています。"""
11_voice_NPC_5010_108#0,"""どどどどうしましょう先生！<br>まさかこんなことになるなんて……"""
11_voice_NPC_5010_109#0,"""シャオさんもいなくなって<br>マザーシップも敵の手に……<br>ああ、もうおしまいです……"""
ep6_sq02_01#0,"""先生は相変わらずですね……<br>でも、本当に良かったです。"""
11_voice_NPC_5010_100#7,"""僕も微力ながら、頑張りますよ！<br>皆さんこんなに頑張ってるんですから。"""
ep6_sq05_1#0,"""かつてこれほど気迫のこもった<br>先生は見たことがありません。<br>ものすごい奮闘ぶりです。"""
ep6_sq05_2#0,"""それに、皆さんの頑張りも<br>本当に素晴らしいです。"""
ep6_sq05_3#0,"""僕も腹をくくりました！<br>もう泣き言なんて言いませんよ。<br>すべての力を振り絞って頑張ります！"""
text01#0,"""僕はもう、無我夢中で……気がついたら<br>戦いが終わってました。はは……<br>でも、みんなが無事でよかったです。"""
text02#0,"""それにしても先生は相変わらずですよ。<br>休む間もなく、またすぐに研究に<br>没頭してしまうんですから。"""
11_voice_NPC_5010_101#1,"""まさに研究者の鑑ですよ。<br>だから僕はあのときに……<br>さて。先生のお手伝いをしないと！"""
