11_voice_NPC_5063_100#0,"""教授、教授～!<br>你來得正好。"""
11_voice_NPC_5063_100#21,"""しかし先生は、さっそくその相手を<br>倒してきたとも聞いています！<br>流石先生です！"""
st01_030#2,"""自分も先生のような立派なアークスに<br>なるために、日々精進あるのみです！<br>押忍！"""
11_voice_NPC_5063_100#22,"""押忍！\u3000先生！<br>今度の作戦、頑張りましょう！<br>自分も尽力します！"""
11_voice_NPC_5063_101#1,"""押忍！\u3000先生！<br>ご無事の帰還、何よりです！"""
sq01_020#0,"""これからのことはわかりませんが<br>自分はただただ精進するのみです！<br>押忍！"""
sq13_010#0,"""押忍！\u3000先生！<br>この前現れた、終の女神シバ<br>すさまじい威圧感でした……"""
sq13_020#0,"""あれは、なんでしょうか。<br>……底知れない相手です。"""
sq13_030#0,"""実力が至らなくても……<br>せめて気圧されないように<br>心は鍛えていきます！\u3000押忍！"""
ep6_sq00_01#0,"""押忍！\u3000先生！<br>自分らでは力不足かと思いますが<br>精一杯、頑張ります！"""
ep6_sq00_02#0,"""アークス全員でかかれば<br>どんな敵だって倒せると信じてます！<br>押忍！"""
11_voice_NPC_5063_102#0,"""押忍！\u3000先生！<br>未熟で役に立てずに<br>不甲斐ないです……"""
ep6_sq01_02#0,"""ですが、諦めません！<br>まだ自分は動けます！"""
ep6_sq01_03#0,"""日々精進してきた結果を<br>今こそ役に立ててみせます！<br>押忍！"""
11_voice_NPC_5063_101#2,"""押忍！\u3000先生！<br>シャオさんの救出、お見事でした！"""
ep6_sq02_02#0,"""自分はまだ先生の足元にも及びませんが<br>できる限りのことを、精一杯<br>やってみせます！\u3000押忍！"""
11_voice_NPC_5063_101#3,"""押忍！<br>先生の活躍は、やはりさすがでした！<br>本当にお疲れさまでした！"""
text02#0,"""自分、先生からは戦い方や心の持ち方<br>他にもいろんなことを学ばせて<br>もらいました。感謝しています！"""
text03#0,"""まだまだ未熟な自分ですが、<br>これからも先生のようなアークスを<br>目指して日々鍛錬に励みます！\u3000押忍！"""
