11_voice_NPC_5062_100#0,"""先輩，可以過來一下麼？<br>其實有東西想給你......"""
11_voice_NPC_5062_101#0,"""これ、先輩のおかげなんですよね……<br>ほんと、先輩はすごいです！"""
11_voice_NPC_5062_100#16,"""こ、こんにちは。<br>最近、研修も大分進んできて<br>色んなことが判るようになりました。"""
Npc62_mb21_020#0,"""その……先輩ってほんとに<br>すごいんですね。<br>研修で学ぶたびにそう思います。"""
11_voice_NPC_5062_104#1,"""まだまだ努力は必要ですが<br>先輩みたいになりたい<br>がんばろうって思ってます。"""
11_voice_NPC_5062_101#1,"""せ、先輩の活躍、よく聞きます。<br>たくさんの人が、頼りにしてるって。<br>アークスを変えた人だから、って。"""
11_voice_NPC_5062_104#2,"""わ、わたし……先輩みたいに<br>強くなりたいです。<br>先輩は、わたしの目標です。"""
Npc62_mb23_030#0,"""だから、その……<br>負けないでほしいです。"""
Npc62_mb23_after_010#0,"""せ、先輩はやっぱりすごいんですね。<br>みんなが頼りにしてるって聞きました。"""
Npc62_mb23_after_020#0,"""これから、たくさん大変なことが<br>起きるって、聞いています。<br>その……負けないでください。"""
11_voice_NPC_5062_100#17,"""わたし、応援してますから。<br>ずっと、応援しています。"""
Npc62_mb24_after_010#0,"""せ、先輩の活躍、聞きました。<br>その……大切な人のために<br>諦めなかったって。"""
Npc62_mb24_after_020#0,"""先輩のため、アークスも一丸になって<br>戦ったって聞きました。<br>すごく……素敵だと思いました。"""
11_voice_NPC_5062_100#18,"""わたし、頑張ります。<br>そして絶対……先輩みたいな<br>素敵なアークスになりたいです。"""
ep01_03_010#0,"""あ、アークスにはなりたてですけど……<br>足を引っ張らないように頑張ります。<br>って、それ、当たり前ですよね。"""
ep01_03_020#0,"""新人って言い訳をしないように……<br>でも、新人の気持ちを忘れずに<br>頑張ります。"""
ep01_03_030#0,"""いっぱい迷惑をかけると思いますが<br>よろしくお願いします。"""
st01_010#0,"""せ、先輩！？<br>復帰されたんですね！<br>もう、お身体大丈夫なんですね！"""
st01_020#0,"""……よかった、よかったです。<br>こうしてまた会うことができて……<br>これでやっと、報告できます。"""
11_voice_NPC_5062_100#19,"""先輩。わたし、一人前の<br>アークスになりました。<br>これから、よろしくお願いしますね。"""
11_voice_NPC_5062_100#20,"""先輩、こんにちは。<br>東京エリアって、向こうの文化を<br>感じられて、とっても面白いですね。"""
st01_020#1,"""看板とか、お店とかたくさんあって<br>ちょっと行ってみたいなって<br>思ったりします。"""
st01_030#0,"""可愛い服とか、面白そうな食べ物とか<br>見てて楽しいです。<br>も、もちろん任務はこなしてますよ！"""
11_voice_NPC_5062_104#3,"""先輩、大丈夫でしたか？<br>まさかアークスシップに直接<br>敵が攻め込んでくるなんて……"""
st01_020#2,"""安全に過ごすためのリミッターが<br>逆利用されてしまうなんて<br>考えもしませんでした。"""
st01_030#1,"""……正直、怖かったです。<br>けど、先輩ならなんとかしてくれる。<br>そう信じていましたよ。"""
st01_010#1,"""先輩、こんにちは。<br>今、ダーカーを模した幻創種が<br>出てきたって話で、もちきりです。"""
st01_020#3,"""どんな相手なんでしょう……<br>普通のダーカーとは違った相手<br>なんですよね。"""
st01_030#2,"""怖くない、って言ったら<br>嘘になりますけど……頑張ります。"""
sq00_010#0,"""先輩、こんにちは。<br>一大作戦を前に、皆さん緊張されてる<br>様子です。先輩はどうですか？"""
11_voice_NPC_5062_100#21,"""かくいうわたしも緊張で震えが……<br>でも、がんばりますっ！"""
11_voice_NPC_5062_101#2,"""先輩、こんにちは。<br>この前の作戦、アークスの被害は<br>最小限で抑えられたそうです。"""
sq01_020#0,"""こうして先輩も戻ってきてくれましたし<br>……よかったです。"""
11_voice_NPC_5062_104#4,"""先輩、こんにちは。<br>……その、お身体大丈夫ですか？"""
sq13_020#0,"""この前の戦い、見てました。<br>……見てることしか出来ませんでした。"""
11_voice_NPC_5062_109#0,"""わたし、もうアークスなのに……<br>怖くて……震えてしまって……<br>ほんとうに、情けないです。"""
Afin_01_10#0,"""あっ！\u3000こんにちは、先輩！<br>メモなんか持って、どうしたんですか？"""
11_voice_NPC_5062_106#0,"""……へ？<br>ああ、ショップエリアのアフィンくんに<br>相談したいことを聞いてるんですね。"""
Afin_01_30#0,"""いえ、別に話しづらいことでは……<br>というより、むしろ相談ですらなく<br>しいて言えば……雑談？"""
11_voice_NPC_5062_101#3,"""わたし、会話があまり上手じゃなくて<br>……でもなぜか、あのアフィンくんとは<br>すごく話がはずむんですよね。"""
Afin_01_50#0,"""話を真剣に聞いてくれたり<br>応えやすい話題を振ってくれるから？<br>また、一緒にお話したいです。"""
11_voice_NPC_5062_105#0,"""わたしたちにも、最大限の準備をと<br>通達がありました……"""
ep6_sq00_02#0,"""恐怖はぬぐえていませんが……<br>先輩たちの戦いを見てきた者として<br>頑張ろうと思います。"""
11_voice_NPC_5062_109#1,"""せ、先輩。どうしましょう……<br>こんなことになってしまうなんて<br>わたし、想像もしていなくて……"""
ep6_sq01_02#0,"""わ、わたしに今、できることは……<br>先輩、わたし、とても怖いです……"""
ep6_sq02_01#0,"""せ、先輩……<br>ご無事で、よかったです。<br>本当に……"""
11_voice_NPC_5062_100#22,"""こ、今度はわたしも<br>先輩のお役に立てるように<br>頑張りますね！"""
Stratos_01_010#0,"""こ、こんにちは。先輩。<br>えっ……バレンタインに関する<br>悩みがないか、ですか？"""
Stratos_01_020#0,"""え、ええと……そう、ですね……<br>バレンタインに、お世話になった人に<br>お礼のチョコを渡したいのですが……"""
11_voice_NPC_5062_105#1,"""心をこめて１つだけ作ったので<br>味見ができなくて……上手にできてるか<br>不安で、とても困っています……"""
11_voice_NPC_5062_101#4,"""先輩、よくご無事で！<br>あれだけ壮絶な戦いを乗り切るなんて。<br>本当にお疲れさまでした。"""
text02#0,"""わたし、とても怖かったんですが……<br>恐れず敵に立ち向かう先輩の姿を見て<br>何度も勇気づけられました。"""
text03#0,"""先輩に少しでも近づきたい……<br>心からそう思います。<br>だから、これからも頑張りますね。"""
