11_voice_NPC_5001_101#0,"""嗨，<%me><br>你又來見我啦？<br>哎呀，受歡迎的人真是辛苦啊。"""
11_voice_NPC_5001_100#6,"""要找委託的話那邊多得是喔。<br>這件事最好別跟非戰鬥人員說。<br>因為ARKS也會提出委託呀。"""
Zeno_12_020#0,"""我如果遇到麻煩事<br>也會委託給別人啊。<br>所以你有空時就拜託你囉。"""
11_voice_NPC_5001_105#0,"""我跟艾可的關係？<br>我跟他從以前就認識了。<br>至於認識多久...我忘了。"""
11_voice_NPC_5001_105#1,"""能長期以ARKS的身份參與各種任務<br>也是一種能力優秀的證明，但是<br>認識過多的朋友是一個大問題。"""
Zeno_14_020#0,"""...雷吉亞斯爺爺真是可惡。<br>老是把麻煩事情<br>委託給我。"""
11_voice_NPC_5001_104#1,"""別太勉強喔。<br>因為不論做什麼事<br>都要以自己的安全為優先考量啊。"""
11_voice_NPC_5001_104#2,"""往事會把人束縛在過去。<br>至少我是這樣想的。<br>所以你就算問我的往事，我也不會回答。"""
11_voice_NPC_5001_105#2,"""真是的，最近好忙喔<br>連一點空閒的時間都沒有<br>我好想偷懶喔。"""
11_voice_NPC_5001_104#3,"""凡事都要眼見為憑。<br>不論別人怎麼說，自己看到的<br>才是事實與真相。"""
Zeno_18_020#0,"""以前我的老師<br>對我這樣說過喔。<br>不適合我？　別理我。"""
11_voice_NPC_5001_104#4,"""這個世界<br>就是如此難以預測。<br>有必要時，我會再次造訪。"""
Zeno_19_020#0,"""......<%me><br>如果你有東西想保護<br>就不要讓視線離開那個東西。"""
11_voice_NPC_5001_100#7,"""我要特別提醒你，凡事不要勉強。<br>覺得打不贏就快逃。<br>沒有必要為別人犧牲自己。"""
Zeno_20_020#0,"""所以情況危險時別找我幫忙。<br>因為我會第一個逃走。"""
11_voice_NPC_5001_104#5,"""喂，<%me><br>該怎麼說呢...嗯<br>我不知道該怎麼形容耶..."""
Zeno_21_020#0,"""我感覺到不好的預感或寒意<br>你沒有感覺到麼？<br>是我想太多了麼？"""
11_voice_NPC_5001_105#3,"""哎呀，越看越覺得<br>你像某個人耶<br>到底是像誰啊？　那是秘密。"""
Zeno_22_020#0,"""是我自己這樣想<br>然後自己在偷笑罷了。<br>你就當作自己運氣不好，放棄吧。"""
11_voice_NPC_5001_104#6,"""ここに戻ってくるのも<br>すっげえ久しぶりな感じがするな。"""
Zeno_mb16zeno_020#0,"""懐かしんでる場合じゃないってのは<br>わかってるけど……やっぱ、こう<br>帰ってこれる場所ってのはいいな。"""
11_voice_NPC_5001_105#4,"""なりゆきで六芒になっちまったけど<br>別に、接し方とかを<br>変える必要はないからな？"""
Zeno_mb17_020#0,"""絶対令も封印されるって話だ。<br>……まあ、あんなおっかねーもん<br>こっちから願い下げだけど。"""
Zeno_mb17_030#0,"""……ここだけの話だけど<br>マザーシップ騒乱の時、オレは<br>エコーに絶対令を使ってたんだよ。"""
Zeno_mb17_040#0,"""内容は「自分で決めろ」<br>……正直、命令でもなんでもない<br>ただの、お願いみたいなもんさ。"""
11_voice_NPC_5001_100#8,"""そして、あいつは自分の意志で<br>お前さんと一緒に行動した、と。<br>……変わるもんだな、人ってのはよ。"""
11_voice_NPC_5001_100#9,"""なんつーか、色々変わったよな。<br>見た目もそうだし、他にもさ。"""
Zeno_mb18_020#0,"""ま、もうあんな事は起きないと思うけど<br>何かあった時は、言ってくれよ。"""
