11_voice_NPC_03_100#0,"""おっ、何してんだ相棒？<br>へー、あのネコに頼まれごとか。"""
Afin_mb23_after_020#0,"""まあ、相棒が背負ってるもんは<br>大きいけどさ、ちょっとは周りを<br>頼ってもいいと思うんだ。"""
Afin_mb23_after_030#0,"""あんまり根詰め過ぎるなよ。<br>困ったときはいつでも言ってくれよな。"""
text03#0,"""『クライアントオーダー』について"""
text04#0,"""ゲームを進めていくと、キャラクターから<br>依頼を受けることがあります。<br>これらを「<yellow>クライアントオーダー<c>」と言います。<br><br>クライアントオーダーの内容は様々で<br>クエストをクリアするように指示されたり<br>アイテムを集めることを頼まれたりします。<br><br>受注できるクライアントオーダーがある<br>キャラクターの頭上には、<yellow>青いアイコン<c>が出ます。"""
text05#0,"""エネミーを倒してアイテムを集める場合、<br>そのクライアントオーダーを受けていないとアイテムは<br>ドロップしません。<br><br>目標を達成したら、キャラクターに報告しましょう。<br>経験値やアイテムなどの重要なものが受け取れます。<br>どんどん達成しましょう。<br><br>ある程度ゲームを進めたらキャラクターに話しかけてみましょう。<br>新しいクライアントオーダーが発生しているかもしれません。"""
text04#1,"""ゲームを進めていくと、キャラクターから<br>依頼を受けることがあります。<br>これらを「<yellow>クライアントオーダー<c>」と言います。<br><br>クライアントオーダーの内容は様々で<br>クエストをクリアするように指示されたり<br>アイテムを集めることを頼まれたりします。<br><br>受注できるクライアントオーダーがある<br>キャラクターの頭上には、<yellow>青いアイコン<c>が出ます。"""
text05#1,"""エネミーを倒してアイテムを集める場合、<br>そのクライアントオーダーを受けていないと<br>アイテムはドロップしません。<br><br>目標を達成したら、<br>キャラクターに報告しましょう。<br>経験値やアイテムなどの重要なものが<br>受け取れます。どんどん達成しましょう。<br><br>ある程度ゲームを進めたら<br>キャラクターに話しかけてみましょう。<br>新しいクライアントオーダーが<br>発生しているかもしれません。"""
11_voice_NPC_5003_100#9,"""お、さっそく来てくれたんだ。<br>やっぱり、持つべきは良い相棒だよな。<br>てなわけで、ちょっと話聞いてくれよ。"""
linewindow001#0,"""アフィンをパートナーとして呼べるようになりました。"""
11_voice_NPC_5003_100#10,"""どんなことでも前向きに頑張る<br>相棒を見てたからさ。<br>おれも、色々と頑張れたんだ。"""
Afin_mb24_020#0,"""身近な人がダークファルスになるって<br>想像以上に堪えるものがあるけど……<br>絶対に諦めずに頑張ろうぜ。"""
Afin_mb24_030#0,"""おれも協力できることはするからさ。<br>気持ちを強く、負けないようにな。"""
