11_voice_NPC_5009_101#0,"""啊，是你啊。<br>你來的正好，這個給你。"""
11_voice_NPC_5009_104#0,"""ARKS擁有優秀的<br>戰鬥能力。<br>這是眾所皆知的事實。"""
Aki_13_020#0,"""但是相對的，研究與分析等工作，<br>都是交給系統去處理。<br>......這似乎有點不太妥當。"""
11_voice_NPC_5009_103#1,"""把「可以為了別人而賭命」掛在嘴上的人，<br>其實完全沒有考慮到活著的人的心情。<br>這些傢伙既頑固又膽小，真是不像話。"""
11_voice_NPC_5009_104#1,"""我並不想刻意成為研究人員。<br>只要調查自己想知到的事情，<br>總有一天會被稱為研究人員。"""
Aki_15_020#0,"""之後自然就會得到應有的地位與名聲。<br>相信世界上一定有不想當英雄，<br>但卻被稱為英雄的人。"""
11_voice_NPC_5009_104#2,"""<%me>。<br>非常謝謝你，<br>從背後推了我一把。"""
C141_20#0,"""我只是想要待在老師身邊，<br>這樣就心滿意足了。"""
C141_30#0,"""還說自己是衝衝衝老師的助手，真讓人難為情唷。<br>一但下定決心就去行動，這樣就好了啊。"""
Alice_01_10#0,"""<br>關於和其他種族談戀愛？<br>這是哪來的胡思異想啊？"""
Alice_01_20#0,"""<br>但是被你這麼一說，我還真沒有認真地考慮過一次耶。"""
Alice_01_30#0,"""<br>如果是繁衍後代這意思的話，只要有遺傳因子的話，就都有可能。"""
Alice_01_40#0,"""<br>就科學而言，即使雙方是不同種族，也可以繁衍後代。極端來說的話，連機器人也有可能。"""
Alice_01_50#0,"""<br>可是如果是戀愛的話就難說了。<br>因為這種非科學的感情交融，<br>有時會產生出難以理解的情況。"""
Alice_01_60#0,"""<br>儘管我個人是毫不排斥，但一定也會出現和我持不同意見的人。<br>所謂一樣米養百樣人嘛。"""
Alice_01_70#0,"""本來現在的我不排斥戀愛。但根本說來，<br>我是對戀愛沒有興趣啦。"""
11_voice_NPC_5009_104#3,"""黑暗法爾斯復活的事實<br>已經無法改變了。<br>我對世人的紛紛議論沒有興趣。"""
Aki_mb9_020#0,"""但是他並沒有被打倒，<br>只是被封印而已。<br>大家應該正視這個事實。"""
11_voice_NPC_5009_104#4,"""沒有人知道<br>那隻龍的來歷。雖說如此，<br>但大家都知道牠呈現暴走的狀態。"""
Aki_mb10_020#0,"""......暴走龍啊。<br>這個形容到底正不正確，<br>我真的不知道。"""
11_voice_NPC_5009_100#6,"""戰技大會是個<br>不錯的試煉。<br>可以藉此挑選出戰力。"""
Aki_mb11_020#0,"""比起培育堅強的戰力，<br>減少無謂的犧牲<br>其實相對簡單多了。"""
11_voice_NPC_5009_100#7,"""行星沃帕爾......啊。<br>真抱歉，我沒什麼興趣。"""
11_voice_NPC_5009_104#5,"""龍祭壇......龍族的聖地啊。"""
Aki_mb13_020#0,"""那裡會不會<br>歡迎我的來訪呢。"""
11_voice_NPC_5009_104#6,"""嗯嗯......又寫錯文件了麼。<br>如果不是萊特，好像就沒辦法呢。"""
Aki_mb14_020#0,"""到底是在煩惱什麼呢。"""
11_voice_NPC_5009_100#8,"""<br>所謂煩惱這回事，其實就是在你煩惱的時候，自己心中早已有答案。"""
Aki_mb15_020#0,"""<br>只是沒有踏出最後一步的勇氣而已。在一旁看著，是要靜觀其變麼？還是要在背後推一把呢？因人而已。<br>"""
11_voice_NPC_5009_100#9,"""……煙硝味呢。<br>啊、不，不是在說你。<br>是在說這裡的全部唷。"""
11_voice_NPC_5009_102#2,"""是麼，虛空機關的總長呀……<br>那個男人，<br>無論在何處，到頭來都是個研究者呢。"""
Aki_mb16zeno_020#0,"""<br>把除自己以外的人都看作棋子一般的存在，將這一切當作是推演沙盤一樣的想法，太天真了。"""
Aki_mb16zeno_030#0,"""……雖然曾經認為你是個愚蠢的傢伙，但結果還是變成這樣啊。"""
11_voice_NPC_5009_100#10,"""惑星ハルコタンの文化は<br>独特の進化を遂げていると聞く。"""
Aki_mb18_020#0,"""私は所用が多くて行けていない。<br>ぜひ、私の分まで見てきてくれ。"""
Aki_mb19_010#0,"""惑星ウォパルの浮上施設か……<br>興味はないのかって？<br>正直、イマイチといったところだ。"""
Aki_mb19_020#0,"""おそらく重要な情報が眠っていたり<br>貴重な発見があるのかもしれないが……<br>それは、私の求めているものじゃない。"""
11_voice_NPC_5009_100#11,"""私は今まで通り、自分の興味が<br>向いたところに赴く。それだけさ。"""
Aki_mb20_010#0,"""興味深いレポートを見ると<br>ついつい夢中になってしまうね。"""
Aki_mb20_020#0,"""時間が許すなら、現地へ行きたいが<br>なかなかこれでも忙しくてね。<br>まずは自分の研究が優先だ。"""
11_voice_NPC_5009_100#12,"""何はともあれ、興味が惹く対象が<br>増えるのは喜ばしいことだよ。"""
Aki_mb21_010#0,"""レラ君とはたまに会うんだが<br>彼女はとても好奇心が旺盛で<br>いろんな事に興味を持っているんだ。"""
Aki_mb21_020#0,"""それにとても友好的でね<br>私に限らず、アークスの人を見ると<br>声をかけたりしているみたいなんだ。"""
Aki_mb21_030#0,"""だが、彼女はなにせ大きいからね。<br>話をする前に驚かれてしまうらしいよ。<br>こればっかりは、解決が難しいね。"""
11_voice_NPC_5009_100#13,"""なかなか面白い発見をしてね。<br>今はそれに夢中なんだ。"""
Aki_mb22_020#0,"""レラ君の発想がヒントになってね。<br>想像すらしなかったものだ。<br>彼女と話すのはいつも楽しいよ。"""
Aki_mb22_030#0,"""論文もはかどってきている。<br>必ずやいい研究にしてみせるよ。"""
11_voice_NPC_5009_100#14,"""やあ、大変だったみたいだね。<br>息災のようでなによりだよ。"""
Aki_mb23_020#0,"""どうにも論文で忙しくてね。<br>キミがダークファルスに喰われて<br>帰ってきてから、事件を知ったんだ。"""
11_voice_NPC_5009_104#7,"""さすがに私も聞いた時は驚いたさ。<br>でも、こうして顔も見れたことだし<br>また論文に集中できそうだよ。"""
11_voice_NPC_5009_100#15,"""キミが特別なアークスであろうことは<br>なんとなくだけど、察していたさ。"""
Aki_mb23_after_020#0,"""ただ想像よりも、特別だったけどね。<br>それで、どうするつもりなんだい？<br>キミの相手はとても強大な存在だ。"""
Aki_mb23_after_030#0,"""だが、キミには人望がある。<br>私から言えることは少ないが……<br>周りを頼ってみるのもいいと思うよ。"""
Aki_mb24_after_010#0,"""ああ、キミか。<br>無事に帰ってきて良かったよ。"""
Aki_mb24_after_020#0,"""望んだ結果が得られるのは<br>研究だろうとなんだろうと<br>嬉しいものだからね。"""
11_voice_NPC_5009_100#16,"""他ならぬキミが望んだことが<br>無事に叶ったんだ。<br>私にとっても嬉しい報告だよ。"""
Aki_mb25_010#0,"""リリーパでなんだか問題が<br>起きているようだね。"""
Aki_mb25_020#0,"""起きている問題に興味はないが<br>まあ……大変な案件なら<br>そのうち連絡はくるだろ。"""
Aki_mb25_030#0,"""キミは関わってるのかい？<br>私が言うのもあれだが<br>あまり無理ないようにな。"""
11_voice_NPC_5009_100#17,"""おや、キミは……誰だっけ？"""
st01_020#0,"""いやいや冗談だよ。<br><%me>君。<br>キミを忘れられるはずがないだろう。"""
st01_030#0,"""無事に戻ってきてくれてなによりだ。<br>これでまた、色々お願いできるからね。"""
11_voice_NPC_5009_100#18,"""相変わらずせわしないね、キミは。<br>手が空いたら、こっちの仕事も<br>手伝ってくれると嬉しいな。"""
11_voice_NPC_5009_100#19,"""私の所属かい？<br>総務部の研究課、となっているよ。"""
st01_020#1,"""情報部から研究部門は切り離されたよ。<br>トップの意志で悪用されないようにね。"""
st01_030#1,"""マリアが司令の総務部なら<br>悪用とも無縁だろう？<br>研究というものに興味もないだろうし。"""
11_voice_NPC_5009_100#20,"""エーテルについては<br>うちの研究課でも、研究者たちが<br>調べているようだよ。"""
st01_020#2,"""私はそっちの専門ではないから<br>詳しいことはわからないけどね。"""
st01_030#2,"""みんな、いきいきと研究してるよ。<br>未知のものを調べるのは<br>やはり楽しいものだよ。"""
st01_010#0,"""具現武装……サモナーの使うペットと<br>同様の、フォトン具現による創造物。<br>そう判断されている。"""
st01_020#3,"""だが、その特殊能力の性質や<br>所有者を選ぶという点から鑑みると<br>創世器、のほうが近く感じるな。"""
11_voice_NPC_5009_100#21,"""具現武装の汎用化とは、相変わらず<br>総務部の司令は無茶ばかりを言う。"""
st01_020#4,"""あれを汎用化するというのは<br>いわば創世器の汎用化だ。<br>汎用モデルを作るという話とは違う。"""
st01_030#3,"""一人一人に適した武装を作り上げる。<br>実現可能か研究してみろ、だってさ。<br>あれは挑戦状だよ。マリアからのね。"""
st01_010#1,"""アークスシップ内にかかるリミッターは<br>フォトンに作用し、結合を分解する。<br>ダーカーでも例外ではない。"""
11_voice_NPC_5009_104#8,"""ゆえに、ここショップエリアは<br>安全な場所と言われていたのだが……<br>神話は崩壊するものだな。"""
Emilia_01_10#0,"""ああ、キミか。<br>どうしたんだい、改まって。"""
Emilia_01_20#0,"""……ふむ、成る程。<br>異世界からの来訪者への技術協力、か。"""
Emilia_01_30#0,"""そんな魅力的なお誘いを<br>私が断ると思うかい？<br>喜んで協力させてもらうよ。"""
Emilia_01_40#0,"""未知の技術や思考に触れる機会なんて<br>そうそうあるものじゃないからね。"""
st01_010#2,"""先日の襲撃を経て、エーテルの構成と<br>その分解、及びリミッターの解放権限を<br>見直す方向で話がまとまった。"""
st01_020#5,"""決定が迅速で、とても良いことだな。<br>もろもろの反省が生きている<br>とも言える。"""
11_voice_NPC_5009_104#9,"""私は今回留守番だ。<br>私程度の能力では邪魔になる。"""
sq00_020#0,"""その分、分析などに全力を尽くす。<br>他ならない、キミのためだからね。"""
sq01_010#0,"""キミの無事を祝いたいのはやまやまだが<br>分析しなければならないデータが<br>山積みで、てんてこ舞いさ。"""
11_voice_NPC_5009_105#1,"""かの【深遠なる闇】との戦いで<br>色々と想定外のデータが出ている。<br>これは時間がかかりそうだぞ。"""
11_voice_NPC_5009_100#22,"""【深遠なる闇】のデータ分析が<br>落ち着いてきたと思ったら<br>今度は終の女神の分析だ。"""
sq13_020#0,"""まったく、私は働き者だよ。<br>もっとも、ここで手を抜くわけには<br>いかないけどね。"""
ep6_sq00_01#0,"""【深遠なる闇】のデータ分析が<br>落ち着いてきたと思ったら<br>今度は終の女神の分析だ。"""
11_voice_NPC_5009_104#10,"""まったく、私は働き者だよ。<br>もっとも、ここで手を抜くわけには<br>いかないけどね。"""
ep6_sq01_01#0,"""ライト君は動揺しすぎだが<br>たしかにアークスは危機的状況だ。"""
ep6_sq01_02#0,"""事実は事実。しかし希望が潰えた時でも<br>次の一手につながる可能性を探る。<br>それが研究者だ。"""
11_voice_NPC_5009_104#11,"""……キミも大変だろうが<br>よろしく頼んだぞ。守護輝士君。"""
11_voice_NPC_5009_100#23,"""ご苦労だったな。<br>キミだけではなく<br>全員で掴んだ未来への糸口だ。"""
ep6_sq02_02#0,"""しかし、アムドゥスキアの謎が<br>こんな形で明かされるとは……"""
ep6_sq02_03#0,"""研究者としては自らの手で<br>真実を見つけたかった気もするな。<br>その点だけは残念だ。"""
ep6_sq05_1#0,"""敵の勢いが弱まった今が<br>おそらく正念場なのだろう。"""
ep6_sq05_2#0,"""なら私がするべきは<br>敵のデータをさらに分析して<br>全身全霊でサポートすることだな。"""
ep6_sq05_3#0,"""キミには<br>大変な思いをさせてばかりだが……<br>よろしく頼む。"""
11_voice_NPC_5009_101#2,"""一時はどうなるかと思ったが<br>なんとかなってよかったよ。<br>皆で全力を尽くした成果だな。"""
text02#0,"""しかし、キミはとんでもないね。<br>あれほどの大役をこなしても<br>普段と変わらない様子とはね。"""
11_voice_NPC_5009_100#24,"""さて、実はのんびりしてられないんだ。<br>先の戦いで色々と研究が滞っていてね。<br>さっそく取りかからないと。"""
