un_049050_0010#0,"""あ、<%me>さん！<br>ちょうどいいところに！"""
un_049050_0460#0,"""……どうでもいい情報が入ってきた。"""
un_049050_0470#0,"""だー、もう！<br>だったらその持ちぐされてるの<br>あたしに５０％ぐらいよこしなさい！"""
un_049050_0480#0,"""ふああっ！？"""
un_049050_0490#0,"""……クゥ、教師が生徒にセクハラはよくない。"""
un_049050_0500#0,"""セクハラじゃないわよ！<br>これは、スキンシップよ！<br>おらおらおら！"""
un_049050_0510#0,"""……お止めなさい、オークゥ。<br>見苦しいですよ。"""
un_049050_0520#0,"""ぐぬぬ……"""
un_049050_0530#0,"""本当の愛とは、最終的には身体を超越します。<br>お嬢さん方が言っているような、胸の大きさなど<br>さしたる問題ではありません。"""
un_049050_0540#0,"""重要なのは、おのおのの心です。<br>皆さんは今回の事件で、それを学んだはずでは？"""
un_049050_0550#0,"""皆さん、まだまだお若い。<br>素敵な恋をし、正しき愛を育むとよろしい。<br>それこそが、人の営みというものなのですから。"""
un_049050_0560#0,"""……すごい説得力。<br>経験者は語る、ってやつだね。"""
un_049050_0570#0,"""経験者……なの？"""
un_049050_0580#0,"""あたしが知るわけないでしょ。"""
un_049050_0590#0,"""あ、あのー……<br>つかぬことをうかがいますが<br>ファレグさんって、何歳なんですか？"""
un_049050_0600#0,"""いきなりぶっこんだ！<br>すごいなこのヤンデレ！"""
un_049050_0610#0,"""……しかし、いい質問！<br>誰もが聞きたかった事よ、それ！<br>グッジョブ、コオリ！"""
un_049050_0620#0,"""経てきた年月の値に、意味はありません。<br>心がそうありたいと願うように、ですよ。"""
un_049050_0630#0,"""えっと……<br>こ、今回のも、秘匿しておきましょうか。"""
un_049050_0640#0,"""私は何も見ませんでした！<br><%me>さんも同じ！<br>役得だと思って、二人の秘密としましょう！"""
