name01#0,"""希爾達"""
text41_3b#0,"""<%WeaponAction_2><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>裏パレットに切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（ペネトレイトアロウ）が発動します。"""
text51#0,"""<%WeaponAction>で、<br>武器アクションを行います。<br><br>「ジェットブーツ」を装備中は<br><%WeaponAction><c 00ffff>で<br>「スイッチアクション」が発動します。<c><br><br>スイッチアクション中は攻撃を回避できます。<br><br>また攻撃中にスイッチアクションを行うと、<br>攻撃アクションが変化します。"""
text51_3b#0,"""<%MainPaletteC>で、<br>武器アクションを行います。<br><br>「ジェットブーツ」を装備中は<br><%MainPaletteC><c 00ffff>で<br>「スイッチアクション」が発動します。<c><br><br>スイッチアクション中は攻撃を回避できます。<br><br>また攻撃中にスイッチアクションを行うと、<br>攻撃アクションが変化します。"""
text61#0,"""<%WeaponAction><c 00ffff>を押している間、<br>「裏パレット」に切り替えます。<c><br><br>裏パレットに切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（ワンダブレイク）が発動します。"""
text61_3b#0,"""<%WeaponAction_2><c 00ffff>を押している間、<br>「裏パレット」に切り替えます。<c><br><br>裏パレットに切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（ワンダアサルト）が発動します。"""
text110#0,"""<%WeaponAction>で一定時間ガード体勢をとれ！"""
text110_3b#0,"""<%MainPaletteC>で一定時間ガード体勢をとれ！"""
text120#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でグレネードシェルを撃て！"""
text130#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でバータを撃て！"""
text140#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でペネトレイトアロウを撃て！"""
text150#0,"""<%WeaponAction>でスイッチアクションを行え！"""
text150_3b#0,"""<%MainPaletteC>でスイッチアクションを行え！"""
text160#0,"""<%WeaponAction>でアクションを行え！"""
text1010#0,"""<%WeaponAction>で一定時間ガードしろ！"""
text1010_3b#0,"""<%MainPaletteC>で一定時間ガードしろ！"""
text1020#0,"""<%WeaponAction>で切り替えて、<%NormalAttack>で撃て！"""
text1020_3b#0,"""<%WeaponAction_2>で切り替えて、<%NormalAttack>で撃て！"""
text1030#0,"""<%WeaponAction>で切り替えて、<%NormalAttack>で撃て！"""
text1030_3b#0,"""<%WeaponAction_2>で切り替えて、<%NormalAttack>で撃て！"""
text1040#0,"""<%WeaponAction>で切り替えて、<%NormalAttack>で撃て！"""
text1040_3b#0,"""<%WeaponAction_2>で切り替えて、<%NormalAttack>で撃て！"""
text1050#0,"""<%WeaponAction>でスイッチアクションを行え！"""
text1050_3b#0,"""<%MainPaletteC>でスイッチアクションを行え！"""
text201#0,"""ガード体勢をとれ！"""
text202#0,"""ガード体勢をとれ！"""
text203#0,"""ガード：<%WeaponAction>"""
text203_3b#0,"""ガード：<%MainPaletteC>"""
text204#0,"""ガード：<%WeaponAction>"""
text205#0,"""裏パレットのフォトンアーツを使え！"""
text206#0,"""裏パレットのフォトンアーツを使え！"""
text207#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text207_3b#0,"""パレット切り替え：<%WeaponAction_2><br>フォトンアーツ：<%NormalAttack>"""
text208#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text209#0,"""裏パレットのテクニックを使え！"""
text210#0,"""裏パレットのテクニックを使え！"""
text211#0,"""パレット切り替え：<%WeaponAction><br>テクニック：<%NormalAttack>"""
text211_3b#0,"""パレット切り替え：<%WeaponAction_2><br>テクニック：<%NormalAttack>"""
text212#0,"""パレット切り替え：<%WeaponAction><br>テクニック：<%NormalAttack>"""
text213#0,"""裏パレットのフォトンアーツを使え！"""
text214#0,"""裏パレットのフォトンアーツを使え！"""
text215#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text215_3b#0,"""パレット切り替え：<%WeaponAction_2><br>フォトンアーツ：<%NormalAttack>"""
text216#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text217#0,"""回避を行え！"""
text218#0,"""回避を行え！"""
text219#0,"""回避：<%WeaponAction>"""
text219_3b#0,"""回避：<%MainPaletteC>"""
text220#0,"""回避：<%WeaponAction>"""
text221#0,"""裏パレットのフォトンアーツを使え！"""
text222#0,"""裏パレットのフォトンアーツを使え！"""
text223#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text223_3b#0,"""パレット切り替え：<%WeaponAction_2><br>フォトンアーツ：<%NormalAttack>"""
11_voice_navi02_121#1,"""嗯，看起挺有模有樣的嘛。<br>那麼接下來是應用方式。"""
11_voice_navi02_122#1,"""武器都有適用的使用方法。<br>先隨意地試試看吧。"""
text00#1,"""關於『武器動作』"""
text01#1,"""チュートリアル<br>ハンターの『武器アクション』について説明します。<br><br>武器アクションとは、装備している武器ごとに異なる<br>専用のアクションです。"""
text02#0,"""在已裝備大劍的狀態下按壓<%WeaponAction>鍵，<br>角色就會採取防禦姿態。<br>這是大劍的武器動作『防禦』。"""
text03#0,"""防禦來自敵人的攻擊，便能夠減輕傷害力道。<br><br>但由於無法防禦來自正面以外的攻擊，<br>因此這點要特別注意。"""
text04#0,"""教學<br>說明關於遊俠的『武器動作』。<br><br>所謂的武器動作，是指依各種裝備武器狀態而不同的專用動作。"""
text06#0,"""例如，在已裝備步槍的狀態下按壓<%WeaponAction>鍵，<br>武器快捷列會切換為內裏快捷列。<br><br>這就是步槍的武器動作。<br><br>切換方式有按住<%WeaponAction>鍵不放進行切換<br>（長按操作），以及每按一次鍵立即切換（單次操作）<br>兩種，可在設定的基本設定中選擇想要的切換方式。"""
text07#0,"""切換為內裏快捷列並按下<%NormalAttack>，<br>即可發射「榴彈射擊」。<br><br>那麼，就實際試看看吧！"""
text08#0,"""教學<br>說明關於法師的『武器動作』。<br><br>所謂的武器動作，是會依據所裝備的武器而有所差異的專用動作。"""
text10#0,"""例如，在已裝備長杖的狀態下按住<%WeaponAction><br>不放，武器快捷列就會切換為內裏快捷列。<br><br>這就是長杖的武器動作。<br><br>切換方式有按住<%WeaponAction>鍵不放進行切換<br>（長按操作），以及每按一次鍵立即切換（單次操作）<br>兩種，可在設定的基本設定中選擇想要的切換方式。"""
text11#1,"""裏パレットに切り替えた状態で<br><%NormalAttack>を押すと「<yellow>バータ<c>」を発射できます。<br><br>それでは、実際にやってみましょう。"""
text12#0,"""教學<br>說明關於武士的『武器動作』。<br><br><br>所謂的武器動作，是指依各種裝備武器狀態而不同的專用動作。"""
text13#0,"""例如，在已裝備強弓的狀態下按住<%WeaponAction><br>不放，武器快捷列會切換為內裏快捷列。<br><br>這就是強弓的武器動作。<br><br>切換方式有按住<%WeaponAction>鍵不放進行切換<br>（長按操作），以及每按一次鍵立即切換（單次操作）<br>兩種，可在設定的基本設定中選擇想要的切換方式。"""
text14#0,"""在切換至內裏快捷列的狀態下，<br>按下<%NormalAttack>即可發射「貫穿箭」。<br><br>那麼，就實際試看看吧！"""
text15#0,"""チュートリアル<br>バウンサーの『武器アクション』について説明します。<br><br>武器アクションとは、装備している武器ごとに異なる<br>専用のアクションです。"""
text16#0,"""ジェットブーツを装備し立ち止まった状態で<br><%WeaponAction>を押すと、キャラクターが<br>華麗なジャンプを行います。これを<br>「スイッチアクション」と呼びます。<br><br>スイッチアクションを行うと<br>華麗に敵の攻撃を回避できます。"""
text17#0,"""ジェットブーツを装備して攻撃中に<br><%WeaponAction>を押すと、攻撃アクションが<br>別の攻撃アクションに変化します。<br>状況に合わせて攻撃を使い分けましょう。"""
text100#0,"""<%WeaponAction>で一定時間ガード体勢をとれ！"""
text101#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でグレネードシェルを撃て！"""
text102#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でバータを撃て！"""
text103#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でペネトレイトアロウを撃て！"""
text104#0,"""<%WeaponAction>でスイッチアクションを行え！"""
text1000#0,"""<%WeaponAction>で一定時間ガードしろ！"""
text1001#0,"""<%WeaponAction>で切り替えて、<%NormalAttack>で撃て！"""
text1002#0,"""<%WeaponAction>で切り替えて、<%NormalAttack>で撃て！"""
text1003#0,"""<%WeaponAction>で切り替えて、<%NormalAttack>で撃て！"""
text1004#0,"""<%WeaponAction>でスイッチアクションを行え！"""
