HELLO_FAV4#0,"""お待ちしていました"""
GOTOEXP_FAV1#6,"""はいはいっ、りょーかい！"""
GOTOEXP_FAV0#6,"""はいはいっ、りょーかい！"""
HELLO_REPORT_FAV4#6,"""やーっ、来た来た！<br>聞いて聞いて、報告聞いて！"""
HELLO_REPORT_FAV3#6,"""ちょうど一段落！<br>報告、しちゃおっかなー！"""
HELLO_REPORT_FAV2#6,"""報告していいかなっ？"""
HELLO_REPORT_FAV1#6,"""報告していいかなっ？"""
HELLO_REPORT_FAV0#6,"""報告していいかなっ？"""
HELLO_OTHER#6,"""いらっしゃーい！"""
GOODBYE_OTHER#6,"""それじゃまったねー！"""
HELLO_FAV4#7,"""……遅い。<br>来るならもっと早く来い<br>心配するだろ"""
HELLO_FAV3#7,"""あ……無事なら、いい"""
HELLO_FAV2#7,"""……ふん、元気そうだな"""
HELLO_FAV1#7,"""……ふん、元気そうだな"""
HELLO_FAV0#7,"""……ふん、元気そうだな"""
GOODBYE_FAV4#7,"""なんだよ、もう行くのか……？<br>べ、別に心配なんかしてない！"""
GOODBYE_FAV3#7,"""行くなら勝手にしろ。<br>……気をつけてな"""
GOODBYE_FAV2#7,"""あ……じゃあ、またな"""
GOODBYE_FAV1#7,"""あ……じゃあ、またな"""
GOODBYE_FAV0#7,"""あ……じゃあ、またな"""
GOTOEXP_FAV4#7,"""...Подождите<br>я стараюсь ради вас<br>предоставьте это мне"""
GOTOEXP_FAV3#7,"""...Оставте его"""
GOTOEXP_FAV2#7,"""... Все в порядке<br>до следующего рейда"""
GOTOEXP_FAV1#7,"""……了解した。<br>これから出撃する"""
GOTOEXP_FAV0#7,"""……了解した。<br>これから出撃する"""
HELLO_REPORT_FAV4#7,"""……遅い！<br>早く報告したかったのに！<br>……と、とにかく聞いて欲しい"""
HELLO_REPORT_FAV3#7,"""ふん……こっちも一段落だよ。<br>報告、聞いていってくれるか？"""
HELLO_REPORT_FAV2#7,"""……報告があるんだけど"""
HELLO_REPORT_FAV1#7,"""……報告があるんだけど"""
HELLO_REPORT_FAV0#7,"""……報告があるんだけど"""
HELLO_OTHER#7,"""……よく来たな"""
GOODBYE_OTHER#7,"""ふん……それじゃあな"""
HELLO_FAV4#8,"""ふふっ、待ってたよ。<br>今日はどんな話をする？"""
HELLO_FAV3#8,"""大丈夫？\u3000ケガとかしてない？"""
HELLO_FAV2#8,"""ボクは元気だよ"""
HELLO_FAV1#8,"""ボクは元気だよ"""
HELLO_FAV0#8,"""ボクは元気だよ"""
GOODBYE_FAV4#8,"""え、もう行っちゃうの？<br>……でも、しょうがないか。<br>うん、頑張ってきてね！"""
GOODBYE_FAV3#8,"""ボクのことなら心配いらないよ。<br>気をつけて、いってらっしゃい"""
GOODBYE_FAV2#8,"""いってらっしゃい"""
GOODBYE_FAV1#8,"""いってらっしゃい"""
GOODBYE_FAV0#8,"""いってらっしゃい"""
GOTOEXP_FAV4#8,"""Мы сделали это..."""
GOTOEXP_FAV3#8,"""Принято.<br>Я постараюсь!"""
GOTOEXP_FAV2#8,"""Принято.<br>Выдвигаемся"""
GOTOEXP_FAV1#8,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
GOTOEXP_FAV0#8,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
HELLO_REPORT_FAV4#8,"""あ、待ってたよ！<br>きみに早く報告したかったんだ！"""
HELLO_REPORT_FAV3#8,"""ボクの報告、聞いてくれる？"""
HELLO_REPORT_FAV2#8,"""報告、してもいい？"""
HELLO_REPORT_FAV1#8,"""報告、してもいい？"""
HELLO_REPORT_FAV0#8,"""報告、してもいい？"""
HELLO_OTHER#8,"""ようこそ"""
GOODBYE_OTHER#8,"""また、いつでもどうぞ"""
