11_voice_NPC_5026_100#0,"""¡Hola hola! Las cosas están tan ocupadas como siempre, sí, lo son."""
Risa_favs_present_060#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
Risa_favs_present_070#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
Risa_favs_present_080#0,"""Ha recibido \""Piercing Shell\""  de Lisa."""
Risa_favs_present_090#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
Risa_favs_present_100#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
Risa_favs_present_add_001#0,"""Ha recibido \""<%skit_text>\""  de Lisa."""
11_voice_NPC_5026_100#2,"""Hola. Lisa está descansando un poco, ¿Sabes? Como puedes ver. Jeje."""
Risa_01_020#0,"""¡Disparar es un trabajo duro, lo es! Es por eso que descansar es importante. Jeje. Hehehehe."""
11_voice_NPC_5026_100#3,"""Todos los tipos de enemigos tienen puntos débiles, ¿Sí? Si diriges todos tus ataques en el punto débil de un enemigo, dejan de respirar muy rápido."""
11_voice_NPC_5026_106#1,"""Cualquiera que hablara con Lisa tendría que estar absolutamente fuera de sí. Entonces... Eso significa que eres bastante raro."""
11_voice_NPC_5026_100#4,"""No hace mucho tiempo, Lisa era muy diferente. Ella era en realidad una chica bastante tímida, ¿Sabes?"""
Risa_04_020#0,"""¿Qué pasó, puedes preguntar?... Bueno, cada jovencita tiene sus secretos. Jeje. Jejeje"""
11_voice_NPC_5026_104#0,"""Lisa no quiere morir ni nada, pero a menudo ha pensado cómo sería, ¿Sabes?"""
Risa_05_020#0,"""Solo puedes vivir una vida a la vez, ¿Sabes? Lisa espera con ansias su próxima!"""
11_voice_NPC_5026_105#0,"""¿Parece Lisa que vive con imprudencia? Lisa solo hace lo que ella piensa que es divertido."""
11_voice_NPC_5026_101#1,"""Jeje. ¡Lisa se divierte mucho hablando contigo! Lisa no se ha sentido de esta manera por un tiempo."""
11_voice_NPC_5026_104#1,"""¿Alguna vez piensas en lo que harás cuando todo haya terminado? Cuando Lisa lo piensa, es deprimente."""
Risa_08_020#0,"""Lisa realmente no piensa en nada excepto matar enemigos, ¿Sabes? ¡Cuando todo esto termine, no habrá enemigos para matar!"""
11_voice_NPC_5026_105#1,"""Todavía apenas hay información sobre Darkers, pero por alguna razón cuando ARKS los captura, no los examinan"""
Risa_09_020#0,"""¿Tal vez tienen miedo? O tal vez... ¿No es necesario? De cualquier manera, todo es un misterio."""
11_voice_NPC_5026_100#5,"""Hay momentos en que Lisa pierde el rumbo, ¿Sabes? Pero, es en esos momentos cuando hace lo que más quiere hacer."""
Risa_10_020#0,"""Lisa no tiene que preocuparse por nada en absoluto, ¿Sabes? Ella puede ir y matar."""
Alice_01_10#0,"""Cuanto le gusta a Lisa los Ranger, ¿Preguntas? Esa es una pregunta extraña, ¿Sabes?"""
Alice_01_20#0,"""No es una historia muy interesante, pero ya que eres tú quien pregunta, Lisa te contará todo al respecto."""
Alice_01_30#0,"""Fue cuando Lisa era una niña pequeña. La pura e inocente Lisa estaba jugando con sus pistolas de juguete como solía hacer, ¿Sabes?"""
Alice_01_40#0,"""¡Pero entonces! Algo salió de uno de los cañones por alguna razón, ¡Aunque era solo un juguete! Fue entonces cuando Lisa... dejó de jugar a fingir."""
Alice_01_50#0,"""Usted ve, los Rangers tienen una habilidad innata para disparar su energía de photons como balas, ¿Sabes? Entonces, así fue como Lisa se lanzó a disparar con solo una pistola de juguete."""
Alice_01_60#0,"""¿Qué pasó con la gente que disparó Lisa? Jeje. ¿Por qué Lisa sabría algo así?"""
Alice_01_70#0,"""Lisa solo recuerda que le dio una sensación REALMENTE agradable, ¿Sabes?"""
11_voice_NPC_5026_103#0,"""あーあ、がっかりですよう。<br>もっとあのダークファルスさんと<br>遊びたかったんですけどねえ。"""
Risa_mb9_020#0,"""Bueno, parecía que también se estaba divirtiendo, así que probablemente se presente nuevamente."""
11_voice_NPC_5026_103#1,"""ウワサのアレ。暴走龍さん？<br>暴走というわりには、ずいぶんと<br>節度を守った暴れ方をしてますねえ。"""
Risa_mb10_020#0,"""Si le preguntas a Lisa, ni siquiera es un berrinche leve. Deberías intentar aplicarte más, ¿Sabes?"""
11_voice_NPC_5026_101#2,"""戦技大会……いい響きですねえ。<br>戦闘の技術を競う大会、ですよお。"""
Risa_mb11_020#0,"""Lo que significa que todos muestran sus mejores estrategias para matar. Jejeje Lisa no puede esperar, ¿Sabes?"""
11_voice_NPC_5026_100#6,"""Planeta Wopal, ¿Verdad? Es un lugar curioso, ¿Sabes?"""
Risa_mb12_020#0,"""Por alguna razón, Lisa se siente un poco culpable por destruir todo. Sin embargo, no la detiene."""
11_voice_NPC_5026_104#2,"""Esos altares de dragón son un poco difíciles para Lisa, ¿Sabes?"""
Risa_mb13_020#0,"""Cuando Lisa dispara todo con un abandono imprudente, solo se enfadan cuando destruyen sus objetos de valor."""
Risa_mb13_030#0,"""Pero no se vuelven tan intensos de ira si todo lo demás se destruye, por lo que es un poco aburrido, ¿Sabes?"""
11_voice_NPC_5026_101#3,"""Algo sobre el planeta Lillipa es diferente recientemente, ¿Sabes?"""
Risa_mb14_020#0,"""Tanto ARKS como Darkers se han vuelto mucho más activos allí. Jejeje Lisa se emociona un poco al respecto."""
Risa_mb14_030#0,"""¿Quién sabe lo que va a pasar? Sea lo que sea, Lisa espera con ansias."""
11_voice_NPC_5026_102#0,"""El Lecho marino del planeta Wopal, ¿Verdad?... A Lisa no le gusta ese lugar, ¿Sabes?"""
Risa_mb15_020#0,"""Lisa no puede explicar por qué, pero tiene un mal presentimiento sobre ese lugar. Es bastante molesto, ¿Sabes?"""
Risa_mb15_030#0,"""¡Lisa en realidad trata de tener cuidado cuando está allí! ¿Estás impresionado? ¡Deberías estar orgulloso de ella!"""
Risa_mb16_010#0,"""Algo grande está por suceder. ¡Lisa puede sentirlo en sus circuitos!"""
11_voice_NPC_5026_101#4,"""Lisa no está segura de lo que es, pero definitivamente sabe cuándo se está gestando una tormenta. Hehehehe."""
Risa_mb16_030#0,"""A Lisa le gusta cuando puede liberarse. Cuando ella puede disparar y disparar y disparar y disparar todo tipo de cosas."""
11_voice_NPC_5026_106#2,"""Oh? Oh? Oh my, my! Es bueno ver que estás bien, ¿Sabes? ¡Qué regreso que hiciste!"""
Risa_mb16zeno_020#0,"""Pelear contigo fue realmente, realmente inspirador, ¿Sabes? A Lisa le gustaría volver a hacer eso alguna vez."""
Risa_mb16zeno_030#0,"""Lisa y sus amigos han estado muy ocupados por aquí, ¿Sabes?"""
Risa_mb18_010#0,"""El planeta Harkotan, ¿Verdad? Hmm... Oh, ese. A Lisa realmente le gusta allí, ¿Sabes?"""
11_voice_NPC_5026_100#7,"""Principalmente debido a todos los grandes enemigos. Lisa le gusta ir en armas de fuego ardiente."""
11_voice_NPC_5026_104#3,"""¿La cultura y la civilización? ¿Qué es eso? ¿Lisa puede dispararlo?"""
Risa_mb19_010#0,"""¿La instalación flotante de Wopal? Lisa no va allí. Es un poco aburrido."""
Risa_mb19_020#0,"""Los arqueólogos le harían pasar un mal rato a Lisa si ella solo daba una vuelta por el lugar, ¿Sabes?"""
11_voice_NPC_5026_100#8,"""Lisa preferiría ir a un lugar donde pudiera iluminar el área sin preocuparse por eso, ¿Sabes? Jeje. Jejejeje."""
11_voice_NPC_5026_100#9,"""Eso mismo es lo que realmente ha estado en la mente de Lisa. ¿Y qué me dices de ti?"""
11_voice_NPC_5026_101#5,"""撃っても撃っても撃っても<br>まだまだ撃てていない場所があって<br>とてもとても満足ですよお。"""
Risa_mb21_010#0,"""Lisa piensa que las Áreas Corruptas son mucho más interesantes que Dark Falz."""
Risa_mb21_020#0,"""Son áreas con enemigos REALMENTE fuertes; lugares perfectos para descargar todo tu arsenal y algo más, ¿Sabes?"""
11_voice_NPC_5026_100#10,"""Jeje. Suena divertido, ¿Verdad? Lisa está contenta de tener un lugar donde pueda disparar, disparar, disparar y disparar, ¿Sabes?"""
11_voice_NPC_5026_100#11,"""【Double】... 【Apprentice】... Los problemas simplemente siguen acumulándose, ¿Sabes?"""
Risa_mb22_020#0,"""Bueno, es más oscuro, así que Lisa simplemente disfrutará disparar MUCHAS y MUCHAS veces, ¿Sabes?"""
11_voice_NPC_5026_101#6,"""Lisa es más feliz cuando está lloviendo un infierno de enemigos, ¿Sabes?"""
Risa_mb23_010#0,"""Oh, hola hola! Eso fue bastante intenso, ¿Sabes? Es bueno que no hayas sido tan malo."""
11_voice_NPC_5026_100#12,"""Bueno, en realidad, si le preguntas a Lisa, ser comido por Dark Falz es una especie de honor, ¿Sabes?"""
Risa_mb23_030#0,"""Porque significa que debes haber matado a muchos y muchos enemigos. Lisa está realmente celosa, ¿Sabes?"""
11_voice_NPC_5026_107#0,"""Oh my my my my! Lisa escuchó lo que pasó! Es algo bueno que estés bien, ¿Sabes?"""
Risa_mb23_after_020#0,"""Bueno, ahora las cosas se han vuelto bastante agitadas, pero me pregunto qué pasará, ¿Sabes?"""
11_voice_NPC_5026_100#13,"""Oh, Lisa estaba tratando de dormir. Digamos... Si Lisa no puede dormir, ¿Puede poner algo más para dormir? Ya sabes. Permanentemente."""
Risa_mb24_010#0,"""¡Bien, bien, bien ahora! Esta va a ser una gran pelea. Jejeje Es emocionante, ¿Sabes?"""
Risa_mb24_020#0,"""Tantos enemigos... Lisa va a toda velocidad por esto, ¿Sabes?"""
11_voice_NPC_5026_100#14,"""Jejeje Jeje. Lisa no puede esperar más. Ella realmente quiere dispararle a algunos enemigos, ¿Sabes?"""
Risa_mb24_after_010#0,"""Oh, oh my my my! ¡Hola hola! Es bueno ver que no estás muert@."""
Risa_mb24_after_020#0,"""Lisa no podría haber esperado nada más. Lisa es realmente bastante feliz. Ella se divirtió mucho, ¿Sabes?"""
11_voice_NPC_5026_100#15,"""Ha pasado un tiempo desde que Lisa masacró sin piedad a tantos enemigos. Eso fue realmente divertido, ¿Sabes?"""
Risa_mb25_010#0,"""Lisa escuchó que hubo cambios en la administración, pero a Lisa no le importan esas cosas."""
11_voice_NPC_5026_100#16,"""Lisa está más interesada en encontrar formas de destruir enemigos, ¿Sabes?"""
11_voice_NPC_5026_107#1,"""Oh? Oh my my! Qué extraño... ¿No debería estar durmiendo la persona frente a Lisa en este momento?"""
st01_020#0,"""Oh, pero pero, pero... Qué hermosa manera de dormir, ¿Sabes?"""
st01_030#0,"""¿Entonces, cómo estuvo? Sueño frío, eso es. Lisa piensa que debe haber pasado en una fracción de segundo."""
11_voice_NPC_5026_106#3,"""My my, ¡Lisa está muy celosa! Te has mezclado en algo bastante espectacular, ¿Sabes?"""
st01_020#1,"""Por favor, deja que Lisa entienda eso! Probablemente haya muchas cosas para disparar, disparar, disparar y MATAR, ¿Sabes?"""
11_voice_NPC_5026_100#17,"""Oh. ¿Dónde estaría estacionada Lisa? Jejeje Lisa probablemente no debería molestarse en preguntar, ¿O sí?"""
st01_020#2,"""¡Lo que realmente le interesa a Lisa es ese grupo que vino de la Tierra! Lisa quiere intentar dispararles. Jejeje"""
11_voice_NPC_5026_100#18,"""Lisa se pregunta cómo se sentiría dispararles, ¿Sabes? Hehehehe. Eso es lo que ha estado en la mente de Lisa."""
st01_020#3,"""Oh, ¡No mires así a Lisa! ¡Está bien! Lisa solo dispara cuando está autorizado."""
st01_030#1,"""¡Pero! Si Lisa FUE autorizada, definitivamente querría intentar dispararles. ¡Probablemente se sentiría maravilloso!"""
11_voice_NPC_5026_100#19,"""Lisa descubrió que los explosivos son maravillosos últimamente, ¿Sabes?"""
st01_020#4,"""Por supuesto, nada supera las balas en cráneos, pero hay algo bastante encantador en la destrucción de alguien a nivel molecular."""
st01_030#2,"""Oh sí, Lisa definitivamente quiere probarlo. Si encuentras a alguien que parece que explotará muy bien, por favor llama a Lisa."""
st01_010#0,"""Cualquiera que trate a ARKS con hostilidad debe enfrentar hostilidad en especie. ¡Eso es lo que piensa Lisa!"""
st01_020#5,"""Cuando una de las partes piensa que tienen razón y todos los demás están equivocados, la lucha ya comenzó. No tiene sentido retenerse, ¿Sabes?"""
11_voice_NPC_5026_100#20,"""Es entonces cuando Lisa comienza a pensar en quién se sentiría mejor para disparar. Jeje. Hehehehe."""
st01_010#1,"""Lisa estaba en la Ship cuando fue atacada, pero no se le permitió ir a donde estaba toda la lucha."""
st01_020#6,"""Los enemigos estaban aquí, ¿Sabes? ¡Era el momento perfecto para una pelea! Qué decepción."""
11_voice_NPC_5026_100#21,"""¿A quién le importa si los limitadores de la ley marcial no fueron liberados? Si Lisa no puede disparar sus armas, ¡Entonces comenzará a golpear! Hehehehe."""
st01_010#2,"""Hmm. Hmm! Entonces... ¿Los Phantoms son una nueva especie que tomó la forma de Darkers?"""
11_voice_NPC_5026_106#4,"""Si bien parece que sería difícil saber qué es más oscuro y cuál es fantasma, en realidad es bastante fácil."""
11_voice_NPC_5026_100#22,"""¡Puedes verlos disparándoles! Cada uno se siente diferente para disparar, ¿Sabes? Hehehe."""
st01_010#3,"""La evolución es bastante interesante. Pero, ¿Cómo ocurre exactamente la evolución, sabes?"""
st01_020#7,"""¿Se basa en lo que uno quiere? O tal vez lo que uno no quiere? Eso es solo egoísta, ¿Sabes?"""
st01_030#3,"""Lisa está pensando demasiado. A Lisa le gusta hacer cosas divertidas en lugar de pensar en cosas confusas."""
11_voice_NPC_5026_100#23,"""¿Qué hace Lisa por diversión, preguntas? Deberías saber eso ahora, ¿Sabes? Jeje. Hehehehe."""
11_voice_NPC_5026_104#4,"""Hmmm. Hmmmm... Ah, eres tú. ¿Cómo están las cosas?"""
sq00_020#0,"""Oh, Lisa solo está preocupada por algo. No te preocupes, no tiene nada que ver contigo."""
sq00_030#0,"""De todos modos, ¿Estás listo? Tenga en cuenta que las tácticas normales no funcionarán en estos tipos. Pensar fuera de la caja."""
sq01_010#0,"""Nadie tiene que decirle nada a Lisa para que sepa que esto se ha convertido en una situación bastante extraña."""
11_voice_NPC_5026_104#5,"""Si no quedan más oscuros... ¿Qué disparará Lisa entonces? Como en conflicto, ¿Sabes?"""
sq02_020#0,"""No sabría nada que merezca que le disparen, ¿Verdad?"""
11_voice_NPC_5026_107#2,"""¿Hmm? ¿HMMM? ¡Oh my my my! Estás en camino a ir a matar algo, ¿Verdad?"""
sq04_020#0,"""Lisa puede decir, ¿Sabes? Tienes una mirada peculiar sobre ti."""
sq04_030#0,"""¿Entonces, qué estás haciendo? ¿Va a ser realmente peligroso?"""
sq04_040#0,"""Bueno, probablemente no tiene nada que ver con Lisa. Hmmm. O... quizás sí, ¿Sabes?"""
11_voice_NPC_5026_106#5,"""……おやおや、あらあら？<br>なんだか雰囲気、変わってますねえ。<br>すごくすごくピリピリした感じです。"""
11_voice_NPC_5026_100#24,"""……頑張ってくださいね。<br>リサは手伝えませんけども<br>あなたなら、大丈夫でしょう。"""
sq13_010#0,"""詳しい話は、また今度にしましょう。<br>今はシャオが情報をまとめていますし<br>推測でものを言うべきではないです。"""
sq13_020#0,"""あなたも身体を休めておいてください。<br>だって、これから休む間もないぐらい<br>忙しくなるんですからねえ。"""
11_voice_NPC_5026_100#25,"""終の女神・シバ。<br>たしかに、アークスのみなさんには<br>やっかいな相手かもしれませんねえ。"""
11_voice_NPC_5026_107#3,"""原初の【深遠なる闇】であり<br>フォトナーでもあるわけですから<br>これは殺りがいがありますよお。"""
11_voice_NPC_5026_106#6,"""みなさんは、フォトンに頼りすぎて<br>自分の目で見てないんですよねえ。"""
ep6_sq01_02#0,"""ちゃーんと目で見て<br>動きを予測して、仕留めませんと。<br>シバにはついていけませんよお。"""
ep6_sq01_00_01#0,"""終の艦隊、ですかあ。いいですねえ。<br>とても撃ちごたえのある相手ですよお。"""
11_voice_NPC_5026_100#26,"""撃って撃って撃ちまくれますねえ。<br>楽しみですねえ。楽しみですよお。<br>ふふふ、ふふふふふふ。"""
11_voice_NPC_5026_100#27,"""シャオ、戻ってきてよかったですねえ。<br>みなさんの努力の賜物ですよお。"""
ep6_sq02_02#0,"""リサも嬉しいですよお。<br>早く対応できれば、早く戦場に<br>向かえますからねえ。"""
ep6_sq02_03#0,"""敵さんをこれまで以上に<br>早く、たくさん撃ちまくれます。<br>嬉しいですねえ、嬉しいですよお。"""
11_voice_NPC_5026_106#7,"""スカウトについて、ですかあ？<br>リサはそういうの、まったく少しも<br>これっぽっちも、興味ないですよお？"""
Popona_01_20#0,"""あ、でもでもお。撃ったときに<br>新鮮な感触が得られるような生物なら<br>標的としてスカウトしたいですねえ。"""
Popona_01_30#0,"""もし、とても強力で歯応えがある<br>いくら撃っても怒られない巨大生物が<br>いたら、どこにでも駆けつけますよお。"""
11_voice_NPC_5026_100#28,"""壊れるまで撃って撃って<br>撃ちまくって、感触が楽しめたら<br>……素敵ですねえ。ふふ。ふふふ。"""
11_voice_NPC_5026_100#29,"""向こうの世界は楽しかったですねえ。<br>オメガの敵さんは、こちらとは<br>また違う撃ち応えがありましたよお。"""
ep6_sq05_2#0,"""ハリエットの結界も<br>うまく機能しているようですねえ。<br>明らかに敵さんが弱くなっています。"""
ep6_sq05_3#0,"""リサとしては、敵さんが<br>弱すぎるのは面白みに欠けますので<br>さらに強い敵さんを期待してますよお。"""
