st_058160_0010#0,"""말도 안 돼……내가……지다니……?"""
st_058160_0360#0,"""그리고 마지막으로 모두를 만났습니다.<br>제 기억은 이곳에서 끝나도 충분합니다.<br>진심으로 그렇게 생각합니다."""
st_058160_0370#0,"""그, 그런 말 함부로 하지 마!<br>기껏 친구가 됐는데……<br>이대로 헤어질 수는 없어!"""
st_058160_0380#0,"""잠깐, 신!<br>신이니까 어떻게 좀 해 봐!"""
st_058160_0390#0,"""정말 무리한 요구만 하는군.<br>하지만 그 터무니없는 배짱은 마음에 들어."""
st_058160_0400#0,"""하리엣.<br>하리엣의 영혼이 남는 게 올바른 역사야."""
st_058160_0410#0,"""그러니 내 뒤를 이어라.<br>내 후계자로서……<br>신이 되어 이 세계를 지탱해라."""
st_058160_0420#0,"""……받아들인다면<br>내가 하리엣의 몸이 되어 주지."""
st_058160_0430#0,"""이런 건 내가 잘하거든.<br>전에 한 번 해 본 적도 있고."""
st_058160_0440#0,"""에취!"""
st_058160_0450#0,"""하지만 그러면……<br>에픽에서도 신의 힘이 사라져<br>큰일이 나지 않을까요……"""
st_058160_0460#0,"""신의 힘!?<br>그런 것보다 하리엣이<br>이 세계에 더 필요하거든!"""
st_058160_0470#0,"""하하하!<br>신의 힘을 그런 것이라고 했나,<br>멍청한 왕!"""
st_058160_0480#0,"""좋아, 뒷일은 생각하지 않는 그 태도!<br>내가 아주 좋아하는 녀석과 꼭 닮았어!"""
st_058160_0490#0,"""에취! 에취!"""
st_058160_0500#0,"""나는 원래 망령이야.<br>이곳에 「있을 수 없던 존재」였어.<br>하리엣이 걱정할 건 없어."""
st_058160_0510#0,"""어차피 사라질 거라면 누군가를 위해.<br>변덕스러운 신의 선물이라고 생각하고<br>받아 둬."""
st_058160_0520#0,"""마르가레타를 구해 줬잖아."""
st_058160_0530#0,"""알마를 구해 줬잖아."""
st_058160_0540#0,"""그러니 이걸로 서로 빚진 건 없어."""
st_058160_0550#0,"""……네.<br>정말 감사합니다."""
st_058160_0560#0,"""……잘은 모르겠지만<br>하리엣이 우리 신이 된다는 거야?"""
st_058160_0570#0,"""그럼 에픽과 쿠엔트가<br>합쳐지는 건가?"""
st_058160_0580#0,"""그럼 나라 이름도 바꿔야겠네!<br>신성 에피쿠엔트 마도국 같은 걸로!"""
st_058160_0590#0,"""마르 씨……<br>네이밍 센스도 형편없네요."""
st_058160_0600#0,"""「도」는 뭐야, 「도」는!<br>나한테 무례하게 굴면<br>하리엣의 천벌이 내릴 거야!"""
st_058160_0610#0,"""천벌은 그렇게 가볍게<br>내릴 수 있는 게 아니에요.<br>게다가 저도 곧 돌아가야 합니다."""
st_058160_0620#0,"""돌아간다니. 어디로?"""
st_058160_0630#0,"""신을 이어받았으니<br>신이 있어야 할 곳……<br>세계 자체로 돌아가야 합니다."""
st_058160_0640#0,"""신이 모습을 드러내는 무리수는<br>이번 한 번만 가능한 반칙이니까요."""
st_058160_0650#0,"""그, 그럼 결국 하리엣은<br>이곳에서 사라진다는 거야!?<br>나는 그런 거 싫어!"""
st_058160_0660#0,"""아니요, 사라지는 게 아닙니다.<br>저는 세계와 하나가 되어<br>모두를 지탱하는 존재가 됩니다."""
st_058160_0670#0,"""공허에서 나타난 제가<br>모두를 지탱할 토대가 됩니다.<br>……이보다 기쁜 일은 없습니다."""
st_058160_0680#0,"""하리엣……"""
st_058160_0690#0,"""슬퍼하지 말아 주세요.<br>마르가레타."""
st_058160_0700#0,"""괜찮습니다. 제가 익숙해지면<br>신왕인 마르가레타와는<br>언제든 만날 수 있을 겁니다."""
st_058160_0710#0,"""그때까지, 그……<br>신성 에피쿠엔트 마도국이었죠?<br>잘 부탁드립니다."""
st_058160_0720#0,"""뭐야, 요정! 수호휘사!<br>둘의 몸에서도<br>뭔가 이상한 게 나오는데!?"""
st_058160_0730#0,"""세상을 구해 냈습니다.<br>……그런 뜻이군요."""
st_058160_0740#0,"""……수호휘사.<br>이제 감사는 모두 전했습니다.<br>그러니 한마디만 더 하겠습니다."""
st_058160_0750#0,"""다시 만날 수 있는 날을<br>진심으로 바라고 있습니다."""
st_058160_0760#0,"""안녕히 계세요, 수호휘사.<br>저는 언제나 모두와 함께하겠습니다."""
name01#0,"""초대 클라리스 클레이스"""
name02#0,"""？？？"""
