11_voice_NPC_5087_100#0,"""오, 마침 잘 왔어!"""
Npc87_mb11_020#0,"""그렇게 미숙한 솜씨로 실력을 겨루는 건<br>10년은 이르다! 그러더라.<br>아, 아쉽네."""
11_voice_NPC_5087_100#9,"""클래스의 강약 같은 건<br>스스로 정하는 거야."""
Npc87_mb12_020#0,"""다른 사람 의견에 휘둘리지 말고<br>아무튼 한 번 해 본다!<br>이 마음가짐을 잊지 마."""
Npc87_mb12_030#0,"""그러니 브레이버, 자, 브레이버.<br>한 번만이라도 시험해 보자~!"""
11_voice_NPC_5087_100#10,"""수행의 길은 멀고 험하다……<br>알고는 있었지만 카타나 수련은<br>정말 힘드네."""
Npc87_mb13_020#0,"""조금만 힘을 빼도 들키고<br>숨 돌릴 틈도 없다니까, 정말."""
11_voice_NPC_5087_100#11,"""브레이버라는 클래스를 만든 건 말이야,<br>해 보고 싶어서 했다는 게<br>꽤 큰 이유거든."""
Npc87_mb14_020#0,"""너도 네가 하고 싶은 일에<br>솔직하게 도전해 봐야 해.<br>주저하기만 하면 손해라고."""
Npc87_mb14_030#0,"""그래야 인생이 즐거워져.<br>……물론 다른 사람에게 폐를<br>끼치지 않는 범위에서 말이야."""
11_voice_NPC_5087_100#12,"""우물쭈물하는 사람을 보면<br>팍 하고 등을 밀어 주고 싶지<br>않아? 나는 그래."""
Npc87_mb15_020#0,"""부추기려는 건 아니지만<br>그런 계기가 없으면 좀처럼<br>앞으로 나아가지 못하기도 하잖아."""
Npc87_mb15_030#0,"""……무슨 이야기냐고?<br>글쎄, 무슨 이야기일까.<br>딱히 나쁜 짓은 안 했어."""
Npc87_mb16_010#0,"""너는 아크스 중에서 가장 자유롭게<br>하고 싶은 일을 하고 있는 것 같아.<br>……내가 아는 범위에서는."""
Npc87_mb16_020#0,"""힘이나 권력을 너무 많이 가지면<br>갈수록 움직이지 못하는 게 보통인데<br>너는 정말 자유롭게 움직여."""
11_voice_NPC_5087_100#13,"""그건 좋은 일이야.<br>누구에게도 휘둘리지 않고 자기 의지로<br>제대로 움직이고 있다는 뜻이니까."""
Npc87_mb16_040#0,"""레기아스는 늘 힘들어 보이니까<br>분명 너를 부러워할 거야."""
11_voice_NPC_5087_104#3,"""정말 수고 많았어.<br>그 말 말고는 떠오르지 않네.<br>다른 사람들도 같은 생각일 거야."""
Npc87_mb16zeno_020#0,"""그리고 고맙다는 말도 해야겠네.<br>이것도 분명 모두가 같은 생각일 거야.<br>네가 그만큼 큰일을 해 줬잖아."""
11_voice_NPC_5087_100#14,"""아크스도 변하기 시작했고<br>모두가 더 자유롭게 움직일 수 있게<br>되어 가면 좋겠네."""
Npc87_mb18_020#0,"""뭐, 다들 하고 싶은 말을<br>할 수 있게 된 것 같으니<br>그것만으로도 충분한 느낌이랄까?"""
Npc87_mb18_030#0,"""좋은 방향으로 나아가고 있다고 생각해.<br>모두 웃는 모습을 자주<br>보게 됐으니까."""
11_voice_NPC_5087_104#4,"""모처럼 좋은 방향으로 나아가려던 참에<br>다크 펄스라니.<br>녀석들도 분위기 파악을 못 하네."""
Npc87_mb19_020#0,"""그래도 아크스가 나아갈 방향은 모였고<br>모두 열심히 하고 있으니까.<br>난 괜찮을 거라고 생각해."""
Npc87_mb19_030#0,"""낙관하는 게 아니야. 믿고 있을 뿐이지.<br>이겨 내려면 노력도 필요하고<br>그러기 위해 열심히 할 각오도 되어 있어."""
11_voice_NPC_5087_100#15,"""분명 다들 같은 마음이겠지."""
Npc87_mb20_010#0,"""바운서가<br>꽤 유행하고 있는 모양이네.<br>시험 운용 담당자가 애쓴 덕분인가?"""
Npc87_mb20_020#0,"""그런데 그걸 보고 있으면<br>브레이버를 만들던<br>그때가 떠오른단 말이지."""
11_voice_NPC_5087_100#16,"""브레이버를 잘 부탁해~ 하고 말이야.<br>뭐, 어쨌든 선택의 폭이<br>넓어지는 건 좋은 일이잖아."""
Npc87_mb21_010#0,"""요즘 바운서 수도<br>늘어난 모양이네.<br>조금씩 자리 잡고 있어."""
Npc87_mb21_020#0,"""아크스인 이상 아무래도<br>전투를 피할 수는 없으니까."""
Npc87_mb21_030#0,"""자신에게 맞는 클래스를 만날 기회가<br>늘어나는 건 정말 중요하다고<br>나는 생각해."""
11_voice_NPC_5087_100#17,"""바운서를 경험한 사람이<br>정말 많이 늘어난 모양이네.<br>다른 클래스도 늘어나면 좋겠어."""
Npc87_mb22_020#0,"""왜냐하면 다른 클래스 사람들과<br>함께 싸우면 각자의 장점을<br>알게 돼서 공부가 되잖아?"""
Npc87_mb22_030#0,"""그러면 아크스에도 도움이 되니<br>좋은 일이라고 생각해.<br>하하, 좀 설교처럼 들렸으려나!"""
11_voice_NPC_5087_100#18,"""내가 멋대로 제자인 척하는 것뿐이지만……<br>레기아스의 모습이<br>조금 달라졌어."""
Npc87_mb23_020#0,"""예전만큼 괴로워 보이지 않는 스승님을 보면<br>역시 기쁘단 말이지."""
Npc87_mb23_030#0,"""전투에는 괴로운 일이 많으니까.<br>적어도 그 밖의 일로는<br>고생하지 않았으면 해."""
Npc87_mb23_040#0,"""물론 레기아스뿐만 아니라<br>너를 포함해서 모두가 말이야.<br>이왕이면 웃으며 지내고 싶잖아?"""
11_voice_NPC_5087_104#5,"""아, 꽤 힘들었던 모양이네.<br>사정은 공개되어 있으니까<br>나도 알고 있어."""
Npc87_mb23_after_020#0,"""어설프게 걱정하거나 동정해 봐야<br>소용없잖아.<br>게다가 그런 건 필요 없지?"""
Npc87_mb23_after_030#0,"""나는 모두가 웃을 수 있는<br>그런 결과를 맞이하면 좋겠다고<br>생각해. 그래서 노력하는 거야."""
11_voice_NPC_5087_100#19,"""너도 그렇지?<br>어떤 결과를 바라는지<br>생각해 보면 되지 않을까?"""
11_voice_NPC_5087_100#20,"""아, 안녕.<br>정말 고생 많았어!"""
Npc87_mb24_after_020#0,"""무사히 좋은 결과로 끝나서 다행이야.<br>역시 결말은<br>해피 엔딩이 좋잖아."""
Npc87_mb24_after_030#0,"""뭐, 다커는 아직 많이 남아 있고<br>정말 끝난 건 아니지만……<br>지금은 기뻐하고 싶네."""
Npc87_mb25_010#0,"""【심원의 어둠】에 대비해<br>아크스 전체가 움직이기 시작했네."""
Npc87_mb25_020#0,"""각자의 역량이 중요해졌달까,<br>열심히 해야 하는 상황이잖아.<br>나도 뭘 할 수 있을지 생각하게 돼."""
Npc87_mb25_030#0,"""특히 너를 보고 있으면 그런 생각이 들어.<br>나도 질 수 없다는 마음으로<br>긍정적으로 나아갈 수 있거든."""
st01_010#0,"""어라, 진짜야? 진짜 너 맞지?<br>아니, 농담이야. 빈정대는 것도 아니고.<br>그만큼 오랜만이라는 뜻이야."""
st01_020#0,"""나한테는 너를 만나는 게<br>정말 오랜만이라 농담이라도 안 하면<br>뭐랄까, 좀 그렇잖아."""
11_voice_NPC_5087_100#21,"""뭐, 건강해 보여서 안심했어.<br>그럼 앞으로도 계속<br>사이좋게 지내자."""
11_voice_NPC_5087_100#22,"""카페에는 벌써 가 봤어?<br>거기, 괜찮은 곳이야."""
st01_020#1,"""기분 전환도 할 수 있고<br>의자도 편하거든."""
st01_030#0,"""문제가 있다면<br>너무 오래 쉬게 된다는 것 정도려나."""
11_voice_NPC_5087_100#23,"""지구라……<br>사람들이 아크스와 비슷하게 생겼네."""
st01_020#2,"""도쿄 에리어도 시가지와 비슷해서<br>조금 친근하게 느껴지는 것 같아."""
st01_030#1,"""방문한 행성에 익숙한 풍경이 보이면<br>괜히 기뻐지잖아."""
11_voice_NPC_5087_100#24,"""아크스 전체의 숙련도를 높이기 위해서라나,<br>그런 이유로 여러 가지를<br>시험하고 있는 모양이야."""
st01_020#3,"""훈련소도 그 일환이야.<br>본격적으로 훈련할 수 있는 장소는<br>아무래도 한정되어 있으니까."""
st01_030#2,"""이용하는 아크스도<br>많지 않을까?"""
st01_010#1,"""음, 적이 사람이라……<br>싸우기를 망설이는 사람도 있겠지만<br>나는 별로 신경 쓰지 않아."""
st01_020#4,"""아크스끼리 대립할 때도 있는데<br>다른 행성이라면 더 말할 것도 없지."""
st01_030#3,"""게다가 한 번 칼을 맞대 보면<br>상대의 생각을 알 수 있다고 하잖아."""
11_voice_NPC_5087_104#6,"""망설임은 힘에 그대로 드러나거든.<br>망설임 없는 칼날은 강하고<br>망설임을 품은 칼날은 약해."""
st01_020#5,"""그 부분을 잘 보살펴 줘야<br>했는데……<br>나도 아직 멀었네."""
st01_030#4,"""어린애한테 힘든 일만 겪게 하고<br>이 누나도 실격이네, 정말."""
st01_010#2,"""많이 변했네, 그 아이.<br>히츠기라고 했던가?<br>눈을 보면 다른 사람 같아."""
st01_020#6,"""각오와 의지가 굳은 눈이야.<br>드디어라고 해야 할지<br>해야 할 일을 찾은 모양이네."""
11_voice_NPC_5087_102#1,"""문제가 계속해서 터지네.<br>마치 전부 때를<br>재고 있던 것처럼."""
st01_020#7,"""아크스가 이곳에 왔기 때문에<br>일련의 사건이 벌어진 거라면<br>그것도 확실히 매듭지어야겠네."""
st01_010#3,"""이제 지구의 소동도 일단락됐으려나?<br>작은 환창종은 계속 나타날 수도<br>있겠지만 큰일로 번지지는 않겠지."""
11_voice_NPC_5087_104#7,"""결국 이번 사건도 한 개인의 마음이<br>지나친 나머지 폭주한 결과인 거네.<br>여러 가지로 생각하게 돼."""
11_voice_NPC_5087_100#25,"""어, 긴장했어?<br>나답지 않게 긴장했어.<br>누군가와 이야기하고 싶을 정도로."""
sq00_020#0,"""말하자면 문제의 뿌리를 바로잡는 작전.<br>그게 이런 시점에 찾아올 줄은<br>좀처럼 상상하지 못했거든."""
sq00_030#0,"""……하지만 언젠가는 해야 할 일.<br>그게 지금이 되었을 뿐이라는 거지.<br>……힘내자."""
11_voice_NPC_5087_100#26,"""오, 어서 와.<br>걱정은 했지만 괜찮을 거라고<br>생각했어. 너니까 말이야."""
sq01_020#0,"""일단 모두에게 얼굴을 보여 주고 와.<br>뭐라고 말했든 간에<br>모두 너를 걱정했어."""
sq02_010#0,"""상황이 진정될 기미가 보이네.<br>이럴 때일수록 방심은 금물이야."""
sq02_020#0,"""잘 풀리고 있다고 생각하면<br>마음에 빈틈이 생겨서 반동이<br>세게 찾아오기 쉽거든."""
sq02_030#0,"""물론 상층부도 그걸 알고<br>꼼꼼하게 조사를 계속하겠지만.<br>우리도 명심해야겠네."""
sq13_010#0,"""엄청난 녀석이 나타났네.<br>너와 레기아스, 마리아도 이기지 못할<br>상대가 존재하다니."""
sq13_020#0,"""……하지만 지난번에 이기지 못했을 뿐이야.<br>다음에는 이길지도 몰라.<br>아니면 그다음에는?"""
sq13_030#0,"""낙관하지도, 너무 비관하지도 말고<br>할 수 있는 일을 하자.<br>우선은 몸을 쉬어야 해."""
ep6_sq00_01#0,"""다들 자신이 할 수 있는 일을<br>열심히 하고 있는 모양이네."""
ep6_sq00_02#0,"""샤오가 지시해 주니까<br>모두 힘낼 수 있는 것도 있지만<br>네 존재도 큰 힘이 된다고 생각해."""
11_voice_NPC_5087_100#27,"""자, 그럼.<br>나도 힘내야지."""
11_voice_NPC_5087_105#0,"""이번만큼은<br>정말 타격이 크네……"""
ep6_sq01_02#0,"""우르크도 가슴 아픈 결단을 내렸다는 건<br>알지만, 마더 쉽을 포기한 데다<br>샤오까지 없다니……"""
ep6_sq01_03#0,"""그래도 아직 할 수 있는 일이 있고<br>전부 다 해 본 것도 아니잖아.<br>자, 기합 넣고 힘내자!"""
ep6_sq02_01#0,"""샤오가 사라졌을 때는<br>나도 역시 초조했지만.<br>제대로 구해 냈구나."""
11_voice_NPC_5087_100#28,"""이야, 다행이야, 다행이야.<br>분명 모두의 마음이<br>샤오를 구한 거라고 생각해."""
11_voice_NPC_5087_104#8,"""그대로 단숨에 시바까지 쓰러뜨렸다면<br>더 바랄 게 없었겠지만.<br>뭐, 그렇게 쉽게 되지는 않나."""
ep6_sq02_01_02#0,"""그래도 선전한 건 확실하니까.<br>다음에는 잘될 거야, 분명."""
ep6_sq03_02_01#0,"""루코트 같은 아이를 보고 있으면<br>나도 모르게 챙겨 주고 싶어진단 말이지."""
11_voice_NPC_5087_100#29,"""왜냐하면 말이야.<br>딱 봐도 성실한 아이잖아?<br>그런 아이는 무리하기 쉽거든."""
ep6_sq03_02_03#0,"""제대로 챙겨 줘야지.<br>너도 내키면<br>루코트를 살펴 줘!"""
11_voice_NPC_5087_100#30,"""이야, 정말 고생 많았어!<br>무사히 돌아와 줘서 안심했어."""
text02#0,"""평화를 맞이할 수 있었던 건<br>네가 모두의 마음을 미래로 이끄는 힘으로<br>바꾸었기 때문이라고 생각해."""
text03#0,"""우선은<br>지금 푹 쉬면서 여유를 즐겨."""
